AveragePolicySurr,PolicyRegParamNorm,AverageReturn,StdReturn,MaxReturn,AverageQ,AverageAction,StdEsReturn,AverageEsReturn,MinEsReturn,AverageY,AverageQLoss,MaxEsReturn,Iteration,AverageAbsQ,MinReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsY,Epoch,AverageAbsQYDiff
-0.414511,10.0573,-15.7065909712,0.151131609436,-15.189927754,0.744842,0.587123,3.34040829167,-13.8547069116,-19.268367448,-1.93963267597,8.29725,2.00460051802,9,0.812891,-16.069243018,-13.7638735397,9.79561,1.93963267597,9,2.68447496696
0.743036,11.0978,-5.36491371889,4.99482594593,-1.28466103814,-0.923121,0.929311,3.98496845013,-12.6578649767,-19.0872578852,-0.931045391532,0.166671,-3.38042275309,10,0.925346,-54.1442840051,-4.21076431377,9.82932,0.931545311103,10,0.243917639579
0.355411,11.623,-31.9583463554,15.2666161378,-5.54947071937,-0.616216,0.989272,18.0858810337,-39.6748900805,-72.573324616,-0.616937687124,0.0384148,-17.0039997486,11,0.617317,-64.0776767811,-9.97318299298,9.98257,0.618698593971,11,0.14641031808
0.276146,12.3914,-28.8654274775,2.13431012295,-21.0434570111,-0.475559,0.896484,48.5107034624,-1.65692008081,-77.6141432511,-0.475008781966,0.0197513,111.390545637,12,0.480902,-31.4012468282,-11.5009846243,10.0836,0.483337355129,12,0.104200853366
0.10244,12.9884,-12.2524333509,1.77401579574,-7.83226440369,-0.296542,0.867044,59.2775978429,4.02186958545,-41.8075340509,-0.295437390024,0.0153554,186.168391895,13,0.336386,-16.8111809849,-7.20683584015,10.1569,0.344661127147,13,0.0934802661396
-0.0330279,13.4791,258.812254014,9.43397185035,277.690762,-0.158085,0.862311,12.1317510942,-10.9486139241,-41.8137357807,-0.157212799443,0.0124569,8.52574053275,14,0.281453,229.002962006,117.501196831,10.2491,0.291453344054,14,0.0841783344741
-0.162023,13.8928,-11.7610923854,4.07967466425,-5.72930133823,-0.0298459,0.824462,46.183937335,14.000315543,-38.9623784984,-0.0287927498796,0.0117092,121.846081241,15,0.274116,-27.4922459931,-2.85950513913,10.3753,0.284253933625,15,0.0815326408212
-0.25474,14.204,4.59957809883,3.17071861306,12.6954230143,0.090297,0.73283,97.5612505433,35.6738114209,-28.1146546424,0.0910297069475,0.0103566,291.882475275,16,0.300175,-3.71695004497,16.6756571672,10.5459,0.31000234775,16,0.076023530659
-0.326331,14.4931,245.789992537,15.9905016687,277.071548044,0.184158,0.938462,78.7282996158,201.592322523,32.7533715562,0.184595918345,0.00987822,272.242098822,17,0.359962,211.552097791,122.791622145,10.7229,0.367542685441,17,0.0724313904483
-0.403855,14.9845,132.759458745,93.9593018662,453.814277183,0.272333,0.719887,164.31784441,234.946849018,8.42960804677,0.272694397242,0.0100593,442.376301496,18,0.438789,33.5214690191,64.1798198848,10.9287,0.445082617302,18,0.0713589884969
