MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageQLoss,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,MinReturn,MaxEsReturn,AverageAbsQYDiff,AverageY,Iteration,AverageQ,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,Epoch,AverageReturn,AveragePolicySurr
-2.02974565728,4.21362687037,11.7105,16.0699,0.443036924915,0.208031,-17.4243887532,1.09024,-4.98399971657,34.5831220707,3.72399559736,2.73586498692,9,-0.988131,2.89596649814,-2.1127947953,-4.23508686512,11.4915,9,-3.87547073924,0.245302
-7.92557674129,2.65784789286,12.1723,0.479399,0.0652614841803,0.999912,-17.8214703989,1.35914,-8.25617104968,1.72220970124,0.430230414275,1.22650351765,10,1.18667,1.46759763599,-7.81253805892,-7.85432228876,11.7587,10,-8.08974119306,-1.52621
-6.26289779767,1.65971341989,12.6082,0.0604546,1.25292574668,0.99995,-12.5378618417,1.30258,-11.3665830535,0.68097965934,0.186495358084,0.434712225153,11,0.433272,1.31548520351,-5.3753509603,-6.93863361583,11.9063,11,-8.74920997941,-0.438123
-5.47922632395,9.66494740836,13.1555,0.0764421,1.4421654725,0.994296,-48.1920020645,1.71048,-11.3833244956,-6.37410720437,0.207660096187,0.249456531827,12,0.247309,1.71945317801,-5.02742687465,-13.9570086513,12.3658,12,-8.30395175176,-1.25549
-4.56170827794,10.546213934,13.5827,0.113814,1.57700338776,0.947373,-46.3139217699,2.11712,-10.6442914557,4.18727683855,0.251076527011,0.651843687186,13,0.649377,2.13126693712,-4.63815333909,-11.9493174914,13.0667,13,-7.69857648088,-1.84539
90.429392179,116.435729997,14.2367,0.128188,9.79480853869,0.466806,-35.001875432,2.50631,47.4309585411,289.553050099,0.263619198897,1.03108442552,14,1.02975,2.52082165333,50.5391630968,50.9967013985,13.874,14,64.7843925335,-2.45344
141.377969737,163.633819448,14.64,0.176586,20.8240909335,0.814536,-39.1294728538,3.17522,47.5412524525,403.4517923,0.281533279652,1.83606824858,15,1.83393,3.19057827747,57.0496392009,142.512659376,14.6147,15,77.8929143386,-3.44995
137.127535317,75.2376643143,14.9459,0.230111,17.4845682915,0.853574,63.1327138497,3.99294,48.9694746874,284.027362195,0.305668212497,2.90244791677,16,2.90118,4.00901318145,56.3075825375,121.196395529,15.4304,16,74.5310646141,-4.47976
420.022843187,127.760404553,15.3931,0.263705,41.2786236748,0.817887,51.2181495617,4.83265,205.616071031,362.983478278,0.314136362543,3.79406388413,17,3.79266,4.84765244354,108.758385356,199.254872079,16.2159,17,343.633214256,-5.35119
431.924924769,128.776856121,16.3261,0.334785,114.318856987,0.812069,97.4197934756,5.69854,67.684567215,433.288765818,0.344573741197,4.70705156099,18,4.70513,5.71297479429,75.2046773629,299.627424675,17.001,18,169.848475179,-6.31363
494.990165484,78.1689174289,16.969,0.549486,98.9920017266,0.88201,107.643488658,6.6685,63.5808861336,318.288135294,0.403181689073,5.76164935043,19,5.75927,6.68259691012,101.314411724,198.963562053,17.8014,19,288.599465293,-7.38892
450.525113661,124.134757864,17.5883,0.533569,29.2458946423,0.994505,63.2360306761,7.71972,302.719919292,424.329542543,0.405710799711,6.89468570071,20,6.89282,7.73164787966,111.362595288,247.18916733,18.4566,20,341.491833984,-8.45891
421.138136964,78.6757482122,18.3779,0.720963,118.458975747,0.899696,93.0838684318,8.66892,44.8533732745,284.094035197,0.451922247201,7.87084508833,21,7.86852,8.6802132943,91.6003195132,189.635841077,19.132,21,257.407804827,-9.40642
471.648374915,116.968509985,19.1037,0.864753,129.527842579,0.827151,9.11639458986,9.73827,57.6856939193,317.672481773,0.501854473828,8.96247467415,22,8.95873,9.75150534551,86.7825898294,177.260624406,19.8033,22,231.764691582,-10.5314
486.951164212,193.008965248,19.6502,0.875391,136.174475446,0.804211,11.1505339307,10.7216,66.1314285945,525.38552675,0.517822578897,9.94265980982,23,9.93913,10.733053949,89.5015621016,243.244253478,20.44,23,254.469804704,-11.4933
494.004642484,125.305315601,20.062,1.09666,109.206048353,0.749143,118.4370738,11.7629,44.0903850403,495.327636054,0.564200540123,10.9700018042,24,10.9662,11.7748821814,95.8396752897,265.768249294,21.0985,24,251.234110731,-12.5386
550.748779359,83.6607068339,20.5453,1.35739,153.971374338,0.746103,43.8591738438,12.99,7.37061386275,271.057747215,0.628846785542,12.2055458439,25,12.2024,12.9990335693,56.6157918707,150.896241449,21.802,25,161.472773503,-13.8577
607.560828982,102.040276281,20.9465,1.40217,152.111259199,0.753501,32.5647256067,13.983,26.4103606164,339.30314046,0.680017173092,13.2211426493,26,13.2166,13.9942521662,57.3973446811,113.50158649,22.3766,26,134.516627212,-14.8875
