AverageQLoss,MinReturn,AverageAbsQ,AverageDiscountedReturn,MinEsReturn,MinForwardProgress,AverageAction,AverageAbsY,StdReturn,AverageEsReturn,AverageForwardProgress,AverageQ,StdForwardProgress,StdEsReturn,QFunRegParamNorm,MaxForwardProgress,AverageAbsQYDiff,MaxEsReturn,MaxReturn,AverageY,AverageReturn,Epoch,AveragePolicySurr,PolicyRegParamNorm
0.0126334,-28.7675406444,0.0914318,22.1154060097,-13.0501286814,-0.576439518084,0.999927,0.00793726655728,12.1692370866,41.1474125551,0.161361300452,0.0914318,0.134988890203,48.6520040984,14.6878,0.344332749637,0.0981862174986,124.4723884,54.1076743879,-0.00663746436813,30.1314604826,9,-0.117409,17.0473
0.000120794,-27.6019509269,0.00716424,17.7155722132,0.180782036659,-0.592753949669,0.999977,0.00618258669141,13.3140166953,28.2275544891,0.0964091506738,-0.00168678,0.153365346787,12.9737078911,14.9712,0.369710139747,0.00305934015265,52.5150563118,52.738118484,-0.00254113495844,23.0070865616,10,0.000419236,17.3034
6.94774e-06,-32.8080176317,0.00867984,18.2103920327,7.80736006422,-0.575383132897,1.0,0.00890820665434,13.4928868045,22.4303401412,0.100605385054,0.0018363,0.161790791318,8.56248026719,15.1119,0.331073746655,0.00173082206393,36.9259255527,48.4616188822,0.00182074871304,24.2454256928,11,-0.00667396,17.4829
8.05568e-06,-29.1030086839,0.0130715,18.623655063,-3.83369739923,-0.582355873357,1.0,0.0131755272413,11.9875581278,18.8529821012,0.116477466204,0.0101543,0.131884523921,9.90436413895,15.3265,0.333737047777,0.00168211880864,31.4822542971,47.6185280446,0.0101481012617,24.9250029526,12,-0.0129615,17.4836
8.63375e-06,-32.2162202682,0.0179571,19.3907515928,-24.4053567928,-0.527397436674,1.0,0.0180476209605,11.5103831875,14.198081775,0.126506190785,0.0153568,0.121113616717,18.4028879654,15.5519,0.32778839349,0.00169307647826,34.1725872305,45.9927306536,0.0153448000014,25.9001081776,13,-0.0176868,17.4837
1.0704e-05,-30.5075854777,0.022262,5.45978273725,-4.9015676498,-0.466363845514,0.969356,0.0223693434397,36.6273403665,24.5435398144,-0.0809485179127,0.0195173,0.329008124201,23.9445000158,15.8142,0.866895144535,0.00194499306097,67.5496365746,114.944389669,0.0195106100126,8.83298452526,14,-0.0234326,17.8186
1.27275e-05,-20.2330817918,0.0276124,17.1125109965,-26.9715528174,-0.340240563136,0.982363,0.027721031287,23.3776175587,3.22853589024,0.128127246632,0.0249829,0.212797579871,26.4338306085,16.0779,0.599014170596,0.00212494687503,76.0620802403,83.1025508211,0.0249748430338,30.3458968009,15,-0.0282506,18.1595
1.4218e-05,-22.7425357611,0.0330822,12.5566064665,-24.6446302247,-0.369455663476,0.977175,0.0331878961621,16.9405255247,20.0752017153,0.0381940313961,0.0302807,0.155343004226,30.8419924245,16.3994,0.835039350011,0.00230357172724,76.4136972847,115.380595283,0.0302836809426,18.4694740007,16,-0.0330313,18.4156
1.55072e-05,-77.7505323523,0.0383296,6.41431844207,-8.16664639608,-1.107475973,0.936137,0.0384426088893,24.2799320449,23.5788804565,-0.131322914667,0.0351369,0.235737898616,14.1931099055,16.6741,0.386041501734,0.00237858651201,42.7754448543,71.762274888,0.0351347427796,5.47961795673,17,-0.040663,18.9155
1.79088e-05,-40.2484157496,0.0461882,23.8462186686,-57.3885022796,-0.69884013307,0.944514,0.0462818331475,40.8985546899,-0.606310358551,0.181285731891,0.0426317,0.384682554974,34.4060395268,16.9745,0.766686634801,0.00259376865513,44.8983828264,107.980777728,0.0426334543194,42.9890083273,18,-0.0484661,19.1538
2.03535e-05,-26.4254963757,0.0536478,33.1393365897,6.23661575704,-0.591544419112,0.921355,0.0537194842636,21.7930951804,62.1202415969,0.398326572331,0.050574,0.224636322964,19.9914792786,17.2489,0.645624929331,0.00266208108873,78.144759548,93.5129925364,0.0505793262763,63.5695091551,19,-0.0544392,19.4743
1.99817e-05,-17.4766900965,0.0594681,38.3644819461,-12.5233555959,-0.440216868517,0.954181,0.059518295197,17.8160405787,57.6716368023,0.52375915145,0.0564496,0.179878605872,33.3337481873,17.4705,0.704043199541,0.00269342654242,87.5230901594,100.796307949,0.0564567898234,76.5204812184,20,-0.0597893,19.6827
2.18246e-05,-42.7023294082,0.0645008,35.8383423956,2.6307110785,-0.636797036901,0.968146,0.0645458383012,26.7119541039,54.3790425755,0.449615982323,0.0616085,0.273286300767,27.152058061,17.7528,0.801842006901,0.00275071293239,80.0110352821,114.638271166,0.0616099482744,69.2557901319,21,-0.0642586,19.7502
2.78565e-05,-6.98098785228,0.0691797,37.5815198675,-31.0683646074,-0.363725992649,0.975085,0.0692321832954,18.0193582113,44.1669175777,0.491019731321,0.0660225,0.189694836504,42.5420433945,18.0524,0.728112075708,0.00301860037701,81.8087715492,101.45949255,0.0660339364036,72.9898842833,22,-0.0686133,19.8627
