AverageEsReturn,Iteration,Epoch,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,AverageReturn,AverageQLoss,MinReturn,AverageAbsQYDiff,AverageAbsQ,QFunRegParamNorm,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageAction,StdReturn,AverageY,MinEsReturn,AverageQ,MaxEsReturn
-205.309574254,9,9,-0.95039,6.19901429104,126.56488827,107.49170905,2.67074,84.4995062474,1.30499014895,0.700951,11.5821,11.7796,1.5981743985,48.6272122011,0.212822,12.5173622321,1.59013015113,-268.613960926,0.577332,-114.882333415
-235.091825219,10,10,-1.77249,-56.5968347411,-586.700813344,-587.815456987,0.271795,-588.691374392,0.370084824754,0.784114,12.2753,12.3699,0.829690083691,0.0,0.983889,0.588304479545,0.730009604228,-235.091825219,0.720805,-235.091825219
-393.390442786,11,11,-1.65054,-54.9494711468,-563.048523876,-564.94859314,0.0895239,-567.304719053,0.227842254606,0.808401,12.938,13.3567,0.839509122515,0.0,0.944419,1.40074912327,0.686318251671,-393.390442786,0.685079,-393.390442786
-426.155002889,12,12,-1.80059,-41.5916691603,-431.143147267,-449.530208066,0.0928566,-475.460319604,0.230551725647,1.18465,13.6761,14.4712,1.2095463905,0.0,0.78668,13.8868721737,0.950238058587,-426.155002889,0.948884,-426.155002889
-404.646200364,13,13,-2.29279,-50.2491804737,-541.339994841,-571.363789272,0.120583,-599.629575423,0.260566781308,1.67665,14.4537,15.6336,1.70128429755,0.0,0.882636,20.5077010434,1.34345156028,-404.646200364,1.3413,-404.646200364
-370.261601529,14,14,-2.38267,-17.5242101735,-170.529255109,-211.88675735,0.139859,-238.930499928,0.281090916985,2.04699,15.1718,16.4663,2.07277002221,0.0,0.867855,17.7161169075,1.71462341642,-370.261601529,1.71289,-370.261601529
-317.389290941,15,15,-2.34373,26.6280362282,-69.0020650845,-297.753232002,0.1708,-396.113046869,0.306619103637,2.22812,15.9774,16.9916,2.25705878273,0.0,0.603593,94.5208183058,1.77005489755,-317.389290941,1.76928,-317.389290941
-324.1000966,16,16,-2.45794,40.7033589668,92.0462657845,-131.337244545,0.218275,-347.14596933,0.34242102148,2.34898,16.8639,17.6843,2.38686975315,0.0,0.706237,145.884559616,1.86936643891,-324.1000966,1.86749,-324.1000966
-144.914973528,17,17,-2.77301,34.3043863439,307.182514562,-225.343291766,0.236417,-533.626262553,0.357384529392,2.53789,17.7247,18.4093,2.57157549047,0.0,0.804796,223.961942057,2.11599395139,-144.914973528,2.11355,-144.914973528
-336.965416756,18,18,-3.00453,5.73458278287,-342.415770766,-392.978980452,0.241185,-460.354273058,0.360815235607,2.69472,18.5481,19.0323,2.72493116209,0.0,0.793726,37.3500437637,2.34381408231,-336.965416756,2.34062,-336.965416756
-329.589769159,19,19,-3.2429,17.7297347226,299.526532539,31.1675414945,0.281124,-275.43269305,0.38238858508,2.90953,19.3877,19.5902,2.93690300828,0.0,0.610931,187.301016263,2.60597018817,-329.589769159,2.60272,-329.589769159
15.2773937312,20,20,-3.61933,48.4831478275,491.026085231,203.767640428,0.308647,19.3546101358,0.401365991541,3.21295,20.1435,20.1801,3.23621269028,0.0,0.578415,140.41654297,2.94227436308,15.2773937312,2.93908,15.2773937312
121.156316562,21,21,-3.96256,56.0980459831,759.184563587,114.440392179,0.361851,-180.758602354,0.42599816093,3.51701,20.847,20.805,3.54653875527,0.0,0.673988,264.967132307,3.26131838731,121.156316562,3.25723,121.156316562
-320.522093699,22,22,-4.31756,38.0314612291,583.933131031,423.580558231,0.383762,201.708740798,0.440913815222,3.83851,21.5477,21.4053,3.86405041808,0.0,0.766794,108.112224395,3.5740426244,-320.522093699,3.57024,-320.522093699
304.746521116,23,23,-4.87891,11.6928156213,611.635061866,365.145750752,0.418165,3.61047514923,0.463352905526,4.28224,22.2355,22.0127,4.30566817151,0.0,0.834649,159.888983314,4.05475286266,304.746521116,4.05009,304.746521116
391.959696481,24,24,-5.44839,30.300305456,605.340865131,469.472285186,0.46038,317.074756156,0.489046224535,4.80738,22.8721,22.6025,4.82802029475,0.0,0.868323,100.275775069,4.59826288796,391.959696481,4.59255,391.959696481
266.585942528,25,25,-6.06263,69.130039083,861.306814151,496.911201698,0.505634,332.328765465,0.512397153214,5.40367,23.4913,23.2453,5.42378085452,0.0,0.826493,187.360907849,5.21807161452,266.585942528,5.21201,266.585942528
368.142091881,26,26,-6.80831,106.538667151,2056.84625267,1028.96621499,0.536393,469.641308814,0.530299849642,6.08622,24.1092,23.7937,6.10054923951,0.0,0.873255,588.109286876,5.92326017393,368.142091881,5.91737,368.142091881
408.152950489,27,27,-7.5539,92.8285372369,1604.19060673,996.422766157,0.571705,554.702724982,0.545885097718,6.76259,24.6578,24.2848,6.77718222798,0.0,0.869052,396.877676161,6.61904438762,408.152950489,6.61286,408.152950489
374.688688454,28,28,-8.45022,100.345840319,976.29862735,631.567569581,0.659858,381.713850343,0.58303273671,7.62416,25.1774,24.7768,7.63777622408,0.0,0.846318,170.10177903,7.50556113063,374.688688454,7.49721,374.688688454
472.744440772,29,29,-9.33755,102.071749219,1319.3887929,754.251973368,0.693292,335.005805791,0.599954086397,8.43783,25.729,25.2375,8.45030899667,0.0,0.849331,337.59168092,8.34695143954,472.744440772,8.33949,472.744440772
430.051448829,30,30,-10.3014,131.311856081,1281.98215654,817.985333894,0.789716,468.171101372,0.630218806441,9.36942,26.2723,25.6921,9.383417488,0.0,0.839832,289.509650612,9.29914310915,430.051448829,9.29146,430.051448829
582.277041755,31,31,-11.2285,143.840674982,2318.60307107,1365.33636567,0.857829,565.177125653,0.653950835255,10.2538,26.823,26.1283,10.267115989,0.0,0.867698,622.589903755,10.2016188513,582.277041755,10.1936,582.277041755
562.411014148,32,32,-12.2131,61.4200996846,639.043031597,564.717065021,0.922652,343.848111775,0.674866514488,11.1803,27.347,26.536,11.1924915142,0.0,0.835644,82.2159085868,11.1497296483,562.411014148,11.1418,562.411014148
524.366617929,33,33,-13.185,90.6445783433,862.345868804,613.125739285,0.950617,401.80557203,0.685513201891,12.1134,27.8207,26.8595,12.1240597179,0.0,0.852162,122.389565708,12.0991695873,524.366617929,12.0918,524.366617929
527.623048012,34,34,-14.1045,138.226477967,2241.86206277,1092.49253003,0.998381,585.737833501,0.700195804472,13.0091,28.2423,27.1904,13.0198419122,0.0,0.845369,675.857846152,13.0057494559,527.623048012,12.9972,527.623048012
565.527519925,35,35,-15.0962,178.61191591,2533.22567606,1420.2093321,1.01114,637.205025068,0.70510186856,13.9902,28.7433,27.5518,13.9999676454,0.0,0.869791,634.335902747,13.9866096308,565.527519925,13.9786,565.527519925
568.23316618,36,36,-16.2631,146.343104747,1280.03771946,824.394939415,1.12587,612.699138333,0.733501812921,15.1528,29.1843,27.8974,15.1630350062,0.0,0.834512,187.06214911,15.1532169812,568.23316618,15.1449,568.23316618
849.443680367,37,37,-17.3571,126.229025006,1707.6478588,864.020521394,1.20649,533.016316958,0.746605957765,16.2205,29.6405,28.2507,16.2309161737,0.0,0.86519,322.562031017,16.2229586509,849.443680367,16.2143,849.443680367
561.781952133,38,38,-18.3595,148.820768013,1512.61651584,814.640957765,1.24534,497.856444849,0.757499164162,17.2132,30.0755,28.5738,17.2223290408,0.0,0.887818,303.069229264,17.2170394649,561.781952133,17.2093,561.781952133
592.30047405,39,39,-19.3883,179.431283514,2153.2393181,2063.05209333,1.37154,2008.18429198,0.782408548328,18.2246,30.5148,28.8645,18.2342581384,0.0,0.847256,41.411920204,18.2307153637,592.30047405,18.2224,592.30047405
574.026245594,40,40,-20.8035,149.118797719,2408.89718561,1333.45289158,1.45458,424.068157051,0.804435232892,19.6088,30.9274,29.1771,19.6190102397,0.0,0.86812,813.815174003,19.6164062751,574.026245594,19.607,574.026245594
1646.54815158,41,41,-22.2793,199.852989656,2362.54003154,1615.34586562,1.6574,1052.32866748,0.832652998891,21.0647,31.3384,29.4622,21.0745723782,0.0,0.860961,452.908916666,21.0734018514,1646.54815158,21.0644,1646.54815158
730.153072037,42,42,-23.5228,163.387363707,2328.07958352,1307.3051007,1.89186,478.312500116,0.85858060103,22.2735,31.7345,29.7461,22.2834157709,0.0,0.879631,596.214872567,22.2822023849,730.153072037,22.2733,730.153072037
640.122886969,43,43,-25.0518,143.550765186,1445.52538851,1034.74361485,1.74315,680.939082383,0.868133703658,23.7607,32.0607,30.0392,23.7704538512,0.0,0.858589,264.85215846,23.7697261137,640.122886969,23.7607,640.122886969
1320.97756291,44,44,-26.7168,167.029904025,1549.40068636,1077.88441339,1.98632,577.914724721,0.898031234277,25.3935,32.4176,30.311,25.4038770986,0.0,0.873525,314.989261058,25.4029759972,1320.97756291,25.3934,1320.97756291
917.289139778,45,45,-27.8542,193.408109428,2334.46196419,2065.70615838,2.14619,1336.02581161,0.933442513941,26.5456,32.8111,30.6466,26.5562892425,0.0,0.861466,293.702487344,26.5552981418,917.289139778,26.5456,917.289139778
631.26604624,46,46,-29.4273,157.446842727,1322.48946789,985.375942369,1.99954,581.724055348,0.918408882359,28.0764,33.1669,30.9753,28.087677444,0.0,0.835035,197.118811819,28.0867892856,631.26604624,28.0764,631.26604624
1615.53049858,47,47,-31.2686,203.923060789,2859.90694115,2318.33638085,2.4101,761.793656133,0.960385366811,29.887,33.5642,31.3242,29.8969614373,0.0,0.880693,655.606606612,29.8963322941,1615.53049858,29.887,1615.53049858
1537.14637255,48,48,-32.7858,167.728154357,2639.27164642,1552.91574106,2.544,386.626079523,0.978459950147,31.4319,34.0027,31.646,31.444625896,0.0,0.86608,852.540411103,31.443960594,1537.14637255,31.4319,1537.14637255
904.266020116,49,49,-34.3384,237.201565123,2913.40377524,1764.62342526,2.69065,238.510126365,0.993869311938,32.9657,34.3694,31.9204,32.9760410104,0.0,0.855161,797.783420652,32.9753398271,904.266020116,32.9657,904.266020116
1442.19026274,50,50,-36.1424,183.434859192,1954.94897506,1083.26900174,2.87692,803.677908118,1.02332973574,34.7626,34.7801,32.2078,34.7720213136,0.0,0.827537,337.282053223,34.7710207655,1442.19026274,34.7626,1442.19026274
1999.9044823,51,51,-38.2921,235.772620215,3096.48348653,2153.81841773,3.00339,877.04946063,1.05087496911,36.9038,35.1519,32.4859,36.9160425776,0.0,0.847205,784.063635344,36.9152981189,1999.9044823,36.9038,1999.9044823
