AverageEsReturn,Iteration,Epoch,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,AverageReturn,AverageQLoss,MinReturn,AverageAbsQYDiff,AverageAbsQ,QFunRegParamNorm,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageAction,StdReturn,AverageY,MinEsReturn,AverageQ,MaxEsReturn
1996.27023877,52,52,-40.1317,188.01696681,2940.73917511,1515.32643096,3.72883,616.925773538,1.1141764419,38.7455,35.5158,32.7752,38.755963219,0.0,0.843687,813.577808572,38.755266642,1996.27023877,38.7455,1996.27023877
859.239306708,53,53,-41.45,212.674225603,2359.28623028,1317.12940229,4.00673,926.669884906,1.12138503517,40.0176,35.9521,33.0556,40.0307049453,0.0,0.846156,501.13233601,40.0298871859,859.239306708,40.0176,859.239306708
698.095949208,54,54,-43.1342,240.610558234,3284.23347676,2275.8366334,4.14437,915.230328653,1.13918054734,41.7027,36.3692,33.3929,41.7138154166,0.0,0.855064,833.964590875,41.7131394314,698.095949208,41.7027,698.095949208
1630.23895623,55,55,-44.4988,208.681763974,2729.82104391,1624.47507237,3.98159,825.144258103,1.13455300178,43.0472,36.7395,33.6745,43.0580211277,0.0,0.839252,640.187877308,43.0575299172,1630.23895623,43.0472,1630.23895623
733.828593859,56,56,-46.1235,193.532502279,2283.52407874,1128.32053437,4.00967,776.330757508,1.16646958677,44.6435,37.1456,33.9947,44.6538976327,0.0,0.838585,427.405848917,44.6532349196,733.828593859,44.6435,733.828593859
2207.80118494,57,57,-48.2348,276.895516103,3352.67232038,2648.17334787,4.25149,1113.10830736,1.19130474063,46.771,37.5338,34.332,46.7824069302,0.0,0.871593,733.2594395,46.7817846256,2207.80118494,46.771,2207.80118494
1492.49416456,58,58,-49.956,277.232884801,3307.15921728,2215.03502702,4.3438,1246.12946523,1.20406097642,48.4911,37.8972,34.6319,48.5008705696,0.0,0.848905,758.93757114,48.4999606734,1492.49416456,48.4911,1492.49416456
658.51782227,59,59,-51.1071,270.000481895,3610.69551327,2809.3295912,4.59998,1204.50239933,1.21828604126,49.6165,38.3333,34.9315,49.6293033186,0.0,0.862821,929.215673985,49.6285944697,658.51782227,49.6165,658.51782227
1021.64089032,60,60,-52.6239,191.616163365,1266.36575871,1051.37050242,5.38854,893.131680891,1.2557288027,51.1525,38.7341,35.2111,51.1635227141,0.0,0.868345,133.639832105,51.1627298485,1021.64089032,51.1525,1021.64089032
1498.86045546,61,61,-54.0157,278.960937296,3272.93209157,3207.92613676,5.87891,3156.4361963,1.29042730246,52.534,39.22,35.4751,52.5483198156,0.0,0.901781,36.0062191848,52.5476587625,1498.86045546,52.534,1498.86045546
605.63555824,62,62,-55.8756,270.753476543,2795.17485367,1617.33147121,5.30211,304.234053877,1.28413393058,54.3702,39.6503,35.7162,54.3813837675,0.0,0.842226,673.585880375,54.3807190124,605.63555824,54.3702,605.63555824
2491.66142835,63,63,-57.7711,274.93365443,3252.77820205,3026.87290642,5.85781,1867.77459702,1.31700055259,56.2416,40.1249,35.9334,56.2535327946,0.0,0.904374,393.553419645,56.2528790357,2491.66142835,56.2416,2491.66142835
773.020545733,64,64,-59.4317,262.110419871,3857.20963101,2644.16299779,6.41573,765.243839689,1.34484935944,57.891,40.6021,36.2705,57.9036237495,0.0,0.884643,1178.2552739,57.9031221684,773.020545733,57.891,773.020545733
2068.76773833,65,65,-61.1507,255.55944064,3432.26069856,3081.77198618,6.06897,695.52357593,1.33836959774,59.5799,41.0108,36.4978,59.5914155663,0.0,0.893931,797.717873289,59.5907655673,2068.76773833,59.5799,2068.76773833
692.061010177,66,66,-62.8945,281.322198519,3749.28584835,3324.07732413,7.30088,937.83520794,1.40522496699,61.3215,41.5433,36.7644,61.3341352715,0.0,0.882443,840.970066433,61.3333628942,692.061010177,61.3215,692.061010177
1565.45935146,67,67,-64.6632,274.369935658,3310.31059097,3261.52867903,6.74848,3151.61443886,1.39258526293,63.0648,41.9467,36.9947,63.0761257094,0.0,0.902903,49.0428310395,63.0754900999,1565.45935146,63.0648,1565.45935146
2350.7220289,68,68,-66.8038,283.916408093,3887.80212272,1774.05974998,6.97759,986.703716631,1.41525141648,65.2021,42.3393,37.304,65.215357496,0.0,0.851295,845.163946851,65.2146545438,2350.7220289,65.2021,2350.7220289
873.709835827,69,69,-68.6115,305.461054337,4214.48616525,2864.41120137,7.08674,579.721647517,1.41459882231,66.9924,42.7029,37.547,67.0060786467,0.0,0.836061,1311.50101707,67.0055352228,873.709835827,66.9924,873.709835827
2526.71571532,70,70,-70.1364,291.406400408,3936.01212474,3493.83759419,7.88521,1189.3339666,1.452853661,68.5314,43.17,37.8181,68.5452769719,0.0,0.870415,793.303344722,68.5444992849,2526.71571532,68.5314,2526.71571532
793.516185225,71,71,-72.1134,280.956130543,3262.65472249,1950.65120816,7.58043,1151.83166307,1.46818988742,70.4977,43.6754,38.073,70.5083605575,0.0,0.861014,694.821269224,70.5077382371,793.516185225,70.4977,793.516185225
1637.18181031,72,72,-73.2989,303.027042278,3727.5771175,3601.08674417,9.65834,3520.02611766,1.543403545,71.6763,44.1346,38.3632,71.6917053157,0.0,0.885901,67.8630768013,71.6911026227,1637.18181031,71.6763,1637.18181031
739.06980033,73,73,-74.7404,213.711825102,1786.42773518,1262.65851967,7.41994,1039.62460666,1.46963776349,73.1379,44.5583,38.6666,73.1495919649,0.0,0.85129,230.599013352,73.1488278996,739.06980033,73.1379,739.06980033
2648.093134,74,74,-77.6846,271.084597082,3636.3580202,3307.16262051,8.21918,1402.8869013,1.530362094,76.0393,44.9447,38.9186,76.0523916322,0.0,0.902181,639.855987341,76.0521029951,2648.093134,76.0393,2648.093134
2705.97110907,75,75,-80.0766,314.330189353,3902.1505755,3857.13953121,10.8912,3799.19720585,1.60754411151,78.4365,45.3824,39.1616,78.4537167838,0.0,0.9241,27.6894378764,78.453273556,2705.97110907,78.4365,2705.97110907
2704.76969852,76,76,-82.4012,297.935996879,3705.0984577,3579.10432233,9.8504,3418.31776319,1.57736949722,80.7175,45.812,39.4465,80.7284408725,0.0,0.930087,82.1269912222,80.7280134379,2704.76969852,80.7175,2704.76969852
2570.61373321,77,77,-84.5084,324.015124327,4378.75740831,3742.90901672,11.3587,1011.33751935,1.64024909759,82.8268,46.2221,39.7099,82.8429804398,0.0,0.895338,1097.58148534,82.8422073204,2570.61373321,82.8268,2570.61373321
1304.3797094,78,78,-86.1884,284.951081851,4266.13099911,3343.35090914,13.588,930.856931354,1.70053909292,84.4854,46.653,39.9789,84.5039396962,0.0,0.894452,1286.46439638,84.503180124,1304.3797094,84.4854,1304.3797094
1305.81362197,79,79,-88.2545,336.578113671,4091.61935816,4021.07083855,10.7506,3919.12224549,1.6579458325,86.5468,47.0361,40.2854,86.55817388,0.0,0.917776,54.8873253255,86.5575669071,1305.81362197,86.5468,1305.81362197
2649.04652948,80,80,-90.509,174.215399348,4122.03424482,1561.91484091,12.2826,675.186955189,1.69988994061,88.7604,47.4822,40.5321,88.7739359853,0.0,0.882566,1141.30090087,88.7733192794,2649.04652948,88.7604,2649.04652948
2608.53200512,81,81,-92.7253,297.062030045,4231.23901403,3503.01443799,12.649,1052.16981045,1.71404885065,90.9514,47.8869,40.8726,90.9669254782,0.0,0.920153,1114.34217262,90.9662414931,2608.53200512,90.9514,2608.53200512
2644.16058502,82,82,-94.9509,352.157560054,4303.21362178,4182.53365394,11.38,4076.77539241,1.69977104733,93.1781,48.3333,41.1143,93.1916191321,0.0,0.913982,68.8311402612,93.1909466788,2644.16058502,93.1781,2644.16058502
2622.04313403,83,83,-97.6072,295.081288296,3832.61156298,3441.61580754,13.0738,1116.44096364,1.73646545544,95.8122,48.7797,41.4223,95.8261337337,0.0,0.905753,779.956888992,95.8258095839,2622.04313403,95.8122,2622.04313403
3048.64764517,84,84,-100.377,334.430344377,4340.4160066,4238.63510883,11.1462,4085.02960412,1.70522160667,98.5889,49.1618,41.6909,98.6009966618,0.0,0.917981,89.34238608,98.6003774394,3048.64764517,98.5889,3048.64764517
2837.62884455,85,85,-102.128,293.380256336,4429.62068563,2009.38584992,16.2602,36.1010337302,1.85187410148,100.32,49.63,41.9833,100.336510312,0.0,0.891046,1362.21399843,100.335995179,2837.62884455,100.32,2837.62884455
1061.05163334,86,86,-104.473,320.106063579,4345.55514403,3378.2822065,15.1278,1662.08587733,1.80075268041,102.64,50.0414,42.2537,102.652125714,0.0,0.903588,891.728033005,102.65169801,1061.05163334,102.64,1061.05163334
2833.97728653,87,87,-107.284,303.604770219,3907.98524474,3761.20703065,15.1354,3656.06879771,1.86768223756,105.443,50.4827,42.4821,105.459642586,0.0,0.933917,72.7167352533,105.458885662,2833.97728653,105.443,2833.97728653
2593.2210043,88,88,-108.835,310.84999817,4768.22922946,2406.26524308,19.309,893.664645118,1.94257207367,106.912,50.8689,42.7596,106.926479713,0.0,0.901094,1205.60513986,106.9259698,2593.2210043,106.912,2593.2210043
908.284152361,89,89,-110.109,226.591142078,4443.89748968,1970.17998253,17.7392,505.982998194,1.90812187469,108.264,51.2172,42.9776,108.278545565,0.0,0.892326,1260.37849368,108.278104594,908.284152361,108.264,908.284152361
762.578807992,90,90,-112.016,317.817704306,3878.90476374,3766.7462077,15.8301,3607.19704716,1.88499580812,110.159,51.7101,43.1832,110.175293183,0.0,0.940353,76.3521416257,110.174743597,762.578807992,110.159,762.578807992
2953.10634663,91,91,-114.347,248.918747125,2972.68223057,1541.57465765,18.2044,1092.7117884,1.95577020671,112.524,52.1292,43.4136,112.538547813,0.0,0.887005,542.069442629,112.537977909,2953.10634663,112.524,2953.10634663
2759.48378679,92,92,-116.474,326.837836693,4337.61140828,3857.4449333,22.7314,1820.95871711,2.00662183972,114.607,52.5016,43.6419,114.623678511,0.0,0.920625,707.039952853,114.623035636,2759.48378679,114.607,2759.48378679
1210.69413703,93,93,-118.33,343.814152282,4453.23513208,4329.79340468,24.232,4019.46646531,2.05415026789,116.401,52.911,43.8311,116.418197573,0.0,0.909749,132.566228695,116.417749574,1210.69413703,116.401,1210.69413703
2720.14333596,94,94,-121.222,264.65234764,4228.87321963,2469.6157854,22.0019,897.855037079,2.03164303471,119.299,53.235,44.0605,119.315640813,0.0,0.892091,1205.99378474,119.315146512,2720.14333596,119.299,2720.14333596
2791.56652492,95,95,-122.971,327.861364592,4455.17186468,4081.82119252,20.452,2080.94370764,2.02427984084,121.054,53.6038,44.3072,121.070431154,0.0,0.911265,676.040769363,121.069969454,2791.56652492,121.054,2791.56652492
2922.54759936,96,96,-126.014,344.604717974,4512.98540307,4337.56278505,23.359,4180.77259467,2.07181711409,124.079,53.9561,44.5467,124.095308233,0.0,0.913733,92.4400959874,124.094815345,2922.54759936,124.079,2922.54759936
1761.62813454,97,97,-127.324,354.892869863,4733.85054569,4586.36298758,21.211,4381.30685901,2.10033536882,125.375,54.3791,44.7566,125.395379649,0.0,0.914823,100.666029756,125.394917024,1761.62813454,125.375,1761.62813454
3022.78040366,98,98,-130.059,305.297999197,4001.22937537,3173.29470109,22.3009,1987.80394567,2.08085630556,128.137,54.6831,45.0441,128.152122004,0.0,0.917117,658.19142481,128.151594169,3022.78040366,128.137,3022.78040366
2701.31870577,99,99,-132.88,319.317372089,4275.41007484,3802.71297525,27.3324,2486.64416019,2.16521456037,130.911,55.0955,45.2152,130.926163837,0.0,0.927175,500.092570262,130.92570757,2701.31870577,130.911,2701.31870577
2949.38462789,100,100,-135.176,316.82190779,3851.15419207,3748.7178778,25.5447,3662.30093751,2.14404792559,133.177,55.4831,45.452,133.193639616,0.0,0.93614,62.8351954063,133.193128467,2949.38462789,133.177,2949.38462789
2836.98375237,101,101,-137.453,316.880078584,4150.38408796,4016.78690781,27.7676,3857.01540993,2.21308450504,135.456,55.7792,45.7237,135.472536133,0.0,0.939996,88.4347198957,135.471980211,2836.98375237,135.456,2836.98375237
2620.96571221,102,102,-140.031,358.992908862,4601.78084258,4425.6716161,25.3306,4095.88039725,2.14276624967,137.999,55.9961,45.9487,138.01915455,0.0,0.926284,128.750583414,138.018675694,2620.96571221,137.999,2620.96571221
2946.21765808,103,103,-142.393,338.832252018,4568.00818296,3903.35929834,24.6531,1765.32442679,2.13118145201,140.361,56.3375,46.118,140.377774395,0.0,0.915725,948.321243333,140.37740726,2946.21765808,140.361,2946.21765808
2817.55215955,104,104,-145.009,304.574298953,4390.31354938,3654.54241152,21.6522,2157.22309119,2.1282160521,143.004,56.6799,46.3337,143.016993044,0.0,0.909496,709.812250349,143.016470532,2817.55215955,143.004,2817.55215955
2936.32661166,105,105,-147.307,265.192360625,3826.78777467,3035.42430275,25.2287,1255.74108839,2.20149633862,145.281,56.9925,46.4596,145.298366997,0.0,0.908259,797.932059277,145.297921546,2936.32661166,145.281,2936.32661166
2424.68136949,106,106,-149.957,296.581696015,4385.22728384,3703.02351017,29.83,3101.12510081,2.26629206042,147.94,57.3683,46.6397,147.956048385,0.0,0.921574,408.80637106,147.955511725,2424.68136949,147.94,2424.68136949
2668.72979812,107,107,-151.99,335.586172927,4183.59977127,4044.17457732,28.087,3935.56129207,2.22289804793,150.027,57.7457,46.8013,150.045011384,0.0,0.934172,83.0626523424,150.044360048,2668.72979812,150.027,2668.72979812
2667.52876519,108,108,-154.674,317.274123062,3979.31984543,3877.64348606,37.1533,3660.23664832,2.4129106393,152.632,58.161,47.0453,152.646688728,0.0,0.945955,88.6672894186,152.646083209,2667.52876519,152.632,2667.52876519
2688.3684218,109,109,-156.454,348.558328268,4294.91245338,3886.84202739,27.0198,2080.97713001,2.24669143903,154.4,58.4335,47.2665,154.422376823,0.0,0.910453,625.48298712,154.42186081,2688.3684218,154.4,2688.3684218
2831.74366647,110,110,-159.672,335.497378803,4201.13394064,4018.49791511,30.0695,3794.40647098,2.33225335768,157.65,58.7585,47.4579,157.664894287,0.0,0.919942,103.158840184,157.664321983,2831.74366647,157.65,2831.74366647
2644.07300557,111,111,-161.895,331.035394564,4243.91499217,3699.90374741,29.7687,3071.44197153,2.35514981313,159.809,59.1392,47.7005,159.830765438,0.0,0.918417,310.897894144,159.830240616,2644.07300557,159.809,2644.07300557
2975.97648542,112,112,-163.564,317.563857316,4024.52013597,3911.82933426,34.7613,3765.40540345,2.35744545304,161.503,59.4249,47.8312,161.520029137,0.0,0.908068,84.5564271656,161.519623267,2975.97648542,161.503,2975.97648542
2754.44753455,113,113,-166.2,326.281448384,4146.73590872,3757.73831249,41.2369,2247.71726458,2.41694080972,164.087,59.7876,47.9903,164.10445636,0.0,0.926435,519.585335953,164.104144794,2754.44753455,164.087,2754.44753455
2749.45379151,114,114,-168.859,325.141297827,4488.47944902,3997.40882745,37.83,1052.19239312,2.37740389814,166.704,60.1278,48.2491,166.720293845,0.0,0.925821,986.398716876,166.719931166,2749.45379151,166.704,2749.45379151
2777.42518013,115,115,-171.343,321.728030531,4008.65662781,3817.51776585,35.3539,3705.00211043,2.35567233114,169.24,60.3563,48.4092,169.256476544,0.0,0.903347,87.4980921614,169.256023227,2777.42518013,169.24,2777.42518013
2641.67439015,116,116,-173.852,350.699043076,4341.59759721,4141.29547566,32.683,3849.88926181,2.36274997329,171.678,60.6026,48.5337,171.696162066,0.0,0.930035,148.113614597,171.695845601,2641.67439015,171.678,2641.67439015
2949.96153106,117,117,-175.953,355.205948919,4633.9317729,4129.70795959,44.0077,1823.38312277,2.4968281734,173.805,60.9457,48.7561,173.819858007,0.0,0.935465,778.757042215,173.819409374,2949.96153106,173.805,2949.96153106
2874.31234815,118,118,-178.073,294.408261645,4175.13694518,2496.73114759,36.6148,843.57773167,2.35911487297,175.896,61.1839,48.939,175.914090894,0.0,0.916806,1244.37325969,175.913743667,2874.31234815,175.896,2874.31234815
2917.77592054,119,119,-180.332,296.87751816,4266.17146181,2442.67233935,51.0598,453.222369306,2.59978213931,178.025,61.6036,49.101,178.050710009,0.0,0.922342,1290.98634807,178.050358549,2917.77592054,178.025,2917.77592054
2720.45957715,120,120,-182.937,292.028922047,3848.42394861,2963.61009827,52.3409,537.451166109,2.56189779986,180.676,61.9695,49.3244,180.686429392,0.0,0.929999,1106.89985209,180.686036227,2720.45957715,180.676,2720.45957715
2475.33010272,121,121,-185.014,306.299386034,4006.5679045,2802.79709576,41.586,990.198519168,2.47552254846,182.769,62.2615,49.5171,182.791642069,0.0,0.925161,1041.94723929,182.79124946,2475.33010272,182.769,2475.33010272
2831.3557213,122,122,-188.004,310.849490596,4294.15601165,3091.57442522,39.5299,799.302870191,2.46367140129,185.683,62.568,49.7605,185.698979013,0.0,0.909963,1095.73233239,185.69842648,2831.3557213,185.683,2831.3557213
2843.41562178,123,123,-188.857,302.392685616,3864.81886942,3256.65868443,54.5032,562.830075926,2.6485613217,186.629,62.955,49.9717,186.6471404,0.0,0.911325,957.062204461,186.646811345,2843.41562178,186.629,2843.41562178
2647.84335324,124,124,-191.593,298.055464768,4265.463136,3661.53884973,42.4444,1644.63070609,2.51896072896,189.304,63.259,50.1055,189.319252904,0.0,0.943727,701.422224129,189.31879859,2647.84335324,189.304,2647.84335324
2865.59216483,125,125,-194.91,298.500266666,3898.63716639,3533.67338852,43.8398,2572.60311557,2.56571606401,192.644,63.5464,50.3106,192.665469573,0.0,0.924118,401.446286511,192.66514203,2865.59216483,192.644,2865.59216483
3035.48563584,126,126,-197.036,342.024539976,4204.41125912,3868.77603945,53.0978,1989.66270516,2.63620758802,194.782,63.9134,50.5248,194.801978126,0.0,0.920919,630.877543764,194.801616425,3035.48563584,194.782,3035.48563584
