Iteration,Epoch,MinEsReturn,MaxReturn,StdReturn,MinReturn,AverageAbsQYDiff,MaxEsReturn,AverageReturn,AverageY,PolicyRegParamNorm,AverageEsReturn,AverageAbsQ,QFunRegParamNorm,AverageDiscountedReturn,StdEsReturn,AverageQ,AverageQLoss,AverageAbsY,AveragePolicySurr,AverageAction
9,9,1.55099839931,12.7090938779,0.249000654349,11.4896240657,2.21074031961,209.023933149,12.1389949933,1.42012187889,11.1821,14.5930243695,0.792851,11.1657,11.3988517061,17.9736790116,-0.790618,5.83614,1.42502622693,0.529433,0.0396464
10,10,-1.1755939546,0.570515013913,0.114038321207,0.00050041559864,0.132158919245,20.5169033538,0.27926175265,1.1871174716,12.3807,2.78795334491,1.19047,11.4062,0.428911815628,3.38777322425,1.17474,0.0689475,1.21361282141,-1.2445,0.950656
11,11,-1.11352555362,40.3419223301,0.881922110097,36.5086704395,0.0949868968202,50.1537449679,38.5164446829,1.51710893367,13.9903,19.1840619997,1.56865,11.7817,34.251436397,18.741278406,1.51587,0.027688,1.57199138757,-1.62,0.991353
12,12,4.0904483877,92.9145645938,4.71886066458,69.5660295895,0.139550548943,114.20949572,81.5604205171,2.21402590683,14.6002,57.2412687183,2.31899,12.6143,64.8874857405,23.9523485778,2.21246,0.0700172,2.32203005106,-2.4324,0.95502
13,13,15.1347340457,58.9231942275,0.989024855099,51.7918606828,0.186063850025,193.148712514,56.9823444424,3.19191813615,14.9033,77.7099197865,3.3271,13.8638,48.3798954322,31.6193702653,3.19042,0.142796,3.33086602806,-3.53031,0.947945
14,14,26.2990539133,177.152049055,5.38597994362,156.484737834,0.219671974207,151.065485088,170.040370583,4.3900128698,14.9034,93.4671892517,4.52509,15.261,110.793936568,31.5083386961,4.38836,0.217483,4.52840590151,-4.85624,0.680198
15,15,44.2930408341,172.801071002,1.94835851457,163.944809123,0.270962510962,180.286213944,170.02169304,5.74928942313,15.8054,126.024901482,5.87161,16.8739,110.586088739,49.1880082905,5.74724,0.372583,5.87416374469,-6.32447,0.723421
16,16,4.53081481341,174.889728386,1.90711239175,166.237695572,0.314763891718,195.329827261,171.157520333,7.20266145532,16.8309,128.086944233,7.30755,18.3458,111.093465398,59.2926864922,7.20054,0.525627,7.30981572866,-7.88184,0.721676
17,17,13.6528168268,174.555406619,1.62916197634,166.388772499,0.370385562982,189.925150019,171.638057659,8.78915163677,17.8478,124.541709666,8.87508,19.7705,111.333372568,61.7567009071,8.78597,0.755555,8.87726857898,-9.5658,0.727677
18,18,40.5412853944,174.663662132,1.23496980169,169.355466419,0.41923665617,205.458150064,171.471848512,10.432180288,18.6548,147.66243586,10.5058,21.2845,111.481481165,52.6919046794,10.4286,1.02133,10.5076874969,-11.3209,0.739998
19,19,6.97137515874,179.030135132,1.71069233145,170.930765846,0.478141769369,206.381262404,174.305974267,12.1948166664,19.6126,163.700187348,12.2577,22.8737,112.670886999,48.5710484721,12.1917,1.2515,12.2597252218,-13.1946,0.697046
20,20,71.0544975391,181.774150754,2.90930748033,170.576702285,0.525683370088,186.896918982,176.919576433,14.1066326042,20.4923,151.239603213,14.1555,24.3679,113.641324837,39.3377682488,14.1031,1.44937,14.1566259365,-15.1914,0.683636
21,21,98.6580891555,171.818607798,3.78835559393,155.513248821,0.588624108396,192.026466593,164.789982179,15.9723471397,21.255,163.400526919,16.0105,25.8383,108.394926031,24.6568487267,15.9678,1.82465,16.0120626346,-17.1613,0.743958
22,22,7.62920316541,174.949825414,1.95635093904,162.709930496,0.638924273607,180.154290498,171.253146647,17.9077740465,21.9832,141.145373586,17.9379,27.2402,111.05957112,52.1984402477,17.903,2.05042,17.9385326093,-19.1516,0.78204
