Iteration,Epoch,MinEsReturn,MaxReturn,StdReturn,MinReturn,AverageAbsQYDiff,MaxEsReturn,AverageReturn,AverageY,PolicyRegParamNorm,AverageEsReturn,AverageAbsQ,QFunRegParamNorm,AverageDiscountedReturn,StdEsReturn,AverageQ,AverageQLoss,AverageAbsY,AveragePolicySurr,AverageAction
23,23,5.33197252666,176.927432766,3.13614410972,162.242099828,0.656206488611,207.142046177,171.67702009,19.8893427064,22.6403,143.23704409,19.9141,28.4572,111.392503019,58.1343447404,19.8827,2.1868,19.9163181457,-21.2046,0.780494
24,24,76.6545823899,188.642086807,4.80503831634,167.954640802,0.701776054512,213.362856159,177.277062557,21.8635744995,23.2703,160.865173192,21.8878,29.7945,113.805839569,37.4033126008,21.8581,2.23839,21.8862781428,-23.2539,0.722362
25,25,85.8458889092,241.429259866,27.7839779163,141.77563771,0.772754228155,228.886434404,164.546956449,23.92730494,23.7693,173.646668991,23.9476,31.0112,107.830831239,42.6755902375,23.9208,2.86174,23.9471212868,-25.5256,0.603078
26,26,55.5555933831,317.519465497,40.0585454424,117.858670711,0.825591936203,337.693595453,133.355018999,26.0856366909,24.3492,166.276287362,26.1043,32.1657,91.9313124407,77.4292587879,26.0791,3.32582,26.1030617851,-27.8787,0.672131
27,27,8.26972924607,403.599268257,79.3873832172,132.501982927,0.912973651008,299.804820878,277.134744125,28.4289377281,24.9331,171.875099282,28.4464,33.183,143.901935254,76.3975072905,28.4202,4.11769,28.4455136607,-30.3043,0.652263
28,28,7.47577163513,415.989834258,64.0557598158,152.8041242,0.980896120482,341.799281427,275.377304428,30.8057503897,25.4728,179.313135668,30.8277,34.2508,141.853765562,100.290377665,30.7978,4.69475,30.8224650624,-32.7406,0.583929
29,29,26.4343982421,240.264417956,9.2085934363,188.553108892,1.07503336475,346.844439964,214.843532661,33.2760576846,25.8893,224.49445065,33.2974,35.2359,124.932737443,103.643063531,33.2659,5.35976,33.2913568578,-35.306,0.542579
30,30,107.612100007,446.351285309,53.6177117094,257.458253028,1.13541765309,418.895458066,346.960400849,35.7270609614,26.3561,231.646186954,35.7523,36.1742,159.249647555,100.534505118,35.7181,6.21624,35.7439337323,-37.8278,0.553973
31,31,139.239122817,554.459074108,42.5069849235,370.553392524,1.19125218814,361.322853707,408.040107098,38.1395669859,26.7898,242.087676251,38.1657,37.1959,176.336413569,69.489701844,38.1304,7.03005,38.1553292087,-40.2821,0.613113
32,32,7.0266699511,308.573802818,31.5735408699,166.18878106,1.21661162194,332.921665154,279.315915262,40.6407832002,27.2707,231.155732416,40.6688,38.066,145.07935223,82.9221387969,40.6338,7.46661,40.6568926068,-42.7925,0.486187
33,33,98.7929088924,299.774729166,20.3885104448,225.223736165,1.28863557332,261.373466071,246.227913589,42.9763528104,27.7077,187.087700806,43.0092,38.916,135.011855535,50.4065657662,42.9656,7.81211,42.9955912839,-45.2207,0.572805
34,34,85.3870132536,225.453468812,21.6600834896,149.484312701,1.39743481742,287.864158389,179.317312922,45.3098707473,28.1095,200.818580337,45.3524,39.8693,112.878374884,66.8380241731,45.3018,9.9717,45.3326515631,-47.6084,0.605529
35,35,43.1466598274,253.121659777,11.3274129811,210.355456078,1.42346573219,329.876358572,229.542455976,47.5035054085,28.5075,186.823917461,47.5507,40.876,131.931574816,81.9976533476,47.4928,10.0831,47.5355225098,-49.8546,0.559762
36,36,9.42594098604,267.583051367,14.4903529865,142.97031318,1.46822551822,366.549310611,218.908021214,49.9174018658,28.9369,223.9217672,49.9658,41.7007,129.31499132,121.918140741,49.9074,10.3978,49.9476750282,-52.2753,0.551503
37,37,129.296784639,214.150743133,14.7226693959,157.15259884,1.59896726229,582.443011226,183.894053782,52.1745823976,29.3556,246.493813786,52.23,42.5342,116.159368338,125.620755425,52.1654,12.4833,52.2103390884,-54.5414,0.594857
38,38,37.0759652665,364.590772245,84.7512938944,33.6214311926,1.56392026339,349.305149822,283.588515832,54.6213360851,29.7819,173.208893357,54.6676,43.3777,149.421410394,87.3581890523,54.61,12.1166,54.6498639518,-56.9841,0.622994
39,39,80.502025335,506.767228029,47.0938533676,230.63622585,1.65273904274,304.380692217,300.388358097,56.8157930742,30.2287,214.514187609,56.8661,44.1256,148.208316471,70.5847444933,56.806,12.9549,56.8455717167,-59.2066,0.531873
40,40,54.925742225,376.721072134,47.226267158,121.732569914,1.69410916458,655.351268864,243.086051399,59.1371873311,30.6111,276.761646728,59.1878,44.9632,136.999738078,181.11275371,59.1261,14.2213,59.1647369171,-61.5921,0.592053
41,41,59.5396185831,286.209472308,5.66167520095,253.933248598,1.73101876198,450.773262819,275.713868652,61.5812679494,31.0289,188.501438309,61.6362,45.7334,143.692365905,105.379766264,61.5703,14.38,61.6074010506,-64.0532,0.538954
42,42,13.8368890405,275.980764209,6.92442574392,243.374704605,1.78639250335,523.049151176,261.228189808,63.7855477787,31.3856,254.063162212,63.8467,46.6018,141.067050033,156.287181505,63.7768,16.2907,63.8133777277,-66.3556,0.53464
43,43,23.1944215072,590.869687321,81.4190967405,253.04805621,1.88211352991,501.374310871,325.218293364,66.2387053138,31.8089,182.113349867,66.2909,47.3444,159.19049415,149.864715481,66.2258,17.3364,66.259271901,-68.8531,0.570876
44,44,42.2343226806,524.951419833,48.4496073816,250.963413703,1.90614075483,465.917496244,282.154328249,68.4746249509,32.1194,236.741711622,68.5262,48.1464,145.755709005,123.516271875,68.4593,17.6676,68.4987222914,-71.0942,0.509295
45,45,88.3621020294,279.381201385,7.91383536162,244.267752882,2.0585562729,367.928740804,260.201755967,70.8074371922,32.5051,256.982261217,70.8625,49.0549,142.667277089,94.5435733404,70.8006,20.7959,70.8258924716,-73.5045,0.583573
46,46,24.7376470892,627.363372467,87.4712928655,280.211161532,2.01719077216,339.987816817,456.221787588,73.1127222995,32.8376,189.401279104,73.1576,49.8349,183.55774169,94.9074248863,73.0959,20.6311,73.1316857671,-75.8932,0.585514
47,47,77.2001677677,464.600805723,31.7694333989,243.681512061,2.07100809105,332.265680698,297.98007162,75.6749093894,33.1852,228.047073376,75.7301,50.6153,153.198551328,95.866184802,75.6694,20.8006,75.6925288785,-78.3984,0.615703
48,48,37.0617914025,528.684110116,79.2572635138,265.91631759,2.24451912941,376.603711549,373.428711536,77.5294766045,33.5021,218.550205057,77.5824,51.4645,168.559074369,105.247268029,77.5114,25.0331,77.5469819675,-80.3619,0.600296
49,49,5.03332300963,382.499243147,8.84607192058,324.132695726,2.1754245164,493.30689274,367.158213959,79.9277500323,33.8101,296.17423874,79.9802,52.2752,179.660241517,172.398642435,79.9154,23.0429,79.945495238,-82.7251,0.724005
50,50,17.6989933847,265.778146071,7.134690096,229.183311117,2.29845321592,440.81289702,244.089696155,82.1731915668,34.0795,200.469136519,82.2336,53.1112,138.765208777,128.350384911,82.1642,25.7909,82.190169622,-84.96,0.658982
51,51,4.15550138533,404.925674252,14.8153374698,270.377710275,2.27949762571,473.399138783,379.40698997,84.3869672297,34.4308,212.874143684,84.4459,53.8873,183.202650777,157.627112706,84.3749,25.1749,84.4009940218,-87.1591,0.761582
52,52,23.0590753601,596.65884238,95.8104289786,257.781283983,2.39749085091,352.40335679,394.070367324,86.7693109443,34.7707,157.958013348,86.8339,54.5157,179.643982894,104.023989281,86.7567,27.9669,86.7853478198,-89.6188,0.650388
53,53,16.3088863991,402.504053747,5.40775342752,374.799303321,2.39412631907,346.06485922,381.669692584,88.7595660679,35.0895,157.775306677,88.8197,55.2418,183.492622308,119.29366908,88.7455,27.4165,88.7751431685,-91.5827,0.715379
54,54,44.431401058,390.887279297,3.86071496393,369.764807923,2.48627319345,366.823184896,378.760402171,91.015301709,35.3194,181.028605585,91.0798,56.0436,182.410249259,111.025896128,91.0034,29.9223,91.0319035406,-93.8764,0.739052
55,55,8.34823427918,358.075797554,22.6313382193,230.120825197,2.53687427939,450.572415021,329.655669203,93.2280368475,35.5668,201.456409876,93.2817,56.7942,167.511356726,150.183667497,93.2109,31.2437,93.2418748351,-96.0931,0.699608
56,56,9.12890917183,428.442070888,31.2323525626,257.391874807,2.58857424441,354.262681269,352.014684139,95.5157108107,35.8498,154.43127765,95.5743,57.5028,173.065736271,118.701939921,95.5011,33.0226,95.5296509961,-98.4431,0.712528
57,57,27.7304646087,418.891579785,7.98630290933,368.265241981,2.68307987748,440.489181582,377.90616038,97.1605084762,36.2054,206.801678674,97.2222,58.1679,181.28964988,146.03194016,97.1493,36.7067,97.1734822173,-100.132,0.731835
58,58,20.3582478815,476.959071124,18.8880382394,366.019455926,2.70154145512,417.148492398,387.351179525,99.5308411842,36.4879,256.334920624,99.5809,58.8302,183.661810615,144.583607049,99.5102,35.6184,99.546359353,-102.509,0.746866
59,59,47.9469014868,394.470886247,40.0226039607,247.632040283,2.8008788795,476.982462071,329.523424028,101.883444465,36.7508,273.406951412,101.947,59.5961,167.16484018,148.923983046,101.875,40.9746,101.895337963,-104.997,0.680266
60,60,6.50300520693,482.972789421,15.0059773979,372.531028157,2.78201968559,376.112931187,385.066262392,104.295055572,36.9989,210.662585634,104.362,60.2276,184.630518029,109.319621587,104.278,36.3534,104.307486048,-107.47,0.700085
61,61,27.4773479651,458.054584929,25.1868990092,346.849280554,2.87186486889,334.636216691,400.148002518,106.337172557,37.2259,158.140112201,106.404,60.9377,185.947506286,100.924156934,106.32,38.7161,106.350793417,-109.581,0.706963
62,62,33.0356226753,444.250034575,14.5647179461,324.335899061,2.92885581191,432.186100011,383.410981143,108.596449165,37.5016,187.35265614,108.662,61.7215,184.423855286,128.807625022,108.581,41.5253,108.608776487,-111.875,0.724717
63,63,12.25231975,393.943610064,16.8675989285,319.284234275,3.00659038344,436.376399537,377.063289942,111.041605899,37.7414,148.291940203,111.117,62.418,181.814815261,115.21054932,111.028,46.1383,111.053498816,-114.266,0.681585
64,64,63.1087098351,403.248468666,13.6447090217,306.99282124,2.99636324581,442.923359771,381.457752978,112.985017546,37.993,281.319958575,113.061,63.0308,182.711884617,130.649581713,112.967,42.4914,113.003155018,-116.319,0.726079
65,65,28.5629774356,401.571842078,4.43309880465,380.53292534,3.15264136917,458.257378693,387.424112029,115.24248837,38.2238,253.399092807,115.317,63.6765,184.694962994,146.234267568,115.224,46.8834,115.257517756,-118.708,0.698636
66,66,88.4444740274,397.078949142,24.000346124,265.339540978,3.13449271582,354.08517982,367.878946064,117.711271127,38.4067,202.066858583,117.79,64.2776,179.580554666,86.3156381207,117.693,49.3885,117.727528652,-121.196,0.693734
67,67,9.33648703558,404.434191339,15.4483562631,304.515864776,3.22481568048,391.609940196,379.495615133,120.119708821,38.6427,232.259818613,120.191,64.9637,182.878258524,121.823189306,120.102,52.738,120.131698052,-123.71,0.674176
68,68,16.2635004736,386.246262155,8.66886794321,353.458661863,3.21013285147,392.952392661,372.72609871,122.317962474,38.8438,181.544972188,122.404,65.6968,184.053252749,123.553347337,122.308,49.1998,122.333840982,-125.993,0.691367
69,69,37.248424424,432.679832802,27.8261500999,277.595176864,3.25040879643,399.410299686,350.842471551,124.7150822,39.0513,205.946663376,124.781,66.2639,176.246783537,114.861455268,124.692,49.8379,124.728023072,-128.248,0.689121
70,70,31.6981354326,382.627426001,35.3413446807,250.566514183,3.25667768875,336.494518799,356.390078246,126.535059705,39.3266,237.91423012,126.628,66.8519,174.872646478,91.0826334597,126.522,51.3255,126.553937552,-130.132,0.686997
71,71,132.227452106,363.461269637,10.4858837563,318.213457449,3.40966761382,372.287584268,342.100622859,128.683735642,39.5342,271.499152584,128.774,67.4901,174.300200649,86.5168071772,128.667,53.7364,128.70007618,-132.33,0.68219
72,72,7.69319558714,348.887037291,9.0674719748,306.347255071,3.47816258198,397.961523927,332.079171295,131.121674022,39.7667,243.579066201,131.218,68.0829,167.382320062,141.716504238,131.105,61.084,131.143693733,-134.751,0.722106
73,73,99.4548128204,485.184711675,30.0121205625,326.401599196,3.41439892547,385.083301187,429.456099054,133.129429277,39.9388,202.591779338,133.208,68.6825,195.359664111,114.99242256,133.109,57.3301,133.14397229,-136.819,0.680685
74,74,67.0312281244,506.917126249,33.2334984343,376.04391354,3.48837964097,362.235405965,436.982654163,135.435870685,40.1877,280.602546609,135.541,69.2827,194.833374941,86.1239195446,135.429,63.291,135.463519825,-139.099,0.668813
75,75,28.5710716671,357.480028989,7.19907551275,321.349861811,3.57322742319,399.634009864,335.1309587,137.236370133,40.4263,204.86712014,137.328,69.8967,170.090137261,123.461588993,137.215,60.4454,137.257779568,-140.867,0.658582
76,76,11.0908188988,372.483565214,10.2913118661,324.970788129,3.53451736019,396.71181878,351.675100833,139.657620182,40.5851,249.2339863,139.792,70.5252,177.90077071,114.49264285,139.651,61.9198,139.699287763,-143.344,0.702596
77,77,8.16918068318,480.493675828,24.0197984818,354.358133202,3.63945442313,427.129693404,442.535377919,141.179356843,40.8307,165.051723395,141.292,71.0111,198.271365951,156.315223211,141.161,69.0337,141.203550327,-144.84,0.694217
78,78,12.3060298704,499.937688676,57.052574769,278.125606102,3.71387127657,401.188841616,446.029152543,143.431825966,41.0364,184.751153431,143.55,71.5794,198.363163184,125.021253844,143.414,66.7678,143.459059454,-147.153,0.681142
79,79,5.8693138682,495.904369392,35.5771427314,356.201220954,3.74967565942,440.134580795,455.472729913,145.290075914,41.2559,213.539516199,145.429,72.2294,205.833440682,138.169682982,145.273,67.4758,145.32773283,-149.012,0.68315
80,80,13.1405177831,501.596687174,29.7478261308,357.310196803,3.72396342239,376.597436361,379.530369407,147.21961913,41.5498,193.168193352,147.363,72.7183,185.397205937,129.001959323,147.207,70.6316,147.26535592,-150.99,0.715796
81,81,44.5056517891,469.404090803,45.2363717168,269.056575105,3.88209332658,476.485875145,376.270883899,149.395530775,41.7865,180.503442946,149.526,73.2777,177.975045936,118.255033206,149.381,78.5415,149.432755638,-153.193,0.706602
82,82,45.5227035004,513.688385464,46.2102087226,347.272962122,3.90508582032,394.32034426,417.828826617,150.98543414,42.014,220.225623274,151.129,73.7681,191.547593054,114.606032202,150.967,80.2746,151.029469492,-154.743,0.720741
83,83,53.5219554439,587.630241482,68.2933050304,299.079539148,3.88631600054,489.681357417,471.802257303,152.7061526,42.2321,202.906682299,152.836,74.3084,202.987389961,139.200923149,152.687,74.4877,152.751877591,-156.638,0.725864
84,84,17.283359399,552.87910468,63.9399071165,236.997232339,4.03722467491,393.136013708,408.338466793,155.257997524,42.4521,175.844775417,155.395,74.8769,188.908616952,113.86283268,155.24,85.5908,155.290514253,-159.136,0.730269
85,85,81.4296501293,492.265059725,98.1797966486,143.722610953,3.98690924519,529.699815141,241.691405662,157.287160321,42.763,268.683451177,157.414,75.4791,134.765501849,144.06332815,157.275,74.8461,157.316698224,-161.268,0.781786
86,86,93.9556798159,558.896330937,37.1035677174,399.18975061,4.06903161519,428.065954618,463.915895763,158.876058922,42.9985,217.055756828,158.999,76.0915,206.336513,127.571163183,158.853,84.1453,158.911385732,-162.805,0.750506
87,87,6.77928837427,598.350591659,47.168473755,393.755040795,4.08784239652,368.686500483,487.612188633,160.795475715,43.1656,149.116945288,160.941,76.6281,212.870050173,135.437631783,160.784,81.7591,160.838691327,-164.8,0.761788
88,88,87.0228146368,617.422981205,101.901542388,242.330201565,4.16337171455,462.551705259,461.912527933,162.955248268,43.3608,234.475893854,163.112,77.0736,199.53788053,127.257655598,162.943,89.8783,162.990362076,-166.938,0.748894
89,89,43.2671913997,596.50126904,52.4935288672,391.554669845,4.14811733157,399.253016004,480.57405196,164.656866485,43.6055,196.483842191,164.787,77.6454,209.493322668,113.936586613,164.637,81.2604,164.691631221,-168.633,0.731685
90,90,64.8298524424,494.945986673,29.9850274624,386.873921746,4.21798479348,351.882609666,425.598048054,166.53904799,43.7625,217.140227159,166.672,78.1607,194.653646179,103.299108041,166.523,87.2581,166.571109289,-170.495,0.775616
91,91,9.89197585514,636.25234082,45.1054319109,431.629663768,4.29182379944,597.552022411,508.819666776,168.366752216,43.9694,270.374517468,168.509,78.6233,215.338580389,198.522985575,168.35,87.8588,168.399093394,-172.406,0.778574
92,92,14.1896980558,576.925852934,12.3824158747,480.694533703,4.29875118788,374.455811866,505.761643911,170.164785137,44.1714,156.598831208,170.315,79.1379,215.444468163,112.3545387,170.149,91.7625,170.197187092,-174.177,0.726587
93,93,7.11886337671,625.100783493,21.0582278073,519.431989364,4.35229052567,567.659701066,569.571958203,172.064163504,44.3882,295.666185239,172.203,79.6571,221.695372512,181.703163934,172.055,92.9145,172.099123467,-176.069,0.737292
94,94,19.0025617984,755.701642774,157.796032908,140.291629244,4.4130963914,535.961396379,446.681771909,173.600025375,44.6164,250.847458189,173.756,80.2559,191.24073827,162.370113175,173.578,93.2337,173.639834208,-177.752,0.790697
95,95,56.2598393781,667.431884096,99.8141030672,219.899911164,4.50286868713,502.505986252,515.198411955,175.314405216,44.8168,223.624475939,175.485,80.8092,209.372047767,140.610315383,175.302,100.277,175.360967698,-179.504,0.773296
96,96,21.2151710062,489.863914423,23.6012837346,369.988190139,4.57018355775,363.10481221,446.400136829,177.455797454,44.9625,172.674023127,177.627,81.4001,198.02085343,106.927169451,177.44,106.702,177.496800356,-181.702,0.765551
97,97,70.2864380727,690.201682027,70.7506583205,441.66592547,4.45083440333,490.583542586,499.051872861,179.494662404,45.1494,264.730955732,179.635,81.8833,210.145776066,168.133513573,179.477,92.4684,179.533518239,-183.743,0.772174
98,98,61.9216906734,649.291279436,36.9625684536,497.544951228,4.62913719637,542.498874966,591.451040542,181.126893384,45.3088,222.108583783,181.265,82.3913,225.814142869,160.988605251,181.108,107.076,181.162904036,-185.493,0.754223
99,99,29.9447282602,704.867026254,53.6588095419,529.460351537,4.60015339824,522.233373938,663.870293493,183.68170455,45.5125,252.018786138,183.823,82.9182,232.291105186,185.625206617,183.655,100.983,183.715650479,-188.056,0.757535
100,100,13.1073147345,993.95567935,85.1594338891,550.88112877,4.65652752802,695.611646196,723.702067117,185.520518175,45.6738,286.584278055,185.666,83.3854,236.573572322,197.171865944,185.51,109.7,185.546032452,-189.971,0.746588
101,101,12.1646275949,892.024894364,88.3046631905,443.314258511,4.73421100218,527.826221524,661.727191182,187.678893142,45.8499,286.829915203,187.811,83.8239,231.556554517,203.092041982,187.66,112.777,187.704224172,-192.08,0.74762
102,102,19.2683026542,688.989981911,38.7342752527,536.16927461,4.64566465086,452.788624564,617.338874513,189.35175566,46.0168,215.799115271,189.494,84.338,225.287534386,138.586793494,189.335,107.864,189.384256295,-193.709,0.729691
103,103,19.076010438,1354.53642111,142.597786924,878.636448376,4.82940345726,533.947828329,1121.67452238,191.160474995,46.2274,233.327315259,191.29,84.8148,249.874147746,167.001914316,191.133,122.274,191.189446851,-195.63,0.749297
104,104,77.53009648,1307.1349403,97.7570894926,743.410045895,4.89822739465,678.19866386,993.161702168,193.46762674,46.4174,279.212813102,193.615,85.3761,247.54454082,210.362239933,193.449,129.509,193.504524101,-198.01,0.72261
105,105,42.3678422787,1013.46320353,103.480754113,613.671308948,4.75248742205,633.499473686,743.230977285,195.078066414,46.5715,266.780977477,195.236,85.863,240.360267032,190.274298283,195.06,117.829,195.112230011,-199.59,0.736742
106,106,11.3960805397,532.196958708,16.1466716015,422.36877061,4.86893372794,643.882871235,506.633841847,197.319961145,46.6957,208.919542816,197.487,86.3454,212.669910699,176.868228985,197.295,122.621,197.360109943,-201.826,0.735
107,107,103.900904073,487.786174372,11.8281409057,431.60141108,4.94687361466,482.192280262,451.396140301,198.750540941,46.8944,330.068019792,198.908,86.8237,199.900683575,141.587880584,198.743,128.59,198.791634114,-203.236,0.751009
108,108,37.8552283518,540.466635139,49.6836262621,281.466205006,4.96117689072,372.201784166,436.125259344,200.337921223,47.0539,181.422326012,200.501,87.3503,195.241760716,85.7672609542,200.318,133.823,200.380422663,-204.869,0.747341
109,109,52.6059126529,701.11316671,61.5395595202,283.284150926,4.89357852579,552.124262845,499.883411257,202.181547344,47.2214,232.822666407,202.336,87.7523,208.968356019,198.559776685,202.152,122.716,202.223882772,-206.695,0.748135
110,110,60.0115128295,500.014184713,24.8406369706,349.00586635,5.05929055961,488.93376377,469.518809792,203.733964048,47.3875,261.894843753,203.902,88.3478,204.111418468,140.232312032,203.722,135.458,203.771933759,-208.328,0.736423
111,111,9.24953660672,542.050271437,75.1390855172,298.027766666,4.99021412107,594.579206137,431.22137007,205.783185292,47.5936,267.548757954,205.967,88.8253,193.162439063,193.688634506,205.76,132.794,205.835632033,-210.379,0.747557
112,112,44.583692038,507.754674393,65.3797156038,272.445312005,5.12629684349,452.159977123,442.976282391,207.537967872,47.8468,284.000138371,207.708,89.3065,196.234872468,120.341995655,207.52,140.217,207.581323992,-212.189,0.757073
113,113,20.0809860249,514.60028183,84.0576308609,275.517977097,4.98889742915,444.748099574,417.601328605,209.2313071,48.035,232.148473005,209.408,89.7606,190.558558114,130.206712826,209.212,125.734,209.278414438,-213.951,0.727587
114,114,7.84390866508,602.087613143,108.184646205,135.277961288,5.1027927187,625.590906205,390.655912311,211.099426079,48.1645,191.378974391,211.278,90.1408,179.501391763,210.291661939,211.078,127.459,211.151459272,-215.754,0.741474
115,115,77.210538222,475.843387444,55.6105813695,327.808676127,5.31595193678,608.741018854,423.716501567,213.46802281,48.3427,250.816539348,213.654,90.6636,191.912900122,190.693624179,213.447,153.183,213.512496274,-218.307,0.714518
116,116,77.9460857393,731.468055597,41.8298313173,429.720846984,5.32971249914,585.376586157,472.002305188,215.701332362,48.5211,268.185163102,215.877,91.2035,205.259651062,157.292763396,215.679,145.492,215.743670966,-220.518,0.725912
117,117,58.8557927056,553.603926464,54.6750283358,335.177793617,5.43562731875,596.839989573,488.481341182,216.562145464,48.6337,271.799488128,216.752,91.7558,209.600284277,161.947338747,216.546,162.47,216.620696708,-221.437,0.732816
118,118,17.3637534828,517.041013621,41.0578072519,340.539592862,5.25200112143,644.720212273,456.191697985,218.877893422,48.7434,256.241982147,219.059,92.2085,199.449345465,237.216164196,218.849,147.444,218.931910183,-223.74,0.739773
119,119,15.126323777,514.369446304,65.2518625319,282.822405662,5.30480267957,632.19652437,415.081978587,220.389416435,48.8766,185.548495031,220.607,92.7527,188.176561267,165.947494397,220.376,141.619,220.449719809,-225.369,0.733734
120,120,27.7639955063,499.090783634,52.748303503,258.491342053,5.43460542305,526.47247487,461.255461526,222.377774776,48.995,212.644491868,222.573,93.3126,200.958318847,152.563530075,222.361,151.807,222.436151082,-227.383,0.725298
121,121,10.5125495306,703.898525654,115.337316526,143.970553426,5.63176137071,412.511110949,461.61140697,223.67015091,49.1309,187.36236253,223.851,93.8463,196.520349783,114.738688814,223.637,167.761,223.723922433,-228.736,0.728697
122,122,4.55397852006,535.561302399,28.2370047336,446.129366379,5.48201061332,525.208835079,500.719232336,225.845486187,49.2704,179.263993136,226.045,94.4029,209.441725029,170.219643462,225.828,161.688,225.915264015,-231.033,0.729095
123,123,9.88492007336,514.011657753,15.8526312167,440.788970134,5.49424375342,696.229040992,478.298459189,228.131230421,49.4487,355.175423815,228.339,94.9489,206.268431966,252.699229286,228.111,163.369,228.194971437,-233.19,0.738403
124,124,11.501283847,739.515827974,61.249571617,387.885444944,5.56092554589,678.05668821,464.918498574,229.786312509,49.5885,314.751169446,229.976,95.379,204.086428049,251.038115726,229.754,162.04,229.847395689,-234.928,0.716837
125,125,82.2571131685,786.136364386,51.6917713326,420.410472874,5.71438772362,561.322080216,449.753074577,231.570272051,49.7931,269.884299757,231.796,95.9045,201.226818899,161.251351699,231.548,171.592,231.645110564,-236.779,0.752638
126,126,11.3942111063,497.589031805,97.3864341242,156.208876265,5.68284531941,991.824837114,373.186993635,233.206948626,49.9191,359.280438761,233.382,96.4091,176.360675022,352.842246227,233.178,169.704,233.26852432,-238.437,0.733831
127,127,6.0102270643,693.480070351,55.3795149043,434.00304532,5.49243419931,382.640467463,628.720906189,234.624229655,50.0145,161.119980557,234.819,96.8804,221.771284658,127.843601815,234.606,157.09,234.699675155,-239.75,0.68517
128,128,349.687394339,2297.08032942,291.377245553,854.579098156,5.50751085208,893.651676963,1091.1184268,237.060259452,50.1772,595.151308117,237.264,97.3161,232.9795912,179.665242133,237.036,159.371,237.126852878,-242.22,0.71657
