AverageAbsQYDiff,PolicyRegParamNorm,MinForwardProgress,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageQ,AverageY,AverageAbsQ,AverageForwardProgress,AverageReturn,AverageAbsY,MaxForwardProgress,MaxReturn,AverageAction,MinReturn,StdReturn,StdForwardProgress,AverageDiscountedReturn,AveragePolicySurr,Epoch,AverageEsReturn,StdEsReturn
0.0133792439404,9.51355,-0.0173486545179,61.499884989,9.43537,0.998208115378,0.000292423,0.0130092,0.00646269353036,0.0130092,-7.52079833098e-05,3.0400089183,0.0128705917362,0.018547283214,4.26158843256,0.995191,1.93235978587,0.336541377316,0.00511853282966,3.00895001208,-0.0205353,9,24.4906961993,9.46900039458
0.00601602182775,9.58657,-0.0207278048939,4.10032355545,9.69827,2.06173284425,8.21763e-05,0.020772,0.0207995173131,0.0207762,0.000135498368897,3.00803461834,0.0215221573675,0.0181707952659,4.24571186043,0.824666,1.4119370846,0.38200111153,0.00532771398084,2.97774801476,-0.0193229,10,3.05785400902,0.351293794474
0.00339299074401,9.67375,-0.0200208592856,3.92404495823,9.89103,2.00994038374,2.77447e-05,0.0265167,0.0265190111864,0.026518,-2.31706525865e-05,2.97057577288,0.0265569937121,0.0197534282214,4.31195489147,0.910809,1.49815905254,0.379652314286,0.00525359503863,2.9408464545,-0.0234061,11,2.96362371564,0.363002990044
0.00325098207825,9.6406,-0.0176755651447,4.05928430367,9.93049,1.85755523706,2.52934e-05,0.0271935,0.0271956127163,0.0271935,1.84167615661e-05,2.95108052558,0.0271956127163,0.015765379591,4.08527033492,0.999875,1.64632265558,0.374607665008,0.00534900554857,2.92171979601,-0.0254692,12,2.9586478711,0.372455720054
0.00343615864694,9.77918,-0.0176898154144,4.12516433808,10.232,1.96954066206,3.0905e-05,0.0298297,0.0298553702895,0.0298305,-5.1887679802e-05,2.96051317042,0.0298553702895,0.0185895200457,4.35582088312,0.897143,1.63448153419,0.386335007008,0.00520724220557,2.9309961024,-0.0283318,13,2.97594002671,0.401747031727
0.00303016639502,10.0541,-0.0254287618381,6.50187152601,10.2711,1.92984817674,2.86984e-05,0.0335335,0.0335557444451,0.0335361,0.00243580424012,4.43446792279,0.0335557444451,0.0283933027872,6.83456925541,0.982939,2.83614724731,0.466430221023,0.00729800261887,4.36303777257,-0.0347783,14,3.7327149495,0.846361681558
0.00345124379714,9.87787,-0.0336690946789,6.54774961667,10.3974,2.45371609131,3.2592e-05,0.0385163,0.038537913899,0.0385164,0.000470965232667,4.55630524953,0.038537913899,0.0321290498843,6.96110956164,0.943515,2.53946187308,0.70160940503,0.00886533308933,4.47553831005,-0.0433178,15,4.48882414399,0.584961094096
0.00447602030754,9.81315,-0.073388713868,32.1289549222,10.6781,2.61051779319,5.22898e-05,0.0457394,0.0457412785243,0.0457394,0.00224929802428,8.97814677709,0.0457412785243,0.0563238580585,13.7904204224,0.81901,4.35954970128,1.29037853993,0.0189504908747,8.62071644221,-0.0534869,16,7.92889181593,4.61258922594
0.00514068827616,9.82412,-0.0646376498662,16.7373871231,10.9787,3.09313688946,6.64869e-05,0.0502577,0.0502598413731,0.050258,-0.00280666807724,7.96027779431,0.0502598413731,0.0523600864913,12.1163469708,0.452495,4.71448613096,1.32951218998,0.0183853309795,7.67715122585,-0.055044,17,8.53637117735,1.90370276432
0.00458086625923,9.76446,-0.0564738508267,12.9281332261,11.1169,4.50832094247,5.76026e-05,0.0527159,0.0527422186669,0.0527168,0.000661458428106,7.10867992949,0.0527422186669,0.0589578053556,12.9822608145,0.462046,3.44900290107,1.51724337754,0.0151194197701,6.88640605504,-0.0550776,18,8.58026684013,1.9234948806
0.00461434506971,9.83309,-0.0624201989198,30.7741213634,11.2315,2.91244117013,5.29366e-05,0.0543841,0.054400836201,0.0543846,0.0701025910693,24.4769617274,0.054400836201,0.226473597147,70.3284757449,0.72231,3.00904490639,9.94711410816,0.0534224089699,21.7370081611,-0.0574309,19,7.41775377469,3.4882950601
0.00539211852242,9.78686,-0.0362139676421,24.4353962761,11.3591,4.66208302624,7.40925e-05,0.0576724,0.0576835179406,0.0576731,0.038576904503,16.4055867363,0.0576835179406,0.28260678496,46.3525296754,0.705662,4.38547930623,7.27629724018,0.0431602738378,15.1073126291,-0.0664849,20,14.3960699179,4.44558551801
0.00594928239493,9.76389,-0.046202650097,26.5033869786,11.6377,6.86843353002,0.000102029,0.0674917,0.0674904290024,0.0674926,0.01806540087,14.2646860066,0.0674904290024,0.101099607137,26.836255944,0.960906,6.71663216757,3.83775393272,0.0237608662036,13.3105221609,-0.0788755,21,15.0021914196,4.44899703186
0.00839221526623,9.77916,-0.0376294276836,21.4046143261,12.1891,6.18897154409,0.000222356,0.0801801,0.0803634526688,0.0802433,0.0253306625709,15.5732961159,0.0803634526688,0.110875873198,32.0589305365,0.87148,8.48202168289,3.92861053383,0.0243465261859,14.4656567808,-0.0891272,22,13.4798470184,3.58988188685
0.0100803818893,9.80031,-0.150620969147,71.6540623488,12.299,12.2130951658,0.000243841,0.0902903,0.0903095040752,0.0902932,-0.0802530261447,40.5387379101,0.0903095040752,0.0741418553752,102.456866628,0.740909,11.2609808839,30.1545315525,0.0451408894276,30.3969886787,-0.108256,23,29.9447079358,17.3663301026
0.00968498195763,9.804,-0.102493517957,72.4878818199,12.6091,7.14303830077,0.000227418,0.096671,0.0966907779105,0.0966784,0.0379324371943,29.9745113756,0.0966907779105,0.136126054045,61.9307595971,0.677644,16.9010903797,9.12703823565,0.0338556763418,25.6465650836,-0.110885,24,24.4629151502,15.8916841623
