AverageReturn,AverageAbsQ,StdEsReturn,Iteration,QFunRegParamNorm,AverageAbsQYDiff,MinReturn,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageAbsY,MaxReturn,AveragePolicySurr,AverageEsReturn,StdReturn,AverageQ,Epoch,PolicyRegParamNorm,AverageY,MinEsReturn,MaxEsReturn
-3.75980740455,1.63965,4.04401269119,9,11.4914,4.12886115104,-5.46932450205,0.207663,-1.9784249434,22.5007,2.7393843137,2.80972814346,0.771758,-4.25952095494,0.652002159879,-1.50087,9,11.7106,2.5921425204,-16.8062596639,27.7816601443
-8.25580611608,1.33921,2.72915153472,10,11.9111,0.382936504492,-8.42693583959,0.99978,-7.97223101949,0.408408,1.43565311141,-8.06642312407,-1.54631,-8.09035494624,0.0644930779986,1.17328,10,12.2623,1.20441740401,-17.7100617212,1.91224214542
-5.38154404111,1.31331,1.76743658401,11,12.2154,0.169387963819,-5.6007785017,0.999976,-5.20325364895,0.0508327,1.32543050004,-4.82740442629,-0.657385,-7.17856833319,0.109220303041,0.534139,11,12.5971,0.535111363773,-17.8674452583,0.0943444424679
-8.65881627872,1.76322,8.03500094265,12,12.9544,0.175713936455,-11.2755891869,0.999335,-5.30610169679,0.0555837,1.77014632406,-5.88616456803,-1.23746,-7.68718524224,1.35553285893,0.237474,12,13.3876,0.238531883572,-34.5795352583,10.1825334984
-8.86878577543,2.21455,6.54077692743,13,13.8586,0.195955770384,-11.1452905563,0.896309,-5.54772404568,0.0719336,2.22199638837,-6.39039026687,-2.01819,-11.586845511,1.18189171423,0.691845,13,14.0301,0.692882829724,-30.5529359709,-6.04310900509
205.210416929,2.59941,8.3392852096,14,14.7437,0.21481712639,75.4600834581,0.753332,79.9850587164,0.0908329,2.60951979489,453.10137938,-2.45491,-10.7192129192,128.052796605,1.02652,14,14.7037,1.02718660976,-37.0473239192,5.41666604424
93.3849813534,3.11409,182.929501255,15,15.5358,0.235987771217,53.8937255218,0.613256,61.8341981209,0.115841,3.12568992808,196.576101637,-3.47907,208.760197467,26.7166891836,1.63488,15,15.9279,1.63562116083,42.3909383389,507.736252342
105.460157525,3.93277,143.442724512,16,16.245,0.239543414999,54.4079816944,0.777799,63.2784242119,0.136052,3.94362309929,455.229380904,-4.65002,197.250966069,75.0392028873,2.83706,16,16.8867,2.83822287741,72.1052251591,439.694453884
112.036008707,4.77049,144.035398465,17,16.981,0.263292962991,52.6768611114,0.812519,63.2526545206,0.16635,4.78175040793,417.678584493,-5.70368,279.963398826,91.1830394836,3.85234,17,17.6396,3.85340332761,147.762288287,480.270674478
328.906515166,5.84655,151.4239372,18,17.8085,0.310979467171,278.613632331,0.672185,116.858245319,0.265759,5.85836288469,363.612403258,-6.9314,267.871030764,19.747770026,5.0507,18,18.8229,5.05173751638,5.78874390611,362.574223481
806.791906018,6.97251,97.7906403201,19,18.5573,0.345063392034,98.2654996667,0.47171,98.7119881837,0.35848,6.9832367052,1010.26890842,-8.12941,283.517928557,313.781365958,6.26199,19,19.9272,6.26362084474,119.225405548,388.499570894
333.738889029,8.05636,169.790171625,20,19.3281,0.392241959074,47.2858455773,0.656714,94.742893239,0.476766,8.06822060791,898.085952874,-9.30118,201.329061791,224.145396228,7.4154,20,20.6036,7.41690863748,13.191357725,449.715898514
