AverageY,AveragePolicySurr,AverageQ,MinReturn,AverageAbsQ,AverageReturn,AverageAction,Epoch,AverageAbsY,AverageAbsQYDiff,AverageDiscountedReturn,AverageQLoss,MaxReturn,MinEsReturn,StdEsReturn,StdReturn,MaxEsReturn,PolicyRegParamNorm,AverageEsReturn,Iteration,QFunRegParamNorm
0.765486780174,-0.0525021,-0.157863,9.09509841355,0.225804,9.21447333022,0.218718,9,0.765486780174,0.923349373244,8.79042949652,1.10864,9.33409770697,1.50432075113,6.74160445509,0.0471015340411,55.6094243201,11.2289,9.75028317806,9,11.1296
0.430965089557,-0.534236,0.427279,3.04961331758,0.428416,3.085947242,0.99998,10,0.431819427231,0.0971295609181,3.03676017546,0.0341531,3.12272198541,2.43530714127,2.51739925856,0.017624218152,33.195293335,11.6562,3.90924121418,10,11.3074
0.398439101869,-0.420555,0.39815,3.04828707183,0.401346,3.085663147,0.999987,11,0.399238044506,0.0397632054356,3.03648493006,0.00447576,3.12286512442,2.27285871362,0.69520012639,0.0178534083637,7.46994965523,11.6916,3.64436589325,11,11.3987
0.397817978062,-0.408446,0.397738,5.69077435105,0.401623,5.837967499,1.0,12,0.398909741063,0.0271874322298,5.6791817903,0.00177766,6.01276166512,2.94902641587,2.75413708333,0.0614078400714,30.7972898711,12.0587,4.98220113025,12,11.4687
0.415220528962,-0.43826,0.415211,5.70209871294,0.419503,5.83776305625,1.0,13,0.417318316159,0.0252423959378,5.67891492403,0.00149557,6.02278948809,5.25477093802,1.64120269841,0.0606530576935,12.6244167968,12.0587,6.91824383992,13,11.5851
0.433049991787,-0.442075,0.433008,5.70322885536,0.436584,5.83709297637,1.0,14,0.43544069715,0.021985143538,5.67824066571,0.00112844,6.02701836073,4.51896223789,3.6483511291,0.0613857206335,28.6728685255,12.0616,7.37861902766,14,11.7787
0.461849777481,-0.583251,0.461695,36.7190439281,0.465567,38.8218978247,1.0,15,0.464823604102,0.0266081768502,34.4993459882,0.00239863,40.7012167188,5.37844603698,17.651160554,0.930634086804,68.0880756369,12.3707,28.7841625186,15,12.0643
0.679614882814,-0.822973,0.679131,38.8916995646,0.681659,43.0486782966,0.824445,16,0.681148753256,0.037011273114,37.8401803987,0.00552547,47.1794509727,8.64122530867,16.7482741032,1.64455291591,97.4294644673,12.6863,49.341536668,16,12.6007
0.852858742924,-1.01635,0.852494,60.0645210109,0.854295,71.6513960315,0.789312,17,0.853645305417,0.0417154826762,58.3992210781,0.00705919,85.373272242,5.05237008799,42.2342212751,5.59707968627,174.281962179,13.5417,76.6864589863,17,13.2357
1.02741595377,-1.21433,1.027,163.168297487,1.02868,169.341187843,0.733051,18,1.02793486549,0.044581116913,108.867882695,0.00809465,176.575558268,49.1954780258,48.541769757,3.439720245,190.049250405,14.6837,116.319816841,18,13.8003
