QFunRegParamNorm,AverageQ,AverageEsReturn,AverageReturn,AveragePolicySurr,PolicyRegParamNorm,Iteration,AverageAbsQ,StdEsReturn,StdReturn,MinReturn,Epoch,MaxEsReturn,AverageAction,MinEsReturn,MaxReturn,AverageAbsY,AverageDiscountedReturn,AverageAbsQYDiff,AverageY,AverageQLoss
10.4469,0.0728046,5.74698102358,22.3207126949,-0.128548,10.475,9,0.0791489,2.70865030189,4.5662208407,15.0,9,23.0,0.000637684,2.0,47.0,0.983241934628,20.0114137976,0.910437303519,0.983241934628,0.84869
11.2841,1.12343,2.80952380952,2.39430213072,-1.22018,11.2432,10,1.12343,0.825109480975,0.488700276682,2.0,10,13.0,0.999962,2.0,3.0,1.13842054574,2.37645551831,0.0577753775643,1.13842054574,0.0161686
12.998,1.562,2.78333333333,2.40153698367,-1.57509,11.2318,11,1.562,0.693421468757,0.490209174144,2.0,11,10.0,0.999953,2.0,3.0,1.56246069196,2.38354639769,0.0603702873006,1.56246069196,0.0108197
15.1341,2.0152,6.90277777778,45.3393665158,-2.24629,13.9562,12,2.0152,9.10381440542,1.21742163436,43.0,12,59.0,0.0408548,2.0,48.0,2.01548770342,36.5933226889,0.0828871291938,2.01548770342,0.0200251
17.8962,2.73508,34.6551724138,71.4184397163,-3.15966,15.4191,13,2.73508,19.4302924926,2.28207951816,66.0,13,72.0,0.245087,8.0,78.0,2.73545728285,51.2037601322,0.113873513132,2.73545728285,0.0390527
20.6969,3.44858,24.4871794872,87.2956521739,-4.03081,16.6325,14,3.44858,18.4236077578,11.638746319,71.0,14,78.0,0.169666,3.0,157.0,3.44876319659,58.1505729257,0.142374899552,3.44876319659,0.0598256
23.1906,4.20061,33.7333333333,74.0962962963,-4.94742,17.9448,15,4.20068,17.9516634946,8.34876267087,63.0,15,80.0,0.298364,5.0,111.0,4.2006937151,52.3526053536,0.168616138154,4.2006937151,0.0865268
25.6781,4.9858,26.8684210526,85.9487179487,-5.85697,18.9907,16,4.98602,16.8993476246,18.0340827153,62.0,16,67.0,0.290879,5.0,197.0,4.98576482251,57.2474493522,0.194103951736,4.98576482251,0.119583
28.1364,5.78898,26.1111111111,92.7777777778,-6.7678,19.6717,17,5.78922,20.6448510904,25.2103496286,58.0,17,87.0,0.200766,3.0,186.0,5.78905226614,59.4927101635,0.218318682141,5.78905226614,0.162548
30.4479,6.56538,23.0,55.6722222222,-7.65513,20.3683,18,6.56595,23.8699125946,3.57433840895,47.0,18,114.0,0.241037,3.0,68.0,6.56518439615,42.8151580807,0.223887843784,6.56518439615,0.189209
32.5173,7.37874,24.0,78.5078125,-8.57556,20.9152,19,7.38004,20.8427110677,33.8431575649,47.0,19,82.0,0.210815,4.0,223.0,7.37898679952,52.4523575735,0.247956193823,7.37898679952,0.251716
34.6774,8.20738,18.8867924528,61.7407407407,-9.48665,21.4227,20,8.20879,14.4021229795,17.0346616702,47.0,20,73.0,0.222366,3.0,170.0,8.20730261181,45.5830249809,0.26802191563,8.20730261181,0.29295
36.718,8.98287,16.5,54.8907103825,-10.3694,22.0342,21,8.98519,14.069814406,9.24109797833,45.0,21,80.0,0.244912,3.0,113.0,8.98239397631,42.1761768316,0.279500087187,8.98239397631,0.329424
