AveragePolicySurr,AverageAbsQYDiff,AverageAbsY,MinReturn,AverageForwardProgress,StdForwardProgress,AverageAction,MaxForwardProgress,StdEsReturn,AverageQ,AverageY,QFunRegParamNorm,AverageAbsQ,StdReturn,PolicyRegParamNorm,AverageEsReturn,AverageQLoss,AverageDiscountedReturn,MinEsReturn,MaxReturn,MinForwardProgress,MaxEsReturn,Epoch,AverageReturn
-0.00625748,0.0229972770656,0.0205941545897,-6.57881721775,-0.00350445454399,0.00751072225237,0.998399,0.0202419123231,3.42258583272,0.00170102,0.0160151245309,15.0023,0.0199734,1.59373943441,16.0304,1.25618580153,0.000835285,-1.7902187046,-6.76443723144,3.06791838744,-0.0250259393483,10.66559781,9,-1.94117273392
-0.0037366,0.00554992901237,0.0157816157121,-13.2977582116,0.0218650961582,0.0273950561416,0.971196,0.0620338251954,2.84216734357,0.00137171,0.00189403816568,15.3337,0.0150071,6.0084054401,16.5587,-1.03251550404,0.000131133,1.66273129929,-7.3910557579,10.3397290755,-0.0484349730037,4.65916472919,10,1.89273380486
-0.0325567,0.00706000494089,0.0355169058282,-7.29230457508,-0.00253561046464,0.00336704116888,0.999297,0.0107918729606,3.56276723425,0.0264489,0.0265248758627,15.7132,0.0335894,0.757110617582,16.8373,-0.662820510574,0.00017111,-4.23081049607,-5.96215172985,-1.41328053877,-0.0148036459483,7.57749215855,11,-4.44208695054
-0.0286862,0.0075716010947,0.0431178368664,-1.95438772897,0.0201457389675,0.00671684535214,0.999898,0.0422857760758,2.01077233147,0.0329452,0.0331009754052,16.0146,0.0410553,1.42020631075,16.9726,1.22593707585,0.000266754,2.04685833232,-3.86187987737,6.77558024948,0.000933844032428,6.12111329309,12,2.2617921023
-0.0248787,0.00733074859042,0.0432181977822,-2.28563910398,0.0198179163606,0.00707515964024,0.987282,0.0407277067259,1.69984425383,0.0268503,0.0267340500463,16.3899,0.0419484,1.49759834583,17.0827,1.72073964683,0.000228962,1.92957704377,-4.19304629888,6.60032996222,7.80163853067e-05,5.71854277864,13,2.13878291888
-0.0411627,0.00847865157831,0.0484753093682,0.947463837844,0.0420320196553,0.00868764387174,0.991764,0.0719524538273,2.20256851923,0.0265076,0.0266071974729,16.8805,0.0475142,1.83805187356,17.1145,6.15788330121,0.000218274,5.60988925481,-0.474599281217,12.8431352355,0.0157827405602,10.6384462515,14,6.35487182135
-0.0884138,0.0103494594567,0.0785422075504,-0.817450508284,0.0413448482077,0.00873071120467,0.986136,0.0688144457719,1.31098559063,0.0611321,0.0611798659639,17.3212,0.0772064,1.83733487808,17.085,6.32990828189,0.000286368,5.40793460425,3.07460926108,11.9141425375,0.00978641038914,9.33501564528,15,6.13259081888
-0.119104,0.0112435498144,0.108111992826,0.411811600706,0.0415164467712,0.00867084675985,0.988077,0.070299303229,2.02942634615,0.0962763,0.0964811136755,17.6729,0.106768,1.82591597156,17.1551,5.68800935576,0.000347029,5.40133970497,0.0922457652528,11.8608988511,0.0154033815963,9.63727339714,16,6.11271823635
-0.155328,0.0124828329936,0.136901662215,-13.1441151748,-0.00951777123093,0.0111321690241,0.971552,0.0347573752385,4.46773582409,0.129608,0.129792835872,18.0864,0.136065,2.47336765293,17.2371,3.9389232298,0.000420148,-5.16501404087,-9.63117804727,5.05134987851,-0.0400732573972,10.233602264,17,-5.76102043256
-0.161527,0.0133400974055,0.150038336009,-0.652003136543,0.0409870696879,0.0083333059013,0.972302,0.0706772323205,5.10795244083,0.145541,0.145611243663,18.544,0.149226,1.79188865394,17.2728,2.73453045703,0.000453513,5.30524984577,-9.68917893479,12.2680347268,0.0123724249465,9.23424077815,18,6.00888728228
-0.171127,0.0137233723461,0.161483878572,-0.705742028981,0.0359260595742,0.00825990239062,0.985655,0.0651260906209,1.97687449979,0.15761,0.157855913864,18.999,0.160651,1.76589568684,17.354,4.46557029573,0.000525598,4.04970786646,0.000774120075316,10.684861987,0.0122971615381,7.82546465113,19,4.5717792744
-0.196731,0.0143073196602,0.179516810738,0.470639280598,0.0383659862886,0.00918103345424,0.972433,0.0616158722181,2.24654451709,0.176709,0.176910756076,19.409,0.178923,1.80106930189,17.5241,4.6496123218,0.00052035,5.10282406784,-1.75169537109,10.5933498772,0.0105962209004,8.99875515065,20,5.76842927598
-0.248314,0.0165042295392,0.220906746571,-0.860889249348,0.0296861891736,0.00858057155902,0.960875,0.0544020105726,2.10864599906,0.218071,0.218316506271,19.9425,0.220438,1.79726881781,17.6711,5.54102635619,0.000673873,3.97164821196,-2.21108956921,9.53724920143,0.0043989232491,8.60622566558,21,4.50749311033
-0.288325,0.0168928119118,0.260955113953,-0.144755540906,0.0405725192196,0.00878512888366,0.9405,0.0705645129281,1.90541606505,0.257838,0.258068655661,20.3702,0.260323,1.85415243165,17.7197,5.85738084907,0.000721757,5.28274010277,-0.42611622478,12.5863229541,0.012375649842,9.46790034554,22,6.01509794558
-0.30676,0.0174480891025,0.287751911117,1.29328332315,0.0429070763882,0.0083252569662,0.976668,0.0723964342201,2.33376421027,0.285232,0.285622245998,20.7187,0.287138,1.73883764679,17.7681,5.95456995397,0.000810588,5.80993877588,-0.761029222457,12.8651443321,0.0173565725511,10.4406848696,23,6.62533328665
-0.327148,0.0170773513812,0.311045105487,1.14042062406,0.0425158081526,0.0085250440095,0.975945,0.0723727884861,1.65821474254,0.309025,0.309226941372,21.1747,0.310655,1.78657990694,18.0326,6.29219536256,0.000765114,5.77277791974,1.59806860013,12.6921314466,0.0163171154618,9.85428875259,24,6.5805928105
