AverageAbsQYDiff,AverageY,MinReturn,AverageQ,Iteration,AverageAction,StdReturn,Epoch,AverageAbsQ,MaxEsReturn,AverageEsReturn,MinEsReturn,AverageReturn,AverageQLoss,QFunRegParamNorm,MaxReturn,AverageAbsY,PolicyRegParamNorm,AveragePolicySurr,StdEsReturn,AverageDiscountedReturn
0.0284666527143,-1.02499805675,-7.14375007399,-1.02486,29,0.994655,0.142158542105,29,1.02491,1.93602777982,-12.1325239124,-18.2220537196,-6.72938229204,0.00203614,15.1945,-6.33498314488,1.02501182022,14.077,1.02378,5.14170728691,-6.2915151189
0.0280021458947,-0.89155860881,-5.60423375015,-0.891632,30,0.935932,0.056452057311,30,0.891698,0.531423101475,-4.44409872971,-6.70610363069,-5.46801377155,0.00209536,15.3718,-5.29511792996,0.891600987216,14.4925,0.763219,1.16800126985,-5.25072418607
0.0250301895747,-0.736848100439,-6.05744563423,-0.736962,31,0.889609,0.0815103883064,31,0.73708,-1.13857995465,-5.09050083675,-6.26658835835,-5.86202154931,0.00155683,15.5494,-5.59668137921,0.736961747464,15.0674,0.612049,0.733438307261,-5.66171281721
0.0218335796536,-0.646835985763,-5.54753383502,-0.646911,32,0.850878,0.374659084937,32,0.64714,1.80745141498,-5.11037269564,-7.3321421199,-4.98841920854,0.00111588,15.7506,-4.57605273211,0.647042848513,15.2326,0.55641,0.825363948457,-4.82308215161
0.019105154806,-0.606896343415,17.7758824545,-0.606923,33,0.960767,2.07326169391,33,0.607084,27.8957654719,-3.48934213317,-6.68760672545,20.882586612,0.000822069,15.9565,26.1419744966,0.607025553666,16.1112,0.511133,5.28478104309,18.066343318
0.0216908729903,-0.550230810272,31.6363376849,-0.55032,34,0.998214,2.99005424691,34,0.55109,58.7308901704,16.0156013982,0.0174232271698,37.9208402182,0.00113204,16.2578,42.5283267371,0.551009032307,16.4476,0.427845,12.1002371211,30.1906148162
0.0198469372893,-0.490375409345,31.6392663507,-0.490517,35,0.999982,3.04781116538,35,0.493109,82.4985606498,17.368739135,1.90510841241,38.090288578,0.000883786,16.5003,43.1486098386,0.493255548495,16.815,0.375622,19.0659177202,30.3066372569
0.0199403832489,-0.445538979713,30.3867348177,-0.445589,36,0.965107,2.91004017289,36,0.452789,103.780284379,22.619503779,1.10082194709,38.0685527268,0.000947791,16.8171,43.4739082628,0.452963257534,17.1183,0.320655,20.4327663522,30.2920851076
0.0210207390117,-0.404990053616,46.0712433791,-0.405042,37,0.975506,23.1743635715,37,0.425969,397.350447576,31.9908908579,-1.4233774431,82.1466765911,0.000988708,17.1573,157.439159132,0.426335766773,17.6197,0.22439,85.7132648825,59.0071912198
0.0255613118844,-0.304644310286,-13.2015686624,-0.304799,38,0.905237,98.0897419473,38,0.390741,283.276780798,157.98054126,52.1273545443,43.5168005216,0.00140278,17.5178,315.525933421,0.391268104163,18.0325,0.121102,95.5193729721,31.1722631493
0.0277181913318,-0.222605062585,277.343881938,-0.22273,39,0.956513,7.60891178269,39,0.405064,312.16976551,52.8203471829,-42.4460652603,291.514912572,0.00176696,17.937,313.982560173,0.405739346868,18.4366,0.0183838,104.979704012,116.363794658
0.0323786099803,-0.147432244417,73.9170401036,-0.147527,40,0.917638,133.160892647,40,0.432315,307.189107815,109.70149331,-21.9708506933,248.110586472,0.00253133,18.3891,598.520373968,0.433604586223,18.8528,-0.0702677,126.168057693,90.7974220951
0.0371873886995,-0.0527004631477,0.83459226625,-0.052987,41,0.819743,15.2728460422,41,0.465589,326.387035687,145.133748397,-28.0455821254,20.9775160791,0.00374832,18.8239,74.3750814782,0.467384547843,19.2745,-0.188569,141.398964127,30.051880786
0.0403183160637,0.0359700974707,-35.2388490936,0.0358399,42,0.661471,7.11421098827,42,0.504942,273.075773487,71.1551653822,-21.8962790508,-21.0205736505,0.00446812,19.1825,-0.47313098389,0.506699770421,19.8343,-0.279624,105.369847388,-1.90844374483
0.047704218042,0.138677656265,79.2637155747,0.138393,43,0.865332,112.138083333,43,0.55063,362.050076865,181.888442785,53.8103227771,319.840063941,0.00661708,19.6005,827.580394677,0.552321956868,20.6241,-0.415287,102.770584567,118.578012753
0.0545414700027,0.272874349129,169.10180432,0.272569,44,0.904041,150.439096626,44,0.634946,357.535859995,168.728099342,32.777911005,448.594238796,0.00873865,20.0478,916.466235099,0.63679156595,21.4629,-0.552175,129.359406564,120.295259185
0.0571778932465,0.39843861163,158.494199246,0.39799,45,0.746388,262.32055829,45,0.717241,693.733026677,327.914593247,14.0646017565,784.28275185,0.0112618,20.3807,983.452740361,0.718784676606,21.9338,-0.685029,279.896208354,87.9965218521
0.0607800364702,0.54389991512,894.383645802,0.543346,46,0.851052,12.1334914362,46,0.813211,558.567005163,326.612542566,140.424939386,920.289061789,0.0114165,20.6639,942.432561234,0.814667318135,22.3189,-0.840008,144.219185397,75.7339012189
0.0683355996004,0.694858378369,299.232143571,0.694447,47,0.854972,213.228976274,47,0.924509,508.727663985,436.778463036,364.829262087,794.295517823,0.0165315,20.9992,924.9131951,0.925839594959,22.8047,-1.00349,71.9492009486,75.3306412623
0.0706526526385,0.846877305728,75.3239919649,0.846413,48,0.819369,237.063729938,48,1.04828,465.860958936,314.345890958,179.492586555,824.574710266,0.0166995,21.298,916.992111666,1.04958541143,23.1892,-1.16978,92.2468826243,75.9048900392
0.0792973482255,1.0060985215,124.161402232,1.00543,49,0.718311,331.451443621,49,1.19229,552.151456006,226.843798224,39.9137810235,603.99923725,0.0232977,21.6449,913.886884192,1.19360574605,23.4332,-1.33141,181.505827229,81.995371074
