AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAbsQ,QFunRegParamNorm,AverageQ,StdEsReturn,Iteration,AverageAbsQYDiff,MaxReturn,StdReturn,AverageAbsY,AverageAction,AveragePolicySurr,AverageReturn,AverageY,MinReturn,AverageEsReturn,Epoch,AverageDiscountedReturn,MaxEsReturn
0.0047518,25.5175,53.1946630967,0.612931,18.5047,0.612603,0.0,30,0.0493664204321,220.85963688,51.9423220949,0.613633463865,0.842971,-0.687211,120.307040308,0.612938336824,23.6583319445,53.1946630967,30,27.023604117,53.1946630967
0.00494845,26.0159,94.1235585548,0.653661,18.9175,0.653445,0.0,31,0.0504455943299,229.811512912,51.4148932471,0.654191499877,0.749043,-0.730737,148.073281546,0.653768945423,51.3440850782,94.1235585548,31,27.9517021779,94.1235585548
0.00499299,26.5311,90.8241836468,0.694852,19.2344,0.694741,0.0,32,0.0511691416037,156.463248151,37.9684366472,0.695325677578,0.741254,-0.769988,124.061448204,0.695047036194,17.7679900375,90.8241836468,32,26.0130437985,90.8241836468
0.00549287,27.0144,120.848818959,0.734711,19.6156,0.734636,0.0,33,0.0521649663034,237.141361881,52.142355185,0.73512939975,0.72496,-0.810339,153.487919524,0.734936328205,87.0253631546,120.848818959,33,25.5327783762,120.848818959
0.00557229,27.4726,130.196386047,0.775676,19.9487,0.775647,0.0,34,0.0533237100205,380.783182824,30.959385207,0.776084534722,0.737952,-0.847807,333.963777543,0.775941632805,256.102285183,130.196386047,34,43.3164818135,130.196386047
0.00542404,27.8986,149.916051833,0.810537,20.267,0.810529,0.0,35,0.0533300621208,291.511450684,46.3931426423,0.810912238607,0.749922,-0.878712,225.743750238,0.81082293924,128.682891753,149.916051833,35,34.4457844808,149.916051833
0.00589868,28.3354,219.485514119,0.845744,20.5786,0.845737,0.0,36,0.0541782414015,222.229904539,38.1151117053,0.846130605496,0.783661,-0.910493,158.508347556,0.846033853527,90.424922156,219.485514119,36,29.0887503662,219.485514119
0.00642002,28.7782,266.031774511,0.88706,20.9435,0.887054,0.0,37,0.0556710822926,480.329091855,44.4770920418,0.887587859416,0.749716,-0.951558,421.086131766,0.887467689103,340.479976368,266.031774511,37,47.3052884731,266.031774511
0.00608812,29.1625,207.140015371,0.922559,21.2418,0.922559,0.0,38,0.0551802600874,514.777389195,44.0834304213,0.922898252367,0.795639,-0.987784,424.80364229,0.922839699314,355.788839013,207.140015371,38,43.9013479431,207.140015371
0.00636272,29.4968,295.552809841,0.967777,21.5713,0.967776,0.0,39,0.0559277610587,461.959884332,63.1665374347,0.968105203473,0.809072,-1.03385,347.570360562,0.968040662499,256.378477614,295.552809841,39,41.6352550778,295.552809841
0.00675001,29.9391,247.014270834,1.00759,21.8917,1.00759,0.0,40,0.0576959740854,447.458863588,93.6660259399,1.00804089328,0.812094,-1.07337,327.629983642,1.00797642989,99.4302423975,247.014270834,40,42.4043815372,247.014270834
0.00708109,30.3461,251.588040734,1.04941,22.2597,1.04941,0.0,41,0.0587792290042,339.355968094,60.4326512252,1.04981156367,0.849313,-1.11566,253.653095083,1.04975297943,133.594019221,251.588040734,41,31.0027705816,251.588040734
0.00679206,30.6936,226.509987696,1.09255,22.5776,1.09255,0.0,42,0.0580803331246,328.387639792,124.361340407,1.09299571868,0.726833,-1.15955,188.203863053,1.09296837571,-64.0492438628,226.509987696,42,7.61914205812,226.509987696
0.00771592,31.0619,146.871788287,1.1403,22.9226,1.1403,0.0,43,0.0600398717575,481.177730065,52.7547353986,1.14080387682,0.815563,-1.21107,424.493897519,1.14075544986,314.840453179,146.871788287,43,48.5047430582,146.871788287
0.00686747,31.4735,286.626471946,1.18849,23.2143,1.18849,0.0,44,0.058888704273,551.996772996,74.3829242131,1.18884777876,0.781458,-1.25475,441.685003464,1.18883399679,306.632693843,286.626471946,44,43.4916878922,286.626471946
0.00804024,31.836,341.833778277,1.22807,23.5708,1.22807,0.0,45,0.0599687526769,598.148002126,69.7928690329,1.22862668811,0.794684,-1.29589,493.403659968,1.22854559566,356.647725461,341.833778277,45,47.3160687331,341.833778277
