Epoch,AveragePolicySurr,AverageQ,AverageAbsQYDiff,AverageQLoss,StdReturn,AverageAbsY,AverageAbsQ,AverageEsReturn,StdEsReturn,QFunRegParamNorm,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageAction,AverageY,AverageDiscountedReturn,AverageReturn,MinReturn,Iteration,MaxReturn
9,-1.07404,0.696039,1.1793441978,2.36497,16.4759530556,1.63680398943,0.783201,-173.121875778,62.2736500706,11.5833,11.7797,-251.498550522,-28.8940127337,0.213106,1.63680398943,8.5269037692,110.47647026,85.7731319515,9,152.112290181
10,-1.43696,0.913771,0.328282284204,0.228607,0.939622801523,0.92878708994,0.913869,-244.307682467,0.0,11.8416,12.2752,-244.307682467,-244.307682467,0.994576,0.928784849317,-61.9635114893,-599.115557608,-600.428247605,10,-597.382617352
11,-1.06576,0.837237,0.140518465589,0.0339681,1.12667113437,0.841174436612,0.837237,-328.002885932,0.0,11.8664,12.3243,-328.002885932,-328.002885932,0.99863,0.841169996377,-62.1841685563,-601.506844141,-603.711443364,11,-600.117529837
12,-0.934014,0.852372,0.0928893319389,0.0146935,0.806935542415,0.85334054329,0.852372,-333.098434924,0.0,11.8096,12.9154,-333.098434924,-333.098434924,0.999441,0.853335327945,-61.8218865106,-601.559738008,-602.71053304,12,-600.153459797
13,-0.900136,0.872859,0.074874894643,0.00954074,0.617285704111,0.874188745925,0.872859,-327.078945204,0.0,11.7355,13.1903,-327.078945204,-327.078945204,0.999144,0.874184841543,-61.3862165512,-601.001086815,-602.171623155,13,-599.665533395
14,-1.13368,0.903692,0.0603182491631,0.0063406,2.31235720603,0.904801407768,0.903692,-378.686095531,0.0,11.713,13.3861,-378.686095531,-378.686095531,0.995967,0.904797434128,-57.1721341576,-594.99762339,-597.566503831,14,-588.657608384
15,-1.33084,1.18643,0.0571518886573,0.00650608,2.43451351603,1.18783681685,1.18643,-433.896197955,0.0,11.7035,13.404,-433.896197955,-433.896197955,0.998368,1.18783152327,-57.8840841344,-597.040125514,-599.162596965,15,-590.120938436
16,-1.25859,1.23833,0.0439895797279,0.00432305,2.11194624341,1.23899158353,1.23833,-452.26059312,0.0,11.6852,13.416,-452.26059312,-452.26059312,0.998498,1.23898696491,-57.7339052808,-596.864327457,-599.489092371,16,-591.333592973
17,-1.23143,1.20785,0.0349963885084,0.00300504,1.44911533147,1.20827630746,1.20785,-443.068999246,0.0,11.6659,14.0368,-443.068999246,-443.068999246,0.999986,1.20827161165,-61.5984134298,-601.655996441,-603.57715329,17,-598.984242711
18,-1.36192,1.25116,0.0311371119385,0.00288373,0.929117557868,1.25171076793,1.25116,-425.582220798,0.0,11.6447,14.4006,-425.582220798,-425.582220798,0.999993,1.25170384249,-60.829089183,-600.7580453,-602.956769264,18,-599.688092058
19,-1.41613,1.34116,0.0292609078909,0.00315607,0.678779648088,1.3416631158,1.34116,-371.828672579,0.0,11.6693,14.4019,-371.828672579,-371.828672579,0.999996,1.34165756047,-60.2881252445,-600.184209563,-601.522039432,19,-599.118298674
20,-1.41047,1.37302,0.0253698090558,0.00267716,1.03934571167,1.37330605611,1.37302,-311.285532453,0.0,11.8257,14.5916,-311.285532453,-311.285532453,0.999977,1.3733009051,-58.1278416202,-598.039196174,-599.595755219,20,-596.591535537
21,-1.39355,1.37984,0.02370198984,0.00234234,0.87297413154,1.38002938277,1.37984,-383.591518721,0.0,12.0037,14.5932,-383.591518721,-383.591518721,0.999981,1.38002411321,-58.323792664,-598.245635478,-599.853829016,21,-596.678869213
22,-1.3949,1.37628,0.0200724827375,0.00193398,0.785153660326,1.37643432059,1.37628,-409.094147595,0.0,12.2313,14.5987,-409.094147595,-409.094147595,0.999974,1.37642765114,-58.1994583334,-598.110866184,-599.212175648,22,-596.618950541
23,-1.39554,1.37177,0.0206718453732,0.00301412,1.06108671749,1.37196412805,1.37177,-405.579029628,0.0,12.5752,14.801,-405.579029628,-405.579029628,0.999225,1.37195370307,-59.7282756963,-599.319145852,-601.36388191,23,-597.841673379
24,-1.39941,1.37726,0.0192552962759,0.00243313,1.07105414586,1.37748784078,1.37726,-419.222706393,0.0,12.8855,14.8564,-419.222706393,-419.222706393,0.99998,1.37748008902,-59.5036252607,-599.488020481,-601.832074869,24,-598.037277011
