MaxReturn,AverageAbsQYDiff,AverageQLoss,Iteration,PolicyRegParamNorm,Epoch,MinReturn,AverageReturn,QFunRegParamNorm,AverageAction,AverageY,MaxEsReturn,StdEsReturn,AverageAbsY,StdReturn,MinEsReturn,AverageEsReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQ,AverageAbsQ
9.35683147749,1.74005422823,3.42618,9,11.2293,9,9.10591142655,9.22104069014,11.1301,0.218784,1.4766539837,57.6398110247,6.61352904475,1.4766539837,0.0496018140835,2.61241126298,9.78173517145,-0.0105229,8.79654125579,-0.2634,0.312672
5.39219614302,0.12187206037,0.055883,10,12.4453,10,5.0740302332,5.29676093291,11.4429,0.950517,1.1750678512,18.5353466411,2.62309717738,1.18608578927,0.0401915363825,2.41491337534,5.89649632039,-1.24296,5.13560989128,1.16569,1.17383
40.7790232985,0.0769467201012,0.0166751,11,13.355,11,36.5739888606,38.7932930483,11.9436,0.938271,1.41768621003,51.8237249402,16.2273691607,1.43418690466,0.853096646935,1.1221625417,20.0568946164,-1.48385,34.4747260005,1.41712,1.43401
42.0182471994,0.10401977116,0.0443852,12,13.6099,12,36.6205257559,38.7821510258,12.902,1.0,2.07560632752,85.4836607373,7.52709987746,2.09855729387,1.00682568203,36.9980834277,42.7219985571,-2.30908,34.464594744,2.07444,2.09921
40.650157009,0.150888584596,0.10742,13,13.6156,13,36.6419419509,38.7496881399,14.4758,1.0,3.0615308166,73.1666195095,8.17958208429,3.082404423,0.935802146695,9.85098338912,42.2926588237,-3.41979,34.4418714755,3.06022,3.08279
40.7778461542,0.196107678358,0.174271,14,13.6227,14,36.6938683216,38.7109906506,16.2589,1.0,4.19371399209,67.3935384516,6.0019863025,4.21194895333,0.904126715377,35.1830827898,42.3708430095,-4.67997,34.4110377853,4.19204,4.21193
41.8029060716,0.221387843055,0.209593,15,13.6296,15,36.594714247,38.7814210624,17.7671,1.0,5.41830760861,59.7031318272,6.13552659348,5.43441107488,0.949196233552,13.8396178735,40.4556753787,-6.01609,34.465209643,5.41681,5.43534
40.6880033161,0.232815066951,0.209283,16,13.6356,16,36.7917210431,38.7688610699,18.942,1.0,6.76927828415,58.3636488853,3.82222755017,6.7813340095,0.847552766839,36.4914411374,41.4150865743,-7.48344,34.4550486988,6.76757,6.78298
40.6939500021,0.248950764486,0.240803,17,13.6412,17,36.7599733305,38.8097208605,19.9174,1.0,8.12006611762,51.1066844863,4.6801641811,8.13049499384,0.894845559595,17.8106917304,40.9127673195,-8.92376,34.4888510745,8.11883,8.13329
40.6973998199,0.264555118324,0.267796,18,13.6459,18,36.638802356,38.7798440813,20.7361,1.0,9.48241526552,71.3247802459,5.93583834257,9.49063628784,0.944205165662,36.545451393,41.8376321136,-10.3808,34.4654460718,9.48099,9.49344
40.8278295295,0.295168329815,0.306433,19,13.6503,19,36.5983473,38.7853844483,21.6482,1.0,10.8471347213,67.3955797929,5.66578755032,10.8551135011,0.969330415348,33.29138737,41.7364121078,-11.8121,34.4682234368,10.8456,10.8591
