MaxEsReturn,AverageQ,AverageDiscountedReturn,StdReturn,AverageAction,AverageY,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageQLoss,Iteration,AverageAbsQ,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,MaxReturn,AverageAbsQYDiff,MinReturn
-266.081450472,-0.362517,-3.02328598761,16.5361913554,0.00389146,2.64662999502,11.4927,-333.189903074,-0.214037,-7.47557198729,20.9341654042,9,11.8502,9,0.902985,11.7099,2.64662999502,-296.29425537,0.536637012007,3.00914708506,-56.3430475481
-238.848494661,1.1656,-62.8354427216,0.888845289199,0.994097,1.18560523092,11.654,-238.848494661,-1.81612,-599.77176785,0.0,10,0.274605,10,1.16769,12.2015,1.18567377653,-238.848494661,-598.353895709,0.345266010655,-601.10775612
-321.980983357,1.21962,-59.6533570382,12.1583445601,0.996226,1.228192519,11.7353,-321.980983357,-1.63619,-589.085917666,0.0,11,0.0478265,11,1.21962,12.7506,1.22828705122,-321.980983357,-569.807332632,0.167809837818,-597.876583982
-358.688020941,1.30515,-57.9906359239,54.4355713018,0.968447,1.30774971485,11.737,-358.688020941,-1.36388,-772.098916272,0.0,12,0.0223549,12,1.30515,13.7227,1.30783759002,-358.688020941,-702.34821503,0.113180486737,-873.052426489
-359.88605791,1.27975,-49.4518918726,9.96319429134,0.974975,1.28201442839,11.7535,-359.88605791,-1.5767,-575.45775254,0.0,13,0.0181911,13,1.27975,14.5714,1.28208973581,-359.88605791,-567.16698599,0.102241751824,-591.601879835
-479.225817357,1.46897,-51.8356364321,1.25675564772,0.999966,1.47123725722,11.7872,-479.225817357,-1.67042,-594.223230768,0.0,14,0.0142718,14,1.46897,15.2342,1.47127200589,-479.225817357,-592.352043595,0.0893785200899,-596.062971774
-431.612785329,1.55658,-54.9615060097,5.07623533563,0.999955,1.55786848813,11.8755,-431.612785329,-1.6865,-634.949902043,0.0,15,0.0115368,15,1.55658,15.8125,1.55793498285,-431.612785329,-623.03122641,0.0766827234422,-640.444763217
-426.697110515,1.61641,-35.9262314302,147.017455817,0.991662,1.61751141791,12.0096,-426.697110515,-1.73952,-351.999017535,0.0,16,0.0103601,16,1.61641,16.6532,1.61758186618,-426.697110515,-150.60028519,0.0727766283652,-611.487476886
-255.779797747,1.66631,-4.9564097259,137.921877403,0.995595,1.6672612138,12.1571,-255.779797747,-1.7681,-109.974273766,0.0,17,0.00923376,17,1.66631,17.1819,1.66731846139,-255.779797747,47.253658896,0.066467171723,-372.042600245
-267.08998582,1.68663,-36.587814062,8.41883653184,0.999709,1.68732641608,12.3386,-267.08998582,-1.74324,-327.542081377,0.0,18,0.00842135,18,1.68663,17.6477,1.68741349595,-267.08998582,-312.606569175,0.0603489285393,-346.075445624
