MaxEsReturn,MaxReturn,AverageQ,AverageAbsQ,Iteration,AverageAction,AveragePolicySurr,QFunRegParamNorm,AverageReturn,StdEsReturn,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,Epoch,StdReturn,PolicyRegParamNorm,AverageAbsY,MinEsReturn,AverageEsReturn,AverageQLoss,MinReturn
160.078521876,12.9012852013,-0.685555,0.688195,9,0.0386319,0.456912,11.1655,12.2326924812,16.1080634628,2.0505804828,1.36502527153,11.4802268201,9,0.256645762957,11.1815,1.37102789265,1.65124906517,14.4742156094,4.94585,11.5028987507
20.7904316808,4.15645723785,1.16319,1.17919,10,0.755451,-1.22534,11.4432,3.85486491604,3.5439031252,0.132783542197,1.17553954497,3.78981195701,10,0.110959443805,12.7069,1.20219035749,-0.494666765634,2.74479040627,0.0696859,3.53900518047
58.676241728,40.7281032812,1.47916,1.53784,11,0.998649,-1.58335,11.8585,38.7736426177,19.1537043788,0.0943029586896,1.48033192655,34.4589780846,11,0.914699090841,14.3343,1.54118150031,-0.732156856282,17.7893356383,0.0266771,36.7013694748
83.2969134569,52.6655647246,2.15658,2.27388,12,0.962382,-2.35926,12.716,48.6757145787,7.15761049535,0.136586212628,2.15767029673,42.0549051053,12,2.06145827162,14.7723,2.27774430672,38.0968812565,42.5017937703,0.0718504,43.8976811601
171.391377339,93.4246023403,3.11718,3.26073,13,0.882598,-3.44368,13.9236,89.1691528938,28.9861078598,0.186852460958,3.11889346486,69.8421616019,13,6.08807965257,15.0274,3.26531611762,40.0976914483,77.8438086772,0.142235,66.6920602608
254.875546888,227.061153934,4.29122,4.43585,14,0.42896,-4.76337,15.2342,223.20361788,74.9139804902,0.228020551546,4.29252176422,130.539563128,14,3.98365033619,16.1465,4.43798916264,41.1037235636,129.021666367,0.230793,194.952356767
232.073131079,173.613110874,5.67555,5.80071,15,0.50294,-6.25997,16.6956,169.933256289,62.3830359302,0.276280894406,5.67839295918,110.383006393,15,2.55411473152,17.6817,5.8043565885,41.3297607672,147.395998057,0.358165,163.433361925
256.296150547,252.741451462,7.174,7.28024,16,0.470858,-7.87779,18.1579,241.495794455,54.3154600586,0.32982062165,7.17723414059,138.460215686,16,4.88498550517,19.0822,7.28374152101,21.7814879308,168.077951824,0.584368,229.472450954
279.173246855,257.675646494,8.79923,8.89093,17,0.580078,-9.58329,19.5146,213.32264702,83.8295023845,0.370555968191,8.80295460421,126.661413512,17,39.7105976826,20.146,8.89366515079,12.277652479,151.758034695,0.781198,153.133059204
298.762390487,214.175956974,10.5201,10.5926,18,0.598605,-11.4449,20.9783,186.649557739,80.1654191833,0.420709524061,10.5254173332,116.773037387,18,15.4308955202,21.0349,10.5969977289,53.8498609271,153.972948859,1.07344,157.363618264
263.393925033,183.524356696,12.3009,12.3618,19,0.649925,-13.3406,22.3659,174.251428177,68.0364418199,0.495466227898,12.3057521663,112.313450134,19,2.73351573738,21.9088,12.3648234135,43.682215739,163.236314372,1.46624,169.81661342
290.437750204,259.951007264,14.2159,14.2644,20,0.622985,-15.314,23.6179,252.909794863,68.6882726938,0.551188400467,14.2203546298,142.425704825,20,3.65937782352,22.8149,14.266484164,61.8822087224,153.625022382,1.90231,245.065056401
291.683379128,267.837465766,16.2029,16.2461,21,0.605396,-17.3802,24.8584,260.117825358,69.5101697427,0.591934006929,16.2094786959,145.201950674,21,3.70750244433,23.5321,16.2476375217,78.5123117908,183.067445299,2.17317,253.69359797
284.163477146,249.953664023,18.1846,18.22,22,0.690783,-19.4425,26.1311,239.161292038,78.5898454689,0.637503671141,18.1896700384,137.456731634,22,7.37582414032,24.1773,18.2191813449,21.1580208153,150.205342454,2.51769,215.407826602
301.330112879,279.774166159,20.2537,20.2841,23,0.687963,-21.5974,27.3554,272.209046238,69.1584133137,0.692248294508,20.2617669329,149.008087566,23,4.00699254872,24.7984,20.2842599253,59.2792750308,219.91755472,2.94597,262.845414088
325.327674855,317.388531261,22.3176,22.35,24,0.704513,-23.7299,28.6183,306.330885171,81.4666381269,0.762827138533,22.3211564168,160.175831771,24,6.0165958567,25.4046,22.3425483425,105.193103547,189.262898197,3.51163,294.433729947
317.909937237,323.883136472,24.4709,24.5054,25,0.734256,-25.9107,29.7271,313.176754043,92.4724389672,0.799799291274,24.4798059401,161.672276631,25,4.45707804704,25.8679,24.5015023341,63.1818218785,225.063831774,3.65145,305.724302275
329.845593253,476.644798035,26.6546,26.6884,26,0.789533,-28.1283,30.8625,438.852517224,69.321013617,0.852228696411,26.6595689124,198.392013338,26,23.4445347736,26.3214,26.6784765993,114.453249832,218.771020795,4.16775,392.306860036
422.347571826,499.669671796,28.81,28.8419,27,0.779415,-30.3288,31.9831,407.000767271,142.426851751,0.903571052607,28.8144360604,182.307090594,27,50.7389994185,26.6453,28.8315554265,14.0867579675,228.553282681,4.62581,347.600847044
449.514850489,536.458628776,31.0776,31.1093,28,0.756709,-32.6788,32.9695,477.648205983,164.774527193,0.936462436006,31.0878745492,206.347740027,28,15.9557705684,27.163,31.1034804761,10.210611021,245.008171317,4.93461,450.904340755
480.83495669,547.922546529,33.3753,33.4067,29,0.735037,-34.977,33.9778,482.056051535,132.501776194,1.00878236108,33.3815250502,196.188184852,29,30.7391441283,27.6839,33.3968122428,84.9148775945,308.695294345,5.44746,422.514840333
466.654870164,465.043032244,35.5779,35.6154,30,0.718934,-37.1705,34.9985,407.348421924,118.960984023,1.04146072866,35.5864605788,181.517496413,30,23.6706917989,28.1953,35.6020066934,64.9371711454,255.270814978,5.74653,375.949726823
412.610974783,507.862348533,37.7841,37.8195,31,0.74507,-39.4335,35.9726,460.923017353,137.594680417,1.08567931675,37.7902978979,193.253475429,31,32.0981412951,28.7067,37.8035916945,20.2076099213,234.936359251,6.14545,364.618614595
441.148881321,466.454244604,40.065,40.104,32,0.8056,-41.6552,36.9252,374.361708115,138.976087771,1.16505773325,40.0728038533,176.02270794,32,40.0569047826,29.2305,40.0862318639,24.4302231683,276.981602387,7.50219,317.965073462
