Epoch,AverageY,AverageQLoss,AveragePolicySurr,Iteration,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageReturn,StdReturn,AverageQ,MaxEsReturn,MinReturn,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY
9,0.976033389314,0.832588,-0.136095,9,0.0850397,19.8228490862,2.78137787541,0.899879419155,37.0,5.78472222222,22.0726872247,4.24331589482,0.076154,24.0,15.0,10.4468,0.00064464,10.4746,2.0,0.976033389314
10,1.14247354567,0.0158286,-1.22987,10,1.12757,2.37847002157,0.616610225978,0.0561583069821,3.0,2.79608938547,2.39635753654,0.489140306833,1.12757,8.0,2.0,11.3055,0.99996,11.2024,2.0,1.14247354567
11,1.58000879208,0.0114173,-1.60623,11,1.57962,2.37612843466,0.71224775213,0.0613153536825,3.0,2.76033057851,2.39396840594,0.48862797818,1.57962,10.0,2.0,12.9696,0.999969,11.2208,2.0,1.58000879208
12,2.01676895862,0.0188901,-2.22103,12,2.01643,36.3477067805,7.34614283189,0.080088928666,47.0,5.70689655172,44.9506726457,0.826840653833,2.01643,39.0,43.0,15.1976,0.0408869,13.6239,2.0,2.01676895862
13,2.74003358592,0.0377728,-3.15729,13,2.73955,45.1184189447,28.7659765167,0.112247409523,63.0,40.8636363636,59.7083333333,1.3816577632,2.73955,102.0,57.0,17.6944,0.596109,14.9707,5.0,2.74003358592
14,3.43897594382,0.0561818,-4.0137,14,3.43898,61.9453589998,25.2289296025,0.137845742627,121.0,36.6333333333,96.3942307692,7.32411489695,3.43896,110.0,83.0,19.9275,0.359174,16.7971,7.0,3.43897594382
15,4.16897860873,0.0861804,-4.91353,15,4.1688,55.3314229159,22.0416857257,0.168488896645,146.0,33.4827586207,80.9677419355,12.9321651281,4.16864,92.0,64.0,21.9636,0.209988,19.1586,4.0,4.16897860873
16,4.94857774188,0.117511,-5.81792,16,4.94908,52.071725051,19.4825347683,0.192776326008,154.0,24.380952381,74.4296296296,16.4328220523,4.94879,68.0,52.0,24.0599,0.151813,20.8259,4.0,4.94857774188
17,5.74488935238,0.165161,-6.74147,17,5.74566,55.6332044873,15.1228965837,0.218829362957,200.0,23.2558139535,83.6833333333,25.9117037049,5.74527,64.0,54.0,26.0579,0.208944,22.0605,4.0,5.74488935238
18,6.53394179417,0.201935,-7.65896,18,6.53486,43.3608394715,13.6813058774,0.232211715095,130.0,15.1111111111,56.9602272727,9.42998168046,6.53419,68.0,47.0,28.0894,0.237922,23.4513,3.0,6.53394179417
19,7.35698025268,0.275447,-8.58333,19,7.35835,49.1838625869,15.002526079,0.260394501261,231.0,19.1296296296,72.0791366906,34.0429404567,7.35708,64.0,43.0,30.2071,0.173784,24.4388,4.0,7.35698025268
20,8.18668268033,0.314842,-9.51431,20,8.18781,61.3586589546,11.7746694322,0.273450786543,185.0,15.8153846154,97.0,22.9585747346,8.1864,57.0,63.0,32.3624,0.221121,25.5659,3.0,8.18668268033
21,8.99568108181,0.387474,-10.4501,21,8.99826,50.8006953184,10.9525144117,0.298929940786,239.0,14.4492753623,72.7971014493,23.6891583532,8.99606,51.0,50.0,34.4954,0.370791,26.4555,3.0,8.99568108181
