StdEsReturn,MaxReturn,MaxForwardProgress,StdReturn,AverageQLoss,AverageAbsY,AveragePolicySurr,AverageY,AverageAction,AverageQ,AverageAbsQ,Epoch,MinForwardProgress,MinEsReturn,QFunRegParamNorm,MinReturn,AverageReturn,MaxEsReturn,AverageForwardProgress,StdForwardProgress,AverageAbsQYDiff,AverageEsReturn,AverageDiscountedReturn,PolicyRegParamNorm
15.9281548305,43.8993915619,0.236097746158,7.41259753103,0.00227252,0.0314703092678,-0.0238012,0.0223087457899,0.000163589,-0.00694553,0.0109796,9,-0.0837151466671,-18.1120748268,8.01165,4.8229516475,25.6974426998,92.7596790183,0.0847440727055,0.060317861504,0.0352557528373,14.1651970874,17.0284385411,14.1274
21.4418642914,85.5112285472,0.458661853132,21.4542642483,0.000596137,0.0460062409225,-0.0560738,0.043075832234,0.837979,0.0428162,0.0432718,10,-0.474186412284,-22.0225867789,10.6617,-38.8933450406,13.4767299759,92.0251959234,-0.0346677711898,0.16563916565,0.0179877648293,5.10898794605,8.80003495506,14.7377
13.0990660157,78.8531606202,0.451165228736,34.6331582649,0.000440702,0.0789870216873,-0.104982,0.07717228157,0.96241,0.0770433,0.0780908,11,-0.726510656681,-2.86239323992,13.0025,-63.5563985771,11.2156688287,48.4436100978,-0.0717219531527,0.259884935959,0.0161834575769,18.9478920837,5.3926012423,15.4195
26.3964395593,61.8882466201,0.314576842522,24.0764045266,0.000638879,0.124620855449,-0.151463,0.122089369821,0.994318,0.121919,0.124031,12,-0.60737408227,-39.0215809707,14.9031,-54.1352084181,-26.594487877,45.1205988272,-0.372604979182,0.184621122428,0.018902798358,-6.25614361654,-9.54697303015,15.8567
33.3092064143,42.3845264453,0.238659520838,10.5771905572,0.000968946,0.167691150054,-0.190545,0.160802007361,0.98152,0.160673,0.167184,13,-0.0589640272871,-39.4955086699,16.4063,-0.028637242528,19.9816774174,58.5577747949,0.0805428690509,0.0701670258526,0.0227353547216,9.94392796896,14.3801269304,16.1355
11.4680639565,65.9763982903,0.402111803255,8.34126728402,0.00137112,0.216959813108,-0.248167,0.206600384148,0.983722,0.206341,0.216353,14,0.0917155014173,10.9185378678,17.554,21.7382122347,38.3702849923,53.5930336093,0.208599241007,0.0601649705636,0.0262439284642,30.1192113073,26.1514938925,16.4803
17.0667891234,77.165363843,0.471013674361,14.1095979012,0.00207583,0.284316969682,-0.304264,0.272725353204,0.981485,0.272481,0.283668,15,-0.0407324793289,2.40773142514,18.4931,7.50289837358,36.6701082898,55.7856638375,0.174742597585,0.101666537408,0.030694129982,33.3890106725,23.8511045222,16.6267
13.0318451925,32.3259163743,0.185565642172,4.50253490153,0.00251704,0.328332968264,-0.337751,0.316320574211,0.974568,0.316113,0.327776,16,-0.0118027172052,0.115866857897,19.2846,6.30470686615,20.0066560684,45.9238631793,0.0931943705268,0.034543187245,0.0332259779167,23.8763488563,16.0026566959,16.9419
6.2103507218,23.3130925606,0.130996867339,5.26970692991,0.00290521,0.361626702336,-0.366531,0.350230655814,0.948345,0.35005,0.361136,17,-0.110154899669,-0.0989024687445,19.9386,-7.79715059081,8.88767644774,23.8444553323,0.0198633457106,0.0400609669901,0.035759087867,12.3223342198,7.47123362236,17.3157
7.37076733235,26.3493982837,0.1288840146,6.38999960285,0.00326154,0.38884357871,-0.40911,0.377636187759,0.924519,0.37745,0.388345,18,-0.140874685684,-4.14401868043,20.526,-8.10270144029,8.94644692611,23.5293025613,-0.00954061205858,0.049526345462,0.0375874285761,11.1316432924,7.08134859554,17.7671
