MaxReturn,StdEsReturn,QFunRegParamNorm,AverageReturn,MinEsReturn,Epoch,MaxEsReturn,AverageAbsQ,AverageAbsQYDiff,AverageY,Iteration,PolicyRegParamNorm,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageQ,StdReturn,AverageAbsY,AverageAction,AverageEsReturn,AverageQLoss
-0.984162395317,26.4812313584,19.5143,-12.4546194713,-202.125919942,9,-111.975650343,0.261421,0.424317201707,-0.0403459716807,9,19.6916,-2.38929529375,-20.7236681503,-0.331987,-0.129704,5.61891746652,0.373096237675,0.0447987,-181.282857712,0.3521
-533.579565048,0.0,19.6102,-572.891109934,-205.679521459,10,-205.679521459,0.133783,0.10653856932,-0.0704764165388,10,21.3029,-53.0303638598,-631.278538897,-0.173777,-0.0708503,29.5377952329,0.139463856701,0.980381,-205.679521459,0.0274717
-589.369127003,0.0,19.6671,-591.497455375,-379.954992752,11,-379.954992752,0.0538995,0.0457478312789,-0.00999525488777,11,21.9557,-52.7605522228,-594.168024049,-0.000515173,-0.0102877,1.4760422709,0.0599546469544,0.998344,-379.954992752,0.00350702
-598.696034832,0.0,19.8407,-600.159858959,-392.061272882,12,-392.061272882,0.0748485,0.0384773681944,-0.0424216605579,12,23.5567,-60.7304859372,-601.723130474,0.0196507,-0.0423859,0.789140921721,0.0796994304526,0.998775,-392.061272882,0.00246323
-762.042619638,0.0,20.1233,-766.348782894,-376.28485921,13,-376.28485921,0.0677066,0.0344841077626,-0.0295011723921,13,24.1984,-78.8984740839,-774.671871289,0.00166718,-0.0294132,4.23586888976,0.072572699381,0.996333,-376.28485921,0.0020402
-471.577502272,0.0,20.519,-527.10547083,-473.488524476,14,-473.488524476,0.0763239,0.0323629409847,-0.0425175840903,14,26.2424,-50.9113821949,-591.154824221,0.0242461,-0.0422179,35.97076412,0.0818088141499,0.958095,-473.488524476,0.0018356
-365.686494695,0.0,21.2689,-494.618176257,-433.352737715,15,-433.352737715,0.0908529,0.0378283503103,-0.0499166116224,15,27.1737,-38.965289359,-568.135405529,0.00679934,-0.0499025,61.9088838932,0.0978477395517,0.765711,-433.352737715,0.00266557
-186.030638682,0.0,21.9796,-226.202298476,-304.223924263,16,-304.223924263,0.0992471,0.0343601893814,-0.0378316744496,16,29.3365,-13.3062576894,-236.159775234,-0.0081941,-0.037948,13.8153871998,0.104164554727,0.663889,-304.223924263,0.0022179
-89.1994290147,0.0,22.8147,-287.723719766,-432.57518479,17,-432.57518479,0.107025,0.0315004317816,-0.0238474195981,17,31.7062,-28.20695947,-348.878530965,-0.0149475,-0.0239781,86.620476458,0.110789097768,0.474164,-432.57518479,0.00194355
-310.057219605,0.0,23.8654,-335.277789721,-339.274524816,18,-339.274524816,0.11308,0.0319350197116,-0.0138423984138,18,33.9854,-16.731456397,-359.505039348,-0.0257496,-0.0139819,15.9390265862,0.117096243818,0.64808,-339.274524816,0.00207627
-263.958376273,0.0,25.0103,-305.437240704,-268.113441113,19,-268.113441113,0.125256,0.0323224926444,0.000760551379197,19,36.1492,-19.6184513207,-377.75292291,-0.0469936,0.000534618,35.6455677456,0.129094924338,0.652829,-268.113441113,0.00216743
-6.68139091829,0.0,26.2646,-70.8918133185,-278.181911564,20,-278.181911564,0.141459,0.0329178995696,0.0192952390918,20,38.0331,1.85828501775,-116.453422354,-0.0720868,0.0190383,33.7538049126,0.145013454306,0.636146,-278.181911564,0.00223839
74.2729835036,0.0,27.6335,46.2744979297,-219.055488939,21,-219.055488939,0.159053,0.032454989399,0.0406658728395,21,39.7833,7.21016690525,26.7554372305,-0.0972593,0.0404388,15.9957873823,0.162369490805,0.42836,-219.055488939,0.00224436
52.8254573074,0.0,28.9868,11.1559766421,-189.780981025,22,-189.780981025,0.180994,0.0330008419494,0.0684065499555,22,41.7236,6.67436573968,-15.728777008,-0.125419,0.0680929,19.8899445343,0.18398607378,0.148259,-189.780981025,0.00232116
292.150941612,0.0,30.3163,136.610561458,-65.1207382637,23,-65.1207382637,0.195316,0.0331419292368,0.0903822730084,23,43.4935,27.3560837113,-2.19818214407,-0.14765,0.0900881,95.6862951213,0.198515094431,0.264702,-65.1207382637,0.00239416
391.687317036,0.0,31.6246,297.09414132,-24.7218435976,24,-24.7218435976,0.21507,0.0340048980431,0.127056637547,24,45.2297,29.3339367138,4.81848928666,-0.187013,0.126754,129.785315585,0.218091012624,0.381403,-24.7218435976,0.00250314
