MaxReturn,QFunRegParamNorm,Epoch,AverageEsReturn,MinReturn,AverageQ,AverageY,StdReturn,AverageAction,AveragePolicySurr,Iteration,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageQLoss,AverageAbsQ,StdEsReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm
2583.51582959,39.2112,59,831.392331709,644.71721251,45.7409,45.7510508562,634.683249802,0.877515,-47.154,59,45.7515840195,1.14131297335,1256.38933961,4.34674,45.7409,0.0,831.392331709,174.262927692,831.392331709,35.1808
1385.32728558,39.5601,60,996.401982122,-280.821137371,47.0486,47.0606529203,451.060535635,0.868288,-48.4421,60,47.0611936641,1.16221718465,962.959470225,4.44655,47.0486,0.0,996.401982122,175.056829223,996.401982122,35.446
1933.83725265,39.9404,61,1319.1167679,673.866770523,48.5414,48.5535308471,403.762684322,0.871677,-49.8695,61,48.5538995452,1.17566775847,1067.1895543,4.78816,48.5414,0.0,1319.1167679,171.766934283,1319.1167679,35.7128
2963.65860675,40.3124,62,1160.48514433,512.764027942,49.8442,49.8558712357,819.881713715,0.888898,-51.2044,62,49.8561660768,1.17322863039,1864.24280069,4.44957,49.8442,0.0,1160.48514433,221.758135784,1160.48514433,36.0209
1981.12384242,40.6063,63,730.50981123,-529.655918926,51.2115,51.2214640854,690.694979754,0.877453,-52.584,63,51.2218433008,1.20639021762,1081.52305914,4.97129,51.2115,0.0,730.50981123,187.216151138,730.50981123,36.2814
2348.6563157,40.8792,64,-413.833771438,-577.61636773,52.5671,52.5789831651,766.913015631,0.886361,-53.9503,64,52.5792786727,1.21012053783,919.873470096,4.96282,52.5671,0.0,-413.833771438,140.035407362,-413.833771438,36.5843
3205.6380002,41.2986,65,941.095813451,-558.366843833,54.1958,54.2074689064,1098.72467965,0.917934,-55.6068,65,54.2076654618,1.24575071845,1272.67287018,5.15149,54.1958,0.0,941.095813451,179.184850759,941.095813451,36.8606
2111.09527251,41.6373,66,2548.3426788,751.764600457,56.0692,56.0824981874,430.727231028,0.885621,-57.4944,66,56.0829352146,1.30310980961,1275.59847651,7.04669,56.0692,0.0,2548.3426788,200.742892663,2548.3426788,37.1447
1259.41530603,41.8788,67,1310.9919216,402.669845118,57.2246,57.2378157826,241.835654189,0.893219,-58.6236,67,57.238309275,1.26192980868,735.501014387,5.56969,57.2246,0.0,1310.9919216,139.953838479,1310.9919216,37.4348
1267.57645288,42.2516,68,714.560653524,282.246070252,58.5088,58.5194799898,262.353869429,0.88768,-59.8772,68,58.5198263723,1.29324698894,947.00489408,6.03779,58.5088,0.0,714.560653524,105.423568288,714.560653524,37.7443
2899.96671452,42.541,69,853.894332326,-548.103972466,59.6499,59.6620575366,789.3228964,0.91789,-61.0282,69,59.6624903187,1.26843529689,1121.60013589,5.86297,59.6499,0.0,853.894332326,144.877991748,853.894332326,37.9975
2814.25398976,42.8611,70,723.044050268,-572.205901747,60.8622,60.8738604653,974.2512031,0.936833,-62.2468,70,60.8742219686,1.32680142233,1215.98124476,6.7453,60.8622,0.0,723.044050268,176.711468472,723.044050268,38.2982
2249.51629162,43.2491,71,1496.76583783,-253.414609223,61.7249,61.7354837525,649.836162842,0.919898,-63.1444,71,61.7358920712,1.32347187844,653.377002511,6.75646,61.7249,0.0,1496.76583783,155.898688055,1496.76583783,38.5348
1604.95378674,43.5245,72,-418.812329635,744.213556315,63.1035,63.1146315729,274.450404601,0.894815,-64.4849,72,63.1149181789,1.30826104054,1060.98523192,5.91603,63.1035,0.0,-418.812329635,189.58512275,-418.812329635,38.805
1738.00886788,43.8697,73,514.067425773,-602.506905423,64.4154,64.426525738,778.911018399,0.931923,-65.7835,73,64.4268424305,1.35995645669,569.511538694,7.29503,64.4154,0.0,514.067425773,117.044487085,514.067425773,39.0671
2886.41815356,44.1923,74,1811.73294444,-554.622828143,65.575,65.5890232836,1023.19372917,0.919443,-66.945,74,65.5893017739,1.3290594542,758.084728301,6.60551,65.575,0.0,1811.73294444,133.515563762,1811.73294444,39.3022
2273.1055666,44.5533,75,656.295969356,-469.262198578,67.0674,67.0783662116,782.029127243,0.929196,-68.4452,75,67.0787781537,1.41296921286,583.184273218,7.609,67.0674,0.0,656.295969356,205.165132518,656.295969356,39.5892
1531.86819143,44.8105,76,2655.1814201,577.458720923,69.3964,69.4066757851,293.178369661,0.895145,-70.771,76,69.4069319969,1.39275831468,1066.28358688,7.04236,69.3964,0.0,2655.1814201,211.496722626,2655.1814201,39.8793
3220.06311303,45.1303,77,1566.39684213,-706.468614236,69.9952,70.0082630112,974.651109966,0.912742,-71.3845,77,70.0086743533,1.43741745596,1523.12347751,8.33696,69.9952,0.0,1566.39684213,193.963606047,1566.39684213,40.0871
1794.77972079,45.51,78,883.054797593,147.370523004,71.5728,71.5857514096,480.688670223,0.905911,-72.9911,78,71.5862405025,1.48313255124,1366.18239686,9.59293,71.5728,0.0,883.054797593,191.738730113,883.054797593,40.3483
2543.17053478,45.8582,79,894.733077394,-339.11026918,73.0534,73.0655818271,829.042628503,0.917041,-74.4516,79,73.0659722034,1.483705859,1131.16866255,8.4375,73.0534,0.0,894.733077394,201.860013353,894.733077394,40.5765
2415.81336614,46.1853,80,2217.11123934,643.019689553,74.8379,74.8484568666,620.368287218,0.90748,-76.2416,80,74.8487452103,1.47949868911,1507.95505505,8.5948,74.8379,0.0,2217.11123934,213.065122253,2217.11123934,40.8088
3500.66424003,46.4712,81,1843.61428796,1045.40217482,76.1365,76.1478653743,852.512244177,0.917406,-77.5269,81,76.1483643946,1.49704210421,1909.28471225,8.83542,76.1365,0.0,1843.61428796,246.443404767,1843.61428796,41.0457
2115.62419638,46.8662,82,2037.33222922,378.342026776,77.8739,77.885165688,431.160659159,0.931567,-79.2409,82,77.8856462845,1.54017073591,1100.54727871,9.90662,77.8739,0.0,2037.33222922,204.635832422,2037.33222922,41.2963
2005.81842573,47.1775,83,1172.89090118,-17.1570716897,78.4103,78.4231258882,522.17664272,0.929414,-79.7672,83,78.4235500093,1.51676156886,1178.99714473,9.13727,78.4103,0.0,1172.89090118,193.673353837,1172.89090118,41.5229
1453.81219025,47.4795,84,676.874357714,345.450156454,79.3931,79.4030557576,313.109328196,0.903,-80.7486,84,79.4032626494,1.52371131294,954.491855356,9.47112,79.3931,0.0,676.874357714,188.408510902,676.874357714,41.7035
2613.48379542,47.8239,85,654.949308429,893.165618528,80.535,80.5482426816,438.703712752,0.908926,-81.9708,85,80.5485623335,1.5932021874,1506.0363995,10.3235,80.535,0.0,654.949308429,246.474798978,654.949308429,41.9685
3825.47354057,48.2336,86,951.727881172,870.475793103,81.95,81.959539161,955.722236436,0.920241,-83.3515,86,81.9598956799,1.5925670576,2121.19512008,11.6411,81.95,0.0,951.727881172,249.37292488,951.727881172,42.2072
3755.79526941,48.5741,87,1550.44506824,603.068140938,83.6598,83.6748471878,945.295103632,0.914377,-85.0591,87,83.6752807893,1.61107185356,1772.7530521,10.8679,83.6598,0.0,1550.44506824,245.421653357,1550.44506824,42.4415
3148.85059133,48.9644,88,2586.31980905,-422.686526877,85.0216,85.0326825432,942.947997072,0.909881,-86.4275,88,85.0331176097,1.66405417353,1500.99741028,13.3714,85.0216,0.0,2586.31980905,272.841067585,2586.31980905,42.6792
3384.78492607,49.2966,89,993.447437488,1160.80365113,86.6955,86.7072205108,699.550979173,0.913085,-88.1034,89,86.7075410854,1.65884826819,2908.37436037,11.2914,86.6955,0.0,993.447437488,255.138823543,993.447437488,42.8754
4088.82013644,49.5721,90,2563.33335187,1011.63499146,88.6561,88.6707812338,1190.98523248,0.927638,-90.0626,90,88.6712662845,1.6253551842,2578.58571578,11.272,88.6561,0.0,2563.33335187,284.959569367,2563.33335187,43.1325
3746.65823061,49.8853,91,1621.70821242,892.542521439,90.2655,90.2733717063,839.507179583,0.927449,-91.6522,91,90.2737825194,1.66248476527,2085.50507816,12.5309,90.2655,0.0,1621.70821242,286.822957805,1621.70821242,43.339
2001.51732307,50.2859,92,2495.37050463,-284.444211287,91.564,91.5773954637,604.626267548,0.909154,-92.9378,92,91.5777789774,1.72485361152,1326.74283199,14.5957,91.564,0.0,2495.37050463,257.927246236,2495.37050463,43.5152
3513.04426873,50.6373,93,1462.31773585,1008.04161156,93.2457,93.258967967,774.312217444,0.917533,-94.6675,93,93.2592958464,1.71267105495,2285.36668283,13.8097,93.2457,0.0,1462.31773585,278.290043404,1462.31773585,43.7414
3816.0756136,51.0243,94,2406.82850184,2164.09272178,95.22,95.2330453751,509.528946079,0.927571,-96.6143,94,95.2335401072,1.79411373114,2971.56810578,15.9605,95.22,0.0,2406.82850184,292.011081043,2406.82850184,43.9131
