AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MaxReturn,AverageEsReturn,StdEsReturn,AverageAbsQYDiff,MinReturn,AverageDiscountedReturn,AverageReturn,MaxEsReturn,AverageY,StdReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQ,AverageQLoss,Epoch
19.249108447,-4.2653962951,27.6269,18.6191,-21.1303,997.572675521,130.747955391,99.8320310115,1.08449106025,124.034313327,117.450239438,382.08445726,263.450389101,18.6255536771,163.331943522,0.727986,32.2216,39,19.2359,3.77218,39
20.5876993015,102.4877465,28.0236,19.9645,-22.5923,439.512538709,209.936273955,69.5481011563,1.10768365763,102.780006935,105.931988745,228.623154861,316.225727092,19.9727111505,54.7117969825,0.763935,32.8827,40,20.5762,3.82909,40
21.9285960082,35.3638968406,28.4037,21.3432,-24.0381,457.880424662,192.957807792,117.696198578,1.18248651901,86.0211498755,102.251965212,180.117529079,362.517623841,21.349637529,59.644161799,0.781436,33.5002,41,21.9228,4.28661,41
23.4303089779,32.5534610659,28.7743,22.8852,-25.6437,1096.65102209,208.016326112,84.5220786917,1.2502434671,25.4564812585,113.027645427,387.475426865,304.281794561,22.8943031658,223.783430698,0.739848,34.1983,42,23.4226,4.81303,42
24.7653843017,13.3841123288,29.1524,24.2291,-27.0608,539.971275044,169.580444169,129.002004233,1.2768044674,92.2797462152,102.328005178,225.784943024,386.313526765,24.2369391069,68.8049242893,0.730396,34.6948,43,24.759,4.73379,43
26.1991965544,23.6055166502,29.4934,25.7233,-28.5476,427.702738794,207.978169447,111.666517799,1.34524471167,47.0751589682,92.6769958564,229.747559104,300.802898975,25.7317494634,99.4933477843,0.683526,35.2886,44,26.1971,5.28193,44
27.512497019,4.59332602762,29.9906,27.0871,-30.0729,315.094472595,185.668264543,127.928966381,1.4005791548,-27.806306006,85.7595305316,183.391967454,296.687667249,27.0957420948,73.4629991021,0.755258,35.8626,45,27.5099,5.6273,45
29.0766672809,31.2136519179,30.3971,28.7043,-31.7494,378.18980016,148.703227548,111.275198839,1.46520145915,32.4005890162,90.379401811,208.976713971,345.321199511,28.7142064025,84.7153903873,0.749495,36.5077,46,29.0729,6.34504,46
30.696553013,5.68297493902,30.7678,30.3608,-33.4189,354.887056893,138.385451082,112.487829007,1.50721691793,18.84050495,43.2464931192,88.2106740078,325.757001265,30.3705365754,102.373625483,0.736136,37.0658,47,30.69,6.59974,47
32.4611547003,5.91391113192,31.0925,32.1483,-35.3104,349.877310159,107.160306005,155.025025882,1.56727556126,10.0363449411,18.9038601826,25.6211100785,424.633497218,32.1594212586,37.9294332235,0.700488,37.6041,48,32.4508,7.40522,48
34.296137474,4.66265613138,31.4178,34.0105,-37.2165,71.8926148057,92.2679060397,131.120847305,1.63018086287,6.30484934254,11.5082667808,13.4799326854,439.651462986,34.0198439608,6.95332854653,0.642351,38.1234,49,34.2863,8.13571,49
35.9786109572,7.09193465521,31.7266,35.7251,-39.0679,387.799416422,152.672872306,101.991145682,1.71414435072,85.9837901502,107.979639182,229.811579704,277.638616019,35.7363598306,41.3516727095,0.775046,38.63,50,35.9702,9.44347,50
37.6622327851,-0.254734912694,32.0201,37.4364,-40.6835,401.7270268,107.499533017,78.0861910602,1.75510490755,53.8015521446,104.805560585,228.595199177,248.444608035,37.4463488339,61.2001788692,0.768296,39.1372,51,37.654,9.88078,51
39.2663988854,6.31774172577,32.3545,39.0484,-42.3397,343.719685676,158.68248798,102.755700791,1.83330579942,71.9525350303,94.3279659618,190.468641187,331.701412438,39.0601146973,44.8213304081,0.76904,39.6746,52,39.2579,10.7271,52
40.912820638,1.50778357853,32.6758,40.6941,-44.1342,285.358409247,145.354724761,142.07873597,1.89645383068,125.799497101,94.2707740393,185.316753111,419.033643021,40.7093692335,38.2821764559,0.768103,40.2753,53,40.9011,11.7016,53
42.7627753453,-2.18585114044,32.9047,42.5604,-46.1347,331.964015324,120.106826309,125.151051305,1.97111591361,75.9437749223,90.7481931895,179.342325895,366.498469526,42.5714956606,64.5502809556,0.74122,40.7778,54,42.7583,12.4086,54
44.484017729,-29.2542171116,33.1338,44.298,-47.9582,311.788234366,104.917726618,103.58187172,2.01746369415,58.2598479548,81.961734575,187.754640402,281.756373108,44.3158843906,61.0932803932,0.748599,41.2251,55,44.4744,12.5438,55
46.250735866,15.9682169728,33.409,46.0681,-49.6405,405.440385901,119.780053731,66.6392254517,2.06599225668,120.420951296,116.099606057,256.771860651,208.113095349,46.0842892242,69.1793207994,0.761582,41.6948,56,46.239,13.4145,56
47.9199965016,-17.2075880103,33.6907,47.7453,-51.3534,287.116234301,130.034378009,76.4297720169,2.13703922277,2.80385895118,85.0242711503,177.592137088,219.513979335,47.76330836,58.6102551117,0.754085,42.1843,57,47.9079,14.8656,57
49.4809162577,-13.6259369002,33.9519,49.3244,-53.1232,297.009221664,127.000076919,106.53350891,2.19289224806,29.0819419955,87.7011099132,160.389198022,295.477296021,49.3385521112,60.6194752571,0.783597,42.6368,58,49.4671,15.443,58
51.3821260168,15.792858251,34.2049,51.2439,-55.0791,363.357131863,143.572483564,80.8391018759,2.27059134418,14.8964806522,80.3594784626,182.821342002,314.463530416,51.2643202621,68.4141901726,0.770971,43.0965,59,51.365,16.009,59
53.3730692936,40.7228973702,34.5019,53.2314,-57.0612,185.818622606,143.446655088,98.0278274139,2.34520326563,33.9684730131,40.6300463706,57.4509938013,411.365779772,53.2475993737,18.8012180301,0.830619,43.524,60,53.3602,17.6629,60
55.2704946396,1.26943659993,34.7466,55.1312,-59.173,341.643806106,116.275142464,103.814378465,2.37192024988,11.3537590924,72.7134009687,135.845803584,386.280381999,55.1455430514,64.9913792802,0.773075,43.9586,61,55.2619,17.6903,61
57.1400149468,36.9341407689,34.9722,57.0109,-61.0689,238.173140654,143.300750232,57.7284805568,2.49485331125,-6.50913068665,70.7879945892,133.954298849,225.898743519,57.0293711582,39.1815776122,0.753704,44.379,62,57.1288,19.6289,62
58.7658339832,60.183987807,35.2097,58.6465,-62.6706,428.544338691,114.976086015,49.4203917724,2.51418524051,-16.0028959854,72.6625490502,167.397432668,205.943474569,58.6627831448,76.7806748989,0.757629,44.8331,63,58.7576,19.7127,63
60.5190466246,44.4799267166,35.4249,60.3931,-64.446,228.066229876,133.685470272,62.8413268073,2.55279239424,57.6320327301,80.7310860895,132.581440802,240.979482876,60.4128087444,35.2745802299,0.75132,45.3119,64,60.5112,19.8573,64
62.1545642411,0.337878032916,35.613,62.0284,-66.0988,281.916691598,106.207883734,60.3700405032,2.60930441412,44.9714257373,69.7633625023,127.865800771,210.849578761,62.0434620604,42.3816965819,0.763352,45.683,65,62.1501,21.1938,65
64.1038469546,93.9989961784,35.8092,63.9801,-68.1226,292.546167541,152.283562022,50.6807810918,2.66241750664,105.207340155,104.290520254,178.600817626,247.29085982,64.0007752101,29.7817138112,0.743731,46.1161,66,64.0915,21.8264,66
65.8049399265,9.1329066901,36.0024,65.6828,-69.8142,205.053841075,115.122631599,76.4428300351,2.66202207898,63.1626158369,88.0849738525,142.335082436,267.701281155,65.6989293626,28.2819189495,0.778724,46.5121,67,65.7997,21.3602,67
