AverageQLoss,Iteration,AverageAction,MaxReturn,AverageAbsQ,AverageEsReturn,StdEsReturn,MaxEsReturn,AverageDiscountedReturn,AverageQ,StdReturn,AveragePolicySurr,AverageAbsQYDiff,PolicyRegParamNorm,QFunRegParamNorm,Epoch,MinEsReturn,AverageY,AverageReturn,MinReturn,AverageAbsY
0.0267973,9,0.000618868,36.0,0.0703461,5.86846741045,2.89658684072,29.0,20.0539007846,0.0639861,4.69693287427,0.0162635,0.103903359175,10.4747,10.4469,9,3.0,-0.0131741132164,22.3803131991,15.0,0.0574492737944
0.000888473,10,0.999945,3.0,0.0476798,2.84419263456,0.718888414239,7.0,2.36829241412,0.025033,0.486824308846,-0.077445,0.0165812686733,11.1908,10.7711,10,2.0,0.0250746555969,2.38597328244,2.0,0.0457071306786
0.000273694,11,0.999909,3.0,0.058708,2.7397260274,0.611026472091,9.0,2.36717725322,0.0562928,0.486556402858,-0.0284415,0.00913448178943,11.1467,10.9851,11,2.0,0.0563144715151,2.38483547926,2.0,0.0573224559029
6.76025e-05,12,0.311022,5.0,0.0324476,3.34448160535,1.7536568526,16.0,3.96826479884,0.0308085,0.167831313048,-0.0262677,0.00469539005896,12.2634,11.0211,12,2.0,0.030793372537,4.02900886382,4.0,0.031407305313
4.10606e-05,13,0.38617,65.0,0.038402,12.1728395062,11.2115352012,52.0,38.3560361643,0.0373182,2.50682776951,-0.0629361,0.00422784808358,13.9207,11.0983,13,3.0,0.0373282787689,48.1682692308,41.0,0.0374373646398
5.50421e-05,14,0.0101476,77.0,0.0473339,22.2790697674,16.8057653194,72.0,50.4632805806,0.0457335,2.69069972871,-0.0646372,0.00499146851392,15.206,11.2571,14,3.0,0.0457447736332,69.9300699301,64.0,0.0465692363334
6.22742e-05,15,0.188253,54.0,0.0513119,28.3513513514,21.8015821596,96.0,40.2448517738,0.0496584,1.11054682209,-0.0669998,0.00506756389498,15.6389,11.4562,15,3.0,0.0496607732951,51.2397959184,49.0,0.0506130228351
5.91141e-05,16,0.131321,45.0,0.0563846,23.3095238095,13.7243060285,46.0,34.2563382619,0.0551765,0.732954447577,-0.0713751,0.0047266918529,15.9829,11.6784,16,4.0,0.0551817705987,41.7333333333,40.0,0.0557231680825
5.79859e-05,17,0.0197052,37.0,0.0601039,25.0487804878,13.9912014504,48.0,30.4638144209,0.0588693,0.508525755369,-0.0744616,0.00455623435033,16.3114,11.9646,17,5.0,0.0588924517275,36.1516245487,35.0,0.0594669041226
5.30945e-05,18,0.121649,40.0,0.0640181,20.8723404255,14.3135362526,59.0,31.890618966,0.0631511,0.934085740383,-0.0782511,0.00420482138601,16.9,12.2338,18,3.0,0.0631539366914,38.2175572519,36.0,0.0634730264359
5.61189e-05,19,0.0755238,37.0,0.0674399,22.1086956522,14.6513514154,57.0,30.1800522192,0.0667474,0.510589395319,-0.0822529,0.00422791931558,17.4647,12.5353,19,3.0,0.0667575963033,35.7464285714,34.0,0.0669146857537
5.31497e-05,20,0.158957,35.0,0.0719135,16.1290322581,12.9172101639,42.0,28.1087140682,0.0713001,0.787458807359,-0.0875291,0.0040633929352,17.9069,12.8094,20,3.0,0.0712976136897,32.8393442623,31.0,0.0714382577405
5.65926e-05,21,0.052672,34.0,0.0758989,16.5166666667,12.0933751377,40.0,28.2361585365,0.075316,0.292633398649,-0.0922958,0.00416358317112,18.4782,13.0794,21,3.0,0.0753254904648,33.0132013201,32.0,0.0754300031972
6.48366e-05,22,0.402166,30.0,0.0803546,13.6081081081,11.8170943147,47.0,25.8765255347,0.0797451,0.403962358067,-0.0960959,0.00438917310448,18.8731,13.4249,22,3.0,0.0797488173517,29.7946428571,29.0,0.0798932072709
