MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
-351.525117504,0.0,-159.777573659,-248.069052939,-1.55735,-2.98485644861,0.00698292,0.0535156132949,1.4905209474,1.49059110408,17.4212,1.49025,30,0.417855,-351.525117504,-194.376385999,22.452,25.0143877803,30,1.49025,-351.525117504
-257.431185075,0.0,-49.7368654412,-153.542892174,-1.55688,3.20215491636,0.00771133,0.0546368983961,1.49057878356,1.490649527,17.8483,1.49021,31,0.618542,-257.431185075,-106.705753005,22.8495,30.1377094766,31,1.49021,-257.431185075
-178.363220101,0.0,64.999747595,-51.8477821499,-1.56388,11.7782095522,0.00689147,0.053252294202,1.49870829645,1.49875002505,18.2601,1.49834,32,0.725712,-178.363220101,4.32140878838,23.2695,32.5845342453,32,1.49834,-178.363220101
-64.9448217323,0.0,-31.0760890902,-221.633286782,-1.58495,-6.97789165804,0.00771122,0.0556393264634,1.51274079966,1.5128599275,18.6684,1.51252,33,0.737326,-64.9448217323,-131.941431175,23.6906,55.6335223193,33,1.51252,-64.9448217323
6.2895690179,0.0,-239.027197082,-552.276997155,-1.61507,-13.4941157358,0.00753407,0.0560117484716,1.53781734018,1.53786630119,19.0874,1.53751,34,0.780769,6.2895690179,-427.119367242,24.0649,81.0494296488,34,1.53751,6.2895690179
18.0458840628,0.0,-236.729918508,-332.841538784,-1.63862,-9.31082627629,0.00691057,0.0561192731771,1.5555039682,1.55555256723,19.4359,1.55518,35,0.83144,18.0458840628,-270.752882037,24.5285,28.9073689969,35,1.55518,18.0458840628
-49.817911956,0.0,-3.52132055663,-150.138122316,-1.65921,1.86801822653,0.00848239,0.0593436227598,1.57975993466,1.5798539923,19.8932,1.57931,36,0.832713,-49.817911956,-68.2836446825,24.825,50.9781199872,36,1.57931,-49.817911956
-17.2695230129,0.0,20.8521075433,-118.647469863,-1.68635,-3.22909954949,0.010187,0.0618771394471,1.60788728033,1.60798282083,20.3066,1.60752,37,0.750842,-17.2695230129,-30.6233770924,25.2098,43.8058732658,37,1.60752,-17.2695230129
23.6349263783,0.0,109.780148294,-90.4336462708,-1.70628,11.102987763,0.00835159,0.0595360347073,1.62964385071,1.6297210665,20.6154,1.62924,38,0.792824,23.6349263783,-19.1216952814,25.552,65.0450708557,38,1.62924,23.6349263783
116.294700554,0.0,402.467058027,-42.749199913,-1.73302,21.7309757798,0.00887919,0.0609347676892,1.66217995414,1.66226007401,20.9861,1.66193,39,0.742033,116.294700554,220.774837712,25.8187,116.776278338,39,1.66193,116.294700554
171.019672174,0.0,264.351908034,-33.5351096491,-1.75766,26.0814255387,0.00854059,0.0607683157231,1.68061274364,1.68068091726,21.3424,1.68024,40,0.744201,171.019672174,188.293323384,26.1573,82.3483250449,40,1.68024,171.019672174
129.42123173,0.0,230.996663708,35.5975993321,-1.78261,22.4355274378,0.00981846,0.0626315676124,1.70620203289,1.7062924189,21.7077,1.7059,41,0.852126,129.42123173,152.491711534,26.4596,54.0320746906,41,1.7059,129.42123173
210.592031636,0.0,224.772726161,-93.2096306864,-1.81271,9.09834776511,0.00825888,0.0608802904014,1.73245571185,1.73253770956,21.9963,1.73211,42,0.813745,210.592031636,115.446849766,26.7332,88.2381990618,42,1.73211,210.592031636
238.563052696,0.0,268.688961152,131.27761303,-1.85077,16.8806878381,0.0104009,0.0636438823984,1.7716050285,1.77171480757,22.3823,1.77137,43,0.848733,238.563052696,172.436630306,26.9213,43.592456289,43,1.77137,238.563052696
157.92461679,0.0,304.279721233,67.7801437106,-1.88769,31.654322517,0.00835775,0.0610790222435,1.80947835335,1.80952852151,22.668,1.8091,44,0.854666,157.92461679,220.129280702,27.1699,67.853528639,44,1.8091,157.92461679
331.588689879,0.0,376.168633425,180.797885203,-1.91843,30.2130962665,0.0112793,0.064102683066,1.83906198536,1.83915898951,23.0648,1.83883,45,0.87727,331.588689879,271.525429227,27.3945,62.7202077116,45,1.83883,331.588689879
300.291578695,0.0,172.547918381,37.3723458119,-1.94395,18.5830220362,0.010407,0.0626911364412,1.86724080762,1.86732364322,23.3547,1.86683,46,0.888142,300.291578695,109.549144562,27.6104,42.5315627734,46,1.86683,300.291578695
