AverageY,AverageEsReturn,Epoch,AverageAbsQYDiff,AverageAbsY,Iteration,AverageAbsQ,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageQLoss,AverageReturn,MaxReturn,AverageQ,AverageAction,AveragePolicySurr,StdReturn,MinReturn,StdEsReturn,AverageDiscountedReturn
2.92343504843,-4.10285447726,9,4.27475136173,2.99794103364,9,1.56282,35.8660024947,-16.5976362873,11.7101,11.4912,22.3019,-3.33554969799,-1.24490217568,-1.33575,0.204552,0.671803,0.59314779004,-4.72123766251,4.40409656249,-1.58091603604
1.24898939674,-8.31488793662,10,0.436607362522,1.47912278941,10,1.36947,1.89014465279,-17.3509269835,12.3792,11.7562,0.48966,-8.25744805379,-8.06969973495,1.20849,0.999994,-1.55165,0.0675327479583,-8.45018883434,2.82790261276,-7.97394186593
0.532383978595,-7.65162942581,11,0.198293196572,1.35791219687,11,1.34272,0.786917730912,-16.256868737,12.3953,11.9187,0.0673951,-8.25647634818,-8.06797852134,0.530341,0.999998,-0.5098,0.0667752498807,-8.45175939661,1.6127700203,-7.97302439349
-0.362626294919,-7.16664340986,12,0.220992603459,1.86641421417,12,1.85976,-4.06397979498,-19.7466263263,12.702,12.3985,0.084952,-6.05646509851,-5.83798951564,-0.361889,1.0,0.638775,0.0695571368429,-6.2571431012,2.13627816325,-5.84996823579
-1.29847821688,-7.54531395391,13,0.247235306487,2.3710249218,13,2.35963,-0.834328916886,-21.7373874319,13.4571,13.2373,0.1111,-8.78336223999,-6.00523277133,-1.29769,0.998648,0.667799,1.33988661133,-11.6039826173,4.0005821428,-5.39893953503
-0.894330521068,-12.1082096891,14,0.269126035488,2.6375277565,14,2.62383,-2.33780042949,-36.9434497001,13.9098,14.0355,0.129403,-8.80549564102,-5.89354833302,-0.897498,0.999952,-0.602928,1.36720356099,-11.426682704,8.44768406036,-5.41754318249
0.234232123476,86.6799656666,15,0.263142522979,2.92770577319,15,2.91534,269.792235949,-7.69557117881,14.2402,14.7553,0.132101,43.847005254,56.0520421315,0.232124,0.599897,-2.11944,5.74298612912,32.7930117148,100.293973707,44.6840358327
1.43961267892,114.301862939,16,0.28356786861,3.471197943,16,3.45929,262.899587613,3.66867328462,15.0586,15.4611,0.181019,45.4239392197,53.7284247841,1.43774,0.567948,-3.35212,4.26523261226,34.0323809442,97.2386417322,37.2917871872
2.52253521429,176.599532059,17,0.315236440353,4.19746510927,17,4.18294,481.691757795,-7.99887935491,15.5015,16.2495,0.240567,72.7298239017,456.159485808,2.52092,0.534736,-4.39831,53.9947713436,42.3600150219,182.254790954,53.4960433601
3.66416990516,148.697450438,18,0.355817181233,5.08179848984,18,5.064,314.699037075,29.2049474388,16.0858,17.061,0.335041,49.6792473904,140.817402597,3.66221,0.596946,-5.54882,18.8527819568,35.5036820267,102.10889443,40.0247702115
4.74634123862,128.324842132,19,0.404007238861,5.91918251526,19,5.90262,316.941564505,48.9385736409,16.7325,17.8527,0.494388,202.744050072,595.193204721,4.74308,0.569619,-6.56588,168.579413288,74.9293366624,96.5844876048,68.4147871022
5.67128147195,132.328126457,20,0.4117685306,6.69332528743,20,6.67738,272.698130807,60.7242210011,17.4185,18.4796,0.495546,60.5582614485,81.2024818129,5.66834,0.684177,-7.47927,8.2152592012,46.4252505427,67.9075283001,49.2564049372
6.62497265178,168.239670209,21,0.467254212612,7.56748908812,21,7.55147,279.415557852,25.9708649671,18.1782,19.2362,0.7641,767.69294595,1033.49107969,6.62116,0.524411,-8.45524,417.66970339,61.7947650844,100.757731496,93.8355236531
7.74055509473,194.594776682,22,0.497800189676,8.59497591922,22,8.57877,406.58512812,31.6688825437,18.8758,19.9515,0.818447,55.5461367913,78.5768158385,7.73646,0.675883,-9.64865,8.49227265388,39.4016045717,130.693030564,47.956391913
8.79495741533,103.475943015,23,0.536332178755,9.6102700808,23,9.5978,382.512625109,-2.63519336623,19.4429,20.5414,1.00888,223.661901525,423.662022309,8.79164,0.617786,-10.6857,128.158290455,52.4781988759,142.379201514,85.815467751
