AverageAbsY,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQLoss,Epoch,AverageAction,AverageReturn,AverageEsReturn,AverageY,MinReturn,QFunRegParamNorm,Iteration,MinEsReturn,AveragePolicySurr,MaxEsReturn,AverageQ,MaxReturn,StdReturn,StdEsReturn,PolicyRegParamNorm
0.0297452905428,0.0111981,-0.0305923021653,0.0263547839328,0.00112897,9,0.00306542,-0.306235241309,36.7861756629,0.0040823401557,-0.310447998255,10.2534,9,-31.9397548182,-0.0363703,93.990364073,-0.00398523,-0.304814356067,0.00204279935302,56.8503927084,10.275
0.102053208286,0.0809135,-0.00136863943506,0.124338653135,6.2985,10,0.000137008,-0.0136870978756,-0.287741135606,0.0810481650677,-0.0137633484255,15.4787,10,-0.287741135606,-0.0881073,-0.287741135606,0.0558298,-0.0136590337102,3.06682357805e-05,0.0,11.7271
0.169498866858,0.188988,-0.00271858171761,0.186236333437,6.43993,11,0.000271784,-0.0271511737918,26.1269070283,0.135238211653,-0.0272652906148,24.7508,11,-27.9118277615,-0.165721,80.1656418181,0.128545,-0.0268207014623,0.000147913958356,54.0387347898,11.9338
0.248394191843,0.261183,-0.095271365387,0.173255372943,5.13817,12,0.00952756,-0.951803129784,54.4802030483,0.175675930997,-0.951857469091,30.5041,12,-7.32626057662,-0.213287,91.671479135,0.167953,-0.951732815475,4.33925619226e-05,44.0043081994,13.1662
0.350076119189,0.364555,-0.139239063972,0.166831349832,3.34309,13,0.0139245,-1.39105890943,55.5969082924,0.216560602484,-1.39105890943,37.0375,13,-7.18121967163,-0.275081,90.3007798007,0.210977,-1.39105890943,2.22044604925e-16,44.4732725873,14.6198
0.500135096652,0.512746,-0.0129740391547,0.152409610533,1.83315,14,0.00129746,-0.129616303375,54.6590882647,0.304866957246,-0.129616303375,41.5655,14,-4.67453087521,-0.363244,93.1224845439,0.301697,-0.129616303375,0.0,42.5655471629,14.9656
0.688475889712,0.697782,-0.00345071407982,0.134739966433,0.941794,15,0.000345088,-0.0344741369822,57.8110035809,0.463271766521,-0.0344741369822,44.3977,15,-5.42355385792,-0.527394,91.895704381,0.46086,-0.0344741369822,0.0,44.7589478026,15.6869
0.787838781169,0.796327,-0.0702992058341,0.105831507877,0.481082,16,0.00703023,-0.702319692563,-9.59646867932,0.563607918876,-0.702319692563,45.762,16,-9.59646867932,-0.627112,-9.59646867932,0.563147,-0.702319692563,0.0,0.0,16.0799
0.891506981541,0.901483,-0.247611890223,0.0718307090019,0.166962,17,0.0247623,-2.47375065697,49.7957859123,0.671076304338,-2.47375065697,47.2279,17,-31.0603373448,-0.733963,90.8187976773,0.670246,-2.47375065697,4.4408920985e-16,57.1759766964,17.1012
1.05764769351,1.06652,-0.105506612177,0.0672006904191,0.153837,18,0.0105511,-1.05405702025,54.7052466701,0.840181060803,-1.05405702025,48.9952,18,-10.2306311049,-0.9058,88.1853952667,0.840393,-1.05405702025,0.0,45.9240368094,17.7211
