MinReturn,AverageY,StdEsReturn,MinForwardProgress,AverageAbsY,AverageAbsQYDiff,AverageDiscountedReturn,AverageAction,MaxEsReturn,QFunRegParamNorm,Epoch,AverageQLoss,AverageForwardProgress,AverageEsReturn,AverageQ,MaxForwardProgress,MinEsReturn,AverageAbsQ,PolicyRegParamNorm,AveragePolicySurr,MaxReturn,StdForwardProgress,StdReturn,AverageReturn
-217.73442498,0.0475604999399,9.45876778945,-0.863026335041,0.0504390882676,0.0108124283309,-43.9086495186,0.950046,3.33623341702,18.4056,10,0.00194748,-0.546170874281,-2.52943716338,0.0512948,-0.0970007889212,-44.057351501,0.0572722,18.9757,-0.204574,-141.271275032,0.206195617858,20.6330736507,-185.922985798
-174.416281105,0.113648995454,28.7153464625,-0.357571542379,0.119560239313,0.00431011641301,-12.9147297683,0.976468,-111.703352584,18.7316,11,0.000129788,-0.115921905277,-140.418699046,0.113718,0.141427391238,-169.134045509,0.11922,19.2319,-0.146424,-124.928848513,0.110644476965,10.9380302852,-150.73407924
-133.573144701,0.108144022524,31.0111987789,0.161477179723,0.122660285737,0.00399657397184,-11.4748681612,0.999828,-125.779742967,19.0468,12,0.000109753,0.256374909606,-156.790941746,0.108165,0.400341446838,-187.802140525,0.12221,19.6136,-0.123206,-109.698804229,0.0529606049527,5.28789017993,-124.100800119
-137.790690875,0.0733842403017,3.33772319262,0.117932133549,0.0992780114913,0.00418086119161,-12.5927443876,0.999204,-129.908675904,19.4764,13,0.000113105,0.240430632419,-133.246399097,0.0733741,0.314643171394,-136.584122289,0.098871,19.766,-0.061993,-118.206482827,0.0595320519701,5.91452829466,-125.583757347
-131.049868789,0.0412715380782,0.251098344673,0.187265530355,0.0818625576249,0.00451313619186,-12.4157631836,0.999732,-124.89223314,19.918,14,0.000127516,0.245335431901,-125.143331484,0.04129,0.309556561811,-125.394429829,0.0815023,19.8969,-0.0219234,-118.748354117,0.0315078251379,3.16526451918,-125.186826574
-131.51679795,0.00463537365251,2.04179081335,0.182559802132,0.0664630752795,0.00446915629002,-10.8264634877,0.999765,-117.314238819,20.3593,15,0.000132196,0.265712803466,-119.356029632,0.00464901,0.390890293284,-121.397820446,0.0661588,19.9928,0.0053236,-110.575349264,0.0432170890422,4.33605825959,-123.16295429
-135.946143855,-0.0190382546065,3.05227511228,0.116638634654,0.0676962185582,0.00497819617286,-13.4956438315,0.979548,-119.741758954,20.8524,16,0.000174927,0.216932579247,-122.794034066,-0.0190372,0.297429427259,-125.846309179,0.0673352,20.0628,0.0205182,-113.58202113,0.0494993456911,5.40903483339,-124.965796438
-150.146262461,-0.0324106972331,1.58644067791,-0.04427977147,0.0677882318595,0.0059974324615,-18.1083704203,0.986304,-103.229625956,21.2813,17,0.000195756,0.0749043686767,-104.816066634,-0.032411,0.178607488379,-106.402507312,0.0673319,20.1436,0.0282363,-127.994654077,0.0570515746633,5.60974381561,-138.356523315
-167.270163602,-0.0486598480855,2.64557749422,-0.211008120435,0.0727734519743,0.00632713005083,-34.3946397339,0.97888,-141.043647192,21.7352,18,0.000224919,-0.0793570533002,-143.689224686,-0.0486365,0.100157968477,-146.33480218,0.0722347,20.2531,0.0501492,-136.632574956,0.0626038055076,6.12105851667,-154.195495715
-160.897482625,-0.0703339650784,3.70286044277,-0.120083778015,0.0916194620609,0.00696648035216,-27.758202245,0.995097,-155.698655125,22.2105,19,0.000265889,0.0032198857581,-159.401515568,-0.0703289,0.140727940821,-163.104376011,0.0909522,20.2992,0.073432,-134.908355525,0.058487598858,5.81654085257,-148.544429788
-136.39572484,-0.0888826623295,1.12937875285,0.124603300617,0.109371941696,0.00672229608289,-5.76448021012,0.994476,-153.804517336,22.6547,20,0.000253572,0.372032739367,-154.933896089,-0.0888761,0.574248069861,-156.063274841,0.108883,20.3997,0.0870985,-91.2774681554,0.129566029684,13.0074533445,-111.534133005
-165.299502739,-0.105659297646,4.04017737888,-0.162787854762,0.126813910992,0.00710507734846,-19.31028233,0.995921,-151.524944896,23.0985,21,0.000288313,0.136996895317,-155.565122275,-0.105653,0.446815748049,-159.605299654,0.126276,20.5166,0.1072,-104.363704125,0.156230647664,15.6402573349,-135.253566542
-114.390126222,-0.123314896084,7.16230308842,0.346124765007,0.147311629303,0.00718888467816,0.0180770141426,0.996284,-97.1974239009,23.6055,22,0.00031786,0.482255305364,-104.359726989,-0.123308,0.563207406199,-111.522030078,0.146813,20.59,0.126779,-92.7892248241,0.055550728478,5.50998074497,-100.872101424
-118.275448593,-0.135944843443,2.34248500852,0.309683617797,0.163823333369,0.00722381141186,-0.341847409009,0.997061,-94.5519709963,24.0074,23,0.00030359,0.457244971574,-96.8944560048,-0.135934,0.576051294974,-99.2369410133,0.163393,20.7553,0.134986,-91.6456433678,0.0646697575924,6.45313104089,-103.483398092
-130.521336301,-0.145663878375,0.886367314001,0.184616296792,0.178497290675,0.0074145153658,-6.57256350884,0.996474,-97.1087721782,24.4079,24,0.000334146,0.348869793355,-97.9951394922,-0.145655,0.535470450009,-98.8815068063,0.178099,21.0108,0.143322,-95.5684162956,0.091877206598,9.2350489628,-114.245086511
-134.891942802,-0.161550862677,3.20997014177,0.144225213498,0.197435957431,0.0079222887418,-12.0200274383,0.997838,-105.060771874,24.8129,25,0.000369461,0.258578518368,-108.270742016,-0.161568,0.405514994837,-111.480712158,0.196975,21.1875,0.163191,-108.716333243,0.0711934249472,7.14086379502,-123.408396546
