AveragePolicySurr,AverageEsReturn,MinReturn,MaxReturn,AverageAbsQYDiff,MaxEsReturn,StdEsReturn,AverageDiscountedReturn,AverageReturn,AverageQ,AverageAbsY,StdReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsQ,Epoch,AverageY,AverageAction,QFunRegParamNorm,Iteration,AverageQLoss
0.461142,13.9212173261,11.4290792854,12.7488091315,1.99086255676,103.158358337,13.8004962786,11.3994373335,12.1400804756,-0.720137,1.283444702,0.249588534718,1.81762878942,11.1818,0.720137,9,1.27072576669,0.0399682,11.1654,9,4.49968
-1.19032,1.18596541867,-0.0282710612193,0.555013246487,0.137253716723,5.18919427066,1.04763685849,0.401389205916,0.250054209761,1.14287,1.18818965863,0.114099378461,-1.19483019812,11.5418,1.16336,10,1.15570393715,0.999875,11.3856,10,0.0691389
-1.46632,9.7778517041,36.633599085,41.7472677092,0.0990431835619,48.3766350781,17.0851113261,34.5095205868,38.8380315757,1.43831,1.51077687244,0.994401390593,-0.463116377157,11.9469,1.50744,11,1.43941343906,0.99986,11.674,11,0.0291005
-2.34571,41.1989699118,36.6128546761,40.6422511674,0.144541438248,70.8957324269,7.91466670818,34.4108953924,38.712018988,2.09072,2.23117591447,0.845980878239,8.6803381389,12.2665,2.22556,12,2.09264387627,0.999999,12.2913,12,0.0785097
-3.35196,41.9397569463,36.7119421881,40.7370768125,0.210408493288,66.3423574678,5.7321715619,34.4955493138,38.8191089579,2.99652,3.17685731427,0.931909331053,27.1588480201,12.3182,3.172,13,2.99818391263,1.0,13.3932,13,0.180739
-4.6245,55.9739891681,94.6982157814,112.464987042,0.260278122899,172.309211398,37.8878307327,77.7306593855,102.332422859,4.12867,4.30147108829,3.84553473689,8.6887913966,13.2942,4.29638,14,4.13045802615,0.93204,14.7586,14,0.286936
-6.0521,105.635982386,167.932577071,177.401203285,0.312838955161,196.987392511,47.4290549517,112.006353234,173.396070016,5.41455,5.58489972907,1.93554965271,7.39710149522,14.1452,5.57893,15,5.41810746964,0.982368,16.0995,15,0.420363
-7.58116,139.222235666,172.204579663,179.486049572,0.3558631077,201.239989415,48.2844463354,113.097015826,175.98502872,6.83648,6.97703802567,1.32785463677,36.9454215166,15.0967,6.97169,16,6.83951429139,0.708707,17.2944,16,0.607702
-9.25347,150.367574406,169.756364831,176.184752742,0.404688236593,187.303410405,42.7614079612,111.992297828,173.43346875,8.39719,8.51647183661,1.21553512766,24.3111590047,15.7895,8.51158,17,8.40123573065,0.665619,18.41,17,0.825157
-11.0559,136.166451175,150.63230932,215.633527791,0.450763782797,227.755818623,58.7839636964,118.899083571,188.963809645,10.1208,10.217062996,15.6589696543,33.6489282916,16.6257,10.2104,18,10.1262733309,0.613349,19.4896,18,1.10426
-12.9336,186.461171199,173.083040559,202.37354186,0.483655146274,224.457643276,20.6585467571,117.605675923,187.491471516,11.9198,11.999450699,5.6661210724,156.704278341,17.1393,11.9948,19,11.9241858431,0.600505,20.5573,19,1.35315
-14.7445,145.646249266,182.608607643,192.385702382,0.599027620918,197.607020013,53.2190240874,117.198371904,185.67672781,13.6178,13.6855388067,1.75574021645,15.4226363571,17.7168,13.6802,20,13.6237224012,0.605476,21.8394,20,2.1396
-16.5722,141.427530881,174.687461623,189.70379186,0.621758862416,227.824718966,62.5377725211,115.563379877,182.506291142,15.4146,15.4709817595,3.74270302543,36.8593370223,18.282,15.4666,21,15.4202737107,0.601526,23.0825,21,2.25917
-18.5177,108.281966277,205.610624414,225.408983424,0.717842738925,233.081156348,69.431472539,128.790235856,215.781883965,17.2778,17.3285951605,4.585452114,24.7496699938,19.0074,17.3232,22,17.2858371083,0.580451,24.2863,22,2.89807
-20.4134,160.242823661,219.527515972,239.012934691,0.78133887345,231.717821251,49.3074880521,133.418739401,228.007937379,19.1291,19.1729284584,4.52658128251,60.3159244108,19.6067,19.1682,23,19.1376859877,0.59066,25.3716,23,3.41834
-22.4837,158.676500502,203.431457869,215.883793584,0.832626484939,261.099380196,82.139803553,126.957638765,209.974128499,21.1076,21.1418335532,3.18792730187,16.1672496729,20.1457,21.1388,24,21.1126953657,0.601752,26.5054,24,3.87069
-24.5724,185.761050573,218.127787367,229.590601468,0.885679840319,248.019211593,58.1335488719,132.225619065,223.562167105,23.1012,23.1360926339,2.73494173728,69.1353346497,20.607,23.1288,25,23.1099042033,0.618241,27.5766,25,4.33176
-26.6249,148.026890043,232.123649446,247.468731287,0.94264934368,252.2931068,70.4404625861,138.135634121,240.050559107,25.096,25.1288414426,3.41851957887,31.5930788086,21.1246,25.1213,26,25.1058263107,0.638558,28.7508,26,4.67187
-28.676,168.460703217,228.004207109,248.442560334,0.975009796487,257.05169775,81.1755412222,136.189435965,234.782153663,27.1128,27.145496237,4.32790767714,26.4476815471,21.502,27.1401,27,27.1216282892,0.649722,29.8197,27,4.89521
-30.7354,168.935347617,199.80064372,210.704105386,1.03474689246,273.428763782,73.2112120546,125.615925339,205.946708373,29.0921,29.1209506357,2.81460783837,20.0128255741,21.8481,29.1169,28,29.1009861488,0.601783,30.8966,28,5.78287
-32.8962,156.724134742,183.702545037,192.876688073,1.11405192815,294.477774685,70.6750514273,112.211029677,187.312963953,31.0942,31.1263818615,1.98383505546,66.7982642454,22.2068,31.1219,29,31.1063814367,0.428095,31.921,29,6.70852
-35.146,144.270535704,268.869239226,287.838310569,1.10104158851,259.84128782,79.3784282932,147.343950974,280.390060635,33.1512,33.1809743145,3.89802153487,24.1661575283,22.6919,33.1797,30,33.1613489813,0.51002,32.87,30,6.31637
-37.4215,176.32113957,276.509442266,300.827779089,1.17390882655,263.08136928,81.1093747201,151.505536243,288.51549103,35.3553,35.3860207427,5.65403102583,25.4849307191,23.0659,35.3889,31,35.3632914638,0.522293,33.8367,31,7.22814
-39.7985,155.632828763,261.280842148,279.346780183,1.22260164774,298.141475469,79.2391971851,146.833722823,268.296476148,37.7441,37.7733778971,4.48780632953,54.2627771325,23.4844,37.7737,32,37.7531169777,0.530657,34.7391,32,8.33858
-42.0175,195.085459347,248.434014192,271.666309688,1.29945781757,295.920744617,97.3392424659,145.855595297,263.11444359,39.8998,39.929957485,5.30104685559,13.1913286945,23.848,39.9305,33,39.9095291612,0.520014,35.6076,33,9.40391
-44.1117,192.185375483,267.781904315,311.744969026,1.39990019755,312.1395917,108.731006235,158.592793563,301.834227919,42.0087,42.0430288859,8.07703828165,12.4457627268,24.2677,42.0476,34,42.0210042936,0.546555,36.5758,34,10.4847
-46.1915,172.787754665,264.269457551,275.458582371,1.40324505188,278.167988172,77.8854510929,146.403988997,269.439620905,44.0101,44.0525194428,2.35591970291,36.9944047616,24.7289,44.0555,35,44.0227621814,0.525708,37.4739,35,10.5926
-48.3862,169.011897114,167.059909721,286.450951963,1.41834279518,300.01238816,85.2627706119,148.783293273,273.984588342,46.2029,46.2338563265,13.4317588173,12.7702827878,25.143,46.2419,36,46.2092268201,0.584148,38.2714,36,10.6472
-50.3681,164.602618717,276.456405571,342.182123789,1.51177088509,344.820392525,102.872357228,155.156771619,297.944148372,48.1538,48.1933530837,15.7995918376,11.4112355016,25.5193,48.195,37,48.1685793546,0.608925,39.2132,37,11.8353
-52.6317,244.873052851,290.97959765,539.272106714,1.51018976121,391.945116816,115.756033446,171.379516305,370.920720946,50.3854,50.4274036232,63.2769450068,58.2464344118,25.8699,50.4385,38,50.3926802577,0.63673,40.0142,38,12.7212
-54.7198,275.88396117,182.798849081,491.316469857,1.58518780368,497.828981769,164.731571138,174.400173142,367.096087016,52.5306,52.5780062317,63.9058721106,43.6086948918,26.3001,52.5875,39,52.5456869529,0.655067,40.8749,39,13.2171
-56.8518,249.298442829,320.492664777,429.424185159,1.65691551002,402.298243157,101.503559869,181.951007486,381.168467719,54.7157,54.7502327577,19.4683680508,102.946608736,26.6039,54.7692,40,54.7252246691,0.627127,41.7051,40,14.9876
-58.994,273.968653873,247.678468109,435.781574127,1.65007721721,372.762890353,94.732199319,156.737873144,313.128576709,56.7769,56.8256802257,37.8334243231,47.0204260962,26.9703,56.8369,41,56.7886909934,0.719004,42.4465,41,14.6065
-61.1215,251.157955113,321.483969464,478.220849489,1.71720858356,435.587054743,131.261630547,180.368207746,398.382590928,58.8483,58.9021996323,36.9019287507,14.4576292368,27.3122,58.9127,42,58.8618333255,0.703367,43.2787,42,14.5992
-63.1276,241.708873615,366.305974908,387.640834374,1.81871272603,343.173682431,91.9480264371,181.199523462,380.668588193,60.8116,60.8598656573,3.9130035068,56.9300851346,27.5919,60.8752,43,60.8253718749,0.644783,44.0423,43,18.1517
-65.2307,199.953284863,309.801055491,474.00620834,1.81996678234,607.777014603,187.880880879,180.243441092,378.614040763,62.8773,62.9363716114,21.7569571429,11.8497731049,27.8965,62.9529,44,62.8893684704,0.700724,44.7565,44,17.5877
-67.7807,317.247391227,362.643118061,520.229807841,1.8943556918,570.143396919,130.641611575,191.349915433,447.273671543,65.3811,65.4233158444,44.3095608236,88.5500179312,28.2227,65.4454,45,65.3943905249,0.72105,45.5127,45,18.9022
-69.874,237.418805218,352.928946208,496.862905063,1.94517862701,402.355070842,134.152895924,192.45037556,454.689008535,67.4226,67.4610313805,33.8574765483,8.80635212359,28.473,67.4783,46,67.4358206107,0.711658,46.2257,46,19.018
-72.1396,251.006058931,286.609541267,672.587479975,1.92407154523,528.213111017,145.806340571,204.057735348,475.57443181,69.7058,69.7468974299,86.5135505593,40.020048471,28.701,69.7661,47,69.7177669127,0.688271,47.0075,47,18.8319
-74.2469,244.618562408,377.481079107,451.756250766,2.12467920334,399.766791641,112.402498115,186.214796985,397.856929919,71.7886,71.8230301447,22.5134330187,88.6766451926,28.8448,71.8559,48,71.8016827006,0.66968,47.8717,48,23.244
