QFunRegParamNorm,AverageDiscountedReturn,Epoch,MinReturn,AverageAction,MaxReturn,AverageAbsQ,AverageAbsQYDiff,AveragePolicySurr,AverageReturn,PolicyRegParamNorm,MinEsReturn,AverageForwardProgress,StdReturn,AverageY,MaxEsReturn,MaxForwardProgress,StdForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,MinForwardProgress,AverageAbsY,AverageQLoss
7.92513,1.10303739094,9,-10.6782953917,0.00110269,13.575532663,0.0161644,0.0220111685195,0.0429209,1.4876690393,14.1538,-43.4343710659,0.00939592134742,3.87729871691,-0.00969719300441,12.2751759805,0.0685120150918,0.0190968937382,5.03139172727,-3.243221248,0.00252012,-0.0505219347878,0.0219595462477,0.000765024
8.61896,0.374100476996,10,-6.32779613947,0.909931,7.10700248638,0.0268956,0.0177289464036,0.00360007,0.483166223737,14.696,-32.3480866417,0.0103029293471,2.06460548713,-0.0183152312521,5.34293943545,0.0426695980762,0.0100217677968,5.10828233343,-1.23177723555,-0.0184369,-0.0227535486734,0.0314113477616,0.000547517
10.3978,1.11407523048,11,-5.06421196494,0.783515,7.79487266423,0.035898,0.016664197065,-0.00963224,1.23568142407,14.8324,-9.15196552376,0.0145458066202,1.99826449829,-0.0186463945652,7.45779359513,0.0460595262367,0.00959740931955,3.29200420826,1.76080791412,-0.018777,-0.0149957797295,0.0392601163086,0.000490433
11.6436,1.38912454121,12,-5.46965864483,0.711749,8.47232446741,0.0402324,0.0155819302859,-0.0319167,1.55729525577,15.0674,-4.08432198646,0.0153918335496,2.48814008175,0.00333834355857,8.59561593267,0.0484641137787,0.0121347789002,2.62161227074,1.98800855444,0.00318653,-0.0191124418795,0.0428003624442,0.000433629
12.4691,2.4490914394,13,-5.93646783995,0.766816,10.0487362699,0.0526258,0.0155750437943,-0.0542372,2.78617370138,15.3461,-5.672393693,0.0223892058217,2.90883340748,0.0277939039488,8.96659385693,0.0571415200341,0.0142490441453,3.44093971695,2.14013836013,0.0276731,-0.0206175589336,0.054805319539,0.000445508
12.9875,3.39503121725,14,-4.09813637597,0.684112,11.5259938982,0.0706271,0.0162998243984,-0.0762249,3.99666758113,15.487,-9.82977731099,0.0252141240229,2.86847733281,0.0504847436871,9.4295432704,0.0619487601143,0.0141008874006,3.64557262221,2.72912481812,0.0503629,-0.0134449927925,0.0724539137876,0.000496998
13.393,3.27004434992,15,-3.08800307234,0.66794,11.9752113326,0.0905585,0.0172470978513,-0.101967,3.74045657603,15.6127,-2.91818937359,0.0248660206403,2.36167779625,0.0727004155247,10.8915135874,0.0642449446234,0.0112667591078,3.32912939949,3.49431903983,0.0725914,-0.00819904643864,0.0921775368884,0.000565342
13.7341,4.53724334714,16,-1.87313056841,0.677983,12.1668711599,0.110744,0.018698006889,-0.122719,5.2762044759,15.7518,-6.90301632157,0.0325032250967,2.64796041149,0.0933261154572,10.9226600028,0.0657775848294,0.0128242376718,3.71862157687,4.06512519727,0.0932275,-0.00217730688938,0.112219064991,0.000678118
13.9571,4.45273085159,17,-5.94293875129,0.76289,12.7184293963,0.132692,0.019178120588,-0.143922,5.2203569404,15.8741,-6.04486907304,0.033440822225,2.96892924936,0.116834316124,12.6335408291,0.0697260703534,0.0143873954946,3.42851464914,2.87461348785,0.116759,-0.0212344629662,0.13387755057,0.000735131
14.1239,5.16327115105,18,-2.29267450598,0.779717,13.3986274743,0.150782,0.020119561136,-0.162322,5.98404984989,16.0021,-2.21950770089,0.038440544374,2.38040377287,0.135518370234,9.15150794769,0.0739516591692,0.011418567516,2.67179673244,3.75197903338,0.135464,-0.000867036083062,0.151853723928,0.00081382
14.3459,5.42015570961,19,1.59411543372,0.786685,12.1581591657,0.170083,0.0214534703211,-0.181007,6.15705514317,16.1163,-1.1758218059,0.0372045056207,1.7733553864,0.154939081288,11.7669598949,0.0673471215849,0.00850754379483,2.87264562894,4.86595079215,0.154842,0.0154500613645,0.171205518974,0.000927344
14.564,6.28591124055,20,-0.31272988219,0.844334,12.2187554506,0.192446,0.0226742307339,-0.205024,7.16212568634,16.255,-5.64939721613,0.0440631745831,1.86379580332,0.177244565815,11.8524650671,0.0682149881082,0.00889121626072,3.29235342109,5.29469625278,0.177155,0.0093460635996,0.193581044414,0.00104444
14.769,5.93162373093,21,0.270564747521,0.855013,12.0803406219,0.218291,0.0239093630282,-0.232773,6.72892909201,16.3703,-7.21425190102,0.0420258650561,1.7324990914,0.203103507765,11.9871991758,0.0670711697302,0.00822029207713,3.63534689943,5.83974805354,0.202998,0.0113794846585,0.219222162419,0.0011491
14.9447,6.09507501395,22,2.40765569499,0.867607,12.7105486837,0.245546,0.0250416531294,-0.261687,6.90962052343,16.486,-3.34109448444,0.0433571884327,1.81895006084,0.230421796763,11.9202482866,0.0719322389757,0.0086304219862,2.98627858113,6.00410443937,0.230332,0.0217995093656,0.246351031235,0.00124747
15.147,6.30239856915,23,1.46741588122,0.873815,13.6420260467,0.273182,0.0260564431981,-0.29235,7.14185612014,16.5925,-0.521222392169,0.0443023916251,1.83066969066,0.258247408974,12.6686214519,0.0757439706143,0.00873938098361,2.50691927624,6.06449656231,0.258137,0.017866939067,0.2739638815,0.00134406
15.2639,7.31330045358,24,2.18011935935,0.850303,14.7962623482,0.302742,0.0266408181369,-0.325224,8.32249520307,16.6982,-0.66087779412,0.0493668135557,1.90360815877,0.28810134739,12.3907813406,0.0803163979902,0.00907168460735,2.86004003006,5.57611419371,0.288045,0.0197231935099,0.303433411937,0.00139066
