AverageAction,StdEsReturn,AverageEsReturn,AverageReturn,AverageY,AverageAbsQ,AverageDiscountedReturn,AverageQLoss,QFunRegParamNorm,MaxReturn,AverageAbsQYDiff,AverageAbsY,MinEsReturn,AveragePolicySurr,PolicyRegParamNorm,StdReturn,MaxEsReturn,Iteration,Epoch,AverageQ,MinReturn
0.00349118,2.17926900869,5.12615384615,12.3836633663,-0.0312593597971,0.0270366,11.700427168,0.0120965,10.5006,14.0,0.0773870303985,0.071768960561,2.0,0.0103328,10.4338,0.704533021062,19.0,9,9,-0.02529,11.0
0.999959,0.76472681316,2.78611111111,2.38663484487,0.0189410355616,0.0357743,2.36894081146,0.000697003,10.6858,3.0,0.0139470035641,0.0345842405063,2.0,-0.0646541,11.21,0.486978789684,11.0,10,10,0.018923,2.0
0.999836,0.625057961675,2.79831932773,2.39602299952,0.0494546306403,0.0504752,2.37814214183,0.000259688,10.7694,3.0,0.00842185046647,0.0494546306403,2.0,-0.078067,11.3801,0.48906930324,9.0,11,11,0.0494582,2.0
0.0122967,9.39365918884,10.5957446809,19.869047619,0.0430724506557,0.0434033,18.0991818786,5.00476e-05,10.9154,22.0,0.00460670758502,0.0430725897471,2.0,-0.0604298,12.6417,0.762927141429,45.0,12,12,0.0430837,18.0
0.0855482,11.1486924268,18.679245283,29.8686567164,0.0518808821762,0.052348,25.9274484872,9.83948e-05,11.0575,33.0,0.00655165562324,0.0518808821762,3.0,-0.0655199,13.6291,1.13324378629,54.0,13,13,0.0518662,27.0
0.338515,12.1771152621,21.9782608696,36.6131386861,0.061377415021,0.061655,30.7793314235,7.68768e-05,11.2356,41.0,0.00565310777249,0.061377415021,3.0,-0.078137,14.5386,1.43342871671,52.0,14,14,0.0613552,33.0
0.0535225,12.8566476357,22.5454545455,68.5684931507,0.0719180660211,0.0720841,49.7931808279,6.46726e-05,11.5056,73.0,0.00511209433482,0.0719180660211,3.0,-0.0904281,15.0233,1.52561478399,59.0,15,15,0.0719135,67.0
0.203774,19.1120133471,30.3939393939,99.2376237624,0.0807287752865,0.0809105,63.1118365873,6.647e-05,11.8204,103.0,0.00516986073565,0.0807287752865,3.0,-0.0997235,16.0702,1.35082310699,72.0,16,16,0.0807242,97.0
0.0362194,21.6485837804,36.9259259259,70.9361702128,0.0886909648083,0.0888314,50.959789607,6.9475e-05,12.2005,76.0,0.00520610758633,0.0886909648083,3.0,-0.107325,17.2184,2.81891475008,75.0,17,17,0.088675,65.0
0.143106,22.5921675734,36.962962963,93.8037383178,0.0968252550073,0.0969841,61.0324996228,6.55048e-05,12.6336,100.0,0.00487679788475,0.0968256097573,7.0,-0.116741,17.8761,2.50770495789,86.0,18,18,0.0968148,89.0
0.20128,15.2551347356,18.6111111111,62.4223602484,0.105442838791,0.105689,46.5814920708,7.9455e-05,13.1032,72.0,0.00523932688638,0.105501919469,4.0,-0.125662,18.4732,2.65779003034,81.0,19,19,0.105439,58.0
0.123576,21.5984673319,27.2162162162,71.3333333333,0.114628522346,0.114999,51.1695852013,9.99727e-05,13.6013,75.0,0.00572056517971,0.114890463673,3.0,-0.136519,19.0056,1.45702829145,108.0,20,20,0.114609,68.0
