AverageEsReturn,MinReturn,AverageQLoss,MinEsReturn,MaxEsReturn,Epoch,PolicyRegParamNorm,QFunRegParamNorm,AverageAbsQ,AveragePolicySurr,AverageAction,StdReturn,AverageY,MaxReturn,AverageForwardProgress,AverageDiscountedReturn,AverageAbsY,AverageReturn,MinForwardProgress,StdEsReturn,AverageAbsQYDiff,AverageQ,StdForwardProgress,MaxForwardProgress
21.9667025364,-13.8711663342,0.0368143,-26.4185543134,80.8362117727,10,20.0922,21.5143,0.112138,-0.18115,0.993063,13.9615133172,0.0704063697622,39.4433106753,-0.0158065681286,9.33824466915,0.0706884646604,10.5374628703,-0.320112747249,23.8913958861,0.0594221808089,0.102003,0.149790172902,0.281341970964
7.33901325534,-16.9951004153,0.00625425,-12.4598971704,35.5562750399,11,20.3779,22.7996,0.217882,-0.251077,0.999977,14.764042956,0.21020058965,46.25715157,0.00206868175626,10.6748970642,0.210278053738,12.7435548046,-0.294971749602,13.8877989286,0.0302805041597,0.215413,0.15554837471,0.342697558616
12.1666756641,-15.2753243718,0.00237042,-6.29391350718,35.0707210388,12,20.58,23.8493,0.307675,-0.323807,0.994678,15.5698104892,0.306183398101,45.1286129797,-0.0142463297016,9.50224448111,0.306232326303,10.924776665,-0.323455885026,10.9655799297,0.0255826575388,0.307526,0.163624790575,0.299831818062
9.48374617572,-34.3432936352,0.00454136,-11.067026713,35.5174192398,13,21.0178,25.0126,0.377568,-0.376187,0.980865,19.7311137542,0.375307746747,66.1711556505,-0.112196053043,6.15884308982,0.375340500777,4.15489117425,-0.489268413871,13.7825849173,0.0314101777509,0.377176,0.195066823867,0.486467467082
17.9081196188,-36.853556747,0.00430142,-12.6853957152,56.0541723125,14,21.4648,26.3907,0.411524,-0.412507,0.978375,21.5927841789,0.411061910929,61.6081624436,-0.198602970854,0.761190588693,0.411090606237,-2.75172885135,-0.519698219884,21.4726996258,0.0338830095767,0.411253,0.200083104477,0.41071384311
-21.8104744565,-34.9926170485,0.00171329,-32.250707368,0.517511583132,15,21.7198,27.0661,0.415773,-0.427513,0.992783,4.89665962534,0.41617463535,-7.50296891953,-0.367921356847,-11.1758523764,0.416224632173,-23.5842225549,-0.490493780188,8.13842220937,0.0219788443646,0.415734,0.0452279704208,-0.232738595801
-20.316326554,-33.1756312388,0.00198423,-27.9258884498,9.01582915092,16,21.7862,28.1047,0.42133,-0.442383,0.988446,5.81112168143,0.420734658269,8.11801536519,-0.35861632656,-10.5782575632,0.420794154034,-22.6734685292,-0.473829686524,8.84187179425,0.0235479552048,0.421274,0.0525131532346,-0.104880686868
5.56914886755,-34.0947764409,0.00134584,-14.1298035765,42.7429245593,17,22.0129,28.6441,0.418072,-0.428708,0.994506,8.26509508611,0.418067364036,22.3291569479,-0.264199044301,-5.2917844593,0.418255821937,-12.791894335,-0.485040909785,19.3686374041,0.0189566753191,0.417899,0.0797005599708,0.0846714046852
-19.8318429345,-34.2093376189,0.00122716,-25.7679695763,5.53312402285,18,22.3801,29.1275,0.42079,-0.435303,0.994308,4.87893409274,0.420502290792,-7.66621564923,-0.365569261112,-11.1703488668,0.420887689158,-23.4966562175,-0.486628459004,7.83215047723,0.0181554023018,0.420427,0.0480008145408,-0.238695372581
-17.6138197841,-32.7085259234,0.00109996,-25.2355436937,-4.5858971468,19,22.538,29.6526,0.418776,-0.427118,0.99989,4.54719822738,0.418499686642,-10.8104721876,-0.366523311562,-11.1911466913,0.418905340345,-23.6394211787,-0.477587390544,5.95925814413,0.0161044858646,0.418357,0.0442180017953,-0.251145228493
26.6052100874,-22.4166513663,0.00111259,5.76905732294,45.4138175611,20,22.6579,30.4451,0.427394,-0.429979,0.998216,13.0830071102,0.42715432114,56.455282547,0.135627970193,19.7805561068,0.427257366626,26.2766112324,-0.396179246344,10.9257269846,0.0163062690695,0.42726,0.137963884683,0.400866517119
-8.65771639014,-35.1008466954,0.00116659,-28.7655780144,24.1161926258,21,22.8093,30.9457,0.426275,-0.431151,0.996384,4.94543700697,0.426694343032,-6.64024556588,-0.370137107787,-10.912312091,0.426782983115,-23.6125390433,-0.490711201304,20.8337104338,0.0160187695968,0.426175,0.048135755349,-0.222848130177
-22.2518371849,-35.977294475,0.000951412,-28.872877114,4.22960042613,22,23.2285,31.299,0.412654,-0.412889,0.999996,6.09481234915,0.413373274376,16.81511934,-0.374512624619,-10.7415164431,0.413472699298,-23.7556777479,-0.488947388871,8.29646825744,0.0143040122281,0.412538,0.0570487398281,-0.0185097822318
21.6624261647,-8.48889807289,0.000652829,-29.2918002483,46.2642930646,23,23.0755,31.6053,0.401135,-0.398705,0.993616,9.92674875347,0.401194389254,49.9226721266,0.12513848722,19.1084734554,0.401305503268,25.0440117677,-0.187788110615,19.2375533127,0.012084877759,0.400994,0.104365684797,0.368328546514
-20.3624461548,-38.767983244,0.000638088,-30.47247821,18.8707597916,24,23.3009,32.0489,0.388451,-0.386048,0.996885,8.0460910804,0.388771250328,35.4753169068,-0.358407234719,-10.653724655,0.388900815146,-22.6770741586,-0.561010358677,11.3965973903,0.0116821619086,0.38829,0.0724551300968,0.180893306611
-21.9120932062,-1.49197903805,0.000526354,-31.7715968937,1.87526015947,25,23.3283,32.4803,0.366084,-0.364365,0.987057,12.3062654031,0.366282766188,60.8298723398,0.0517332391851,14.9807434463,0.36653240824,18.7100520317,-0.214687499892,8.11290357132,0.0110568574999,0.365761,0.106957964382,0.405875036814
