AverageAction,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,MinReturn,AverageDiscountedReturn,AverageQLoss,MaxEsReturn,StdEsReturn,AverageQ,QFunRegParamNorm,AverageReturn,PolicyRegParamNorm,Iteration,Epoch,MaxReturn,AverageAbsY,MinEsReturn,AverageY,AverageEsReturn,StdReturn
0.21881,0.0161247,1.80391360591,0.309567,9.09049775517,8.78005776118,3.66367,54.084937954,6.63840172908,-0.265482,11.1303,9.20293534043,11.2292,9,9,9.3291119816,1.53843180025,1.63384394654,1.53843180025,9.82379758114,0.0469385128761
0.912727,-1.28105,0.135244649626,1.20057,4.97759409743,4.91740359711,0.062807,33.4836254962,3.0434061026,1.19222,11.4069,5.05862815896,12.019,10,10,5.16252682514,1.21341417011,2.4270585585,1.20233389872,4.30911863405,0.0340334477704
0.999604,-1.48406,0.0816533531629,1.43848,36.7298775491,34.4715453036,0.0176141,47.3300912256,14.5561216886,1.42141,11.6833,38.7882653925,13.1169,11,11,40.7371195502,1.43844183774,1.1714330933,1.42229120543,13.7650077328,0.904047168826
0.999995,-2.23893,0.111756802016,2.05611,36.7238674672,34.477055858,0.048269,52.1641307934,6.13666287005,2.02992,12.1927,38.7959578021,13.244,12,12,40.7810057065,2.05649465161,7.43904158118,2.03198354854,40.1106054114,0.925503934445
1.0,-3.24027,0.16088593146,2.96602,36.6511830859,34.4780147771,0.118816,74.8633652247,6.27207755154,2.93637,13.2229,38.7942426119,13.2576,13,13,40.6817439007,2.96606077824,33.9800353057,2.93850283795,42.0624964385,0.919092586696
1.0,-4.42057,0.213900248887,4.02919,36.6758298286,34.4342509418,0.208855,54.4936251083,6.43024275766,4.00231,14.4439,38.7395388087,13.2692,14,14,40.6964076708,4.0290794198,5.22081456104,4.00484112838,40.4516985352,0.941308360664
1.0,-5.68189,0.259321596822,5.18956,36.5606243891,34.465983146,0.292919,63.0926388964,5.29029461718,5.16469,15.8286,38.7794363197,13.2793,15,15,40.6827443822,5.1899091405,30.5858065271,5.16726697538,42.1414730299,0.925310885538
1.0,-7.01525,0.272528822616,6.39272,36.7984678795,34.5341875223,0.305275,54.2371921028,5.32070052621,6.36875,16.9826,38.8673981048,13.2876,16,16,40.6739668693,6.39380901165,15.0256563837,6.37206289521,41.2098143921,0.967367545325
1.0,-8.35589,0.285957746351,7.64299,36.5969775632,34.4409862,0.31432,57.5555840168,6.51327537828,7.62213,17.8946,38.7501651805,13.2943,17,17,41.8741946342,7.64312336618,6.328331262,7.62387848298,40.9393637504,0.947779832101
1.0,-9.811,0.307055060906,8.96919,36.6896744561,34.4263444037,0.367683,61.2618877112,7.57101955313,8.95035,18.7013,38.7310300454,13.3004,18,18,40.7494971068,8.96902681778,9.71561592174,8.95295070481,42.2110243937,0.959793716233
1.0,-11.1585,0.323962903725,10.2736,36.7002845051,34.5038144327,0.381171,74.2428435767,6.66462775539,10.2563,19.5343,38.8298755725,13.306,19,19,40.6909269463,10.2734439467,33.1021050971,10.2582502132,42.2581216013,0.969478692687
1.0,-12.5243,0.35797093683,11.5751,36.7507015423,34.4823982796,0.464379,61.7134760544,5.91409542897,11.558,20.3384,38.7994985719,13.3106,20,20,40.6354901773,11.5753579413,12.8923666495,11.5611431832,40.7794014617,0.94609430334
1.0,-13.8392,0.358136867147,12.8303,36.7003558674,34.4655993311,0.468104,78.6137783193,7.14681202365,12.8137,21.0529,38.7820341279,13.315,21,21,40.6632094002,12.8300921341,30.1862120829,12.8161521551,42.5626188927,0.933503935519
1.0,-15.1243,0.397324350732,14.0566,36.5754947271,34.4651391221,0.599682,70.0474377577,8.36657526992,14.0387,21.8556,38.7786832312,13.319,22,22,40.6873730848,14.056294646,5.20372478243,14.0421262449,41.1508339444,0.893179010523
1.0,-16.3294,0.405239879385,15.242,36.7064276372,34.4255297836,0.602248,46.806644786,6.03248958339,15.2254,22.6729,38.7290670185,13.322,23,23,40.7195731354,15.2396043787,9.94078313195,15.2272947804,39.3054047531,0.994861569309
1.0,-17.4322,0.443521901383,16.2938,36.6193371391,34.4289899199,0.735913,73.1036992444,7.07784953232,16.2753,23.3999,38.7342038833,13.3243,24,24,41.810168557,16.2923960447,30.6050461089,16.2781403871,42.173338501,0.949195170656
1.0,-18.467,0.456317302815,17.3214,36.6173881346,34.402283464,0.770736,67.6385824467,7.14394848525,17.3066,24.1564,38.6993837351,13.3263,25,25,40.7172474823,17.3197708905,23.1829222057,17.3098059755,42.0868066278,0.95211842442
1.0,-19.4296,0.477327405484,18.2811,36.6277893872,34.5145279452,0.865507,85.2670725191,10.4884134387,18.2625,24.8272,38.8402329814,13.3271,26,26,40.7725628826,18.2793476072,3.11304534049,18.2662564325,41.3279580172,0.911022566524
1.0,-20.1429,0.485883743907,19.0526,36.6592063311,34.4526158397,0.81211,58.0377728127,5.03728643807,19.0361,25.4777,38.7652490873,13.3281,27,27,40.6328554315,19.0483799077,22.505036838,19.0370463387,41.4366187119,0.910696102991
1.0,-20.7869,0.495868372331,19.6807,36.7741690618,34.4646315645,0.855232,52.6864940196,5.68721894557,19.6664,26.1919,38.7797993039,13.3293,28,28,40.7261392369,19.6777924045,8.51905188323,19.6685310351,40.0862858444,0.906175244946
1.0,-21.2637,0.501414319403,20.2287,36.5798708177,34.4793526239,0.964186,72.4807449121,8.82801542464,20.2143,26.8124,38.8008064668,13.3309,29,29,40.6920941324,20.2250213331,12.896308168,20.2167495217,42.6799958055,0.934784096723
1.0,-21.607,0.488295703864,20.6517,36.5196349829,34.4657830483,0.787312,61.4176262666,6.15249308314,20.6405,27.4278,38.7790735248,13.3311,30,30,40.816419626,20.6481113128,21.4074964938,20.6424157501,42.2551945886,0.896980899068
1.0,-21.9986,0.502203201575,21.0825,36.6651924959,34.4373232461,0.895423,58.3974210035,4.69956317893,21.0702,27.987,38.742790625,13.3318,31,31,40.7669776795,21.079648493,32.9869428135,21.0727426238,41.344619156,0.933966978559
1.0,-22.0982,0.506158123161,21.2836,36.5043959232,34.4461023123,0.983795,70.2635795691,5.79489044748,21.2718,28.4687,38.7546726027,13.3322,32,32,40.6390138838,21.2794530679,29.3933759554,21.2729138582,41.7893963332,0.937388582765
1.0,-22.1929,0.49807127051,21.4044,36.8280454755,34.4774396364,1.04831,63.06921404,4.35652882138,21.3937,28.86,38.7961928244,13.3323,33,33,40.7067860651,21.4025630791,35.3717392299,21.3960185847,40.7318712982,0.927190410212
1.0,-22.251,0.470891272997,21.5121,36.6506812855,34.4685889261,0.73212,79.4137183305,6.7821592095,21.503,29.2718,38.7871530374,13.3323,34,34,40.635379425,21.5076645671,30.5647258103,21.5029375869,41.7857605862,0.943410007846
1.0,-22.2942,0.468902092688,21.5736,36.6334820013,34.4763711446,0.709885,60.9447192907,9.01549959796,21.5666,29.6886,38.7935849628,13.3323,35,35,40.7889636364,21.5723156821,5.2898988422,21.5680725159,40.730523781,0.951372629345
1.0,-22.3053,0.457488401889,21.6513,36.6465779367,34.4927051655,0.798509,62.8177651693,4.40237205921,21.6437,30.1707,38.8174227189,13.3323,36,36,40.7990544219,21.6481557166,35.016732677,21.6440437989,41.507937728,0.922781697141
1.0,-22.2734,0.454459079466,21.6243,36.766340124,34.4583516462,0.717468,73.5384982534,7.24751669051,21.6159,30.5977,38.7714367663,13.3328,37,37,40.674373405,21.6230873506,21.6395230226,21.6180779889,41.5972466506,0.899292026087
1.0,-22.1895,0.46950430204,21.6052,36.7352765004,34.5116606466,0.898736,79.4433708301,10.4518026336,21.5983,30.9929,38.8389532924,13.3328,38,38,40.6242335396,21.602084348,37.8660956846,21.598096968,45.372765894,0.919909625473
1.0,-22.1658,0.436986699508,21.5858,36.6375479536,34.4897792325,0.727251,93.049743957,11.1197258578,21.5789,31.2921,38.8106505097,13.334,39,39,40.6438568665,21.584625123,4.21484725953,21.5809036673,42.6396185239,0.965862709345
1.0,-22.1665,0.443511541265,21.6301,36.7349252007,34.5263893079,0.851458,56.5722597579,5.24352449337,21.6233,31.6309,38.8595402229,13.334,40,40,40.8157218474,21.6276603453,21.4527482811,21.624310256,41.9592987713,0.912800427844
1.0,-22.0657,0.426129133538,21.5091,36.7440248511,34.4884047834,0.814318,49.8887080874,3.71477943727,21.5026,31.8654,38.8096958199,13.334,41,41,40.694879376,21.5071810388,23.5449683705,21.5038573602,40.489222364,0.936000663545
