StdEsReturn,AverageAbsY,AverageAbsQ,AverageQ,AveragePolicySurr,Epoch,Iteration,QFunRegParamNorm,AverageDiscountedReturn,AverageAction,MaxReturn,StdReturn,MinEsReturn,PolicyRegParamNorm,MinReturn,AverageEsReturn,AverageQLoss,MaxEsReturn,AverageAbsQYDiff,AverageReturn,AverageY
13.1663378413,0.475904497614,0.278637,0.238795,-0.0921294,9,9,9.37075,7.15041168768,0.232638,7.63414760834,0.107988913934,-0.00819736685239,9.31315,7.09143184293,10.9534605804,0.927725,87.6313777212,0.727190347262,7.36541279903,-0.457939999981
2.26692591721,0.249148224575,0.247643,-0.0616845,-0.100086,10,10,9.40774,3.71936080126,0.970399,4.09448623833,0.109042371324,-1.82031707825,10.4926,3.47874499681,1.07585199281,0.0331079,5.47215800991,0.0888230389908,3.779844035,-0.0620686162743
0.532652623963,0.201562199183,0.199468,0.14089,-0.221721,11,11,9.51845,3.52719463565,0.999864,3.89210998622,0.115386460711,2.09000208471,10.8648,3.29870866354,4.15805562188,0.00600477,6.31481092077,0.0478513534026,3.58102644544,0.141566502268
1.69229377576,0.255624555597,0.255473,0.219201,-0.288098,12,12,9.57664,5.21830108708,0.73779,5.48942214671,0.0541783973255,0.853518244158,11.2729,5.2582567746,4.72783836444,0.00230619,19.8925910676,0.0318317083975,5.35768088187,0.219458151208
1.88590692956,0.322564453209,0.322815,0.294055,-0.379702,13,13,9.66482,5.06029489227,0.629249,5.30668876466,0.0473480503767,4.68636799147,12.1891,5.10360554437,6.21583838687,0.00216039,24.0077969834,0.0309645029692,5.19296913105,0.294280228693
30.8126475542,0.41246550198,0.412447,0.390637,-0.46792,14,14,9.80243,72.2588243357,0.828616,115.793356476,9.80891003014,3.92182815852,13.0433,79.9818679472,23.8608164611,0.00260777,142.563527982,0.0329704206118,93.1212621122,0.390917939847
54.9269470851,0.526779718643,0.526667,0.507887,-0.604512,15,15,9.98952,112.498034175,0.770803,178.895025757,2.11931880667,24.8554628977,13.4845,169.82335925,106.747352709,0.00388955,202.475892485,0.0366117510331,175.570956934,0.508280681096
42.2123068217,0.666353671743,0.666791,0.651854,-0.760298,16,16,10.2568,111.438089425,0.834089,176.827449529,2.42564060578,39.0458058777,13.7816,165.877836613,129.988270884,0.00509556,176.603631033,0.0395807251317,172.563637204,0.652190127168
49.5321635329,0.814311588568,0.814651,0.803111,-0.917579,17,17,10.5986,114.191821125,0.828426,186.567342522,12.9849560843,42.3281380862,14.1513,81.0519298153,133.548493517,0.00634576,188.566079105,0.0413112989854,179.7647578,0.803505163879
54.8186551824,0.951323161954,0.951747,0.941886,-1.06721,18,18,10.9408,114.292018903,0.744454,181.336448791,2.14509402435,30.7380998433,14.5998,172.548937613,133.225715676,0.00811779,190.882636474,0.0433438902699,178.396100521,0.942231607016
7.67957155097,1.10764521441,1.10793,1.1006,-1.23282,19,19,11.373,111.430613282,0.712218,174.575554228,1.74196336043,163.579673738,15.2219,167.290667275,175.283578487,0.011353,193.303757399,0.0500401513071,171.261404064,1.10106403281
34.3275567381,1.27046173145,1.271,1.26535,-1.41012,20,20,11.9329,110.661399275,0.780866,172.633163879,2.02625553326,89.0260306709,16.224,162.368192877,149.035312374,0.0150534,176.409724822,0.056140213595,169.872134109,1.26578856485
46.8428097037,1.4365295956,1.43681,1.4322,-1.58349,21,21,12.4345,116.59284785,0.627552,190.290880554,3.20437591298,38.6863485298,16.9629,178.570245247,151.347108091,0.0149777,191.314636348,0.057454606333,185.576088095,1.43274393749
48.2327961908,1.61178687109,1.61229,1.60744,-1.76947,22,22,12.9959,115.027726176,0.633077,189.915044627,3.81871719308,65.4600410053,17.957,174.002726825,144.111749154,0.0173881,210.859152744,0.0616810823937,182.531408381,1.60798576905
57.364349603,1.79428339212,1.79498,1.79011,-1.95936,23,23,13.5465,114.473212088,0.611673,195.415391159,6.29220193852,5.79226491633,18.8292,169.216732334,141.786197251,0.0191717,196.149615523,0.0666250199826,181.043351955,1.79062011412
35.1751528226,1.97377472261,1.9743,1.96949,-2.13995,24,24,14.0842,114.345334116,0.548922,193.188100974,4.05157764849,64.4313721537,19.5651,176.408230686,162.21213352,0.0228551,186.920771224,0.0709065870284,184.222387359,1.96993421095
37.9064497701,2.14507914556,2.14521,2.14031,-2.31976,25,25,14.5504,116.94667016,0.501419,206.710522388,5.19573515541,104.866005698,20.3265,181.175644315,179.11222355,0.0229141,275.518845408,0.0750547262976,190.800150972,2.14118519737
56.6231246737,2.31172107652,2.31227,2.30734,-2.49565,26,26,15.0067,115.447107054,0.577118,216.398917432,5.845027804,33.2097353101,21.1223,175.586482135,144.202946741,0.0269038,212.066674988,0.0769213205014,184.591728171,2.30774609134
69.9465876727,2.50497584105,2.50555,2.5001,-2.68609,27,27,15.4873,110.673132957,0.620681,175.620833107,2.18039246118,44.3375807188,21.5659,164.70492253,168.198025161,0.0298306,295.764296598,0.0824607079268,170.991314328,2.50091286389
60.5169036373,2.67457754628,2.67512,2.67009,-2.86976,28,28,15.9669,125.095273447,0.483844,281.301165974,45.8815426033,45.1075683337,22.0326,167.089216357,161.346335153,0.0337858,280.398567605,0.0871602875479,211.072941562,2.6707444464
36.3941445958,2.85792946585,2.85868,2.85381,-3.05492,29,29,16.3337,112.200682345,0.613006,180.387469583,1.53923460546,90.8733237486,22.6484,170.255514823,162.282493038,0.0348012,228.155017122,0.0900088797813,173.602800478,2.85437104441
36.2035581665,3.03994597995,3.04076,3.03505,-3.24069,30,30,16.7991,112.319654631,0.507304,184.774458212,5.53174492412,64.1471925694,23.1527,161.279569492,161.474862117,0.0385379,211.898286046,0.0935988750326,174.998625778,3.03583738032
50.533668785,3.20229053738,3.20359,3.19776,-3.40857,31,31,17.1979,114.642167006,0.598318,188.686595918,2.91223999822,5.56161454536,23.6745,174.191749758,141.319365006,0.0418667,193.363886747,0.0994367975515,181.09268709,3.19833604785
64.7235551186,3.38829029554,3.38888,3.38326,-3.61076,32,32,17.5805,115.661033244,0.679292,185.538083256,1.70468890513,35.0311470506,24.1045,177.733614355,153.390468726,0.0550097,281.109590066,0.109205325123,182.677748553,3.38442242833
92.9455814939,3.57428458702,3.57555,3.5704,-3.80475,33,33,17.9534,143.717060916,0.63745,301.475682522,44.4497485017,22.3069580218,24.4667,161.209980178,185.188941252,0.0550876,363.714289825,0.108201576444,256.571327587,3.57118359018
81.8535792585,3.76362788967,3.76459,3.7596,-4.00812,34,34,18.3207,161.151604649,0.679206,367.479082127,46.6522997885,33.4114679286,24.9428,250.575499598,158.34841258,0.0595586,335.147703773,0.116428001725,310.660781466,3.76086049076
89.188687705,3.96826440242,3.96941,3.96472,-4.21432,35,35,18.7166,178.696011392,0.657467,402.377221846,5.18965785889,56.2066932154,25.2657,372.219206406,170.349930487,0.0712157,372.142299376,0.122644912318,384.301125964,3.96551747934
95.0669359005,4.15631726587,4.15712,4.15264,-4.40697,36,36,19.0384,151.860649703,0.723886,390.79589468,79.6515784824,69.2259606364,25.652,162.363346621,215.189321801,0.0841318,359.090423497,0.128093254889,287.492572813,4.15378748106
