AverageAbsQ,MinReturn,MinEsReturn,MaxEsReturn,AverageEsReturn,AverageAbsY,Iteration,MaxReturn,AverageReturn,AverageAction,StdReturn,AveragePolicySurr,Epoch,AverageAbsQYDiff,StdEsReturn,AverageDiscountedReturn,PolicyRegParamNorm,AverageQ,QFunRegParamNorm,AverageQLoss,AverageY
0.320199,-7.12711371204,-19.1674317681,8.50886112459,-9.724902465,0.405458337956,9,-6.10281476751,-6.67516822178,0.56004,0.178739121833,-1.64057,9,0.499731773886,4.39550557416,-5.56138875999,19.6534,0.179982,19.4782,0.371348,0.350362405576
0.19452,-6.42211701974,-6.88532440457,47.9517552233,-0.493653727457,0.200975239817,10,-4.94513406774,-5.738195239,0.984996,0.271459845359,-0.130724,10,0.104475915573,11.0303426293,-5.35797531453,21.2977,-0.0224218,19.6469,0.0309713,-0.0212702897984
0.145498,-11.8974857442,-11.5178868064,0.471341171001,-7.20995889834,0.149600363407,11,-10.3148476172,-11.4017639013,0.969576,0.286776889969,-0.128018,11,0.0524879728237,2.84797616795,-10.6388552268,21.948,0.0450322,19.73,0.0047545,0.0458082370955
0.174199,-185.071331602,-82.8925700597,227.470990171,-6.63780602026,0.176210542385,12,154.559442589,47.3214248006,0.988669,116.623911703,-0.133336,12,0.0413874766106,41.1068508871,25.6239252851,23.8403,0.0349586,19.8719,0.00303121,0.0354005095981
0.212861,17.6476650243,-142.518387687,61.0522884315,-38.2246937015,0.215186873461,13,1017.63264518,159.824946448,0.906568,245.250064744,-0.200787,13,0.0407305616353,70.5826546071,55.4609453841,25.6315,0.0723932,20.0856,0.00295622,0.0727670911996
0.264933,52.4045723302,-2.34467571649,346.066289363,183.103705131,0.267021884453,14,551.90993244,175.211132092,0.866921,176.520990131,-0.261326,14,0.0399540035585,138.032955188,68.5731727169,26.6396,0.120387,20.4653,0.0029634,0.120781016607
0.34849,55.0213098834,18.2212794204,305.349041837,161.433900199,0.350906840561,15,494.2383583,127.796301516,0.806949,113.093129874,-0.36124,15,0.0411297425488,124.887039534,65.5763597952,27.5128,0.2111,20.9811,0.00347261,0.211567520056
0.440503,64.3584545842,128.711949703,368.533832529,238.9473229,0.443023193546,16,451.060889518,137.236452382,0.784164,91.1792613506,-0.477591,16,0.0437060913979,91.9618970409,69.8444167225,28.9637,0.317115,21.7688,0.00426789,0.317436171512
0.547608,58.7221062934,37.1003326414,360.308334397,195.242467371,0.550036782158,17,393.703312892,96.8741731313,0.917616,45.2067056097,-0.588225,17,0.0432048599146,118.882789304,61.0715084721,30.3222,0.433749,22.6461,0.00444543,0.434137741925
0.646634,306.492555169,97.7970687316,474.326874691,275.476664502,0.649392198367,18,870.680233879,456.151319616,0.525205,132.210472977,-0.688923,18,0.0476807554743,150.765299044,113.393637687,31.6359,0.533524,23.6909,0.00578798,0.533876862427
0.762254,78.8268333686,203.679275698,387.535117475,303.551316175,0.764991844454,19,522.374053903,271.681421303,0.543746,75.1980743088,-0.814582,19,0.0499503277915,72.9770775629,106.670348841,33.5675,0.654286,24.7791,0.00634673,0.65457647269
0.886945,422.124434605,202.891713977,403.72575096,303.119537275,0.889572749715,20,929.439431565,505.690558003,0.66272,105.545360779,-0.945354,20,0.0535917237637,73.1996455307,141.263602607,35.466,0.783249,25.8734,0.00812511,0.783727108342
1.02107,292.977806315,106.724686847,391.159280777,254.019974794,1.02385311022,21,557.178932739,367.657822123,0.746718,58.9982162474,-1.09161,21,0.0601372401778,84.8502337215,116.492683587,37.4334,0.926019,27.1589,0.011911,0.926580845705
1.14122,247.400115364,192.81630014,351.867200104,259.836931334,1.14354640079,22,300.538797899,272.032445229,0.91221,15.3103397341,-1.21701,22,0.0619343808205,53.405911767,125.978114508,39.3736,1.04762,28.3916,0.0129008,1.0481043002
1.25411,218.119250671,16.8806124519,363.0001301,160.828853623,1.2566036519,23,516.691305099,317.208453469,0.787756,69.0438850836,-1.34987,23,0.0659429491469,142.350226007,131.627727313,41.3785,1.16631,29.5419,0.0135764,1.1668905356
1.39313,50.8112080578,-5.88998939894,610.50650646,205.980084902,1.39583580577,24,654.933074395,374.078798277,0.684883,109.354242838,-1.49059,24,0.0743833149841,191.022013959,117.92814221,43.1827,1.31353,30.6992,0.0194948,1.31412341784
1.51312,-3.9987505697,-14.7761956966,256.049481445,59.3420009903,1.51615301362,25,388.099380277,224.254239089,0.876218,76.6801654115,-1.613,25,0.0784344781562,92.0044469393,112.906770413,45.2421,1.43573,31.8457,0.0205811,1.43634729557
1.63493,155.292254114,-8.42327029996,372.047898142,246.8615365,1.63769996082,26,423.018166086,282.032345242,0.886556,68.4376847501,-1.74472,26,0.0822470816965,119.458482625,129.187844241,46.8533,1.56248,32.818,0.0214091,1.56336849946
1.76983,159.361739769,12.5219949338,512.36299541,262.44973846,1.77240447053,27,503.385550004,265.035150739,0.914082,66.7885356639,-1.89077,27,0.0915044651995,171.473202141,107.654103022,48.3218,1.69825,33.9004,0.0273195,1.69897320302
1.92985,29.1456793398,-2.53503730278,499.221136726,250.098786316,1.93284895048,28,418.241784047,260.427560158,0.896271,73.2160698546,-2.06089,28,0.103103777689,180.573552778,107.996619078,49.7931,1.8634,35.0205,0.0371466,1.86442913346
2.05139,24.6117729693,17.0460742801,290.551618063,107.009821066,2.05427110444,29,483.097441884,301.800268451,0.905831,107.163999121,-2.20049,29,0.101239087978,97.6639583856,93.7806514408,51.0598,1.98987,35.94,0.0315436,1.99078261265
2.22209,0.383281681072,14.9911205853,421.559927954,236.736962628,2.22521105068,30,532.511959004,118.977738836,0.923773,130.130230087,-2.37508,30,0.11591046752,131.499075842,50.9280840476,52.5828,2.1651,36.9854,0.0424902,2.16610912565
2.37007,14.6318687552,-3.26412238175,448.940843212,153.130991429,2.3723528238,31,429.735303169,90.1778800065,0.96157,103.106272912,-2.53661,31,0.122815844669,174.900200751,45.8568709452,53.8077,2.31884,37.9845,0.0502639,2.32007118225
2.47468,3.38680328511,-9.78440234596,77.737747013,24.1296735517,2.47725476827,32,505.0487502,121.675925389,0.899284,144.135556322,-2.62329,32,0.123900333917,26.9225490037,54.5430571626,54.9747,2.42775,38.8482,0.0481034,2.42884282068
2.57919,-38.5914981558,3.00713605618,355.548989336,75.2857913225,2.58124768002,33,195.717328303,1.48631143807,0.909671,36.2038896704,-2.72968,33,0.13924262256,125.881240896,15.7652425966,56.166,2.53008,39.7659,0.0578165,2.53099565172
2.67549,69.6476563856,8.25894715553,251.565635628,86.3048665567,2.67765272201,34,897.616749501,356.280353217,0.829715,202.637223592,-2.81457,34,0.137900653198,96.3767167058,90.1341709814,57.1778,2.62401,40.5665,0.0565279,2.62537706216
2.82095,40.448568963,53.1030588307,386.574127745,196.808334299,2.8228934492,35,537.96399092,269.522144953,0.881511,98.8721682106,-2.97168,35,0.144337787852,137.2271172,99.2458763577,58.0691,2.77484,41.3891,0.0606328,2.77591781639
2.95268,-26.7357055206,26.2551510686,273.931230972,166.544322829,2.95441151234,36,413.333836415,252.776077985,0.881117,73.4881752865,-3.1001,36,0.153447338625,91.6393104073,109.435007554,59.017,2.90942,42.2954,0.0691196,2.91047946894
3.07507,8.73118751929,59.1539634899,362.077879071,230.431004378,3.07680752639,37,363.753660559,222.078248472,0.854961,62.970262686,-3.23452,37,0.16531835727,90.7817210101,106.926201444,59.8894,3.03036,43.2273,0.0872899,3.03152271377
3.22313,46.7482310126,73.5926457466,292.492833805,230.551460961,3.22473701136,38,347.852803646,208.914559274,0.810667,60.5182277617,-3.38852,38,0.167275013922,69.2524694167,99.9630413476,60.5744,3.1801,44.0644,0.087161,3.18135764588
3.40601,99.1875932934,15.91470098,291.268006115,197.437930705,3.40677494808,39,424.915615428,254.44567589,0.80816,63.5431333007,-3.59346,39,0.175693459075,92.4286432208,117.824561527,61.4975,3.36073,44.933,0.0922637,3.36175423049
3.58361,-17.0653084523,82.673103134,411.29887599,263.495576858,3.58495581669,40,506.859524793,244.729917103,0.870726,111.978469556,-3.77308,40,0.186675939576,123.381334334,84.7830759309,62.493,3.54035,45.7452,0.101838,3.54227411465
3.74996,64.1894727921,52.734585668,305.959233804,170.571673929,3.75111236493,41,462.219059266,285.919301393,0.834158,62.4166570275,-3.94058,41,0.19601244517,88.0821619209,114.567333142,63.4278,3.70652,46.5963,0.111192,3.70764783987
3.9404,20.2727194206,41.1754513463,366.997078457,164.669193419,3.94263635271,42,529.400470374,239.728909747,0.913495,112.52342334,-4.15646,42,0.206613442113,131.22657046,94.8486462866,64.3811,3.90358,47.4329,0.11818,3.9056404253
4.10407,48.2722834331,67.1632818359,274.831011208,195.869673558,4.10576998517,43,340.472480655,220.397723742,0.94168,53.0389385334,-4.33496,43,0.215181318786,71.0345775337,119.243823586,65.2329,4.06432,48.3295,0.132309,4.06604927736
4.31508,160.991366673,13.6648352569,303.897840826,141.558371986,4.31714286327,44,426.60529545,288.228098259,0.972066,76.9371236279,-4.54966,44,0.229987599908,92.0262142357,132.664742423,66.1208,4.28345,49.1053,0.143654,4.28516918717
4.51024,139.700672303,77.1351320136,555.191693933,283.693502827,4.51222012749,45,311.88299854,198.375839033,0.939043,37.6932497847,-4.76282,45,0.245722261601,183.572617026,117.564643948,66.9568,4.47914,49.8298,0.170155,4.48177359915
4.72726,139.991997897,0.0127193308061,269.397961197,128.539721642,4.72877301775,46,343.613542686,190.641715502,0.939823,46.2502270404,-4.99624,46,0.255728693501,81.2715678704,105.217696348,67.7567,4.69928,50.6138,0.18051,4.70106473405
4.92525,109.177193394,46.4977807761,237.139550874,125.109408551,4.92707601816,47,310.933369332,175.110502886,0.929695,38.2899654999,-5.20386,47,0.2545953483,66.6823248836,108.435672716,68.5624,4.8985,51.3692,0.18561,4.90069930573
5.15981,-8.11681588241,5.51711356559,326.798525922,163.354173062,5.16201857578,48,942.79364875,217.238492027,0.935982,114.785491608,-5.4473,48,0.258544418551,116.311218218,99.5240911084,69.2591,5.13465,52.0144,0.173882,5.13705212179
5.43724,79.6453711037,-5.664317608,513.093989297,197.203727956,5.4385237709,49,391.38275703,218.011377662,0.931865,61.7766802302,-5.7383,49,0.268103146946,146.231230979,106.478841487,69.9525,5.41303,52.7216,0.189446,5.41538711197
5.64507,57.9996515241,39.4049092145,261.134412326,156.352601255,5.64667211186,50,945.832580528,170.113820178,0.952605,94.8108684361,-5.95515,50,0.276803562318,65.6292255504,94.0444860058,70.603,5.62318,53.3905,0.203891,5.62593401582
5.88136,146.739604414,21.6392751786,238.171798537,147.840360492,5.88243872916,51,196.897961932,172.114066453,0.956854,10.0295918018,-6.20643,51,0.281434744049,68.3201754974,105.441943398,71.4211,5.86013,54.0868,0.214163,5.86225090284
6.15828,126.092976236,55.6099408121,329.768518741,166.118915323,6.15895300367,52,224.494117156,166.030595744,0.946491,15.9743412763,-6.4983,52,0.290821273585,78.5400775726,101.695437489,72.1521,6.13855,54.7431,0.229106,6.14089309864
6.39703,-94.9011630849,54.5833904493,243.793099991,136.595815699,6.39848094563,53,251.497049537,124.002046415,0.955511,38.1473973749,-6.74925,53,0.302053893283,59.9950000023,73.7222152158,72.7835,6.37964,55.3996,0.253063,6.38217860146
6.65657,123.735567003,-9.73961978366,208.961076989,124.691915197,6.65782422028,54,540.572162698,220.08129623,0.957223,71.4757698389,-7.01556,54,0.301956160426,67.1743363644,109.524068429,73.4561,6.64094,56.0921,0.25397,6.64341989567
