AverageAbsQ,MinReturn,MinEsReturn,MaxEsReturn,AverageEsReturn,AverageAbsY,Iteration,MaxReturn,AverageReturn,AverageAction,StdReturn,AveragePolicySurr,Epoch,AverageAbsQYDiff,StdEsReturn,AverageDiscountedReturn,PolicyRegParamNorm,AverageQ,QFunRegParamNorm,AverageQLoss,AverageY
6.86149,-12.1432541546,39.8987804773,266.887952122,135.191992894,6.86286835575,55,893.718660632,193.62334073,0.946082,153.341555779,-7.22176,55,0.308729827951,82.1548417244,84.3917688069,74.1449,6.84712,56.7518,0.251013,6.84994621596
7.12146,-264.935442224,-5.74901371061,262.691951704,142.377641794,7.1229904276,56,341.827927042,101.040732351,0.944791,132.426446269,-7.51637,56,0.326633155732,65.6647688923,71.6594648517,74.7602,7.10715,57.4452,0.306855,7.10990061392
7.37231,115.141615729,21.2032160689,283.148622209,143.428526339,7.37497244721,57,258.692285669,151.208965648,0.957716,14.7963351013,-7.75747,57,0.332787736448,66.9078557057,93.5845363235,75.3825,7.35753,58.0621,0.31832,7.36078362846
7.66458,142.055751247,22.2238850573,280.215960212,140.979244616,7.66502334674,58,246.937154939,209.661075028,0.957522,16.7025548254,-8.05227,58,0.327670933252,60.3975558758,117.73694251,75.9983,7.649,58.6906,0.2901,7.65128651207
7.91189,125.969022209,18.7549459754,496.596547339,194.945351637,7.9140727866,59,217.942968852,145.305113096,0.938402,17.818427245,-8.31503,59,0.343724546142,134.173238037,93.9644147841,76.653,7.89807,59.3594,0.335454,7.90179134998
8.183,86.870437194,2.75195047351,337.410931187,203.775565535,8.18349209158,60,302.184879818,147.599739108,0.931823,33.1893385058,-8.57959,60,0.343657816226,113.986792011,93.8315097591,77.2037,8.16988,59.9204,0.31226,8.17241850349
8.39793,146.304985511,-9.01975642467,241.24699862,89.2925010691,8.399238289,61,275.904422264,217.13513796,0.930674,23.7910975783,-8.81422,61,0.352780626672,94.2743272032,121.886241578,77.7921,8.38338,60.5777,0.351223,8.38704911271
8.6655,185.485981495,37.9384792608,344.701665645,159.03694769,8.66599017814,62,353.967263123,235.189666446,0.923723,39.8675298637,-9.10922,62,0.357536517302,101.090763921,131.286189104,78.4116,8.65462,61.2023,0.339129,8.65749558323
8.87724,35.1901306362,-3.1335643352,281.059483182,139.110657495,8.87849282626,63,560.174739584,114.905624448,0.950499,87.0011320578,-9.3046,63,0.37338949921,95.7450305961,74.4007179338,79.0586,8.86409,61.793,0.400495,8.86749218636
9.17567,-35.2249929018,-1.27311908091,304.485825505,137.977718393,9.1761976936,64,529.651940117,128.970784905,0.945772,122.090969218,-9.60759,64,0.373796923401,98.5060194886,67.0140019234,79.6366,9.16493,62.3571,0.406843,9.16794853181
9.41257,77.1504858599,-0.890345137732,289.190082347,136.332109727,9.413417272,65,546.752581117,216.206935416,0.943707,68.3891134487,-9.8252,65,0.383668117547,99.7086590741,114.479715811,80.1881,9.40217,62.9731,0.420944,9.4058085485
9.64729,-225.057331659,-0.315727539473,244.2254997,87.3616275342,9.64770246718,66,468.881827626,148.000216001,0.936734,88.0380675004,-10.0734,66,0.387941390261,86.9542160498,83.5906963751,80.7646,9.63606,63.5377,0.436757,9.63906505962
9.84382,144.477546604,1.84983846605,362.950136926,142.857926414,9.84463527122,67,243.016505321,189.540385266,0.940455,20.6982361784,-10.26,67,0.383794022372,124.492348219,111.515685061,81.3318,9.83363,64.0819,0.420814,9.8371073828
10.0184,3.85355976316,-3.19390223162,274.326372134,162.372887096,10.0176554652,68,255.527998094,85.2611343817,0.915837,97.8615354869,-10.4251,68,0.394236995073,80.9784865813,49.6752071733,81.9671,10.0066,64.698,0.458699,10.0100204548
10.2472,135.875562413,6.23632585244,402.820905993,127.120392993,10.2477148091,69,263.228213295,146.919429452,0.918821,19.156119638,-10.6461,69,0.383089759165,113.093311007,97.5804081962,82.516,10.2358,65.2122,0.403095,10.2396374092
10.3805,4.22914446362,-0.936651357679,323.000451585,122.586714648,10.380055155,70,402.064423594,75.5537407269,0.888819,102.764881811,-10.7756,70,0.397975394551,95.7660141738,43.0057354663,83.0491,10.3683,65.8021,0.493734,10.3710155127
10.611,-91.4280498946,-2.54118290439,447.413703213,140.811284766,10.6109251013,71,932.156083263,190.524796912,0.942946,156.289892234,-11.0068,71,0.3821318668,145.35334446,88.5753109277,83.6776,10.5992,66.2772,0.406867,10.6023351686
10.8103,-96.2722301709,-1.33228093959,242.496550969,123.385457152,10.810343335,72,470.154782505,133.763347143,0.934576,154.900881118,-11.2109,72,0.404814652253,83.9505614382,67.5204703479,84.2427,10.7979,66.8181,0.512654,10.8013820932
10.94,-32.2304136183,2.15640881689,317.132889499,190.396448329,10.9398504405,73,643.212160041,135.450999613,0.930437,143.097590831,-11.342,73,0.397946947527,88.8150776797,63.6848029718,84.7304,10.9263,67.3418,0.498381,10.9296963403
11.1298,158.147541324,102.282078116,278.907758116,199.682348177,11.1296770298,74,419.322065414,259.462843142,0.938185,56.1395973718,-11.5341,74,0.408823111496,64.465715799,117.100107731,85.3175,11.1156,67.8959,0.523585,11.118658298
11.3179,203.185248857,108.213580858,253.501056048,195.89390285,11.3179664968,75,354.890727887,246.664824287,0.932192,33.8422670595,-11.7132,75,0.404482487934,46.8486785926,129.334091054,85.8562,11.3038,68.4077,0.517405,11.3073845947
11.4341,0.87253492624,-29.6686985895,429.706804049,126.960637274,11.4332487086,76,855.516985861,252.602206457,0.935547,154.357847853,-11.819,76,0.390066060986,140.771954337,109.481708991,86.4539,11.4193,68.8727,0.463138,11.4219006975
11.5742,51.6920827635,18.6431766176,266.879046976,163.971161896,11.5748065701,77,581.935976366,122.07930389,0.867805,139.936138542,-11.9618,77,0.419558764731,76.1877227099,58.5532266273,86.9595,11.5626,69.4287,0.571984,11.566763086
11.7504,196.642989501,7.82733453448,423.302146956,195.144032822,11.7494949318,78,424.169382259,263.66884262,0.944916,47.4379826251,-12.1191,78,0.410515526644,138.548103697,137.173711807,87.4797,11.7368,69.9694,0.507844,11.7396812819
11.8344,-5.57004848334,0.911167236416,495.796211616,163.849473203,11.8354064779,79,499.085641213,118.235981447,0.922399,120.413770525,-12.1829,79,0.402554527815,181.937702549,64.7550126255,88.0337,11.8236,70.3979,0.484628,11.8270641868
11.9458,-17.6408477882,-7.01260489875,418.359786666,202.374513387,11.9444832224,80,465.452954762,250.441326964,0.950341,105.101730188,-12.2971,80,0.422191162282,117.815273606,110.354664341,88.6287,11.9325,70.9303,0.569508,11.9358253789
12.0765,163.755666565,34.9143976661,361.5452128,172.793309612,12.0770360735,81,413.265595082,232.710082583,0.934686,46.8348840737,-12.4193,81,0.422688862323,96.9326567794,121.421999471,89.133,12.065,71.4748,0.56784,12.0687559251
12.2126,177.848246146,31.0583237318,498.686288502,224.57777899,12.2127007028,82,473.7117037,268.095323963,0.943822,59.207293783,-12.5573,82,0.428045886541,140.138570105,111.376677343,89.7611,12.2001,71.944,0.613322,12.2041733788
12.2546,174.34056115,153.36629695,500.365086279,254.210858455,12.2532618037,83,429.976382937,205.186903745,0.962592,27.9425579112,-12.6066,83,0.426872074528,115.5184688,119.495119833,90.2702,12.2438,72.4623,0.568913,12.2455157584
12.4314,-77.6959963753,5.25439918715,367.221149553,236.552386549,12.4325779175,84,942.441181129,339.338975423,0.936354,142.873565694,-12.7742,84,0.423574728998,141.624488058,131.501340576,90.8475,12.4197,72.8959,0.54797,12.4234869957
12.4646,-63.6599347648,54.7593659329,369.824106288,225.3741149,12.4634618935,85,545.52218309,218.108861423,0.939275,129.720451334,-12.7997,85,0.437134222771,112.295142144,99.7768046366,91.3411,12.4476,73.4272,0.593253,12.4500399191
12.6338,120.516610343,19.3681981594,312.769799815,171.162641,12.6343734558,86,852.369870346,489.556754654,0.915687,163.995745272,-12.9707,86,0.431967549866,105.565705646,122.682793168,91.8939,12.6184,73.8833,0.574833,12.6217130122
12.718,-40.987709671,47.5388184722,331.415191768,206.558714774,12.7177950789,87,454.517220339,217.45847799,0.952032,112.397806483,-13.0681,87,0.430527647089,81.9764209344,97.0949062389,92.3943,12.7041,74.3582,0.582539,12.7075958711
12.9166,-2.2497272492,7.56181472527,384.157043547,139.97892293,12.9171379148,88,563.652720463,303.021572771,0.94718,132.709618301,-13.2681,88,0.434767489249,116.523154528,107.820410104,92.8801,12.901,74.8237,0.597661,12.9051193317
12.9502,10.1536140216,-43.0002523684,274.056562034,94.5017838307,12.948391803,89,714.694969185,350.985076725,0.952074,123.676090416,-13.3059,89,0.445870825675,118.907632765,119.671204439,93.3641,12.9368,75.2648,0.629502,12.9388163122
13.0605,51.8911019782,-21.9418023542,336.976049441,161.730339119,13.0596861785,90,496.281341139,316.211617066,0.934865,98.1726752761,-13.3926,90,0.44173000157,129.359878944,120.040230395,93.8274,13.0446,75.7057,0.597992,13.0483350388
13.1221,-15.8246571911,18.6247615074,361.67156157,213.577734949,13.1214804963,91,837.467111539,258.323752658,0.950553,198.138699756,-13.4665,91,0.455045027822,130.500743473,82.4655891841,94.286,13.1071,76.1889,0.668571,13.1100784572
13.2239,9.37864030313,139.311462264,604.419811847,319.349845878,13.2230979188,92,416.49250945,206.320660682,0.968433,52.5085500629,-13.5556,92,0.436227376985,147.600949448,109.501780588,94.7617,13.2102,76.5776,0.584645,13.2130620245
13.3474,86.4589442288,13.9224661361,656.563243642,213.069613787,13.347243206,93,397.313096071,196.279794631,0.98002,69.9927189426,-13.6848,93,0.449431988392,216.730345924,99.4468653739,95.2796,13.3328,77.0139,0.61061,13.3362804419
13.5332,95.1525372207,1.3243162462,354.519007148,140.220377265,13.5330065153,94,355.83119397,191.024543587,0.961823,46.4990470275,-13.8576,94,0.444790829867,119.10263885,108.554916085,95.7299,13.5206,77.4154,0.562623,13.5231407954
13.5784,96.0873075344,56.5203691527,388.218223535,195.91856423,13.5769203216,95,478.83064833,194.763757698,0.959331,75.3148571035,-13.9069,95,0.46254607007,92.2157879217,103.785107663,96.166,13.5635,77.9046,0.66791,13.5659823193
13.6575,102.475903444,16.3111369509,429.707523994,221.932762571,13.6558867964,96,304.815206975,190.19219775,0.959559,38.7236980483,-13.9979,96,0.443206443993,134.905556806,106.162444724,96.6276,13.6435,78.2801,0.584171,13.6463991528
13.7318,150.650205913,97.7186152454,359.918045347,186.810637235,13.7304521917,97,370.655169462,185.882627469,0.96774,37.0235806293,-14.0922,97,0.471643820894,78.4103654897,103.855609816,97.1237,13.7173,78.7693,0.705311,13.719969459
13.9041,142.144982656,-1.34220870294,390.579201991,147.844791818,13.9020233226,98,374.683900745,191.299561283,0.96458,43.1584243312,-14.2631,98,0.472000740739,141.906467025,96.4065048225,97.569,13.89,79.1993,0.737964,13.8929381533
14.0338,90.3947155049,141.124815728,293.366183371,214.486395085,14.0318671167,99,480.081327257,216.871695229,0.951031,70.4317084493,-14.4221,99,0.459759013304,52.1762265877,113.022958519,98.0792,14.0211,79.6241,0.672996,14.0241223342
14.1408,152.668523812,32.6554846955,406.45557351,184.664245522,14.1393637522,100,389.489678548,191.217897032,0.948464,37.4255890508,-14.5501,100,0.47552737923,117.62654019,109.005943405,98.4444,14.1286,80.0653,0.695396,14.132435681
14.314,161.413851453,133.907782223,390.172053557,228.824571348,14.3130507026,101,366.756327728,216.852340227,0.948323,37.9948166377,-14.7038,101,0.466046572596,70.6375261639,118.163083,98.9197,14.3021,80.4852,0.639374,14.3056073532
14.4725,162.919388969,122.704976042,274.238220814,201.51788017,14.4718100682,102,332.656810753,202.557306304,0.945491,26.7150962781,-14.8587,102,0.475158064048,51.6180642097,115.474843886,99.3016,14.4607,80.8874,0.675383,14.4643953915
14.5621,118.53910757,2.8963161285,329.279494329,160.461122511,14.5598338241,103,743.18216694,298.233918389,0.958992,132.046657226,-14.9517,103,0.475073864145,100.80532096,134.68573399,99.7005,14.5485,81.3081,0.688072,14.5520938806
14.6903,135.5528626,-0.103485498014,400.196169683,181.143928682,14.689394415,104,872.323263984,361.935692369,0.962395,178.690413823,-15.077,104,0.472479374719,108.965238067,138.749684746,100.107,14.6786,81.7195,0.65962,14.6819241922
14.8521,137.415767251,117.910755651,418.139474554,289.967876869,14.8494634304,105,319.891420134,221.256985908,0.968814,54.8707095706,-15.2304,105,0.493369925862,99.0597030409,123.419109945,100.491,14.8389,82.1523,0.776724,14.8421022249
14.9272,142.348649014,135.543359857,547.076485396,269.7975276,14.9243481134,106,950.980613981,284.817449007,0.95713,151.985929537,-15.2987,106,0.495830592088,141.117324734,131.61082089,100.927,14.9134,82.5985,0.751,14.9165745442
15.0066,39.1098707902,22.7579442926,667.383893985,257.990265535,15.002734593,107,1403.85336005,238.267589243,0.953449,207.23080343,-15.3932,107,0.48680768265,164.330735498,100.337337872,101.293,14.9932,82.9882,0.687702,14.9955078349
15.154,112.369314244,4.80676474413,405.49253891,187.619041135,15.1528852724,108,643.269671793,213.118301641,0.959229,122.838283319,-15.5383,108,0.510747289606,148.183521767,108.446556949,101.712,15.1415,83.3958,0.866654,15.1459077473
15.2413,114.347934325,11.5376322187,329.593199043,181.878440199,15.2374097594,109,531.606558439,234.503185041,0.94707,85.0262555567,-15.6272,109,0.490905457582,84.1384045296,120.377258714,102.114,15.2285,83.7888,0.743917,15.2306760365
15.3567,129.520929741,-17.7150174421,404.167685861,211.136913576,15.3541453384,110,733.726871863,267.850159746,0.960579,122.096240575,-15.7205,110,0.497304928282,150.947966101,131.178911877,102.493,15.3438,84.1933,0.779935,15.3471837818
15.4592,107.000992704,81.9456523152,594.650581338,283.882394483,15.4552574492,111,448.382015722,237.778784534,0.958208,71.6825922167,-15.8495,111,0.500692010121,143.004530601,113.109312201,102.892,15.4453,84.5661,0.810111,15.4475242648
15.5322,11.8604665169,18.6191253145,409.273820582,255.190265706,15.5304068465,112,728.802551981,181.273413811,0.944499,113.020247822,-15.9162,112,0.494069988027,130.888303175,92.8244606617,103.385,15.5187,84.9704,0.764009,15.5224292152
15.6299,51.3599397925,17.8422704646,323.23092741,187.351427239,15.6290333452,113,480.694075039,193.798038728,0.954985,72.5746071515,-16.013,113,0.509047777855,117.494107498,99.6832036384,103.752,15.6184,85.3743,0.78906,15.6219610771
15.7689,122.208091038,27.7174716927,487.590592184,241.848794893,15.7665752584,114,314.246976686,205.389705493,0.956239,42.4204051051,-16.1482,114,0.502755716321,150.797607101,117.592468132,104.142,15.7559,85.7436,0.759179,15.7588358199
15.7618,29.1254172806,10.9972130119,374.247952002,190.968561967,15.7596483778,115,850.958016845,214.356435325,0.960645,144.721653693,-16.1519,115,0.50905882945,121.007351021,102.24500783,104.493,15.7494,86.0712,0.847521,15.7522862278
15.8603,200.585125737,22.0877453416,652.124753725,228.412347156,15.85994777,116,1014.72219221,437.785487361,0.965278,206.016273359,-16.2457,116,0.509047157422,205.039678436,154.311650625,104.97,15.8506,86.4705,0.888117,15.8534262123
15.9874,-52.2444261264,3.49681451558,532.022086236,219.608035396,15.986569724,117,1492.96374419,200.679362858,0.964786,241.654078066,-16.3628,117,0.505448086173,171.650993368,79.026557338,105.354,15.9767,86.8123,0.7876,15.980293585
16.0767,142.327282027,-16.9096286803,473.428703797,177.872687436,16.0759832608,118,1214.73092618,271.027527654,0.961471,150.203325845,-16.454,118,0.506366047183,146.101661975,133.58409515,105.679,16.0672,87.1776,0.838378,16.0701029332
16.0867,80.649432702,139.225138418,646.308964132,303.544996626,16.087263624,119,1018.31854143,340.436149082,0.960395,212.008182221,-16.4479,119,0.499099575014,166.553703973,118.61382472,106.057,16.0779,87.5532,0.785553,16.0810087504
16.1512,-30.7623271022,4.29791274761,682.797945716,335.230946165,16.1513491322,120,1136.00985278,171.235067055,0.970825,270.706684391,-16.512,120,0.511625080019,212.568860585,50.5074215789,106.383,16.1412,87.9238,0.93675,16.1453558143
16.112,95.42784044,-14.3666155759,259.229449994,100.927153767,16.1099052874,121,1381.54732343,266.108156245,0.955659,259.290969299,-16.4745,121,0.503093060082,88.8518222557,108.99798355,106.768,16.1005,88.2921,0.810495,16.1026878526
16.2468,91.78921544,3.57111356431,296.331575601,137.749276484,16.2466739071,122,677.960045692,144.000798593,0.955639,91.30148191,-16.6025,122,0.50499010167,95.7701407241,85.0304281184,107.19,16.2357,88.6581,0.875114,16.2396283977
16.3678,33.142525424,32.7392286141,302.066570464,198.915473174,16.3651390778,123,899.876105579,255.068149495,0.955923,154.761425129,-16.7044,123,0.503514102202,78.8279283697,99.0698581299,107.521,16.3562,88.9676,0.815328,16.3588083933
