AverageAbsQ,QFunRegParamNorm,AverageReturn,MinEsReturn,StdEsReturn,MaxReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,AverageAbsQYDiff,MaxEsReturn,AverageY,Epoch,StdReturn,Iteration,AverageQLoss,AverageEsReturn,AverageAction,AverageDiscountedReturn,AverageAbsY,AverageQ
17.7258,55.4592,67.5369127517,3.0,8.06025342252,101.0,26.0542,54.0,-20.0284,0.546192818471,51.0,17.7126613533,32,8.26046092116,32,1.43288,11.3372093023,0.171267,49.1047551687,17.7128506281,17.7141
18.4366,56.8912,29.8805970149,3.0,7.7318265302,36.0,26.3672,19.0,-20.9027,0.606604259057,36.0,18.4211341074,33,3.24392607191,33,1.71059,10.3229166667,0.453117,25.9015389029,18.421355837,18.4207
19.2145,58.3805,36.5328467153,3.0,11.1833530282,40.0,26.5303,35.0,-21.879,0.640290752607,45.0,19.1959115879,34,1.03621359359,34,1.94379,13.9864864865,0.187946,30.7268839608,19.1961531646,19.1968
20.0826,59.6561,36.6204379562,4.0,9.70914965966,39.0,26.7452,35.0,-22.8804,0.669625764184,44.0,20.066220405,35,0.829487458152,35,2.03824,12.7435897436,0.255499,30.7891789369,20.0665379964,20.0661
21.0234,60.9989,36.1624548736,3.0,11.6014712668,38.0,26.9702,35.0,-23.8632,0.696753059093,61.0,21.0053471161,36,0.634989214172,36,2.33141,12.253164557,0.234418,30.470875055,21.0058696405,21.0059
21.8766,62.3955,37.8301886792,3.0,12.5375285409,42.0,27.1385,35.0,-24.7927,0.732352798071,55.0,21.8570198756,37,1.10121457914,37,2.62966,14.3194444444,0.247999,31.6237712993,21.857472022,21.8571
22.6697,63.7431,37.1481481481,4.0,11.1104926748,42.0,27.3559,35.0,-25.7492,0.758681376964,51.0,22.6477872147,38,1.4682744648,38,2.7879,13.8493150685,0.260481,31.1501954561,22.6484325498,22.6473
23.5341,65.0653,36.1877256318,3.0,12.4522996295,41.0,27.6314,34.0,-26.7134,0.771991912096,68.0,23.5119247118,39,0.871196254521,39,2.99968,12.4810126582,0.247864,30.4872861621,23.5130712063,23.512
24.3959,66.4684,36.4436363636,3.0,16.2586301869,42.0,27.7392,34.0,-27.715,0.835035711876,60.0,24.3694896654,40,1.30715007643,40,3.35089,16.9166666667,0.194825,30.6625453378,24.3713331671,24.3683
25.2926,67.9671,36.2057761733,3.0,11.4103985597,39.0,27.8789,34.0,-28.6757,0.83724909136,47.0,25.2621415647,41,1.1670425427,41,3.54925,12.9868421053,0.208304,30.4977761693,25.2654068896,25.262
26.124,69.1377,35.5,3.0,12.873204212,39.0,28.0469,34.0,-29.6686,0.846308040196,60.0,26.0957921367,42,0.904088428487,42,3.7116,14.4057971014,0.201307,30.0049539261,26.0995122703,26.0953
27.1205,70.4523,35.8566308244,3.0,13.6621621479,40.0,28.229,34.0,-30.6627,0.879074157471,50.0,27.0838173551,43,1.02349676985,43,3.84905,15.6615384615,0.213772,30.2545804896,27.0887594631,27.0844
27.8482,71.6926,35.2676056338,3.0,11.6029391002,42.0,28.4125,32.0,-31.5208,0.935155645236,45.0,27.8085747338,44,1.84205753362,44,4.45393,13.5135135135,0.231057,29.8322378067,27.8130454108,27.8085
28.7452,72.7425,97.0970873786,3.0,11.1206733159,1000.0,28.6522,39.0,-32.483,0.938449123905,55.0,28.7095063868,45,139.285103613,45,4.58341,12.425,0.227819,48.6510269772,28.7141722873,28.7073
29.5876,73.8332,829.846153846,3.0,12.832857134,1000.0,28.9898,61.0,-33.3933,0.98262325874,74.0,29.540642653,46,298.135964376,46,4.91994,16.5333333333,0.206215,95.6374335043,29.5461090224,29.5415
30.4438,74.8809,638.375,3.0,15.8150684124,1000.0,29.3404,130.0,-34.3178,1.01032780653,99.0,30.398978265,47,319.892926422,47,5.21862,16.8166666667,0.210382,96.7999562261,30.4070222618,30.3968
31.279,75.9044,175.655172414,3.0,17.6312521881,415.0,29.735,52.0,-35.2048,0.995209494838,82.0,31.2305436808,48,65.2587823986,48,5.3931,22.6590909091,0.204827,79.8072572547,31.2386750989,31.2312
32.1853,77.1283,1000.0,3.0,17.1083137685,1000.0,30.1278,1000.0,-36.2014,1.03428886441,63.0,32.1388778263,49,0.0,49,5.69149,20.16,0.174369,99.9956828753,32.1488049364,32.135
33.0589,78.1549,929.454545455,3.0,18.1835445337,1000.0,30.4586,466.0,-37.1424,1.04408978472,114.0,33.0017940001,50,162.082113665,50,5.52105,19.4705882353,0.263373,99.9079364962,33.0124827901,33.0025
33.9458,79.1349,1000.0,4.0,20.9201922111,1000.0,30.7364,1000.0,-38.0245,1.01123384455,118.0,33.8947661212,51,0.0,51,5.63953,22.9318181818,0.196044,99.9956828753,33.9065710874,33.8913
34.7429,80.2241,1000.0,2.0,16.3715139704,1000.0,30.9469,1000.0,-38.9318,1.08760358066,80.0,34.6805480746,52,0.0,52,6.39115,17.3859649123,0.188,99.9956828753,34.6917052092,34.6808
35.5971,81.2246,1000.0,3.0,26.8889971195,1000.0,31.2845,1000.0,-39.857,1.11323779371,128.0,35.5361714922,53,0.0,53,6.70364,28.7352941176,0.165841,99.9956828753,35.5470754482,35.532
36.3155,82.0506,1000.0,3.0,21.7801970635,1000.0,31.5244,1000.0,-40.6054,1.06355420007,123.0,36.2549121901,54,0.0,54,6.35995,24.1666666667,0.206851,99.9956828753,36.2656638541,36.2559
37.0524,82.9685,1000.0,4.0,13.8671531984,1000.0,31.9738,1000.0,-41.4119,1.09567014674,64.0,36.9923268196,55,0.0,55,6.79068,17.649122807,0.231371,99.9956828753,37.0021836085,36.9912
37.9043,83.7009,1000.0,3.0,13.1988368869,1000.0,32.2752,1000.0,-42.1621,1.11075547034,75.0,37.8394934453,56,0.0,56,6.98178,17.298245614,0.204745,99.9956828753,37.8504050315,37.8363
38.69,84.5455,1000.0,4.0,9.36178698516,1000.0,32.6969,1000.0,-43.0551,1.14047939884,39.0,38.6245756458,57,0.0,57,7.50641,17.0833333333,0.332468,99.9956828753,38.6346251941,38.6222
39.334,85.4451,1000.0,2.0,18.5589078916,1000.0,33.0356,1000.0,-43.7442,1.15335200885,100.0,39.2644099583,58,0.0,58,7.49862,19.0961538462,0.337032,99.9956828753,39.2754524108,39.2646
40.2437,86.2412,1000.0,3.0,14.6702964557,1000.0,33.2832,1000.0,-44.6866,1.1030147703,84.0,40.1838239866,59,0.0,59,7.14701,17.2413793103,0.293027,99.9956828753,40.1939569346,40.1816
40.8571,87.0587,1000.0,3.0,13.7263138024,1000.0,33.608,1000.0,-45.4317,1.15494442308,65.0,40.7900140572,60,0.0,60,8.03133,15.746031746,0.331094,99.9956828753,40.8051089543,40.7874
41.5223,88.0556,1000.0,4.0,17.7580105523,1000.0,33.8431,1000.0,-46.2175,1.22235288717,99.0,41.4458364153,61,0.0,61,8.74935,20.1428571429,0.338646,99.9956828753,41.4634977577,41.4449
42.6141,88.8555,1000.0,3.0,21.4817292451,1000.0,34.1047,1000.0,-47.2528,1.16320069234,86.0,42.5427041358,62,0.0,62,8.09752,22.8444444444,0.458879,99.9956828753,42.555641037,42.5407
43.3742,89.5707,1000.0,2.0,15.3062015096,1000.0,34.3344,1000.0,-48.0185,1.21332413535,60.0,43.2963296897,63,0.0,63,9.07538,16.6949152542,0.899841,99.9956828753,43.3064139839,43.2944
44.0977,90.407,1000.0,3.0,12.4148348399,1000.0,34.5228,1000.0,-48.8018,1.19151469908,52.0,44.0301341418,64,0.0,64,8.84315,17.2033898305,0.398375,99.9956828753,44.042211528,44.0264
44.7484,91.3444,1000.0,2.0,15.3078168332,1000.0,34.6175,1000.0,-49.4788,1.23890210985,88.0,44.6747756845,65,0.0,65,9.19135,17.6727272727,0.411612,99.9956828753,44.6856869283,44.6722
45.5314,92.0084,1000.0,3.0,13.0410004335,1000.0,34.861,1000.0,-50.3992,1.30819225592,70.0,45.438500411,66,0.0,66,10.1699,15.8,0.403141,99.9956828753,45.4559007879,45.4375
46.3201,92.7561,1000.0,3.0,16.3519932256,1000.0,35.0067,1000.0,-51.2286,1.2750731133,74.0,46.2394619993,67,0.0,67,9.61915,18.679245283,0.482036,99.9956828753,46.2530482206,46.2372
47.0757,93.4597,1000.0,3.0,17.5954701443,1000.0,35.2189,1000.0,-52.0845,1.28773509527,87.0,46.9915305196,68,0.0,68,10.4948,19.0566037736,0.874586,99.9956828753,47.0063818512,46.9909
47.9649,93.9957,1000.0,3.0,29.997479318,1000.0,35.2811,1000.0,-52.9132,1.28202272534,152.0,47.8808587634,69,0.0,69,10.511,27.6111111111,0.675409,99.9956828753,47.8943186754,47.88
48.6286,94.6718,1000.0,3.0,14.7954844961,1000.0,35.4103,1000.0,-53.6461,1.30784176929,62.0,48.5431049337,70,0.0,70,10.9354,16.9137931034,0.385825,99.9956828753,48.5589067083,48.5423
49.4672,95.3898,1000.0,3.0,12.8528522899,1000.0,35.5179,1000.0,-54.4989,1.35148722739,66.0,49.3788679669,71,0.0,71,11.5526,14.5970149254,0.66276,99.9956828753,49.3957094011,49.3767
50.1252,96.0973,1000.0,3.0,15.7669670877,1000.0,35.608,1000.0,-55.3517,1.35788221832,72.0,50.0354505977,72,0.0,72,11.1697,20.8775510204,0.406846,99.9956828753,50.0508239942,50.0355
50.9566,96.8006,1000.0,3.0,18.05474832,1000.0,35.7111,1000.0,-56.0803,1.38961578765,85.0,50.8647418764,73,0.0,73,12.0669,18.3703703704,0.584284,99.9956828753,50.87971238,50.862
51.7474,97.5603,1000.0,3.0,17.685868103,1000.0,35.8435,1000.0,-57.0164,1.39545779617,99.0,51.6426394972,74,0.0,74,12.4832,21.2083333333,0.720452,99.9956828753,51.6606110879,51.6399
52.5467,98.3471,1000.0,3.0,14.2541743922,1000.0,36.0149,1000.0,-57.8511,1.45086667304,64.0,52.4405069261,75,0.0,75,13.6236,18.0181818182,0.335958,99.9956828753,52.4624014401,52.4385
53.2995,98.9696,1000.0,3.0,15.7890018613,1000.0,36.2482,1000.0,-58.7787,1.40983736274,80.0,53.1936601408,76,0.0,76,12.6768,19.6274509804,0.298771,99.9956828753,53.2157727321,53.1928
53.9814,99.6892,1000.0,3.0,30.1498857486,1000.0,36.4287,1000.0,-59.4562,1.52823258067,118.0,53.8742415303,77,0.0,77,14.6894,30.1212121212,0.217326,99.9956828753,53.8936661794,53.8703
54.966,100.405,1000.0,3.0,22.212834128,1000.0,36.6571,1000.0,-60.2923,1.40293216748,115.0,54.8667506845,78,0.0,78,13.3518,25.3,0.292339,99.9956828753,54.888130461,54.8643
55.7944,101.052,1000.0,3.0,20.2857947685,1000.0,36.8441,1000.0,-61.2581,1.45348809198,88.0,55.6899976737,79,0.0,79,13.3855,28.0285714286,0.4035,99.9956828753,55.7121421639,55.6892
56.5019,101.663,1000.0,3.0,18.951042825,1000.0,37.0032,1000.0,-61.9891,1.50693076816,107.0,56.3906140228,80,0.0,80,15.1087,20.7959183673,0.309396,99.9956828753,56.4144385454,56.3888
57.1341,102.371,1000.0,3.0,22.6026173839,1000.0,37.1891,1000.0,-62.6294,1.50280361945,95.0,57.0176273688,81,0.0,81,15.2665,23.3488372093,0.295117,99.9956828753,57.0496748098,57.0156
58.0196,102.916,1000.0,3.0,16.7719665272,1000.0,37.4164,1000.0,-63.4277,1.48027832713,75.0,57.9133295331,82,0.0,82,15.0642,17.5614035088,0.345986,99.9956828753,57.9446571359,57.9109
58.7832,103.556,1000.0,3.0,19.3238684107,1000.0,37.7072,1000.0,-64.4084,1.49499960566,108.0,58.6800675994,83,0.0,83,15.3374,19.0566037736,0.375028,99.9956828753,58.7023212614,58.679
59.5246,104.084,1000.0,3.0,15.9068333868,1000.0,38.0427,1000.0,-65.1405,1.55933431704,63.0,59.4299112896,84,0.0,84,16.3975,17.275862069,0.479102,99.9956828753,59.4539079348,59.4251
60.2997,104.644,1000.0,2.0,12.5620202861,1000.0,38.3475,1000.0,-65.9079,1.50466929473,57.0,60.1956683927,85,0.0,85,16.0844,16.3606557377,0.375123,99.9956828753,60.2183380091,60.1948
