MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
273.83335141,25,56.4600352147,212.759249825,29.5769,25,4.14525,0.587414,23.4809,23.4808401602,200.532493373,23.4522,0.808888091006,23.4584157316,128.078802302,82.9663582995,209.868070683,3.67989810371,222.366935061,23.5276,-25.1057
300.961122775,26,57.2832268756,258.589279882,30.6648,26,4.5966,0.676758,25.8507,25.8472950831,247.611382978,25.8176,0.871809398108,25.8244320525,145.180471896,99.824587023,223.21148524,4.17254354169,267.357945049,24.136,-27.5596
263.310606347,27,42.6002723385,257.595274097,31.7565,27,5.95636,0.641276,28.1531,28.1514566737,247.11556726,28.1226,0.990048376231,28.1315797175,146.013095971,125.06554288,212.130245774,4.30887787351,264.745988283,24.7477,-29.9676
261.573202278,28,43.5904106135,257.034562512,32.8257,28,6.21582,0.680093,30.3945,30.3915123191,241.495467912,30.3635,1.0349455829,30.3717706752,145.11587737,110.575930722,218.34789225,4.34679871112,267.005994529,25.3799,-32.2749
355.392865476,29,88.956086922,261.968096981,33.8012,29,7.08286,0.679227,32.7199,32.7141317649,223.495833488,32.6892,1.11377792968,32.6975087064,146.010568538,7.99933057004,217.314776596,33.2933460295,318.738669481,25.9832,-34.6705
311.383134744,30,50.2385550723,284.483049879,34.8798,30,7.34076,0.564246,35.1552,35.1494746827,246.645165193,35.126,1.1468516672,35.1326378464,152.457262143,144.193812955,228.728524411,16.9519540121,324.765251337,26.5079,-37.238
321.443718477,31,72.891537764,271.256828379,35.8259,31,8.21854,0.645301,37.525,37.5187261208,260.796219153,37.4929,1.20373301236,37.5026620425,148.944902231,94.796443707,233.215776651,7.23154927994,291.851950317,26.969,-39.6973
341.171219273,32,114.619243934,332.271975374,36.8393,32,9.13029,0.724111,39.8162,39.8058634211,308.183581244,39.7835,1.28210416032,39.7909597864,165.55964283,10.2178592463,230.609788345,7.23346742544,348.90554046,27.546,-41.9735
369.709990994,33,126.213677045,341.856734885,37.8026,33,9.65714,0.697578,42.1189,42.1111407721,311.914958822,42.0863,1.33238904326,42.0954141529,167.15568434,7.96357028368,249.550346017,13.9983757402,382.294940067,27.9491,-44.3137
419.887052064,34,103.618754178,348.271036457,38.8196,34,10.3628,0.692198,44.448,44.4351895434,333.486076264,44.4141,1.39630263948,44.420734019,173.078813585,89.6594536123,252.314979771,7.78598095479,368.254556941,28.4512,-46.6733
532.567100777,35,136.887707928,417.852792803,39.6752,35,10.5664,0.700935,46.8631,46.855436248,331.304433169,46.8339,1.40744656699,46.841990662,189.407660575,9.81460944684,335.801414067,65.6034417304,578.212910316,28.9445,-49.1078
