StdReturn,StdEsReturn,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageAbsY,AverageAction,PolicyRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageQ,AverageAbsQYDiff,MaxEsReturn,AverageEsReturn,AverageAbsQ,AverageQLoss,MinEsReturn,Iteration,MinReturn,AverageY
22.7254676151,61.8321806749,143.918960735,-0.937542,11.5822,9,1.59481638245,0.208637,11.7799,7.5455009374,106.50766335,0.584032,1.32190014459,-58.3694333232,-195.203670878,0.649748,2.38634,-269.507076317,9,69.5410204976,1.59481638245
1.32565308144,0.0,-570.169128905,-1.57627,12.131,10,0.776335658825,0.927938,12.3976,-54.6443497183,-572.994679943,0.630463,0.366979143199,-248.448992076,-248.448992076,0.721641,0.269543,-248.448992076,10,-574.527624636,0.642907802012
1.48551432817,0.0,-563.678088472,-1.89938,12.6895,11,0.89931838155,0.950855,13.5524,-52.4561938949,-566.336122571,0.748858,0.246608625374,-423.760631304,-423.760631304,0.868103,0.105684,-423.760631304,11,-569.763089036,0.753318762798
1.26358345101,0.0,-572.80776081,-2.32696,13.3378,12,1.39947343521,0.974489,14.3493,-49.442556151,-575.60493831,1.25852,0.267081524393,-434.830615663,-434.830615663,1.37525,0.127243,-434.830615663,12,-577.007909761,1.26080170498
105.977852101,0.0,-167.993076561,-2.64862,14.0754,13,1.88972426263,0.824573,15.0261,-7.52423337433,-352.492267545,1.73788,0.295000040969,-403.770023569,-403.770023569,1.86456,0.158692,-403.770023569,13,-479.555139081,1.74048195122
9.74802619441,0.0,-475.77285776,-2.91355,14.796,14,2.23716527465,0.77082,15.7606,-38.0867645561,-492.193339718,2.1156,0.321936372106,-315.198686602,-315.198686602,2.21091,0.185938,-315.198686602,14,-510.777271963,2.11752166491
13.6578853292,0.0,-308.427509495,-3.1189,15.4691,15,2.51445251174,0.599297,16.4677,-19.3882513906,-333.165156875,2.42608,0.328626266629,-334.106714815,-334.106714815,2.49225,0.201547,-334.106714815,15,-364.291509665,2.42778821141
94.3027842905,0.0,-365.069120678,-3.24609,16.2225,16,2.73413533222,0.700625,17.2358,-50.7370869027,-499.465942068,2.62658,0.346385605706,-312.216647841,-312.216647841,2.71241,0.230948,-312.216647841,16,-684.10826516,2.628797573
75.4834945505,0.0,-225.03265539,-3.45973,16.9789,17,2.96599812664,0.74567,17.8874,-16.7095739086,-332.104741296,2.81816,0.379360856885,-316.965746585,-316.965746585,2.93428,0.29336,-316.965746585,17,-438.008480275,2.82001986622
79.0528134241,0.0,-183.564544054,-3.71477,17.6882,18,3.22942134929,0.599329,18.327,-8.5689774449,-274.965203919,3.03869,0.384105724638,-322.190415787,-322.190415787,3.1986,0.286257,-322.190415787,18,-384.987829459,3.04239862793
13.7539287859,0.0,-237.810814102,-3.95912,18.3398,19,3.43633076872,0.536047,18.7644,-2.01455850604,-263.850806249,3.2398,0.393751003693,-285.838821939,-285.838821939,3.40386,0.303598,-285.838821939,19,-289.354139916,3.24374527854
22.472505133,0.0,-254.43433193,-4.23672,18.9982,20,3.70465273812,0.538012,19.2434,-12.1111329989,-284.943409161,3.53696,0.401691445443,-300.78060232,-300.78060232,3.67644,0.315153,-300.78060232,20,-329.722488512,3.54039618729
58.5218261799,0.0,-212.027762506,-4.44645,19.6981,21,3.92869496391,0.732938,19.7115,-11.8084807253,-295.070507905,3.76318,0.415241954212,-305.599661068,-305.599661068,3.8991,0.338441,-305.599661068,21,-385.835369123,3.76778751373
81.3275605236,0.0,-83.8507466547,-4.71799,20.3227,22,4.17220418703,0.723382,20.1678,-2.03434163851,-214.715557851,4.01665,0.434886269201,-278.039386795,-278.039386795,4.14098,0.37255,-278.039386795,22,-338.195214452,4.0214193134
75.7022887558,0.0,-70.4597763351,-5.01113,20.955,23,4.48327498459,0.654787,20.6602,7.925269568,-168.829572114,4.30282,0.46543910619,-221.485343169,-221.485343169,4.4481,0.437321,-221.485343169,23,-327.88631768,4.30745171231
188.572744887,0.0,116.841530991,-5.33419,21.5569,24,4.79416218643,0.775634,21.1673,9.27638609028,-389.86826267,4.60059,0.492570304728,-154.370938774,-154.370938774,4.75638,0.473666,-154.370938774,24,-576.991065473,4.60645215263
146.163200697,0.0,-208.619409902,-5.62617,22.1728,25,5.08013084052,0.790897,21.8239,19.0431137546,-564.735040968,4.86608,0.517710372801,-46.1758313647,-46.1758313647,5.03466,0.528696,-46.1758313647,25,-784.591396859,4.87097804875
65.7119506581,0.0,41.224315968,-5.95007,22.7679,26,5.39718925628,0.742046,22.2189,36.9563567793,-91.2926043679,5.17715,0.55948078755,-180.325389027,-180.325389027,5.3503,0.631892,-180.325389027,26,-173.61169744,5.18482194332
59.5145606701,0.0,-37.9020230679,-6.32964,23.3847,27,5.74958204716,0.709282,22.6079,21.3149961817,-108.61339182,5.54921,0.575969781374,-55.4741466389,-55.4741466389,5.70262,0.656603,-55.4741466389,27,-196.659982668,5.55419824669
