AverageEsReturn,PolicyRegParamNorm,AverageForwardProgress,AverageQ,AverageAbsQYDiff,AveragePolicySurr,MinReturn,MaxReturn,AverageQLoss,MinForwardProgress,AverageAction,Epoch,AverageY,StdEsReturn,AverageDiscountedReturn,StdReturn,MaxEsReturn,MaxForwardProgress,AverageAbsQ,AverageAbsY,AverageReturn,MinEsReturn,QFunRegParamNorm,StdForwardProgress
1.25611877357,16.0418,-0.00340034171298,-0.0285193,0.0446562504808,0.00741937,-6.30049227956,-0.277453156233,0.00299486,-0.0153173546652,0.949738,9,0.0160151245453,3.42261053912,-3.23040223197,0.953252445998,10.6655978462,0.00992629383413,0.0295588,0.0205941550127,-3.41037331285,-6.76443726393,14.971,0.00398440658694
-1.74131564039,16.6347,-0.00335208921,0.0390216,0.00833061557539,-0.0599064,-6.98598346741,2.4617985205,0.000255503,-0.0266944808212,0.995268,10,0.0397450438037,1.77159061244,-1.8212228156,1.63048578126,2.88256300724,0.0174937320287,0.0410596,0.0417531446061,-1.96988754104,-5.88862017928,15.3623,0.00766497579472
-5.32188918391,16.697,-0.00572110433196,0.0644838,0.0117189857462,-0.0672387,-8.28713636789,-1.92460898628,0.000667857,-0.0172347153275,0.999566,11,0.0640593628231,1.19811699107,-5.29872376919,0.795993691501,0.8225987722,0.00473069627528,0.0667302,0.0685444560714,-5.56394222506,-7.83725653511,15.7914,0.00340766505532
-5.12251520751,16.8023,-0.00579853055542,0.0306345,0.0116746408676,-0.0155004,-7.41550041215,-0.217722948602,0.000598342,-0.0192194190159,0.991001,12,0.029550868942,2.25532243803,-3.61177185317,1.00445828866,-1.07714507106,0.0089983547421,0.0549431,0.0576360449169,-3.83482208582,-11.7180187069,16.1705,0.00429550740316
-4.74940040489,16.8736,-0.00582037962279,-0.0170572,0.0110044368792,0.0272443,-8.36248479279,-2.04246332068,0.000422776,-0.0176331077438,0.99056,13,-0.0174657580839,1.25629065688,-5.34966530447,0.79303308027,-0.347337685806,0.00393196786895,0.0657642,0.0667681479625,-5.61735413977,-7.18710677887,16.5413,0.00341147470772
-5.42445399843,16.9653,-0.00541334629748,-0.0525785,0.0142400971369,0.0531443,-8.37759790184,-1.17913843211,0.000705117,-0.0173735063683,0.999911,14,-0.0528638878959,1.0735677754,-5.12603989685,1.16855443811,-0.100756121006,0.0064107529056,0.0887052,0.0896438991994,-5.3785152729,-7.54072889238,16.8077,0.00357627142309
-5.08213206537,17.0563,-0.00491982608635,-0.081124,0.0144176137626,0.0715775,-7.31781412946,-0.723923399081,0.000615329,-0.015549898044,0.99952,15,-0.0818510679773,1.12667978777,-3.94818955676,1.06744392767,-1.68179535878,0.00584579739547,0.111715,0.113163504737,-4.13130216083,-7.9693352576,17.1507,0.00364017491421
-1.12133884326,17.1934,0.0227951651206,-0.118482,0.0151899512961,0.126455,-4.3280161661,19.7477441336,0.000714897,-0.0114426519014,0.99998,16,-0.119119165328,2.81908953822,1.78219990366,5.6475654661,10.1443654485,0.107101364513,0.137803,0.138502976269,2.7269774671,-5.13915265322,17.617,0.0283935540968
-2.54091005161,17.2518,-0.0115850397636,-0.151415,0.0147004577932,0.160021,-20.5203074694,5.80666809296,0.000651096,-0.0887578560317,0.999939,17,-0.151904934146,4.59046929857,-3.48815569927,5.19516456444,11.9240412423,0.0397901909099,0.159095,0.159487325139,-4.59072256052,-16.7820004307,18.0086,0.02517117729
-4.2893987682,17.6719,-0.0137629645609,-0.171833,0.0134117668642,0.180068,-22.4449134672,5.15990436375,0.000482144,-0.0984555055035,0.999998,18,-0.171787687914,4.14995705735,-3.87946410208,5.6257762536,4.38373637506,0.0348116932564,0.175095,0.175191522635,-5.00856083613,-11.2547085737,18.3402,0.0273799545416
2.90859740417,17.852,0.0228563112507,-0.177244,0.0160238104828,0.175274,-2.05483091306,8.05581658288,0.000652317,-0.000809253289801,0.999969,19,-0.177200061111,2.04547179912,2.69321240181,1.48830108934,6.42558793017,0.0460756939526,0.180934,0.181002922631,2.99623444392,-8.20785690728,18.661,0.00698055100098
3.08634851201,17.9346,0.0232434235263,-0.162742,0.0179387617475,0.141121,-1.93156630382,7.76543832925,0.000820463,-0.00069819223381,0.999993,20,-0.162487702751,1.53554580541,2.76815665534,1.60674337633,5.70966898114,0.045074640819,0.171943,0.172144126421,3.07808708419,-0.611301239431,19.0368,0.0075625252343
3.07603677581,17.9541,0.0229644774414,-0.131896,0.0194859998484,0.0973724,-1.30811808661,7.83580618598,0.000981038,0.00357275978719,0.999997,21,-0.131714189929,1.57068353368,2.70390477955,1.52544154265,6.67918936027,0.0457342160883,0.155233,0.155474177696,3.00805622265,-0.570087943948,19.4644,0.00716151799164
2.80184854308,18.0286,0.0231093385739,-0.0980432,0.0184233094521,0.0705433,-1.281116129,7.88385722214,0.000874951,0.00259996837585,1.0,22,-0.097956973009,1.39208962907,2.74158346781,1.48821316451,6.58372464402,0.0456516072118,0.146259,0.14656563735,3.04951942324,-0.583435177026,19.9033,0.00699998330692
3.22643169701,18.0313,0.0229415832584,-0.0723974,0.0175487965582,0.0480282,-2.38756765947,7.53668067788,0.000850217,-0.00211892519678,1.0,23,-0.0722731407906,1.33987570071,2.706457898,1.42575268078,6.7155044193,0.0442570536556,0.143441,0.143634809231,3.01236572102,-0.418459232769,20.275,0.00670124317114
