AverageQLoss,AverageDiscountedReturn,Epoch,AverageY,MinForwardProgress,StdForwardProgress,AverageReturn,AverageEsReturn,AverageQ,MaxEsReturn,AverageForwardProgress,AverageAbsQYDiff,MaxForwardProgress,PolicyRegParamNorm,MaxReturn,MinReturn,QFunRegParamNorm,AverageAbsQ,MinEsReturn,AverageAbsY,StdEsReturn,AverageAction,AveragePolicySurr,StdReturn
0.00450142,-35.6639413515,10,0.0248048489522,-0.353018444747,0.109228454729,-81.4970118053,-6.01621737891,0.0321089,5.80954468243,-0.173446100061,0.016791748257,0.135653672454,18.6827,-51.5575556136,-99.393263506,18.5896,0.041922,-94.8853692311,0.0299785520159,21.6438007961,0.861802,-0.105355,10.7563049998
0.000106616,-17.8534689797,11,0.0367556874905,-0.0658966754586,0.102745321179,-54.7350851763,-71.1714963853,0.0368985,-44.009485438,0.130168104008,0.00457617032638,0.41657555785,18.7843,-27.0360026207,-74.8683239087,19.0038,0.0493382,-83.7803114241,0.0493971775897,15.9084339521,0.906543,-0.0644867,10.8497848178
9.18718e-05,-21.3269413464,12,0.0238863192391,-0.122720115349,0.100047955975,-62.7684146106,-68.9446237276,0.0239383,-51.8917908577,0.0488891649727,0.00440452069209,0.239519483239,18.9497,-43.2280491566,-80.0872528888,19.3081,0.0496502,-75.818221158,0.0498758078655,9.92321862259,0.905517,-0.0336552,10.0858822429
0.000127941,-36.6177557442,13,0.0184364324176,-0.414767180087,0.216657150849,-81.6510293077,-100.572506891,0.0184593,-58.6144913581,-0.0833960418382,0.00499024993058,0.327279749424,19.0652,-40.0925112107,-114.653945012,19.6778,0.0687869,-189.866317004,0.0690814042215,52.0930098647,0.977822,-0.0340317,21.884753477
0.0001274,-19.5514291048,14,-0.00018310567785,0.0342311421782,0.0334214527973,-63.5878846529,-62.9328470139,-0.000158249,-58.7288089328,0.110453771502,0.004912774949,0.170338843378,19.2763,-57.6648295834,-71.2885138126,20.0491,0.0718849,-65.3085153985,0.0721560615394,2.50551576863,0.9945,0.00460451,3.34805889015
0.000143844,-20.9939850221,15,-0.0277035879515,-0.495623723979,0.220645708921,-58.7589707439,-65.7638751553,-0.0277054,-58.251712903,0.0432697009728,0.00533408517768,0.323194352794,19.3707,-32.369845904,-108.569870073,20.484,0.0684228,-72.2511793091,0.068777909583,5.47328178161,0.850572,0.0334091,20.3304472711
0.000222345,-9.41410803365,16,-0.0594499240306,-0.375722800071,0.393696428728,-16.6094360938,-2.82920175303,-0.0594349,44.8450334777,0.509990650625,0.00688366162314,1.15340705344,19.686,47.524021677,-106.505030931,20.9271,0.076987,-40.3230155615,0.0774098332072,31.05955535,0.948093,0.0691202,39.0590471147
0.000304921,-11.2109721278,17,-0.0937243408555,0.117670429392,0.0567772750979,-48.2839945424,-33.5350618509,-0.0937039,-10.6577847814,0.251824342312,0.00817449768316,0.353797445802,19.705,-38.1007549245,-61.6241914353,21.3716,0.11579,-56.1361457879,0.116254935799,16.5472181507,0.981635,0.109601,5.62585433195
0.000366006,-21.0169035203,18,-0.111587567014,-0.383233366779,0.169891896279,-67.0170550156,-43.2688617968,-0.111589,-19.790510173,0.0482714938801,0.00886591071555,0.306714378925,19.8106,-39.3913845669,-110.934894287,21.821,0.139784,-59.5857210822,0.140237285452,14.5216753122,0.966526,0.121499,16.5811308853
0.000427823,-23.0755379513,19,-0.137290586721,-0.0902699797852,0.0998301295009,-60.9700642287,-77.0250818733,-0.13729,-66.8585426519,0.0885584223025,0.00956061318808,0.281996929644,19.8868,-41.1952427857,-78.829793427,22.2687,0.167719,-87.9791462714,0.168234925664,7.88015442612,0.927012,0.151304,10.1376738988
0.000469906,-11.3240223047,20,-0.152116137034,-0.357329477643,0.139608595254,-50.9701212856,-60.749561831,-0.152132,-28.7296952213,0.192048701911,0.01020202084,0.378904027841,19.9755,-33.7479108286,-104.812931514,22.7359,0.185466,-80.1681660655,0.186000170353,19.3163563428,0.940745,0.153115,12.9331664428
0.000604454,-17.6611730356,21,-0.168444199939,-0.358261828541,0.134886872167,-60.2530236252,-74.5274249934,-0.16846,-40.4234779106,0.049631135049,0.0116908107349,0.489970708349,20.1143,-13.7427503254,-99.1279506349,23.2002,0.206377,-89.2484034484,0.207086055046,19.816872617,0.88758,0.172545,13.6400281289
0.000859327,-18.4825916127,22,-0.19042018957,-0.1729036408,0.103365217437,-62.7457990291,-66.9783294675,-0.190463,-9.96351452727,0.0839769412829,0.0138122959218,0.294147636894,20.3529,-41.4950893856,-87.587933833,23.7024,0.236212,-105.174976895,0.23712282366,35.2683388782,0.959682,0.193339,10.3729614023
0.000864075,-17.4144928547,23,-0.209098697248,-0.139717203684,0.0869666562683,-58.592397462,-61.8656238523,-0.209124,-51.6854140514,0.102567588908,0.01393355807,0.242342269479,20.5107,-44.591942153,-83.8844744326,24.1841,0.258222,-77.9345864778,0.259210022439,9.8881643289,0.93652,0.212677,9.18319588976
