Epoch,AveragePolicySurr,MinEsReturn,MinReturn,MaxEsReturn,AverageAbsQ,PolicyRegParamNorm,StdReturn,AverageQLoss,AverageDiscountedReturn,AverageEsReturn,AverageQ,AverageReturn,MaxReturn,StdEsReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQYDiff,AverageY,AverageAbsY
23,-2.38751,23.8002878784,178.102635544,194.380238727,2.21734,42.3887,1.71686921097,0.0279438,116.047118161,145.722925789,2.21562,183.01306947,186.951363108,52.3888976021,0.759397,30.4839,23,0.0837384692794,2.2165807192,2.21757038438
24,-2.58417,17.909706868,179.663518075,207.33887078,2.41631,43.7345,2.28837474106,0.0328356,116.422413793,133.852226138,2.41459,185.765276592,191.738668154,69.5518243086,0.696923,31.4268,24,0.0874737751029,2.41530288466,2.41619801527
25,-2.75548,8.14249026153,124.082956759,205.312622798,2.59361,44.8457,9.25060713458,0.0347072,97.3079374959,150.137721432,2.5919,144.009629064,160.272651796,57.3141061494,0.76705,32.3328,25,0.0916289165166,2.59266635201,2.5935724575
26,-2.91966,10.3621256455,172.889243543,197.956929816,2.75691,46.2548,2.30960705148,0.0379966,114.537630989,123.554964186,2.75529,178.511729227,183.804661266,71.5416439636,0.743163,33.1514,26,0.0952742751114,2.75606635416,2.75676728811
27,-3.09892,34.6037004698,160.346325249,196.476052142,2.92796,47.8826,5.05376335256,0.0389233,112.792775648,146.464522734,2.92621,175.013512089,182.709122206,55.099323958,0.693615,34.0429,27,0.0966472194824,2.92719980026,2.92787038217
28,-3.27501,8.4544725439,176.558980403,222.1867337,3.09739,49.3783,2.65333646771,0.0440007,115.900630014,135.11761327,3.09516,181.5799248,187.876453477,74.7986291502,0.709336,34.8175,28,0.104081369969,3.09589058521,3.09678540409
29,-3.46098,10.5166584719,191.518984131,208.944474977,3.27793,50.3531,3.56817674425,0.0460979,122.923333152,145.506896286,3.2759,198.923464474,205.231855636,66.0247861796,0.681251,35.6561,29,0.106540862346,3.27679882989,3.2777168082
30,-3.65959,97.0724878504,186.667386674,214.195087344,3.47047,51.327,3.47098731772,0.05323,120.672715879,174.265478317,3.46786,193.829320568,200.418703916,34.3573964703,0.734409,36.3907,30,0.112369546806,3.4688329556,3.46959013212
31,-3.81894,26.2918092034,186.640610569,206.090269896,3.63298,52.1788,2.80901982061,0.0551883,120.912986575,150.535217815,3.63061,192.245259106,198.651437013,57.1261366845,0.759615,37.1174,31,0.114636722908,3.63149768793,3.63232187982
32,-4.01514,63.9098499767,193.144444902,216.319776007,3.82683,52.7425,7.60414203238,0.0655931,124.649022674,163.074104151,3.82408,208.685654906,228.712365787,50.7659814109,0.675611,37.8336,32,0.123514863554,3.82518265431,3.82615392234
33,-4.20992,15.6351611505,168.358298099,446.291663724,4.00374,53.7882,66.1194457453,0.0762442,149.312157385,217.636009313,4.00094,316.949212788,446.112132053,146.561787033,0.750321,38.6363,33,0.129789664684,4.00220921115,4.00309835733
34,-4.3907,6.4910825289,303.929568708,456.730915355,4.17581,54.6676,16.4701777193,0.0769161,155.082137654,174.766167202,4.173,338.883484828,384.408108395,145.49779601,0.710846,39.2341,34,0.135794955152,4.17379385911,4.17468482542
35,-4.60449,16.0270507313,259.659451509,375.990865111,4.39197,55.4872,29.2246473027,0.0772006,151.599769416,197.191775889,4.38976,337.717593527,411.027794435,143.909040881,0.813599,39.9291,35,0.134531028429,4.39097368778,4.39182666478
36,-4.77255,10.8463534022,285.462411125,361.201582959,4.56689,56.4255,5.8556834568,0.0879317,156.730869194,180.240255227,4.56431,299.12497085,311.759914058,109.313689147,0.829805,40.5827,36,0.142154052503,4.56529685863,4.56628305936
37,-4.97022,10.8763106798,206.235536395,478.94042418,4.76504,57.2879,36.1102495539,0.0935202,147.692047263,190.433628983,4.76256,351.80420893,440.21968072,149.125997281,0.87269,41.2736,37,0.146803388222,4.76368194915,4.76456364036
38,-5.18555,21.3578493828,269.355183128,359.646814333,4.96974,58.0958,51.5855892942,0.12092,157.024309696,109.897988728,4.9666,341.884805848,499.500150559,98.6607790667,0.816144,41.9463,38,0.161696620961,4.967983775,4.96887551497
39,-5.36592,17.984870825,104.873400086,390.584817386,5.1389,58.8335,51.8193071289,0.122913,118.244455228,181.021007144,5.13605,213.503969012,372.97228612,133.646660728,0.780406,42.597,39,0.163378028688,5.13755931584,5.13839135383
40,-5.60378,35.354958061,65.3087511565,394.894633328,5.37478,59.631,2.40773541318,0.12841,55.4438674935,241.201006117,5.37214,69.6855919793,80.9277183117,126.805971266,0.827485,43.1909,40,0.167775118896,5.37261594153,5.373414232
41,-5.82041,85.8687547982,128.928358496,369.504866701,5.57657,60.6248,96.9898795233,0.149554,116.232536702,189.577423767,5.57315,215.406446252,503.632370402,98.7542351762,0.877956,43.9185,41,0.179725025799,5.57476060063,5.57581413277
42,-6.03172,57.6622945458,328.4767839,494.375232345,5.80221,61.2994,126.821663452,0.156633,187.341596366,352.297202663,5.79915,536.048486515,819.236961733,148.77961758,0.817171,44.5998,42,0.185606985447,5.80035493765,5.80113323533
43,-6.25488,52.4713020321,337.599527676,403.576466557,6.02068,61.9461,135.3310162,0.172999,187.568524472,221.230413757,6.01764,557.097259924,960.234918986,127.766140861,0.815898,45.0849,43,0.195655498971,6.01900680176,6.01977198669
44,-6.46962,8.32460828114,240.143760839,411.350967733,6.23171,62.5164,86.2312380526,0.187431,171.200915573,218.396513081,6.22906,349.590978813,436.87073532,155.854943949,0.805481,45.7036,44,0.198953964512,6.23044392822,6.23081006518
45,-6.70016,31.6836790473,380.55288744,412.616800355,6.46039,63.1511,14.7178132167,0.199604,188.752397147,228.296242973,6.45819,409.71974802,436.025735724,135.310989514,0.813027,46.2763,45,0.205216999313,6.46010462229,6.46046858997
46,-6.88213,40.4254559001,363.481783503,416.423894309,6.62549,63.8775,14.7262535237,0.191691,191.279211875,265.792257394,6.62266,418.690506905,435.955525268,127.997711207,0.792223,46.8812,46,0.208076811292,6.62387370014,6.62425983413
47,-7.09143,76.176226632,329.645524762,474.213115378,6.83685,64.4227,48.2918607299,0.211071,171.837751773,266.301700759,6.83427,418.382870513,535.357899015,148.611328646,0.832264,47.4287,47,0.214048560984,6.83566864163,6.83599532344
48,-7.34589,16.8059114589,266.550129079,407.0603867,7.07458,65.0659,32.4875400147,0.233104,163.841733893,187.959080865,7.07103,329.589325655,379.79169036,127.973951077,0.873889,48.119,48,0.222572877415,7.07249311284,7.07280632831
49,-7.50771,33.3070180727,306.970178092,392.428693429,7.23909,65.4688,12.1872945347,0.226687,156.446093965,233.017019193,7.23584,332.544588842,384.804473604,123.075407656,0.764511,48.6502,49,0.217960520945,7.23738756167,7.23767977302
50,-7.74073,17.2646756292,107.353376385,362.388353682,7.46856,66.1043,37.2782429112,0.274322,166.925136729,144.993958813,7.46493,359.569934502,391.602285317,119.975558299,0.865132,49.2137,50,0.237714055269,7.46672642839,7.46704107316
51,-7.94865,8.72579018477,62.9516237832,394.681718594,7.6796,66.7474,53.3726583669,0.247061,56.0800465296,197.738817671,7.67664,73.7053445141,411.139256218,118.928326544,0.76407,49.7232,51,0.231747760268,7.67772824671,7.6780916116
52,-8.17378,14.5096111387,277.29589362,368.822800877,7.90001,67.3882,23.4992244307,0.273502,162.285374444,199.120136158,7.89639,348.358499263,431.017069777,142.19019394,0.807318,50.2679,52,0.24061456021,7.89821498452,7.89842760554
53,-8.39145,9.8855074935,282.571782127,397.081258264,8.12051,67.8374,19.7273418934,0.290834,167.015351082,213.332748802,8.11756,336.065665486,361.014525314,127.744849566,0.868551,50.8118,53,0.248790107728,8.11855866017,8.11879430121
54,-8.59095,129.06367542,108.810695529,353.949466582,8.30465,68.3314,140.050420599,0.314101,154.202994628,301.841835636,8.30176,319.197713279,428.073845911,64.0688949115,0.841113,51.4067,54,0.253518080112,8.30449209804,8.30484872594
55,-8.83146,6.70640999913,340.328793316,428.016644146,8.54379,68.9063,95.7978565482,0.284386,182.890189741,187.475194258,8.54035,437.870868638,700.442488588,146.502265554,0.853275,51.8584,55,0.249352358611,8.54193456412,8.5423384767
56,-9.03699,124.148044421,391.516022563,396.75636703,8.73668,69.4456,88.7168423526,0.293787,179.105559492,253.316929133,8.73314,472.699597744,696.028712051,89.3117865162,0.794832,52.3776,56,0.257881780337,8.73432672411,8.73473059787
57,-9.26114,9.94792293798,98.3212283925,297.397922875,8.96301,70.0201,55.0499326985,0.336371,83.6110501851,133.364121955,8.95909,117.333217851,373.842189354,80.2087387073,0.808077,52.9878,57,0.264056588417,8.96067428613,8.96099411227
58,-9.51721,13.4620423172,110.480556664,525.670039674,9.20634,70.4387,195.908880341,0.363322,199.489505132,197.004059314,9.20242,532.573273576,1427.21368779,146.358081529,0.845594,53.533,58,0.273681020029,9.20408139197,9.20437259491
59,-9.7476,18.6754975771,101.283972902,361.50668644,9.43162,70.8701,100.662154402,0.400034,118.065726829,191.79022827,9.42776,201.174789655,377.653790382,114.815717282,0.847533,54.1109,59,0.283430974936,9.42943034837,9.42978350153
60,-9.97928,7.16835050883,247.974562882,405.093354483,9.67063,71.3643,17.00466242,0.407081,160.635404196,196.379459271,9.66744,311.250565606,344.509962318,120.357005897,0.766106,54.666,60,0.285195651714,9.66913160443,9.66943842763
61,-10.1928,36.2682270629,329.687441359,398.931576064,9.86883,71.7646,50.3308076939,0.372824,175.577015208,195.95502776,9.86473,365.921859713,611.11717964,101.637000205,0.841976,55.111,61,0.278536942299,9.86659420375,9.86692272
62,-10.4503,186.131848616,356.324862341,594.458013848,10.1317,72.2183,31.8541525977,0.411546,179.757644546,334.712716452,10.1272,386.996310055,540.939998772,133.116010086,0.866614,55.6503,62,0.294751984556,10.12917288,10.1294981767
63,-10.6528,56.0477561868,133.965193297,340.805228029,10.3254,72.6788,150.517819858,0.472518,122.92328854,187.579765081,10.3189,233.208160511,1177.45374593,97.4422188718,0.87582,56.163,63,0.317380475679,10.3214563713,10.3220125874
64,-10.8118,50.1888802789,146.657512075,341.111225296,10.5011,73.2515,92.74164034,0.447904,143.430505498,171.853106435,10.4941,265.590426425,392.097356645,95.9488927955,0.847891,56.707,64,0.303848884719,10.495318568,10.4964340091
65,-11.0985,10.2214313138,45.7933186229,375.864254616,10.7723,73.7493,93.7231466046,0.464877,143.837057181,222.276458771,10.7656,271.755963349,489.680208795,138.166766033,0.882359,57.2093,65,0.306730271856,10.7679645965,10.7688732491
66,-11.2697,44.8378354707,346.14305213,537.062485622,10.9421,74.2827,44.5522190374,0.486947,182.003545724,202.752117071,10.9351,397.902309689,588.865040741,141.313135217,0.891263,57.686,66,0.311913012838,10.9382071185,10.9391523461
67,-11.5373,37.1304456045,93.7728191451,822.701986141,11.1873,74.8363,79.402637465,0.503714,137.269945005,215.471096781,11.1806,248.404170787,494.07602058,203.368178488,0.864518,58.2124,67,0.324041891544,11.1830646936,11.1837124297
68,-11.7118,11.1672861598,282.116305188,320.916103081,11.3597,75.303,17.4700951252,0.589061,175.748618645,166.430774927,11.3515,366.546509703,397.02256093,115.956118434,0.890809,58.7435,68,0.347592902948,11.353348114,11.3541076205
69,-11.9401,9.51315468718,94.4567564958,432.927531487,11.5693,75.8202,89.7845693477,0.531113,100.690123071,196.723938974,11.5625,159.817672806,358.687895692,114.424885247,0.865536,59.2873,69,0.332854297187,11.5645659464,11.5654441347
70,-12.229,142.085292929,155.409900525,526.32670764,11.8667,76.1414,48.1740007664,0.578578,159.938696332,318.460841534,11.86,308.681896601,463.108232922,109.223937854,0.867697,59.8279,70,0.346822972013,11.8629427946,11.8633623674
