MaxEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAction,AverageAbsY,AverageEsReturn,AverageQ,AverageAbsQYDiff,StdReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Iteration,MinReturn,QFunRegParamNorm,AverageY,MaxReturn,Epoch,AverageQLoss,AverageDiscountedReturn,AverageReturn
238.552785806,-8.81543,24.333,0.771264,7.94447931242,238.552785806,7.90306,0.601495166315,55.5623963033,0.0,238.552785806,7.92872,30,576.950965468,25.9324,7.90831034578,768.642795684,30,0.704124,82.2760861442,660.663322784
183.622075777,-9.39318,24.7264,0.661643,8.50073188766,183.622075777,8.46817,0.61376972852,269.038936424,0.0,183.622075777,8.48758,31,-103.882131623,26.4059,8.4724513159,643.635678119,31,0.730564,30.9540934982,124.229334045
336.651261263,-10.0764,25.0915,0.77138,9.17694091136,336.651261263,9.14894,0.634614026721,154.022937058,0.0,336.651261263,9.16519,32,440.200597081,26.8729,9.15501510756,914.963323589,32,0.813733,77.3541805462,732.704335404
290.956468708,-10.7851,25.4628,0.747109,9.85444502915,290.956468708,9.83026,0.649943698712,53.2053577686,0.0,290.956468708,9.84293,33,558.686864253,27.3253,9.83599481486,721.830243113,33,0.831738,74.633537103,618.731533535
331.006134671,-11.534,25.9602,0.685443,10.5399308912,331.006134671,10.5203,0.670500620836,76.9897864619,0.0,331.006134671,10.5307,34,-142.969950336,27.7864,10.52595832,74.6677168951,34,0.898099,22.2538854412,-40.6043627556
438.009217062,-12.4973,26.3791,0.82815,11.4926526566,438.009217062,11.4761,0.692839417725,100.355170275,0.0,438.009217062,11.4825,35,437.825259125,28.1969,11.4833231664,769.811922292,35,0.952148,59.944585984,656.030752417
526.754229666,-13.3122,26.7426,0.840705,12.3023101424,526.754229666,12.2879,0.702726480754,39.4377784777,0.0,526.754229666,12.2943,36,1331.78771245,28.5909,12.2936507254,1441.98332814,36,0.997085,108.631920874,1379.30190526
378.507933977,-14.3857,27.0291,0.860466,13.3728258819,378.507933977,13.3595,0.732488527738,102.678337431,0.0,378.507933977,13.3627,37,1347.23553685,29.0501,13.3671144224,1744.12406596,37,1.07391,127.444069494,1547.01409306
616.932340418,-15.3633,27.3392,0.861873,14.304322879,616.932340418,14.2929,0.744362408469,22.1607251166,0.0,616.932340418,14.2955,38,1518.02370074,29.4817,14.2996518542,1594.05885599,38,1.14938,116.683946775,1563.5718378
452.502530784,-16.5721,27.651,0.878464,15.4875513359,452.502530784,15.4763,0.78136400265,207.42809877,0.0,452.502530784,15.4775,39,1112.95628328,29.9015,15.4847428434,1861.77753533,39,1.2797,148.750629361,1695.65573876
1038.65629044,-17.8558,27.9344,0.831846,16.776718834,1038.65629044,16.7671,0.777530710601,393.719324046,0.0,1038.65629044,16.7681,40,891.308143155,30.2111,16.7743191846,2302.79436271,40,1.26627,176.703487239,1960.76562571
783.003847882,-18.9277,28.25,0.804766,17.8305335184,783.003847882,17.8201,0.801259024721,74.4242388722,0.0,783.003847882,17.8209,41,516.433135739,30.5912,17.8283042669,735.99378972,41,1.44933,110.224651523,607.346128213
718.219106094,-19.9267,28.5071,0.783912,18.8079144,718.219106094,18.7988,0.818416211412,43.7622222677,0.0,718.219106094,18.7993,42,871.736485428,30.965,18.8062786138,1007.51409919,42,1.49095,133.953017991,923.893662391
506.45105476,-21.0421,28.79,0.852154,19.9122927923,506.45105476,19.9037,0.822077403217,46.0800007858,0.0,506.45105476,19.9038,43,2026.07410241,31.3044,19.9112823426,2178.08746858,43,1.48768,170.886562163,2109.42392533
594.796483853,-22.0944,29.1031,0.820691,20.9530936166,594.796483853,20.9449,0.8328653768,513.761049954,0.0,594.796483853,20.9451,44,780.143549554,31.616,20.9521818055,2385.5570934,44,1.49854,172.943072388,1520.14197673
731.379368599,-23.3931,29.3867,0.81073,22.2315336618,731.379368599,22.2243,0.864195530791,32.9991665346,0.0,731.379368599,22.2244,45,2408.22176426,32.0029,22.2305608722,2520.48963667,45,1.66215,196.341748315,2454.64767055
1398.94263421,-24.8949,29.7495,0.837904,23.7389114399,1398.94263421,23.7301,0.86439311946,587.24115876,0.0,1398.94263421,23.7302,46,806.687475444,32.3446,23.7382095266,2477.62412172,46,1.67678,185.894195228,2096.03248022
941.827745024,-26.2156,30.0944,0.878048,25.0470440291,941.827745024,25.0379,0.887176995845,30.9335297212,0.0,941.827745024,25.038,47,2384.76844898,32.7343,25.0464401281,2492.79391777,47,1.98235,203.525333389,2424.1330195
1493.2203182,-27.8934,30.5021,0.861676,26.7012730202,1493.2203182,26.6926,0.884926689571,50.4444228093,0.0,1493.2203182,26.6926,48,2319.19785766,33.1362,26.7006623777,2479.32972502,48,1.82431,200.485051392,2384.05678389
1415.81835451,-29.5528,30.8779,0.820001,28.3174844547,1415.81835451,28.3089,0.92098006401,348.013010309,0.0,1415.81835451,28.3089,49,773.864374827,33.5066,28.3167938016,1956.1874637,49,2.09123,137.359443971,1033.48952016
1784.45377891,-31.3338,31.2864,0.875176,30.0968533957,1784.45377891,30.0876,0.949038430577,439.396400522,0.0,1784.45377891,30.0876,50,1494.30180836,33.921,30.0963534217,2781.9386474,50,2.41878,223.126112918,2502.10426271
1542.51090145,-33.1131,31.6717,0.87425,31.8459360018,1542.51090145,31.838,0.944885494346,487.1386607,0.0,1542.51090145,31.838,51,996.903830136,34.2361,31.845358808,2700.41077399,51,2.14076,217.271942608,2451.81212766
1645.9708789,-34.9232,31.9961,0.886003,33.6473222323,1645.9708789,33.638,0.986606462631,196.827126037,0.0,1645.9708789,33.638,52,1923.82118382,34.6069,33.6470078719,2667.15300428,52,2.83852,212.091328952,2484.50151554
1705.65729647,-36.6691,32.3321,0.837266,35.3789008354,1705.65729647,35.3685,1.0021088318,611.096478957,0.0,1705.65729647,35.3685,53,844.308131099,34.9862,35.3782675033,2600.3273923,53,2.77121,174.947549572,1316.60218917
1767.7222754,-38.4332,32.6971,0.867344,37.1655534844,1767.7222754,37.1561,1.0271414825,691.174096387,0.0,1767.7222754,37.1561,54,862.653534867,35.3417,37.1650250617,2886.3040634,54,3.22091,228.892468673,2017.97289929
1606.20633946,-40.2911,33.0043,0.836077,38.9889653055,1606.20633946,38.9799,1.02354421937,459.689108334,0.0,1606.20633946,38.9799,55,474.688182213,35.6748,38.9886585588,2145.68342969,55,2.95632,176.59423678,1011.94901509
1796.61908068,-42.1278,33.2972,0.813296,40.8021631153,1796.61908068,40.7919,1.05923091035,216.477699057,0.0,1796.61908068,40.7919,56,599.78946641,36.0345,40.8017205894,1420.29030036,56,3.24918,171.576533161,882.434950884
1784.18259961,-44.003,33.5837,0.835434,42.697306447,1784.18259961,42.6878,1.07956431918,554.231540928,0.0,1784.18259961,42.6878,57,87.9407758214,36.3844,42.6968280553,2082.92619619,57,3.45691,201.730147553,1239.20321819
1521.33120811,-45.4771,33.831,0.793966,44.1811829632,1521.33120811,44.1706,1.10256800312,276.10125115,0.0,1521.33120811,44.1706,58,434.088978211,36.7613,44.1805894924,1522.68296769,58,4.14851,166.0548964,807.46149405
646.63832927,-46.4423,34.1092,0.860002,45.1103216851,646.63832927,45.1006,1.08420606405,685.210794089,0.0,646.63832927,45.1006,59,421.48327608,37.1128,45.1097450218,2872.88170724,59,3.6217,183.382405049,1382.7814004
607.114348818,-47.5317,34.3257,0.834088,46.2218045334,607.114348818,46.2125,1.12163698239,404.089117275,0.0,607.114348818,46.2125,60,-59.8858193195,37.3946,46.2213101944,1392.23813016,60,4.12819,173.973944783,971.288534988
-284.856387059,-49.2283,34.5635,0.858176,47.8737544861,-284.856387059,47.8627,1.16992138912,829.071192157,0.0,-284.856387059,47.8627,61,785.636850676,37.728,47.8732711406,2870.15036157,61,4.72811,210.778363197,1873.72126281
1765.65975435,-51.1348,34.8269,0.876173,49.8117763145,1765.65975435,49.8036,1.12299207946,768.968297036,0.0,1765.65975435,49.8036,62,524.453165363,38.0029,49.8114203788,2843.36478922,62,3.40797,231.423106199,2183.24543078
1421.50783166,-52.3836,35.0598,0.897614,51.0488865616,1421.50783166,51.0365,1.18924282421,1146.94805083,0.0,1421.50783166,51.0365,63,-562.73404676,38.3243,51.0484817623,3139.43834412,63,4.60753,220.773420706,2417.86579894
1920.05652945,-54.2525,35.3428,0.879771,52.8846549364,1920.05652945,52.8758,1.20908278573,1003.8793566,0.0,1920.05652945,52.8758,64,76.6786659088,38.6011,52.8842864231,3007.40128958,64,5.28682,231.91941864,2130.78473808
1932.75581646,-56.1296,35.6042,0.880763,54.789245274,1932.75581646,54.7773,1.21253165295,350.357435111,0.0,1932.75581646,54.7773,65,1798.26840063,38.9336,54.7888642515,3081.35312259,65,4.83241,250.514381129,2793.27859158
2013.23809023,-57.9181,35.88,0.872841,56.5348526019,2013.23809023,56.5236,1.25876900378,807.369594985,0.0,2013.23809023,56.5236,66,1220.0267493,39.3188,56.5344206363,3239.1034797,66,6.00882,262.325968401,2556.37651698
188.190385452,-59.153,36.1243,0.87847,57.7581371678,188.190385452,57.7475,1.24550547881,725.968385396,0.0,188.190385452,57.7475,67,487.589641102,39.5975,57.7574860732,2992.44789831,67,5.01666,231.423374985,2309.99045319
1176.81962168,-60.9595,36.4014,0.877319,59.5832341283,1176.81962168,59.5727,1.27651921886,678.268219102,0.0,1176.81962168,59.5727,68,765.547111632,39.9336,59.5827291001,3127.60556849,68,6.31444,242.438102438,2689.4292261
1925.07929563,-62.7666,36.5902,0.867139,61.3866991368,1925.07929563,61.3763,1.29201118154,963.138243725,0.0,1925.07929563,61.3763,69,700.704300918,40.1709,61.3862084691,3117.31739027,69,5.83053,209.440159078,2103.35904981
1661.7024958,-64.2845,36.8775,0.877913,62.891355393,1661.7024958,62.8785,1.35171878179,189.751263615,0.0,1661.7024958,62.8785,70,2385.26993499,40.5386,62.8907232334,3015.7727769,70,7.05004,234.953735035,2643.43430119
2084.19222556,-66.2285,37.078,0.877442,64.8272144488,2084.19222556,64.8168,1.30213447036,317.875833607,0.0,2084.19222556,64.8168,71,2260.76414941,40.7939,64.8266983154,3400.31775109,71,6.11784,259.5498192,3052.91494393
1647.63885464,-67.5921,37.3109,0.885726,66.1723808294,1647.63885464,66.1607,1.34051613598,671.771037669,0.0,1647.63885464,66.1607,72,928.398158904,41.062,66.1721093858,3237.73659878,72,6.42183,262.273135669,2938.03873728
-415.566196498,-68.8331,37.5359,0.857517,67.4372131251,-415.566196498,67.4266,1.36331249214,97.0866752821,0.0,-415.566196498,67.4266,73,2966.05240049,41.3629,67.4366266038,3275.02454056,73,7.56051,246.898036067,3102.43068818
1846.53694622,-70.414,37.7686,0.891211,69.0118345123,1846.53694622,69.0026,1.32578197696,753.391801469,0.0,1846.53694622,69.0026,74,-255.317379328,41.6699,69.0115683857,2052.67015067,74,5.64148,208.363486908,1096.05350894
1948.93225631,-72.6972,38.0098,0.886745,71.257895948,1948.93225631,71.2464,1.46722819292,717.519706345,0.0,1948.93225631,71.2464,75,736.117237842,41.9608,71.2575901842,3196.03625625,75,9.75622,257.608414416,2856.22921833
2109.62723117,-74.3098,38.2275,0.871115,72.8692262688,2109.62723117,72.8575,1.36442408925,727.627241562,0.0,2109.62723117,72.8575,76,1342.86715722,42.2253,72.8689733277,3281.87124741,76,6.89345,241.143315519,2122.44502559
2264.11073302,-75.8147,38.4224,0.861685,74.3702074531,2264.11073302,74.359,1.45906373404,835.759080871,0.0,2264.11073302,74.359,77,1078.81632392,42.5906,74.3695879409,3387.81627374,77,9.26953,244.613529716,2171.75100048
