QFunRegParamNorm,StdEsReturn,PolicyRegParamNorm,Epoch,AverageQ,AverageReturn,AverageAbsQ,AverageAbsQYDiff,AverageQLoss,MinEsReturn,AverageY,MaxEsReturn,StdForwardProgress,MinForwardProgress,AverageAbsY,MinReturn,AverageForwardProgress,AverageAction,MaxForwardProgress,StdReturn,AverageEsReturn,AveragePolicySurr,MaxReturn,AverageDiscountedReturn
18.5864,51.6188150826,19.0234,10,-0.0177651,-66.9928173525,0.054829,0.0292989647911,0.00242108,-161.183832463,-0.0189666936178,83.4286247485,0.0418207069467,-0.0161922352191,0.0560937501381,-74.0591866552,0.0551565113394,0.968789,0.169865394145,4.07680067487,-22.3993658828,0.00326595,-55.8838695558,-19.7953906353
18.8934,22.6310108176,19.1997,11,-5.76253e-06,-61.8787744033,0.0540268,0.0146669946068,0.000379787,-68.4468801491,-0.000117452654706,-6.13056876926,0.045930385619,0.0279153642385,0.0554967195908,-71.6656210576,0.125298778964,0.995396,0.213038087535,4.59839347568,-40.3839622295,-0.0213145,-53.1651994789,-17.7789260432
19.3263,20.3476240963,19.2831,12,0.00597513,-61.7828291848,0.0713087,0.0142834460402,0.000379471,-68.4935776193,0.00594111963512,-12.7962535979,0.0540789593068,0.0350342269433,0.0725064014821,-70.9564346691,0.127410612224,0.998024,0.251228644373,5.41471280941,-40.6393840521,-0.0265569,-49.41092581,-17.6579720552
19.9105,16.6293883773,19.2911,13,0.0145971,-62.0212559726,0.0918394,0.0158239204179,0.000490636,-44.0990922827,0.0145729187926,-1.22881386066,0.038932673659,0.0395267698274,0.0931103618934,-70.5804995133,0.125171239865,0.998293,0.199817173824,3.8864947695,-19.3214114219,-0.0346046,-54.5400673472,-17.8293388014
20.5132,2.91889910636,19.4112,14,0.0209236,-94.6140098344,0.112344,0.0176771995683,0.000633074,-27.2140590985,0.0209341916833,-19.4796426047,0.183028981045,-0.512919366264,0.113943099705,-123.333789317,-0.214418340702,0.990728,0.35786781059,18.549017405,-22.4444033133,-0.039094,-36.9863408776,-37.3714978873
21.2101,9.88283803066,19.5046,15,0.0243734,-85.8397757321,0.13147,0.0202893850298,0.000836669,-52.2124330655,0.0243995356974,-25.3559003457,0.14572074232,-0.492468546484,0.133138348685,-123.43438779,-0.118030921718,0.993064,0.172354680301,14.5812930804,-36.1696429002,-0.0401158,-56.6741191496,-32.5814701568
21.8999,12.5435773927,19.7345,16,0.0258636,-76.2139238031,0.146972,0.0223082134833,0.00104444,-40.7526035164,0.0259155366316,-9.51181895498,0.11898733877,-0.272264192947,0.148754757452,-101.59635625,-0.0203613474597,0.993325,0.22277231131,11.9285686312,-22.2496879777,-0.0385913,-51.9480519693,-26.8870624417
22.6184,5.73432989143,20.0178,17,0.0264366,-67.3475383465,0.160568,0.0243112102684,0.00124414,-25.6340965083,0.0265029282867,-11.5475656876,0.0812055972535,-0.13062437475,0.162743918181,-87.7321446971,0.0728666634263,0.998309,0.227866885846,8.13568732637,-17.1781786279,-0.0389541,-51.7601267025,-21.5527164236
23.3159,12.0462491591,20.0996,18,0.0225186,-68.3104968126,0.173815,0.0261117451063,0.00145942,-51.1661821022,0.0225794504209,-18.0815619249,0.0669997092332,-0.0408087644087,0.176020498832,-78.5995624143,0.0622452253,0.997315,0.272972137118,6.69398828586,-31.7727032478,-0.0325194,-47.2377919703,-22.0209190988
24.0035,6.59188801718,20.2052,19,0.0140646,-70.6304413106,0.186711,0.0281829489722,0.00174575,-62.1719362234,0.0141246868123,-46.1271247635,0.061365071978,-0.0885680908246,0.189195762781,-83.1752288195,0.0367558708041,0.994196,0.173929894169,6.13553695344,-50.9525102654,-0.0210782,-56.9177345631,-23.8993188709
