Iteration,StdReturn,AverageEsReturn,AverageAbsQYDiff,StdEsReturn,QFunRegParamNorm,AverageReturn,MinReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,AverageQLoss,AverageAction,AverageAbsQ,AverageY,PolicyRegParamNorm,MaxReturn,AveragePolicySurr,AverageQ,AverageAbsY,Epoch
9,6.96423632202,-301.765643991,2.94701469678,27.8949454358,11.4922,-3.28581033415,-23.2385801237,-365.047998124,-1.97516055292,-266.153639041,12.0707,0.00205471,0.902384,2.43978059828,11.7098,1.03990938005,-0.115905,-0.439183,2.45926788443,9
10,0.914577523739,-293.184267789,0.39163400328,0.0,12.0554,-550.224598988,-552.358975845,-293.184267789,-57.2042326682,-293.184267789,0.329689,0.913589,1.02554,0.965770356536,12.119,-549.294719854,-2.05199,0.952633,1.05673733219,10
11,0.855926291137,-351.005196864,0.255789884549,0.0,12.7586,-545.070144274,-546.592763456,-351.005196864,-55.594623449,-351.005196864,0.120448,0.906763,1.15486,1.11947433458,12.9448,-543.635249993,-1.92749,1.11471,1.17720500703,11
12,22.1088906669,-405.728598522,0.24406476989,0.0,13.4857,-228.53629648,-267.463686365,-405.728598522,-19.9979317001,-405.728598522,0.109168,0.814379,1.26104,1.17373151243,15.1643,-191.829084609,-1.78169,1.17552,1.28736143866,12
13,9.40273834451,-302.17561743,0.264166643472,0.0,14.1818,-366.053687357,-378.954482397,-302.17561743,-32.1758778311,-302.17561743,0.127334,0.853838,1.3052,1.23106492268,15.8771,-352.217987645,-1.80067,1.2289,1.33172487105,13
14,43.6805393653,-315.99438093,0.284003479808,0.0,14.9607,-203.384710308,-264.823549202,-315.99438093,-22.3411752627,-315.99438093,0.147099,0.724155,1.45806,1.36262661678,16.3962,-104.991551053,-1.79983,1.36111,1.48522555323,14
15,30.3747014941,-114.22274046,0.300020739139,0.0,15.8031,-202.140432797,-238.852520694,-114.22274046,-1.90463984975,-114.22274046,0.169667,0.570139,1.54048,1.39895949272,16.7441,-137.742779865,-1.75738,1.39816,1.57157612226,15
16,91.8629267561,-261.87625454,0.310240178702,0.0,16.6475,-186.321919556,-330.564086985,-261.87625454,-25.7252022262,-261.87625454,0.182751,0.479271,1.57378,1.39909460698,17.0656,-33.9489139709,-1.7654,1.39864,1.60802073645,16
17,45.524847754,-205.968246372,0.322638484064,0.0,17.5082,-84.4204169925,-200.266808044,-205.968246372,-12.6174660958,-205.968246372,0.195672,0.386272,1.66041,1.47329819478,17.4269,-33.1175933148,-1.87888,1.47258,1.69767262561,17
18,21.0910663342,-156.254381286,0.334624937245,0.0,18.3529,-19.7867636503,-52.1031628171,-156.254381286,6.83367931502,-156.254381286,0.212615,0.441692,1.78488,1.60534571459,17.977,12.4025141284,-2.05473,1.60386,1.82083955887,18
