PolicyRegParamNorm,MinEsReturn,MinReturn,MaxReturn,AverageAbsQYDiff,AverageY,MaxEsReturn,Epoch,AverageAction,StdReturn,AverageAbsQ,StdEsReturn,AverageDiscountedReturn,AverageQLoss,Iteration,AverageAbsY,AverageReturn,AverageQ,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr
35.46,3.0,40.0,49.0,0.50050005536,17.6552660944,54.0,32,0.106815,1.19839617998,17.6611,9.87730194689,34.7469163294,1.20575,32,17.6554622434,42.4830508475,17.6537,47.2571,12.0375,-20.1524
36.3029,3.0,37.0,44.0,0.541124153671,18.4689515514,63.0,33,0.124488,0.903679220619,18.4783,11.6074914066,32.3793815428,1.37245,33,18.4691744944,38.9338521401,18.4695,48.6007,13.1139240506,-21.077
36.8265,3.0,37.0,38.0,0.556980063453,19.2547780174,45.0,34,0.105244,0.480561670157,19.2649,9.49843407282,31.304630821,1.58262,34,19.2557644056,37.3619402985,19.2545,50.0102,12.8974358974,-21.9715
37.1847,3.0,36.0,38.0,0.597526792982,20.1352756268,44.0,35,0.136455,0.55111414526,20.1474,11.1431868083,30.9849618311,1.7446,35,20.1358977141,36.9003690037,20.1359,51.344,14.0285714286,-22.9792
37.5035,3.0,36.0,38.0,0.616949327289,21.0073195247,61.0,36,0.127607,0.562243452538,21.0208,13.4595397082,31.0053916654,1.97589,36,21.0081450704,36.9298892989,21.0077,52.6703,16.2580645161,-23.955
37.8467,3.0,36.0,40.0,0.617868385791,21.8941563434,46.0,37,0.107985,0.603612808427,21.9082,11.7469987825,31.0871795523,2.0695,37,21.8951539065,37.0481481481,21.895,53.9157,14.9104477612,-24.9725
38.1428,3.0,35.0,38.0,0.644476013814,22.7680397609,52.0,38,0.233079,0.521916367069,22.7802,12.9371185597,30.6498034769,2.19254,38,22.7689271347,36.4181818182,22.7679,55.0347,17.4385964912,-25.8765
38.5061,3.0,35.0,38.0,0.707210398878,23.6375538685,59.0,39,0.320519,0.597353038979,23.655,14.6877528313,31.0308320719,2.59243,39,23.6385144001,36.9667896679,23.6369,56.2448,17.4482758621,-26.795
38.831,3.0,35.0,37.0,0.720692397371,24.4349177083,52.0,40,0.336427,0.536007434439,24.4529,15.9628629821,30.3727724528,2.71441,40,24.4358087324,36.0215827338,24.4346,57.3215,20.5918367347,-27.7462
39.1294,3.0,35.0,38.0,0.724858023148,25.3279934332,63.0,41,0.308305,0.53708059589,25.3451,14.2589055993,30.395419673,3.0129,41,25.3290612448,36.0539568345,25.3284,58.6057,16.4833333333,-28.6119
39.343,3.0,35.0,38.0,0.761315579623,26.0769407537,57.0,42,0.258726,0.555755057647,26.0977,13.1944772645,30.5298270192,3.15006,42,26.0778169304,36.2463768116,26.0778,59.6934,15.746031746,-29.4776
39.5899,3.0,35.0,39.0,0.762682468947,26.9369130987,46.0,43,0.320709,0.686314221615,26.9578,13.8652406383,31.1821296082,3.26974,43,26.9375371512,37.1858736059,26.9388,60.7714,20.5714285714,-30.4212
39.8852,3.0,34.0,37.0,0.811469876877,27.6754796875,45.0,44,0.415126,0.635733585887,27.6957,13.5609887608,30.294510145,3.67664,44,27.6766204715,35.9103942652,27.6738,61.8412,17.4310344828,-31.2248
40.1448,3.0,40.0,46.0,0.81179641992,28.4440456565,60.0,45,0.440787,1.07623889544,28.4679,13.0354383532,34.6661691898,3.7743,45,28.4455362067,42.358649789,28.4454,62.9468,14.1857142857,-32.0154
40.3158,3.0,54.0,1000.0,0.837821170659,29.2288841066,55.0,46,0.251056,271.955878774,29.2549,11.1473075392,94.7127443037,3.83352,46,29.2297545484,914.0,29.23,63.9414,13.0263157895,-32.9026
40.5104,2.0,1000.0,1000.0,0.882823500349,29.9619570581,55.0,47,0.0848443,0.0,29.9896,10.3847947782,99.9956828753,4.15741,47,29.962757536,1000.0,29.9626,64.9939,12.0357142857,-33.8011
40.7289,3.0,1000.0,1000.0,0.891533826119,30.7053650227,56.0,48,0.0631206,0.0,30.7324,11.0100739837,99.9956828753,4.54371,48,30.7061881744,1000.0,30.7049,66.1041,12.7820512821,-34.5636
40.9031,3.0,1000.0,1000.0,0.933922698085,31.6433633845,58.0,49,0.0865919,0.0,31.6727,12.0907815218,99.9956828753,4.80218,49,31.6446033433,1000.0,31.6436,67.042,13.5945945946,-35.6717
41.0751,3.0,1000.0,1000.0,0.917142012907,32.4487429649,49.0,50,0.116279,0.0,32.4771,11.354494889,99.9956828753,4.76914,50,32.4491546059,1000.0,32.4506,68.0266,12.2962962963,-36.4655
41.2602,3.0,1000.0,1000.0,0.971161169979,33.1266548927,52.0,51,0.128054,0.0,33.1572,9.72478424292,99.9956828753,5.04226,51,33.1272171556,1000.0,33.1249,68.9161,12.0,-37.2538
41.4528,2.0,1000.0,1000.0,0.995063361783,33.7910638643,87.0,52,0.0859433,0.0,33.8244,12.0309756462,99.9956828753,5.49344,52,33.7920145333,1000.0,33.793,69.7554,12.425,-37.9777
41.6565,3.0,1000.0,1000.0,1.02221117538,34.6216587696,64.0,53,0.202976,0.0,34.6559,11.1130272653,99.9956828753,5.73879,53,34.6227073547,1000.0,34.6212,70.5373,12.525,-38.983
41.8272,3.0,1000.0,1000.0,1.02729240876,35.4983386068,58.0,54,0.200439,0.0,35.5346,11.5363623046,99.9956828753,5.88913,54,35.499425147,1000.0,35.4982,71.4128,13.4864864865,-39.8511
42.0033,3.0,1000.0,1000.0,1.05889274042,36.1492440536,56.0,55,0.209747,0.0,36.1872,12.3086105437,99.9956828753,6.03379,55,36.150781763,1000.0,36.1479,72.2149,14.9253731343,-40.6463
42.127,3.0,1000.0,1000.0,1.08796960607,37.0167333719,61.0,56,0.228483,0.0,37.058,11.6229404902,99.9956828753,6.6388,56,37.0189466563,1000.0,37.0163,73.2876,14.7575757576,-41.4811
42.3203,2.0,1000.0,1000.0,1.12055374488,37.6212292758,35.0,57,0.183253,0.0,37.6644,9.0145906548,99.9956828753,7.28647,57,37.6237222926,1000.0,37.6198,74.2245,14.4647887324,-42.2607
42.4755,3.0,1000.0,1000.0,1.13410012169,38.5242601502,56.0,58,0.267386,0.0,38.5685,9.10079717501,99.9956828753,7.27836,58,38.5271092681,1000.0,38.527,75.1417,12.1707317073,-43.0975
42.6127,3.0,1000.0,1000.0,1.13653461068,39.1423180337,39.0,59,0.536421,0.0,39.1863,9.10972079633,99.9956828753,7.55664,59,39.146575966,1000.0,39.1418,76.0807,13.0,-43.9105
42.7708,3.0,1000.0,1000.0,1.16957653138,39.9591995148,58.0,60,0.430621,0.0,40.0151,9.23041454445,99.9956828753,7.94613,60,39.9638392389,1000.0,39.9576,76.8788,10.2164948454,-44.8547
42.8769,3.0,1000.0,1000.0,1.19249878781,40.7920288494,46.0,61,0.532855,0.0,40.8506,9.95128969725,99.9956828753,8.29685,61,40.7999168674,1000.0,40.7901,77.7635,13.1038961039,-45.6282
43.038,3.0,1000.0,1000.0,1.19827208312,41.6310783026,74.0,62,0.482882,0.0,41.6927,16.8151337628,99.9956828753,8.33463,62,41.6426658457,1000.0,41.6321,78.4666,16.1475409836,-46.6385
43.2397,3.0,1000.0,1000.0,1.2848897007,42.3538194236,42.0,63,0.397446,0.0,42.4261,7.39412059616,99.9956828753,9.81289,63,42.3661028045,1000.0,42.3554,79.4206,10.7473684211,-47.4675
43.3139,2.0,1000.0,1000.0,1.22777600585,43.2547934848,37.0,64,0.450571,0.0,43.3256,7.88923150259,99.9956828753,9.0293,64,43.280031188,1000.0,43.2539,80.1821,12.7948717949,-48.3464
43.4861,3.0,1000.0,1000.0,1.24786507539,43.9109554545,59.0,65,0.390737,0.0,43.9773,9.98384328354,99.9956828753,9.60389,65,43.9332745408,1000.0,43.9086,81.0097,11.8658536585,-49.1499
43.6595,3.0,1000.0,1000.0,1.2388907409,44.8417487588,37.0,66,0.434969,0.0,44.9117,8.68294108635,99.9956828753,9.70612,66,44.8587641744,1000.0,44.8438,81.8558,11.625,-50.0879
43.8351,3.0,1000.0,1000.0,1.2984123582,45.6096466693,66.0,67,0.269468,0.0,45.6906,9.90826372851,99.9956828753,9.74957,67,45.6340886867,1000.0,45.608,82.5411,12.4810126582,-51.0304
44.0559,3.0,1000.0,1000.0,1.30610444975,46.365766791,72.0,68,0.239615,0.0,46.4407,11.4053483059,99.9956828753,11.2052,68,46.3931196717,1000.0,46.366,83.3092,13.2467532468,-51.9549
44.1841,2.0,1000.0,1000.0,1.3659957921,47.1849865204,45.0,69,0.34239,0.0,47.2675,8.89496131351,99.9956828753,11.8644,69,47.2068490504,1000.0,47.1836,83.9937,11.9879518072,-52.6693
44.3618,3.0,1000.0,1000.0,1.34771940641,47.8672017152,54.0,70,0.32806,0.0,47.9485,9.33267920261,99.9956828753,11.6852,70,47.8863771095,1000.0,47.8648,84.6699,11.0,-53.4388
44.5476,3.0,1000.0,1000.0,1.31617139749,48.6076877131,66.0,71,0.183386,0.0,48.6925,9.87172316361,99.9956828753,11.6496,71,48.6312230904,1000.0,48.6087,85.4643,11.367816092,-54.2644
44.7406,3.0,1000.0,1000.0,1.34269575728,49.3737214347,41.0,72,0.216849,0.0,49.4579,7.82822667411,99.9956828753,11.802,72,49.4013454625,1000.0,49.3734,86.3444,10.3265306122,-55.2011
44.9261,3.0,1000.0,1000.0,1.37146770541,50.2530269527,36.0,73,0.227362,0.0,50.349,8.22840608299,99.9956828753,12.3892,73,50.2877164478,1000.0,50.2504,87.0205,11.0666666667,-56.0197
45.1517,3.0,1000.0,1000.0,1.37062556722,50.906075033,52.0,74,0.188888,0.0,50.9989,9.01029351608,99.9956828753,12.6799,74,50.9381143185,1000.0,50.9053,87.7577,10.0808080808,-56.8144
45.324,3.0,1000.0,1000.0,1.46886030888,51.6086426236,35.0,75,0.177923,0.0,51.7202,7.61752365711,99.9956828753,14.3391,75,51.6360789463,1000.0,51.6087,88.4262,11.2,-57.6287
45.5567,3.0,1000.0,1000.0,1.39416097228,52.4154704459,85.0,76,0.261428,0.0,52.5057,12.3942822783,99.9956828753,13.3403,76,52.4475640084,1000.0,52.416,89.1625,11.9390243902,-58.5536
45.7581,3.0,1000.0,1000.0,1.49517804211,53.1744016051,61.0,77,0.191874,0.0,53.2786,10.1670500095,99.9956828753,14.7775,77,53.2073024403,1000.0,53.1732,89.9007,11.8452380952,-59.4325
45.9818,3.0,1000.0,1000.0,1.46024211984,54.0949752077,45.0,78,0.234642,0.0,54.1884,8.78916853127,99.9956828753,14.5063,78,54.127078069,1000.0,54.0937,90.5523,11.4772727273,-60.333
46.1617,3.0,1000.0,1000.0,1.44445429814,54.9623181174,81.0,79,0.24876,0.0,55.0569,12.9797146228,99.9956828753,14.0963,79,54.9919901506,1000.0,54.9611,91.2257,12.9736842105,-61.2904
46.353,3.0,1000.0,1000.0,1.52091064812,55.6422455069,45.0,80,0.237705,0.0,55.7398,9.58124614769,99.9956828753,16.0115,80,55.6736027481,1000.0,55.643,91.9354,11.4831460674,-62.0306
46.5626,3.0,1000.0,1000.0,1.4890560801,56.3846246074,50.0,81,0.315194,0.0,56.493,10.4091231019,99.9956828753,15.1838,81,56.4190734447,1000.0,56.384,92.6587,12.4875,-62.8683
46.7273,3.0,1000.0,1000.0,1.50888591492,57.2853606942,38.0,82,0.273809,0.0,57.3852,8.08500193171,99.9956828753,15.9901,82,57.3175155872,1000.0,57.2847,93.363,9.58095238095,-63.7517
46.9198,3.0,1000.0,1000.0,1.50933060542,58.0253585556,65.0,83,0.285067,0.0,58.1243,11.1404401653,99.9956828753,16.1558,83,58.0608184611,1000.0,58.0225,93.9852,11.021978022,-64.6602
47.1607,3.0,1000.0,1000.0,1.58393195943,58.6087921221,39.0,84,0.310489,0.0,58.7211,7.13422218587,99.9956828753,17.8437,84,58.6522077063,1000.0,58.6098,94.5496,10.2040816327,-65.5545
47.3726,3.0,1000.0,1000.0,1.6028529704,59.6373769616,48.0,85,0.313173,0.0,59.7589,8.49890610365,99.9956828753,18.1999,85,59.6756180634,1000.0,59.6355,95.1717,11.3636363636,-66.4956
47.5706,3.0,1000.0,1000.0,1.59528220737,60.2472967782,44.0,86,0.355854,0.0,60.3481,8.44771954999,99.9956828753,18.906,86,60.2767403896,1000.0,60.2484,95.7303,10.6170212766,-67.2767
47.7531,3.0,1000.0,1000.0,1.56622321672,61.1820982945,75.0,87,0.410777,0.0,61.2801,12.7114750215,99.9956828753,17.8749,87,61.2134488692,1000.0,61.1791,96.441,13.7916666667,-68.1633
47.9217,3.0,1000.0,1000.0,1.68248336499,61.8860532073,45.0,88,0.338596,0.0,62.0033,10.4215519288,99.9956828753,20.7763,88,61.9182234774,1000.0,61.8872,97.0587,13.3424657534,-68.9881
48.096,3.0,1000.0,1000.0,1.67930600666,62.4143112961,44.0,89,0.383677,0.0,62.5329,10.2444434804,99.9956828753,20.0725,89,62.4442124348,1000.0,62.413,97.6129,13.7733333333,-69.8454
48.2871,3.0,1000.0,1000.0,1.67777327864,63.5047271682,77.0,90,0.34887,0.0,63.6046,12.1488381817,99.9956828753,19.2484,90,63.5373323815,1000.0,63.4962,98.3004,12.3827160494,-70.8438
48.4862,2.0,1000.0,1000.0,1.68825649153,64.2170648393,56.0,91,0.406437,0.0,64.3167,10.8354092562,99.9956828753,20.9828,91,64.2426192787,1000.0,64.2136,99.0484,12.3625,-71.4122
48.7165,3.0,1000.0,1000.0,1.68136456423,64.7679831208,49.0,92,0.361608,0.0,64.8732,10.1630616559,99.9956828753,21.6105,92,64.7952499812,1000.0,64.7709,99.6803,13.2133333333,-72.3114
