AverageAction,Iteration,AverageEsReturn,AverageQ,MaxReturn,QFunRegParamNorm,StdReturn,StdEsReturn,MinReturn,AverageAbsQ,MaxEsReturn,AverageQLoss,PolicyRegParamNorm,Epoch,AverageReturn,AverageY,AverageAbsQYDiff,AverageAbsY,MinEsReturn,AveragePolicySurr,AverageDiscountedReturn
0.207232,9,-4.23676589455,-1.20585,-1.71876883654,11.4914,0.562686587783,4.07799748922,-4.96895990709,1.30672,17.7751935521,22.5315,11.7097,9,-3.71025958688,2.89503499402,4.10088017259,2.90355584242,-17.0719381904,0.543005,-1.94483791359
0.971703,10,-11.0958120155,1.51707,-8.18975764911,11.6722,0.0714118244394,3.57359763296,-8.60859280412,1.52926,1.8440775783,0.447981,12.45,10,-8.40594301289,1.54415056376,0.397160513607,1.56251007602,-17.8802913966,-1.90451,-8.115089936
1.0,11,-7.64150705254,1.25995,-8.04325612824,11.8002,0.0653923202382,1.62587470419,-8.4438675471,1.27806,0.462320403345,0.0572671,12.8946,11,-8.25851399286,1.26504638387,0.174963570791,1.28498811446,-15.0576310065,-1.66802,-7.97492781112
1.0,12,-7.81474468794,1.26351,-8.06658379828,11.8818,0.0656642376489,1.78574208186,-8.45329876043,1.29267,-4.37844563912,0.0283393,13.2218,12,-8.25619746694,1.26534660387,0.125505641321,1.29187861061,-19.2551699353,-1.40727,-7.97274936682
1.0,13,-7.82845573829,0.987275,-8.05119927896,11.9677,0.0677313748114,1.54894832931,-8.45430520788,1.059,-4.38006194592,0.0194722,13.4122,13,-8.25955109589,0.987893895055,0.10606036198,1.0583387979,-15.5216496721,-0.94524,-7.97597381482
0.866518,14,-5.07074926929,0.581575,22.1446856416,12.1135,20.667360534,21.8483754729,-105.107669309,0.780854,191.410805416,0.0163541,14.1897,14,-27.0217090486,0.581635008957,0.097199278967,0.781832796033,-13.7167065466,-0.725291,-5.76970729155
0.949846,15,-37.9583564792,0.783874,353.20851028,12.297,92.0072822364,17.840948825,-16.3595853585,0.877018,-5.76291230271,0.0149502,14.9359,15,33.3512506765,0.785419951034,0.0880997345391,0.879244208566,-72.0285996982,-1.20132,20.3144206683
0.937516,16,68.2038655809,0.996974,473.242151248,12.5361,97.6105694772,121.616743047,49.973195602,1.07214,315.594867695,0.0136669,15.3619,16,336.067738304,0.997938378604,0.0830353169801,1.07436968441,-22.3937895661,-1.38292,104.419963285
0.999746,17,273.361577252,1.20388,295.604286147,12.7948,47.1156932862,135.009963921,51.2638877688,1.26439,398.271355546,0.0143274,15.8876,17,91.2620822781,1.20469325792,0.0824070370053,1.26605190918,49.8383520049,-1.61252,60.5680170832
0.980621,18,118.822718765,1.39667,321.241644165,13.1035,34.2581828608,63.8833628533,140.239726391,1.44386,192.887460218,0.0149902,16.197,18,197.188231241,1.39732178858,0.0812439754521,1.44640014681,13.1874550848,-1.80572,98.0052807286
0.999257,19,252.328398647,1.60136,436.132316135,13.4874,84.4806520404,72.6311715161,49.1726390524,1.63913,375.479458782,0.0176039,16.4221,19,99.9706646917,1.60212653197,0.0848931872718,1.64156633073,149.436129541,-1.99768,61.0207381382
0.885925,20,111.093654838,1.76193,129.809663467,13.9351,38.6579691723,100.498803583,-31.0536538719,1.79712,306.744487602,0.0200846,16.9457,20,32.3911423265,1.76264329094,0.0892498681541,1.79988016197,37.8508701721,-2.15289,29.8764829234
0.770153,21,73.9057927842,1.93454,42.4844526023,14.4585,10.2828189301,51.6431245517,-5.17772057241,1.96569,161.722492278,0.0252504,17.5967,21,20.0190389134,1.93519208931,0.0973069992476,1.96865508455,6.07810034012,-2.34298,18.2765982621
0.94095,22,-4.81873172689,2.1198,-3.96262437098,14.9666,13.9847136918,14.7213445235,-67.5055418871,2.1416,36.0426066103,0.0362948,18.507,22,-27.23849045,2.12105735829,0.108749132772,2.14527271631,-40.8217718388,-2.60031,-10.5679788435
0.826142,23,-3.74751614392,2.28423,669.324653121,15.5019,194.425923828,32.836712698,67.2950689203,2.30175,81.721628169,0.0349125,19.0663,23,261.061442981,2.28512386159,0.109865406236,2.30503318611,-38.3082788991,-2.64946,92.5781558961
0.773136,24,282.763738498,2.35073,521.327947311,15.9992,109.943515404,244.285070003,39.6005468076,2.36764,686.463777762,0.0359629,19.2432,24,388.728106306,2.35166586035,0.105718822825,2.37052968352,65.8661557446,-2.70101,125.418674088
0.696846,25,42.697017985,2.46791,865.33810917,16.4694,250.4722154,67.4033448347,35.1964060447,2.48566,149.097519842,0.0314615,19.5361,25,409.236533554,2.46856105153,0.103112805392,2.48767138234,-39.9749036256,-2.8076,94.5361296879
0.837322,26,115.971513038,2.53906,837.003465451,17.027,255.011113104,132.335187397,13.9407102992,2.55789,337.206688132,0.0350282,20.0659,26,237.213697091,2.5396975061,0.108606310812,2.55956198715,-19.2030749518,-2.86403,70.2070378836
0.759102,27,37.9999735861,2.61661,782.030482644,17.5116,213.897965292,73.8134790581,59.4320127787,2.64117,172.773714729,0.0421011,20.6321,27,441.601517103,2.61726678661,0.114340413199,2.64289980882,-76.6990334341,-2.92375,106.230329556
0.804644,28,38.7159386326,2.65791,422.613814846,18.0353,98.8335808429,77.2964241245,-34.8765816976,2.68401,221.740713136,0.041773,21.2819,28,69.6198365149,2.65850857937,0.116871359754,2.68561382078,-27.8349297338,-2.97841,32.2324834605
0.755835,29,83.8148057122,2.72899,909.300384319,18.5105,279.473576625,147.673160892,-29.717810007,2.75386,440.862628025,0.0430326,21.8326,29,234.521120477,2.72994622664,0.118756893219,2.75618158411,-5.22088769769,-3.05533,36.499408045
0.813012,30,40.3853015324,2.80744,282.334487779,18.9859,60.6364757391,74.3336085198,-34.2060139301,2.8348,188.500837257,0.0470366,22.3659,30,22.7053332573,2.80830820057,0.124198626276,2.83705071877,-5.73458827635,-3.13094,27.8202525962
0.851812,31,140.865228252,2.90173,920.241770943,19.5121,125.558228831,116.144647653,39.7438371446,2.92712,313.55970585,0.0521509,22.7414,31,329.847324751,2.9022957093,0.128675402083,2.9293611195,8.58254495271,-3.23392,111.451687591
0.856966,32,108.597473751,2.99937,786.13936355,19.9917,146.312975013,125.189878666,-26.2171411302,3.02493,352.567990357,0.0587583,23.1634,32,74.4900785564,3.00039033107,0.135317792219,3.02783064071,-18.7924789402,-3.32131,34.4580904039
0.857918,33,87.5373882461,3.07574,3.43919831352,20.5159,12.019392483,128.070425108,-75.2946133074,3.102,324.986967896,0.0627064,23.5895,33,-38.5150080587,3.07639711638,0.141051958656,3.1035460542,-14.5578216488,-3.40109,-12.6787781561
0.821651,34,28.664214958,3.15589,478.200343322,20.9717,68.3388347865,65.9629487487,224.688153152,3.18537,200.637394548,0.0664934,23.9876,34,344.090167889,3.15674812846,0.145568699862,3.18694839766,-20.8304466602,-3.46285,122.611213404
0.858448,35,103.266850274,3.2422,518.213361213,21.4394,173.813579238,128.041307157,-30.4650205165,3.27593,383.750941736,0.07124,24.3716,35,201.716879431,3.24276651866,0.151671452096,3.27706466455,0.749885220717,-3.55234,76.7161971777
