AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
-25.5984923839,0.0449135644038,0.451615450196,-316.778215,0.451081,229.001295721,0.456160012007,229.001295721,-0.526273,229.001295721,0.831383,0.454641,0.0,-333.974900851,0.00432979,54.9153,38.7175,10.5234682193,30,30,-355.173641384
-11.2537619717,0.0436927839737,0.52008451917,-92.8274181734,0.51963,129.829756291,0.5235963923,129.829756291,-0.595033,129.829756291,0.705468,0.52261,0.0,-129.142419923,0.00394076,56.1215,39.6796,21.6477138889,31,31,-168.948815681
39.4731027937,0.0443916957052,0.587560413899,882.196623896,0.587083,406.753017773,0.590306872193,406.753017773,-0.659502,406.753017773,0.732492,0.589394,0.0,526.006261217,0.00410175,57.192,40.6297,459.542353917,32,32,-176.154064139
55.9492542152,0.0459501128106,0.659571732729,874.028930697,0.659039,203.967324425,0.661550231643,203.967324425,-0.73173,203.967324425,0.890182,0.660642,0.0,798.325017117,0.00448157,58.1737,41.544,45.2304865645,33,33,715.368454044
52.801525337,0.0458286286225,0.731391202946,778.143635404,0.730912,580.685107632,0.733047866413,580.685107632,-0.80448,580.685107632,0.915682,0.732289,0.0,718.508482957,0.00448635,59.1424,42.41,57.9493607114,34,34,583.264393857
74.6574835433,0.0471889629327,0.801537796413,954.022902586,0.801052,550.18287025,0.803379672061,550.18287025,-0.876704,550.18287025,0.907774,0.802567,0.0,885.307383972,0.00463934,60.003,43.2406,36.866986774,35,35,821.489293531
75.6841136062,0.0491399952146,0.880818142484,1006.1376169,0.880283,527.257359242,0.882455744783,527.257359242,-0.957844,527.257359242,0.929146,0.881592,0.0,937.890902964,0.00517868,60.9491,44.1344,43.7556338424,36,36,848.861524147
70.1887321479,0.0512495642719,0.961314200677,1026.04795003,0.960801,698.794386785,0.962434453956,698.794386785,-1.04029,698.794386785,0.897825,0.961679,0.0,957.879893415,0.00606694,61.7875,44.9698,52.4959368463,37,37,869.111619387
80.5964158879,0.0517223906006,1.04100857954,1107.82522726,1.04054,680.480122759,1.0422125934,680.480122759,-1.11982,680.480122759,0.897778,1.04159,0.0,1037.59967695,0.00601826,62.6408,45.7603,49.1868906328,38,38,964.666395126
82.2212497103,0.052774972195,1.12247472853,1139.16901558,1.12181,637.996427795,1.1235017065,637.996427795,-1.20317,637.996427795,0.888035,1.12258,0.0,1086.48214099,0.00632784,63.4999,46.5741,34.2082995636,39,39,1023.96935531
72.4916745329,0.0546698855273,1.21134697112,902.093996314,1.21083,685.837409019,1.21216623191,685.837409019,-1.29374,685.837409019,0.871784,1.21157,0.0,867.94175392,0.00679183,64.2796,47.3029,23.0097555627,40,40,818.015594089
