MaxEsReturn,AverageEsReturn,MinReturn,AverageY,QFunRegParamNorm,AverageAbsY,MinEsReturn,AveragePolicySurr,AverageAction,AverageAbsQYDiff,AverageAbsQ,Iteration,PolicyRegParamNorm,Epoch,AverageReturn,StdReturn,AverageDiscountedReturn,MaxReturn,AverageQ,AverageQLoss,StdEsReturn
94.0083499559,11.6564742503,-0.963239011063,0.0111888584937,10.3161,0.0281652697628,-34.2023755071,-0.0291377,0.00942873,0.0412994143839,0.0369887,9,10.2593,9,-0.941930501302,0.0086098069993,-0.0940785105163,-0.930705954932,0.0148804,0.00284052,55.5526215829
69.6968474385,21.8854384469,-0.0433222064593,0.0386423532183,13.1262,0.0723515563854,-25.9259705448,-0.0434175,0.000432706,0.0778190468285,0.0513445,10,11.4081,10,-0.0432273635134,5.11252225147e-05,-0.00432644224242,-0.0431902922622,0.0133126,4.29902,47.8114089917
-0.319265493843,-0.319265493843,-1.55417449407,0.060513419329,16.5932,0.131230685298,-0.319265493843,-0.0912312,0.0154611,0.126129450956,0.129304,11,12.4957,11,-1.54456826888,0.00488897711353,-0.154584689151,-1.540812366,0.0522489,5.03242,0.0
75.8745590094,23.2287174243,-0.169919703346,0.00222950395034,19.4982,0.258766466782,-29.4171241609,-0.0401371,0.0017009,0.109016122981,0.257464,12,13.0499,12,-0.169919703346,0.0,-0.0170082375979,-0.169919703346,-0.00300644,3.65541,52.6458415852
85.6188185246,37.958908893,-0.0139828019946,-0.0497767788551,22.3862,0.411101417096,-9.70100073866,0.00885999,0.000139969,0.10599027225,0.407064,13,13.1787,13,-0.0139828019946,1.73472347598e-18,-0.00139961884305,-0.0139828019946,-0.0537159,2.91099,47.6599096317
79.9546879885,34.3058486714,-0.0775319687568,-0.0451810868313,28.45,0.54862716658,-11.3429906457,0.00549101,0.000776095,0.130342276012,0.546436,14,13.6952,14,-0.0775319687568,1.38777878078e-17,-0.00776061939893,-0.0775319687568,-0.0500639,3.09294,45.6488393171
85.9663672122,36.0839907744,-0.745719189317,-0.0134219009353,31.0743,0.687309761368,-13.7983856634,-0.0379064,0.00746466,0.128923039087,0.690252,15,14.0439,15,-0.745719189317,1.11022302463e-16,-0.0746433103604,-0.745719189317,-0.0132355,2.05021,49.8823764378
-14.0924971566,-14.0924971566,-1.77646665205,-0.0196038527326,35.3042,0.727898239346,-14.0924971566,-0.0269089,0.0177824,0.114743229777,0.729559,16,14.5224,16,-1.77646665205,0.0,-0.177816735245,-1.77646665205,-0.020945,1.53108,0.0
90.3242175775,49.1520111998,-7.79634665014,0.0374635458215,37.2307,0.801286488993,-23.9576550001,-0.0818059,0.0780415,0.104615334476,0.801446,17,14.4969,17,-7.79634665014,8.881784197e-16,-0.780381048284,-7.79634665014,0.0343831,0.805352,51.8336287551
83.0673089019,39.4966727448,-1.5193521065,0.180553962698,39.4191,0.929754242713,-4.07396341231,-0.233263,0.0152087,0.0930950264332,0.934677,18,14.8947,18,-1.5193521065,0.0,-0.152080665828,-1.5193521065,0.18123,0.405139,43.5706361571
87.1693305382,38.3998186991,-0.556133347737,0.262387132644,41.767,1.00954411493,-10.3696931399,-0.306341,0.00556689,0.0836577983586,1.01077,19,15.306,19,-0.556133347737,0.0,-0.0556665762013,-0.556133347737,0.262266,0.299072,48.7695118391
-19.2571061991,-19.2571061991,-1.70901629059,0.306898899109,42.7248,1.03268487235,-19.2571061991,-0.356083,0.0171073,0.064977774333,1.03352,20,15.5541,20,-1.70901629059,0.0,-0.171065241738,-1.70901629059,0.307082,0.113271,0.0
89.0957449136,50.1478969793,-1.31462089672,0.353583488891,44.4818,1.09217051552,-25.7914421236,-0.405008,0.0130634,0.0522926679589,1.09265,21,16.2571,21,-1.30503032034,0.00504235646084,-0.131459116255,-1.29949674498,0.353607,0.0664668,53.7031609901
-7.10043341317,-7.10043341317,-2.80023692924,0.420742458755,46.2535,1.15397688452,-7.10043341317,-0.476245,0.0279842,0.043424944409,1.15459,22,16.6799,22,-2.79561773658,0.0022370088581,-0.27896006343,-2.79298925161,0.420701,0.040372,0.0
92.4238904045,47.4379114814,-2.26853114152,0.547382597022,47.1993,1.27395441628,-29.8542202474,-0.602319,0.0226398,0.07468399511,1.27516,23,17.3606,23,-2.26171272409,0.00301431938668,-0.224979291163,-2.25867970323,0.547078,0.5563,54.898389278
-4.15895925329,-4.15895925329,-0.228703545393,0.554051213623,47.5541,1.27116686059,-4.15895925329,-0.602312,0.00225026,0.100170236411,1.27315,24,17.7984,24,-0.224801070942,0.00191354609097,-0.0225865500298,-0.223288241461,0.553033,1.06931,0.0
88.1005943884,48.057613562,-1.72269413463,0.704852684363,49.1407,1.42615307592,-24.8427739826,-0.763186,0.0172273,0.0696212986189,1.42943,25,18.5084,25,-1.72100320367,0.000999453757302,-0.172188309606,-1.71926763674,0.704608,0.401461,51.6317602317
92.4113746978,67.2884753117,-0.377720468675,0.77169158862,50.8946,1.52002719384,-0.749728411323,-0.83013,0.00375242,0.0904379027443,1.52334,26,19.029,26,-0.374866698091,0.00180814951945,-0.0375958152354,-0.371936794247,0.771611,1.09275,39.3193049216
86.0894198773,41.1505267745,-4.34168544607,0.853339749843,53.1439,1.6399755847,-3.78836632826,-0.916703,0.0434471,0.0712596192024,1.64198,27,19.8934,27,-4.34036732474,0.000788220461727,-0.434524747073,-4.33953931367,0.852078,0.748621,44.9388931028
87.6684650629,52.4654030077,-4.6401424938,1.08707903226,55.5883,1.91572362949,-16.8226436583,-1.15864,0.046276,0.0837119965596,1.91661,28,20.2612,28,-4.62297320447,0.0138418292915,-0.462845745169,-4.59657878765,1.08556,1.10869,48.9961738805
