StdEsReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction,AverageAbsY,QFunRegParamNorm,StdReturn,PolicyRegParamNorm,AverageEsReturn,MaxReturn,AverageQLoss,Iteration,AverageY,AverageReturn,MaxEsReturn,Epoch,MinReturn,AverageQ,AverageAbsQYDiff
4.26579720698,0.534219,-17.0814183749,1.41703,-1.71599739205,0.205463,2.98947387429,11.4914,0.96167686723,11.7101,-4.09431555274,3.94208529646,23.8549,9,2.98901569129,-3.45417938896,21.9157018841,9,-5.10487623785,-1.2812,4.27021771234
2.98499375147,-2.07849,-17.872357522,1.56949,-7.81604586541,0.9999,1.58652498349,11.6898,0.063755813394,12.2033,-8.24346048626,-7.92977427977,0.454954,10,1.58471382373,-8.09337477024,0.774741792944,10,-8.25356656786,1.55935,0.396828594003
1.79960370388,-1.64313,-12.5630383214,1.34516,-7.81609440953,0.999981,1.33816701359,11.7952,0.0661161952932,12.2431,-7.30000547639,-7.92899373317,0.0544919,11,1.33614316327,-8.09340417283,0.681098564513,11,-8.25473594862,1.33137,0.167741626473
1.82332696835,-1.37656,-15.1582493453,1.32167,-7.81237079366,0.99999,1.31090207968,11.872,0.0643495424364,12.2577,-7.39631425013,-7.94205354093,0.0264414,12,1.30732668316,-8.08953138858,-3.86089685203,12,-8.24835711231,1.30539,0.121354620229
1.59698620959,-0.98666,-12.3055967613,1.08365,-7.81516118361,0.999985,1.07778365477,11.9288,0.0659253226483,12.2506,-7.31896180083,-7.93529750176,0.0172784,13,1.05507675893,-8.09244020979,-3.54373713672,13,-8.26442412144,1.05424,0.0986128494805
4.45065490558,-0.877187,-19.787226013,0.816874,-18.7357025107,0.999979,0.812538421953,12.0058,0.11366297021,12.6483,-10.0404208461,-19.7957242925,0.0133576,14,0.759113682488,-20.1193740899,-4.23551014644,14,-20.422789199,0.758796,0.0874405650436
5.88654909258,-1.05951,-58.5053872289,0.954476,-31.3534291811,0.99999,0.953220618353,12.0352,3.26781902168,12.6876,-18.833626697,-57.6647787778,0.00890863,15,0.946941203842,-64.8756717397,-0.101605773745,15,-72.7817662747,0.945922,0.0712488591227
32.2538766339,-1.00899,-109.045001011,0.901237,-5.2973977964,0.999991,0.899267543,12.0958,1.31429029385,12.7785,-25.319907844,-5.91552851303,0.00746324,16,0.891990285286,-8.63863863929,8.43452041127,16,-11.3780225524,0.891511,0.062627793929
5.72551311028,-1.05655,-17.4546119268,0.88906,6.57085153419,0.949953,0.886693453297,12.2218,30.8077456763,13.7308,-7.58972491854,99.0478088906,0.00709822,17,0.883359505594,12.5966441519,5.18641541367,17,-21.877292262,0.882959,0.0609683158811
118.231267886,-1.18469,-83.8737293142,0.94975,-6.76773077282,0.857609,0.948365345006,12.3771,4.03846941914,14.4429,20.2317637385,-5.98664000651,0.00696699,18,0.945705368013,-13.6268160896,346.030282065,18,-23.2547967296,0.945123,0.0585611237597
