MaxReturn,Iteration,AverageAbsY,AveragePolicySurr,StdReturn,Epoch,AverageAbsQ,QFunRegParamNorm,AverageAction,AverageY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageQ,MinEsReturn
34.0,32,17.8044421006,-20.2113,0.4470640075,32,17.816,48.195,0.29112,17.8043455627,1.36912,25.1145,17.0169491525,42.0,0.528413153305,33.7239057239,28.7465159809,33.0,11.2889499375,17.8041,3.0
33.0,33,18.6280943189,-21.1575,0.290752378082,33,18.6407,49.5898,0.158677,18.6279245869,1.53609,25.3064,15.703125,50.0,0.546911910645,32.0415335463,27.5319136347,31.0,10.7930528691,18.629,3.0
33.0,34,19.4029089763,-22.0817,0.499483203996,34,19.415,50.8975,0.0783857,19.4026942222,1.85171,25.6466,15.5555555556,57.0,0.583246225761,32.5227272727,27.880933398,32.0,12.2160157402,19.4025,3.0
35.0,35,20.2305203593,-22.9094,0.23984098917,35,20.2451,52.291,0.325141,20.2302337207,1.95198,26.1284,14.6285714286,41.0,0.606792699717,33.9898305085,28.9372080093,33.0,10.9102460737,20.229,3.0
36.0,36,21.0695724177,-23.8559,0.416149199706,36,21.087,53.5612,0.271421,21.0692678921,2.10479,26.5017,14.7647058824,39.0,0.621953012529,34.0170068027,28.9562002656,33.0,10.4812404506,21.0696,3.0
34.0,37,21.9074141326,-24.7907,0.353150735298,37,21.9258,54.6897,0.258012,21.9065412568,2.17598,26.8876,15.65625,45.0,0.639291484664,33.0264026403,28.2455378201,32.0,11.7529500951,21.9053,3.0
37.0,38,22.6647172429,-25.6223,0.628201668658,38,22.6869,55.7475,0.490576,22.6632249899,2.35551,27.2492,14.7313432836,42.0,0.66725104904,34.5137931034,29.3092400796,33.0,11.6254765135,22.6634,3.0
36.0,39,23.4199420706,-26.461,0.679110538895,39,23.4411,56.9659,0.435731,23.4175998094,2.65913,27.6189,14.8970588235,40.0,0.694579086549,34.352739726,29.1944846136,33.0,10.1650203349,23.4177,3.0
47.0,40,24.1895564192,-27.2959,1.90366383587,40,24.2149,58.0992,0.502495,24.1862741432,2.83532,28.0185,15.1060606061,45.0,0.727832578758,40.008,33.0960418411,37.0,11.5419246175,24.1863,3.0
46.0,41,24.9632127363,-28.0799,1.3094272066,41,24.9873,59.0651,0.543377,24.9592606106,3.1105,28.2898,13.875,105.0,0.752053108521,39.140625,32.5167237151,37.0,15.5848372715,24.959,3.0
