PolicyRegParamNorm,AverageQ,QFunRegParamNorm,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageQLoss,MinReturn,StdReturn,AverageEsReturn,StdEsReturn,AverageAbsQ,Epoch,AverageY,AverageAbsQYDiff,Iteration,AveragePolicySurr,AverageReturn,AverageAbsY
19.231,-0.187118,19.1809,18.2478929561,0.0786607,84.4412673264,15.3099204527,-1.38479984287,0.0941496,15.8881815508,0.539723100109,11.5234409233,14.6974820123,0.223305,9,-0.0301790932905,0.249090059678,9,-0.296689,16.9097185982,0.121221348733
21.5675,0.116799,19.3329,5.41565386882,1.0,46.842282194,5.13603885465,-1.22362292292,0.00389415,5.08553221802,0.0443420133644,23.8408280681,16.5420266289,0.140457,10,0.117173206817,0.0362667787867,10,-0.145422,5.29714366358,0.138579384967
22.2185,0.218487,19.5373,5.41741209842,1.0,17.5710980881,5.13536670558,4.74024875953,0.00168546,5.07765192543,0.0452589596109,6.7432143677,2.42838521137,0.226683,11,0.218986728837,0.0243448244145,11,-0.240824,5.29641059476,0.227758994347
23.6408,0.288409,19.8424,56.7972241809,0.963721,69.5810905341,43.3204989614,3.92917087692,0.00128562,45.5097923083,2.07970402131,10.8489454572,13.3825829321,0.304169,12,0.2886830547,0.0209513333142,12,-0.311691,50.2384550091,0.304528948903
26.0641,0.368511,20.3705,9.2435158625,0.9141,286.364375583,8.59567156547,25.215027158,0.00225658,8.64243090949,0.113343520766,83.689001369,56.1652914969,0.391643,13,0.36885123153,0.026316963025,13,-0.412882,8.95549171315,0.392246581676
27.8001,0.476958,21.0083,171.261841231,0.947525,176.65547741,79.8414059723,6.06138157547,0.00303346,71.6182122243,29.3607664743,102.426777,56.3471958693,0.498865,14,0.477317135047,0.0291004567907,14,-0.534474,109.57179671,0.499673473509
29.3504,0.60281,21.9023,86.5072605316,0.911959,189.531438741,64.2392579278,47.2075317924,0.00478117,75.9802947052,1.78302699059,113.203687649,50.5310178382,0.624174,15,0.603250825739,0.0347202643474,15,-0.670664,80.8015823805,0.625099036697
31.0372,0.729102,22.7706,177.367234975,0.885939,186.067601848,112.441614764,65.6093438938,0.00608949,170.960581078,1.62055238976,138.210839406,45.8496228405,0.750304,16,0.729345740819,0.0377486568957,16,-0.804477,174.375379469,0.751021376409
32.7673,0.874231,23.729,196.938429017,0.919912,180.944820824,80.6702230093,52.1137945871,0.00774877,82.4191750608,36.094721717,155.247017931,38.7490721607,0.892466,17,0.874783105534,0.0423790228743,17,-0.960708,111.582427769,0.893363747066
34.8297,1.02767,24.7542,189.83303544,0.927227,215.60550544,112.869129642,51.2627652055,0.0117695,156.96975446,5.85783640992,146.939313377,48.9064527965,1.04384,18,1.02832339707,0.0512550734381,18,-1.12173,176.183232081,1.04473196336
36.3571,1.18796,25.8267,184.244045562,0.888935,210.942862805,101.418869745,11.4284432883,0.0132391,51.843173664,30.5612200151,156.105127192,53.1330761326,1.20185,19,1.18852555898,0.0530901877963,19,-1.29206,151.640582484,1.20249540258
38.4116,1.36308,26.9629,190.582132994,0.796037,217.268541519,108.527016094,85.3951656029,0.0157037,146.692152249,14.4818401963,159.078225419,35.3168261143,1.3761,20,1.3635407106,0.0566347159401,20,-1.47835,169.101213124,1.3766188779
40.4774,1.5344,28.0674,228.970608936,0.740031,246.662895494,122.897461897,41.6539279399,0.0215698,161.742051824,17.7006997958,144.715165973,59.3084869801,1.54545,21,1.53517456926,0.0662480243956,21,-1.65908,203.1724957,1.5462393144
42.4635,1.70886,29.0957,240.378538852,0.512126,219.760788199,134.37822541,4.06657173108,0.0243963,182.600279643,10.5789621053,128.438025947,61.4069899351,1.71919,22,1.70961589906,0.0708636795056,22,-1.84579,232.90751029,1.71982845721
44.3201,1.90295,30.1827,334.139345586,0.559646,219.900837815,136.676129722,7.97087153024,0.0297231,183.890075442,44.1161193439,131.2847668,62.1061927401,1.91286,23,1.90356657627,0.0768783317735,23,-2.05503,244.122905168,1.91345107523
45.7778,2.11441,31.3127,252.173832872,0.69699,318.408881914,137.569495606,56.8954921651,0.0340996,222.02039686,5.96441724767,210.019096609,79.2335452608,2.12313,24,2.11554933936,0.0841169399052,24,-2.2675,240.493790841,2.12410167425
46.874,2.31606,32.2955,335.594166083,0.618871,456.027345738,143.352261213,30.7940642844,0.0373464,206.91194346,22.1970291797,216.271062493,110.685845596,2.32408,25,2.31677371399,0.0884174389937,25,-2.46799,258.489845458,2.32450309158
48.2319,2.49824,33.3185,321.627827381,0.663068,318.969469453,160.086874985,14.9862676836,0.0431508,294.776462585,5.37078660497,169.475872828,82.6585933836,2.50608,26,2.49938598574,0.0955666119395,26,-2.65632,308.656146813,2.50664135504
49.4946,2.70085,34.2954,289.801779736,0.655332,301.233073981,145.912198622,8.46808303674,0.0494316,159.634563987,41.3662285775,182.799982101,86.2426259078,2.70822,27,2.70189051724,0.103093417117,27,-2.86692,263.347353734,2.70894561261
50.751,2.91466,35.3233,296.749819575,0.464686,298.593484102,91.6877239458,10.6533283679,0.0599912,123.252318873,25.4702584099,170.425150822,81.3325373601,2.92147,28,2.91564187357,0.111039092786,28,-3.0908,129.946043222,2.9220084018
52.0221,3.12906,36.2327,294.337343106,0.645821,330.966054079,150.548610613,79.8355303461,0.0704685,267.831364114,5.74511098016,211.967135473,92.3955934429,3.13516,29,3.1301351634,0.121828783318,29,-3.3153,277.285387084,3.13562077283
53.057,3.34771,37.0528,334.055279724,0.69728,305.885463395,165.031589667,56.4841872739,0.0628729,305.771202507,6.21767261767,178.670859143,80.7632190293,3.35277,30,3.34877319952,0.117322737351,30,-3.54554,319.559230131,3.35338115673
54.1052,3.56839,37.9511,333.859721124,0.700789,342.185943995,163.928685137,90.1170741564,0.0719325,310.029120069,6.29873232077,252.477382931,87.0781742061,3.57409,31,3.56947876466,0.126815847656,31,-3.7652,321.059070946,3.57449232777
55.2188,3.78991,38.925,340.905996664,0.686447,349.334903744,159.787835729,12.6339887912,0.0905794,152.502087091,40.7022907988,153.708649209,112.044486854,3.79497,32,3.79142242833,0.141631738421,32,-3.99025,304.873504114,3.79563987911
56.2269,4.01177,39.738,308.646070825,0.734101,296.040707109,155.802871074,21.9979264609,0.100165,274.093861395,10.0460031317,198.625980824,92.3752533532,4.01628,33,4.01271296262,0.147879663345,33,-4.21783,290.30269475,4.01654886094
57.2465,4.22571,40.5577,284.866064294,0.730707,325.040664527,118.776257708,111.234474276,0.11003,130.046219182,58.6498728658,216.309555716,59.7461971635,4.23042,34,4.22736603868,0.154577390949,34,-4.44249,193.261299988,4.23064092473
58.1416,4.44753,41.3804,290.303424028,0.784843,325.312207716,127.774649903,10.9380457848,0.105405,135.946099973,56.0731507199,135.156626067,87.509362449,4.45157,35,4.4487939782,0.155677605085,35,-4.67226,214.113642934,4.45192690269
59.1434,4.68449,42.1961,366.683476826,0.7392,306.432235953,173.207852934,78.9360805493,0.108288,319.370148116,10.6268483215,199.537738411,78.4665943723,4.68849,36,4.68574545104,0.158636994714,36,-4.91522,343.556596613,4.68841332538
59.9289,4.91463,42.9971,373.034777627,0.735232,433.893916356,134.588877186,14.951819978,0.13018,187.396034827,70.2707561119,195.461236852,124.513359724,4.9182,37,4.9162326351,0.174308356138,37,-5.14923,234.80297972,4.91890914491
60.6975,5.16885,43.7628,346.9600276,0.754055,375.401283887,160.610674052,32.7443369446,0.155627,247.577274271,28.1126595349,162.244616665,116.002798939,5.1722,38,5.16983970878,0.188549050737,38,-5.41606,307.061294291,5.17208666003
61.267,5.4253,44.4903,356.788286606,0.716137,357.763497514,158.294449851,9.753956597,0.141249,273.362248771,25.4144230937,189.271973993,127.751477722,5.42884,39,5.42729386739,0.186498408218,39,-5.66624,305.780000142,5.42943477414
62.0864,5.65666,45.2682,347.774838275,0.802975,363.891259613,172.954151519,44.3261796323,0.16631,314.390870532,7.65758444857,209.816486099,89.9979144263,5.66037,40,5.65827550197,0.199052937153,40,-5.90453,333.747149797,5.66041313166
