MaxEsReturn,MinForwardProgress,QFunRegParamNorm,AverageDiscountedReturn,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,AverageAction,Epoch,AverageReturn,AverageQLoss,AverageAbsY,MaxReturn,AverageAbsQ,AverageY,AverageQ,AverageForwardProgress,MinEsReturn,StdForwardProgress,PolicyRegParamNorm,AveragePolicySurr,MaxForwardProgress,MinReturn,StdReturn
38.7560551136,-0.0619506260602,14.0917,22.7921346036,5.0469996086,0.0557827148575,7.38399019205,0.00441977,9,25.6206228986,0.00619871,0.11027110475,48.0801284352,0.105563,0.11027110475,0.105277,0.0516336794913,2.25667615636,0.0441318752879,14.1721,-0.0038476,0.203036906227,11.8474183455,5.87668446855
10.5825142528,-0.066718123889,14.7108,7.20943450178,0.825053709643,0.032361662983,4.03997496243,0.998805,10,7.47233000393,0.00180423,0.0927702654099,11.7579894491,0.0925712,0.0927701779795,0.0920705,-0.019026312886,2.43529963009,0.0135656095987,14.7485,-0.109187,0.0225037555567,4.44414371698,1.16386647268
6.14812065341,-0.0622549615639,15.5882,7.1370920989,0.613516379323,0.0190406233391,4.28568061311,0.9997,11,7.39645019136,0.00070028,0.0962637099925,12.3639789981,0.0965165,0.0962636513312,0.0960864,-0.0199978375927,2.61932608673,0.0133316440585,14.8378,-0.11339,0.0214658157387,4.53242157641,1.08557796226
5.82219365345,-0.0618286713115,16.6111,7.14112139768,0.610849382819,0.0167391234573,4.193058428,0.998836,12,7.39954913614,0.000566973,0.0934435808631,11.5046357128,0.093802,0.0934430106545,0.0933622,-0.0194129734277,1.62603745168,0.0132989436007,14.7782,-0.1059,0.0211873720336,4.39594652522,1.10340266666
13.2166303876,-0.0345527457172,17.5579,13.5586153792,2.2965278556,0.0158588217293,8.04764143937,0.999784,13,14.5690659467,0.000527942,0.0890332163162,25.9753907295,0.0893577,0.089030164565,0.0889543,0.0206406158245,3.22385530127,0.0224966601493,15.0199,-0.113674,0.09808595856,5.80075631198,4.25855040281
36.0145817428,-0.0116344194013,18.5896,30.6517282134,6.8767226589,0.0179287076118,11.0816588663,0.892879,14,36.4483758659,0.000625841,0.100426509021,74.6258077424,0.100783,0.10041271755,0.100334,0.206830544781,3.90886420196,0.185379433688,15.3413,-0.126336,0.561378639736,10.7629409828,21.3878976581
38.8014377686,0.0677327463335,19.4525,47.8336158293,10.8789474916,0.0185596385299,23.0132930993,0.919289,15,59.0943408941,0.000659598,0.102260670428,70.98538693,0.102696,0.102230510855,0.102224,0.392767190436,6.23515042062,0.1298406255,15.6441,-0.123621,0.518119991134,25.5597504733,13.8492163708
39.1466172095,0.0640529630354,20.3209,55.1414140535,9.68469460608,0.0178573638941,27.9022946943,0.911737,16,69.4701558637,0.000631904,0.105181861628,75.7502484238,0.105538,0.105160021287,0.105122,0.510177038393,5.59525731217,0.0367205760691,16.0839,-0.124714,0.566087551072,21.6167097667,3.93563986052
60.6774417244,-0.183388147727,21.2452,52.8787126388,11.5047275097,0.0173386725799,26.6937463913,0.728711,17,74.6438837262,0.000611159,0.109843947994,108.021117636,0.110207,0.109842882796,0.109792,0.162809616988,9.39237058696,0.169743155966,16.433,-0.128432,0.565314972296,32.3820720748,19.498751908
55.1293891201,-0.240243035938,22.2446,46.1326665603,11.1069822991,0.0180026809148,20.0819824519,0.710047,18,66.2079675399,0.000673812,0.11381384331,96.2729479832,0.114207,0.113813070876,0.113752,-0.136062916562,2.76276504864,0.0451898797206,16.6923,-0.134264,-0.0500945260088,28.1769185301,17.9130275132
59.9611392856,-0.203541142135,23.2422,41.8401767291,11.3177583595,0.0180005951207,19.0169239909,0.727618,19,58.7468230602,0.000693899,0.119860789621,96.5364736215,0.120293,0.119859533297,0.119805,-0.117087743466,2.65099109897,0.025654621717,16.8386,-0.138886,-0.0420092768388,23.8252306433,20.1895865749
97.4620631076,-0.16058987072,24.1465,27.9445714639,19.2375865181,0.0176278609558,22.9723377694,0.792692,20,34.449437125,0.00068404,0.125299073866,83.7876581381,0.125756,0.125297626591,0.125265,-0.113769898062,4.86823926279,0.0181150086431,16.9784,-0.142973,-0.0614252941683,16.6887564275,13.4091144876
81.6130272554,-0.134069153857,25.0001,59.28040212,16.8409259113,0.0170537814758,23.9462937264,0.823011,21,94.6718695252,0.000673547,0.129505798183,99.4692342803,0.129943,0.129501372877,0.129477,-0.0794626829178,2.72580043892,0.0203180275987,17.1622,-0.146204,0.0190484991842,92.074998467,0.966189879642
74.0142994883,-0.102915352569,25.7548,56.7724135777,21.4960547869,0.0169143662546,39.3987291481,0.808135,22,85.161655751,0.000678669,0.132920569397,118.303134655,0.133408,0.132915172337,0.13288,0.102643975312,5.80979502614,0.130179524026,17.3609,-0.149718,0.444666678014,40.6466267438,18.7748038689
67.8464876042,0.0751608513745,26.3674,55.0291051634,15.5084001152,0.0164885938091,35.1652163194,0.771511,23,75.7455818372,0.000669881,0.136858899386,114.276330227,0.137318,0.136851854471,0.136823,0.347927219577,6.17301303781,0.0488125583523,17.5329,-0.152989,0.429704965359,45.7273951678,13.1577108558
96.539514237,0.033906629295,27.019,31.9331978476,23.20282971,0.0163928020003,39.4653249449,0.698461,24,37.8734059223,0.000678351,0.141118576882,80.1043268209,0.141627,0.1411078133,0.141094,0.0952670601058,11.4227110044,0.0631204200054,17.6985,-0.157477,0.481479013834,25.9788306754,7.86225157458
76.2218693231,0.0290864010393,27.6992,53.2903054449,17.671111876,0.0161533269107,31.1761236343,0.783149,25,75.7169134004,0.000682325,0.145798829204,122.98354906,0.146284,0.145781420846,0.14576,0.166642297459,2.56548975481,0.140914670857,17.8679,-0.162248,0.501957682029,38.643382541,20.4615689475
99.8094924078,-0.0517596477273,28.2717,60.7972877174,23.8009946688,0.0161443065792,42.6389815264,0.903189,26,94.5319540187,0.000702519,0.150349027988,104.412241753,0.150845,0.150319036042,0.150303,0.0308541161285,2.45747957403,0.0418389836595,17.9949,-0.167242,0.17025920409,44.2041493879,11.9970294177
