Iteration,MinEsReturn,AverageAction,MinReturn,Epoch,AverageQLoss,MaxEsReturn,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,StdReturn,AverageAbsQYDiff,AverageDiscountedReturn,AveragePolicySurr,AverageQ,MaxReturn,AverageReturn,AverageY
9,-321.241420049,0.00707131,-12.3383695091,9,14.5036,-228.517797607,11.7093,2.41388498077,-282.802548444,11.493,1.23026,31.4656981128,10.1845806896,3.14130716012,-1.69709442814,0.120492,-0.666341,26.1193450044,-0.89999104111,2.41388498077
10,-320.314588381,0.890931,-536.477648418,10,0.38455,-320.314588381,12.6234,1.02158984572,-320.314588381,11.9398,0.9777,0.0,0.532789294819,0.43729704142,-54.540437028,-1.78815,0.91861,-534.544443554,-535.373485701,0.933460036318
11,-256.868693336,0.904341,-613.162030046,11,0.164339,-256.868693336,13.9019,1.03935424004,-256.868693336,12.6793,0.995906,0.0,263.10449674,0.307229797442,-15.4389392042,-1.66876,0.930479,130.313460285,-385.471458365,0.936341123139
12,-322.099594637,0.839211,-127.151027083,12,0.163165,-322.099594637,14.8912,1.25603790757,-322.099594637,13.4664,1.21997,0.0,88.680226193,0.303443881271,3.62232137858,-1.91949,1.12449,152.269662326,-16.7440528232,1.12396649573
13,-303.650289692,0.882505,-597.744431552,13,0.184372,-303.650289692,15.4944,1.48125436749,-303.650289692,14.0682,1.44804,0.0,15.3789136995,0.32315998012,-54.4285348561,-2.0428,1.35729,-546.676268475,-578.287437026,1.35990120628
14,-327.089166205,0.775821,-626.756400747,14,0.202126,-327.089166205,15.8315,1.64462807421,-327.089166205,14.7252,1.6122,0.0,17.7276322475,0.336257570226,-55.203085615,-1.98749,1.50199,-567.335915266,-589.944267115,1.50390625057
15,-401.156655678,0.503701,-240.740589666,15,0.223198,-401.156655678,15.9477,1.66031728708,-401.156655678,15.4515,1.62038,0.0,22.3794820589,0.349413698352,-3.3468407409,-1.79926,1.44858,-155.631608746,-206.277924119,1.4485928846
16,-154.026233674,0.637917,-496.050543184,16,0.243084,-154.026233674,16.1477,1.69982902975,-154.026233674,16.2095,1.65403,0.0,21.3284395586,0.362673473553,-45.7368399278,-1.8062,1.43704,-425.915104844,-449.632515518,1.43752824962
17,-256.344820249,0.548416,-352.765694479,17,0.263558,-256.344820249,16.4169,1.75376579354,-256.344820249,16.9753,1.70536,0.0,69.3697272211,0.376313569658,-26.4725434447,-1.89292,1.48832,-123.124772926,-230.668882032,1.48826768871
18,-233.096963013,0.572726,-262.975632134,18,0.28436,-233.096963013,16.7665,1.86178169446,-233.096963013,17.7214,1.81674,0.0,84.8333105212,0.385271214633,-5.35696267426,-2.04585,1.61018,-9.66220370014,-128.409189619,1.61201495859
19,-241.391089214,0.184749,-65.5441027693,19,0.304041,-241.391089214,17.1134,2.00118123503,-241.391089214,18.465,1.95948,0.0,7.14391219049,0.394366462018,9.42753824987,-2.22683,1.7812,-39.0100888411,-53.48633586,1.78336996828
20,-165.703687793,0.0685781,-18.570722992,20,0.321872,-165.703687793,17.555,2.13109561779,-165.703687793,19.1633,2.0928,0.0,5.45699026335,0.403457365095,6.97073614572,-2.39645,1.92496,-0.349379874299,-12.0757772836,1.92768629186
21,-203.369866749,0.13409,-56.9443369032,21,0.335698,-203.369866749,18.0021,2.26719705589,-203.369866749,19.8436,2.23254,0.0,8.60930043817,0.405254262799,8.30467097457,-2.59872,2.09771,-27.0928111657,-46.6699943272,2.10130129522
22,-170.138376775,0.0821482,-32.7666667072,22,0.360699,-170.138376775,18.4121,2.45358098198,-170.138376775,20.5082,2.42686,0.0,4.43012592761,0.415990061809,5.66602806319,-2.81153,2.30858,-17.7750491493,-28.3137958337,2.3113288282
23,-153.518017785,0.0972759,-34.659912601,23,0.379811,-153.518017785,18.8,2.59337355813,-153.518017785,21.1666,2.56625,0.0,11.2017179978,0.41923876654,11.3256985195,-2.95526,2.45309,0.656417294286,-20.7146935993,2.4576080881
24,-150.147450071,0.115522,-109.153221628,24,0.380642,-150.147450071,19.2349,2.80651493425,-150.147450071,21.7938,2.78241,0.0,20.3240112369,0.420364503825,-2.81389514629,-3.21602,2.68835,-37.0573519497,-50.9818775797,2.69321228586
25,-155.037268221,0.154798,-55.6414915736,25,0.410222,-155.037268221,19.714,2.98200485671,-155.037268221,22.3997,2.96026,0.0,20.9756941513,0.423234629012,-1.5442330641,-3.42925,2.88351,16.4435312553,-34.4408484051,2.8874633053
26,-94.5167453892,0.614165,300.507995533,26,0.41877,-94.5167453892,20.2151,3.19315422592,-94.5167453892,22.9816,3.17093,0.0,28.5461267254,0.431718899258,25.1435816871,-3.65891,3.10315,396.317644464,353.765316636,3.10772078791
27,-8.8144713675,0.711346,105.650988156,27,0.435989,-8.8144713675,20.7131,3.45376839621,-8.8144713675,23.6033,3.43486,0.0,73.6161951888,0.440174777878,22.9995757092,-3.96009,3.37861,361.542244688,294.350210599,3.38288288524
28,164.79379292,0.743255,304.596200966,28,0.475939,164.79379292,21.3007,3.8179280939,164.79379292,24.1722,3.79957,0.0,29.7273833282,0.463393965108,18.7282830793,-4.39828,3.74852,405.03903448,366.539423596,3.75452858058
29,159.132347705,0.780921,417.859241988,29,0.492506,159.132347705,21.9431,4.22309643828,159.132347705,24.7087,4.20603,0.0,46.0152586801,0.477240709834,33.2838240175,-4.86818,4.16833,575.768262432,506.928657999,4.17370186979
30,201.822179084,0.810136,-126.403757423,30,0.539,201.822179084,22.4597,4.70196134992,201.822179084,25.166,4.68871,0.0,277.905670494,0.5049464488,29.0875302525,-5.41271,4.66124,681.662534172,500.850015545,4.66775691191
31,205.243253678,0.826127,614.932238448,31,0.589739,205.243253678,23.0532,5.25543992751,205.243253678,25.6466,5.24142,0.0,28.0100111564,0.532492464021,44.8241018137,-6.03223,5.22246,701.94668627,660.319763143,5.22873123566
32,253.122332537,0.875798,606.656743977,32,0.604862,253.122332537,23.5214,5.83931115,253.122332537,26.0601,5.82714,0.0,33.544731654,0.546055735652,63.616760598,-6.6621,5.81538,714.391759473,659.257013635,5.82308729364
33,288.54006422,0.859644,516.332195074,33,0.683722,288.54006422,23.9785,6.54756512844,288.54006422,26.49,6.53654,0.0,26.4890844761,0.566458731753,41.9502706335,-7.41413,6.53057,607.20534115,568.506611468,6.53829698186
34,424.654274959,0.866798,-690.48419489,34,0.667222,424.654274959,24.4528,7.25724822467,424.654274959,26.9202,7.24806,0.0,361.820889816,0.563564614977,18.2902140692,-8.125,7.24538,546.898202405,203.692865466,7.2537783797
35,389.95987227,0.887166,-1111.6366354,35,0.676498,389.95987227,24.8457,7.96334085837,389.95987227,27.291,7.95502,0.0,614.208378404,0.570185809071,15.6193772028,-8.86837,7.95372,506.021062806,-256.906492858,7.96082969306
36,350.318319787,0.874177,-713.723362303,36,0.754466,350.318319787,25.2957,8.73934938188,350.318319787,27.6107,8.72953,0.0,191.6181523,0.593013074501,45.4559243321,-9.67862,8.72904,42.1183586249,-399.641013726,8.73760633579
37,370.328060993,0.874525,-1241.0219152,37,0.789726,370.328060993,25.6514,9.54438795941,370.328060993,27.9438,9.53539,0.0,650.89804765,0.60054767057,39.2501966922,-10.4799,9.5353,551.266744036,-79.3763620158,9.5433798206
38,368.565008795,0.849726,105.344172936,38,0.785912,368.565008795,26.049,10.3494345614,368.565008795,28.2974,10.3413,0.0,93.1314374104,0.604424966604,39.5710993551,-11.2606,10.3413,434.859502563,366.813948323,10.3488859819
39,376.430420266,0.838541,-532.197723998,39,0.787705,376.430420266,26.3893,11.1134163423,376.430420266,28.5796,11.1067,0.0,355.923877187,0.60130299448,46.332988136,-11.9922,11.1067,551.771162237,176.276512985,11.1129866432
40,392.791337305,0.833864,-963.050846343,40,0.775242,392.791337305,26.7373,11.8288079078,392.791337305,28.8826,11.8211,0.0,634.678242013,0.595048159314,21.5527704266,-12.6885,11.8211,612.477807895,-367.200150581,11.8283244034
41,396.952242081,0.810638,-1013.32124453,41,0.834876,396.952242081,27.0954,12.5256522975,396.952242081,29.1641,12.5176,0.0,722.007273964,0.610396322109,27.6261277324,-13.3564,12.5176,606.589429182,-32.1989881091,12.5251823514
42,374.276232023,0.847643,-751.453359378,42,0.812371,374.276232023,27.4716,13.1762045292,374.276232023,29.4644,13.1688,0.0,424.94486396,0.603747692244,42.0511702482,-14.0184,13.1688,714.84463983,515.013147754,13.1759524901
43,212.248818271,0.849005,-1207.91332126,43,0.960145,212.248818271,27.8816,13.8937969452,212.248818271,29.7719,13.8851,0.0,721.951359453,0.624097450384,25.0376783808,-14.7034,13.885,688.411789881,-174.304941943,13.8929477902
44,435.984042929,0.843334,-20.7524524856,44,0.81087,435.984042929,28.1977,14.5822923719,435.984042929,29.9946,14.5735,0.0,271.021420147,0.601970586456,47.5052093619,-15.3754,14.5735,714.349939107,337.292491225,14.5819946778
45,367.651650173,0.869736,-118.296433095,45,1.03002,367.651650173,28.5334,15.2267912205,367.651650173,30.275,15.218,0.0,248.109979369,0.637632512984,24.6195208,-16.0387,15.218,649.028710509,259.294802222,15.2256862725
46,349.58538091,0.895078,30.55928591,46,1.26858,349.58538091,28.8397,15.9709444281,349.58538091,30.4988,15.9583,0.0,179.694763731,0.684886435798,38.6365796851,-16.7702,15.9583,693.856442268,410.939302209,15.9701186986
47,240.492211542,0.887898,-424.718233592,47,1.34405,240.492211542,29.1399,16.7691257236,240.492211542,30.8374,16.7597,0.0,377.144892041,0.687313258809,-2.91403415159,-17.5847,16.7597,628.359477027,186.954217345,16.7682001586
48,413.855735422,0.858454,-646.667322358,48,1.11016,413.855735422,29.4545,17.3691952648,413.855735422,31.0529,17.3589,0.0,517.931356289,0.66092989917,32.8126340807,-18.1881,17.3589,761.817974531,227.12868627,17.3688336872
49,466.304258883,0.9025,127.104344883,49,1.17624,466.304258883,29.7341,18.1118393597,466.304258883,31.347,18.1042,0.0,191.154190578,0.668974697171,27.8246661275,-18.9284,18.1042,708.436420556,412.392539627,18.111175876
50,521.613963947,0.914391,-138.013450665,50,1.18562,521.613963947,30.0699,18.8281303393,521.613963947,31.6779,18.8169,0.0,207.605275102,0.681449173605,18.8592007827,-19.6559,18.8169,563.234523425,348.593474312,18.8277426907
51,492.605992691,0.91661,259.052805874,51,1.29378,492.605992691,30.3858,19.5168460775,492.605992691,31.9771,19.5078,0.0,164.172208299,0.690025877713,22.3259077926,-20.3489,19.5078,797.640226831,616.324476861,19.5162201741
52,552.313358758,0.916332,106.836991626,52,1.37485,552.313358758,30.6328,20.2152316687,552.313358758,32.266,20.2062,0.0,194.012086036,0.700819763384,8.80095781306,-20.9977,20.2062,682.588345236,431.160877412,20.2142054237
53,540.147296589,0.890878,-41.3371590107,53,1.2286,540.147296589,30.8788,20.8649347732,540.147296589,32.4906,20.8561,0.0,196.805306119,0.69143223596,18.3166717023,-21.661,20.8561,631.414716463,482.31379005,20.8645813943
54,238.323998089,0.913944,20.6552406275,54,1.2272,238.323998089,31.1068,21.5128750016,238.323998089,32.8047,21.5053,0.0,174.302737781,0.697312276449,-6.27331719361,-22.3203,21.5053,745.298533079,432.026218629,21.512299987
55,410.885007343,0.919737,-524.198513062,55,1.37483,410.885007343,31.3309,22.1593236124,410.885007343,33.0852,22.1499,0.0,367.688081375,0.714289616297,9.6185893483,-22.9465,22.1499,695.680319882,412.382751707,22.158595881
