Iteration,MinEsReturn,AverageAction,MinReturn,Epoch,AverageQLoss,MaxEsReturn,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,StdReturn,AverageAbsQYDiff,AverageDiscountedReturn,AveragePolicySurr,AverageQ,MaxReturn,AverageReturn,AverageY
56,407.336791693,0.896741,-257.44395627,56,1.40641,407.336791693,31.5661,22.8107413169,407.336791693,33.3678,22.8028,0.0,258.095412619,0.72405675366,10.0094986953,-23.5943,22.8028,534.864205758,282.884391668,22.8101302588
57,463.095339569,0.927015,415.184409343,57,1.30666,463.095339569,31.8359,23.4276847567,463.095339569,33.6436,23.4197,0.0,74.341087696,0.724583191699,26.4458429565,-24.2057,23.4197,658.16659421,550.112872992,23.4272146531
58,363.905877179,0.916264,210.361638703,58,1.63848,363.905877179,32.0919,24.0778858579,363.905877179,33.9136,24.069,0.0,131.936430216,0.763925132559,23.5981273274,-24.8425,24.069,573.783424488,409.654000715,24.0772730136
59,232.731842412,0.922313,-566.405196659,59,1.5701,232.731842412,32.3067,24.7621740263,232.731842412,34.0988,24.7538,0.0,314.360142356,0.760149302466,10.6631556948,-25.4972,24.7538,493.004748483,302.786188532,24.7616732174
60,370.471436673,0.912637,-4.7951355404,60,1.63714,370.471436673,32.5021,25.3423488967,370.471436673,34.3617,25.3341,0.0,147.301244664,0.761995586545,-5.76570978574,-26.0694,25.3341,561.733389007,326.809936688,25.3418868022
61,496.416523378,0.91961,-730.099683453,61,1.76204,496.416523378,32.7314,25.9379779785,496.416523378,34.6513,25.9291,0.0,346.654916218,0.774246859654,9.11525890885,-26.6958,25.9291,511.608888881,262.474884772,25.9374240862
62,378.546953633,0.903502,-0.208698294676,62,1.60389,378.546953633,32.9515,26.51853588,378.546953633,34.8535,26.5104,0.0,227.104863204,0.758959324303,-3.53029295272,-27.2641,26.5104,730.167583801,306.833788587,26.5179867669
63,512.749838007,0.924679,272.514411649,63,1.68455,512.749838007,33.145,27.1460154285,512.749838007,35.0532,27.1389,0.0,98.6609425824,0.774272041606,36.5050279622,-27.8815,27.1389,556.329449242,418.519376966,27.1453903349
64,396.978100832,0.911578,-564.010135168,64,1.85797,396.978100832,33.3591,27.7905309463,396.978100832,35.3201,27.7825,0.0,341.790996021,0.79372344628,1.97392836637,-28.5234,27.7825,695.011118948,325.270921739,27.789863878
65,504.254599898,0.912252,97.772348599,65,1.8284,504.254599898,33.5507,28.4305250209,504.254599898,35.5379,28.4219,0.0,179.069278516,0.798686421124,9.67413998319,-29.1488,28.4219,615.36063879,342.760674416,28.4299544111
66,369.45916033,0.902946,129.392802181,66,1.78959,369.45916033,33.7279,29.0749706653,369.45916033,35.8072,29.0664,0.0,180.81788537,0.797252731413,47.8171586431,-29.7916,29.0664,818.907267335,625.513916429,29.0744329011
67,558.997698391,0.934906,290.875014332,67,2.00152,558.997698391,34.061,29.6378870282,558.997698391,36.1036,29.6311,0.0,155.327076925,0.821653401727,54.1025391035,-30.3742,29.6311,776.190013361,608.097265488,29.6372740826
68,459.334728356,0.914813,420.781246231,68,1.93521,459.334728356,34.2523,30.2682272599,459.334728356,36.3531,30.2617,0.0,103.599830265,0.814903963308,62.1705545236,-30.9833,30.2617,755.839262293,631.549604302,30.2678563836
69,553.828378872,0.909539,338.617662981,69,2.29265,553.828378872,34.4546,30.8110324295,553.828378872,36.6209,30.8023,0.0,143.901065391,0.843827216232,70.1072036292,-31.5357,30.8023,792.98596461,622.961553023,30.8101259088
70,537.244331996,0.903859,182.924237232,70,1.9784,537.244331996,34.5848,31.4373043176,537.244331996,36.8893,31.431,0.0,180.68911609,0.824136976867,74.8066510544,-32.1708,31.431,803.799224067,601.754313978,31.4367014764
71,502.706145722,0.918479,270.227451919,71,2.16121,502.706145722,34.7553,31.991478201,502.706145722,37.1113,31.9849,0.0,178.56872942,0.834531529742,39.7048587622,-32.7022,31.9849,777.477724918,609.797784537,31.9908408967
72,579.908988359,0.917181,92.699656138,72,2.17316,579.908988359,34.9597,32.5898480192,579.908988359,37.3786,32.5812,0.0,253.056863194,0.845576716092,79.8910835157,-33.3224,32.5812,848.923905608,561.053536288,32.5892358172
73,526.849661842,0.923377,284.948605993,73,2.44601,526.849661842,35.1453,33.2482048645,526.849661842,37.7,33.2397,0.0,143.102980489,0.875705368624,49.9186691006,-33.9991,33.2397,792.909687889,637.661063972,33.2478515705
74,601.455285931,0.923988,385.441023269,74,2.20736,601.455285931,35.4067,33.822201915,601.455285931,37.9167,33.8145,0.0,126.808920686,0.845625598174,60.8410705612,-34.5915,33.8145,788.407166321,622.870016417,33.8216225991
75,554.475749027,0.926228,429.638976793,75,2.30754,554.475749027,35.5621,34.3854902045,554.475749027,38.2126,34.3786,0.0,133.473221705,0.861085892921,64.1961494079,-35.1353,34.3786,858.089712704,704.898845078,34.3851198215
76,584.203794257,0.908724,189.916350731,76,2.24653,584.203794257,35.7716,35.0070797433,584.203794257,38.4164,35.0012,0.0,222.172441744,0.853753700403,56.8955334688,-35.7795,35.0012,757.795605981,486.093668187,35.0066207663
77,510.221165436,0.917749,410.078134294,77,2.1996,510.221165436,36.0299,35.6148290455,510.221165436,38.6438,35.6077,0.0,103.979989732,0.853651235418,57.0533820989,-36.3867,35.6077,725.24651593,562.342740757,35.6144229425
78,573.185739608,0.900126,-194.319722407,78,2.31544,573.185739608,36.2713,36.2469244634,573.185739608,38.8674,36.2395,0.0,254.82841206,0.867124982709,69.6408252641,-37.0204,36.2395,724.345599766,489.594034254,36.2463890198
79,622.471451226,0.9279,767.017124329,79,2.67402,622.471451226,36.455,36.8572049008,622.471451226,39.2257,36.8497,0.0,41.7302491872,0.888731921337,83.1846189906,-37.6595,36.8497,904.21430209,824.229097631,36.8561968354
80,627.696794718,0.908374,340.080234593,80,2.834,627.696794718,36.6876,37.4589174582,627.696794718,39.5252,37.4519,0.0,139.193622018,0.922112568154,66.0199949204,-38.2312,37.4519,789.213773419,581.991893731,37.4581607321
81,633.921443182,0.928176,390.502042905,81,2.75472,633.921443182,36.8681,38.1219484088,633.921443182,39.7749,38.1123,0.0,101.938470635,0.914430225351,75.6590598228,-38.9078,38.1123,741.935794517,620.976958124,38.1216345819
82,620.425611365,0.909743,668.138156595,82,2.65346,620.425611365,37.0621,38.7558559834,620.425611365,40.0243,38.75,0.0,77.8688924933,0.905502122078,84.4277893816,-39.5144,38.75,950.295852647,838.674107526,38.7554338463
83,541.904390748,0.897051,459.013828162,83,3.08834,541.904390748,37.2299,39.3355573342,541.904390748,40.2703,39.328,0.0,103.059801859,0.933191325956,91.6573742453,-40.1319,39.328,759.565530416,636.563407927,39.3347317946
84,706.833689268,0.889602,364.515731417,84,2.51392,706.833689268,37.4289,40.0413203245,706.833689268,40.5551,40.0331,0.0,124.706868862,0.89817444891,67.1504327416,-40.8776,40.0331,810.986738749,645.050247333,40.04093232
85,594.717569931,0.910872,-337.286329783,85,2.6461,594.717569931,37.6319,40.6687413006,594.717569931,40.7674,40.662,0.0,333.692231727,0.906873083511,69.1502245369,-41.5234,40.662,562.422405777,229.367214036,40.6682359346
86,600.018685576,0.921715,-46.3494127134,86,3.37715,600.018685576,37.811,41.3570061131,600.018685576,41.0594,41.3471,0.0,326.148965436,0.957593592317,95.4351442974,-42.1787,41.3471,960.261032229,583.094957282,41.3563314289
87,636.437826682,0.921983,-470.590891122,87,2.79382,636.437826682,37.9762,42.0656278019,636.437826682,41.296,42.059,0.0,409.07411186,0.93360004685,77.2716239896,-42.8957,42.059,767.397595629,502.760148224,42.0652636282
88,603.975491782,0.944629,-355.411550499,88,2.89233,603.975491782,38.2166,42.748610995,603.975491782,41.5654,42.7421,0.0,511.001293762,0.939322108121,73.4395307354,-43.5736,42.7421,917.56036357,525.632286354,42.7482085837
89,569.883295199,0.930419,15.210600449,89,3.22601,569.883295199,38.4386,43.3349118072,569.883295199,41.8154,43.3265,0.0,212.029057449,0.940902375081,55.4681920832,-44.2014,43.3265,737.546306094,517.512806261,43.3344267145
90,714.535543108,0.918443,119.152319086,90,3.30518,714.535543108,38.6521,44.0451072686,714.535543108,42.0612,44.038,0.0,237.557335865,0.972868788159,76.9786405195,-44.8874,44.038,774.914607059,632.387807788,44.0447155676
91,531.243612058,0.939887,212.768421174,91,3.12784,531.243612058,38.8978,44.6541195534,531.243612058,42.32,44.6449,0.0,169.821920334,0.96479836217,87.2553396024,-45.5246,44.6449,732.63813005,487.701190115,44.65376548
92,255.686688796,0.910618,347.54616243,92,3.65998,255.686688796,39.0861,45.2831377994,255.686688796,42.5644,45.2745,0.0,110.558737117,0.993178219751,68.381219063,-46.1327,45.2745,718.304761584,552.228905725,45.2825509681
93,630.183017355,0.913572,-44.4328140244,93,3.33175,630.183017355,39.2372,45.9226663142,630.183017355,42.7937,45.9157,0.0,246.494623135,0.973251550591,90.301946448,-46.7876,45.9157,763.944090761,532.016615422,45.922123733
94,575.489565882,0.912233,-280.420613089,94,2.76145,575.489565882,39.4724,46.6060165641,575.489565882,43.0471,46.5967,0.0,419.850138553,0.952961763851,113.156965659,-47.4456,46.5967,1062.29352064,346.373741857,46.6056594568
95,684.606630395,0.910561,227.130725639,95,3.45716,684.606630395,39.6698,47.3039084348,684.606630395,43.256,47.2966,0.0,176.556469758,0.995270893188,92.3749487904,-48.114,47.2966,898.88753178,541.504630459,47.3033285904
96,730.20746181,0.947883,-473.021382796,96,3.80186,730.20746181,39.8868,47.8582245958,730.20746181,43.5345,47.848,0.0,418.452978045,1.00950346905,53.5821227296,-48.6992,47.848,567.731715748,115.107565706,47.8577225436
97,650.456253114,0.917273,369.166114936,97,3.01599,650.456253114,40.1242,48.551164864,650.456253114,43.6934,48.5461,0.0,193.730596702,0.95200283047,79.3999777837,-49.374,48.5461,1056.85057817,648.179619355,48.5508786081
98,749.49924031,0.925783,301.210575512,98,3.6519,749.49924031,40.3411,49.0996585257,749.49924031,43.9539,49.0907,0.0,135.154170628,1.00211994574,76.7603788126,-49.9075,49.0907,729.298158702,551.213223195,49.0990493659
99,543.287161761,0.933683,-88.4844881149,99,3.82021,543.287161761,40.5461,49.6796874375,543.287161761,44.1434,49.6697,0.0,275.291769306,1.00658254133,74.6635127663,-50.5078,49.6697,814.712544482,453.554601765,49.6794746929
100,463.469798026,0.956396,-440.011093497,100,4.39057,463.469798026,40.709,50.2062967584,463.469798026,44.38,50.1969,0.0,470.774948663,1.03554979104,81.42872362,-51.0255,50.1969,779.316997094,223.095331814,50.2057004759
101,571.207702642,0.919541,-398.572305664,101,3.62246,571.207702642,40.9244,50.8840081544,571.207702642,44.6278,50.878,0.0,444.503499268,0.993510416088,77.7643272262,-51.6915,50.878,812.481519369,113.660202697,50.8834459378
102,782.270283259,0.949326,-290.716552145,102,4.58253,782.270283259,41.1516,51.4587179635,782.270283259,44.8644,51.4485,0.0,340.383483487,1.03721121736,85.1875540207,-52.301,51.4485,767.73566085,290.481735895,51.4580641569
103,583.738923562,0.942351,755.63243271,103,3.50002,583.738923562,41.3753,52.1090993634,583.738923562,45.1077,52.1031,0.0,100.416026264,1.00554336897,97.2731434191,-52.9285,52.1031,1079.4238745,844.05856851,52.1089712099
104,638.192636507,0.944962,-246.909818394,104,4.70136,638.192636507,41.4958,52.7026060447,638.192636507,45.2939,52.6933,0.0,451.551801548,1.04958299934,87.5895128327,-53.5032,52.6933,1131.1987463,673.690423671,52.7022053326
105,598.37063563,0.949091,-139.722956979,105,4.46369,598.37063563,41.717,53.2291407799,598.37063563,45.5295,53.2199,0.0,428.746811134,1.03344827085,100.409488429,-54.0092,53.2199,1522.22819726,759.681096621,53.2286197636
106,604.459177177,0.944855,-348.114772107,106,4.11794,604.459177177,41.9146,53.8223825251,604.459177177,45.7735,53.8151,0.0,446.089962648,1.020765108,140.805038971,-54.6149,53.8151,1421.42143516,805.346167923,53.8221051905
107,669.261717606,0.93509,718.996065336,107,4.03335,669.261717606,42.1299,54.30782624,669.261717606,45.9836,54.3007,0.0,210.404750329,1.03191861029,124.727837434,-55.139,54.3007,1379.86532298,966.970376851,54.3073542672
108,654.64375311,0.939392,-366.136877819,108,5.05587,654.64375311,42.297,55.0338659892,654.64375311,46.2379,55.0265,0.0,320.095850448,1.08530860126,96.9206976256,-55.8695,55.0265,902.956188697,491.754149523,55.033570906
109,1559.83785172,0.956882,645.042427167,109,3.87783,1559.83785172,42.5213,55.7856974085,1559.83785172,46.4942,55.7773,0.0,616.389774114,1.0365558542,208.236761163,-56.6323,55.7773,3000.42372853,1696.69396492,55.7855664732
110,1335.16775763,0.951515,138.208052238,110,5.07533,1335.16775763,42.7291,56.5506048835,1335.16775763,46.7163,56.5422,0.0,768.974052537,1.09398760334,166.08329864,-57.4206,56.5422,2672.60378878,1076.80107018,56.5502878054
111,874.306959378,0.948186,-366.318705546,111,4.79492,874.306959378,42.9068,57.2003350861,874.306959378,46.9655,57.1917,0.0,346.321831769,1.08259034058,134.922703461,-58.064,57.1917,1034.65999963,592.548106943,57.199877583
112,668.87483455,0.937026,168.381279438,112,4.63487,668.87483455,43.0895,57.7220670987,668.87483455,47.2144,57.7121,0.0,499.82762205,1.09268257987,148.528283066,-58.5734,57.7121,1666.46204887,799.741160459,57.7216543365
113,582.498780905,0.929432,586.877811469,113,5.40685,582.498780905,43.3327,58.2285788605,582.498780905,47.4389,58.222,0.0,141.311686536,1.14525748187,149.919174635,-59.0569,58.222,1000.27500124,764.999877404,58.2282766305
114,616.168289083,0.917272,-339.97751733,114,5.20014,616.168289083,43.5039,58.9064254227,616.168289083,47.7176,58.8969,0.0,409.433704872,1.1291034244,138.353542848,-59.7928,58.8969,1060.16229936,550.825130912,58.9060052977
115,563.170647259,0.938089,497.475798456,115,6.69367,563.170647259,43.7029,59.5538470776,563.170647259,48.0238,59.5434,0.0,379.332218039,1.20476597564,164.148769787,-60.413,59.5434,1885.42417743,990.088400718,59.5531619084
116,1592.40919342,0.939037,1085.18749214,116,5.39575,1592.40919342,43.8853,60.4350216121,1592.40919342,48.2319,60.4258,0.0,423.083183797,1.17230698571,237.096778991,-61.3147,60.4258,2714.30374336,1688.72207708,60.4345481244
117,1838.00263508,0.933543,276.758305347,117,5.59398,1838.00263508,44.0681,61.1767599114,1838.00263508,48.4367,61.1682,0.0,516.27283586,1.17996835541,135.573761187,-62.0833,61.1682,2203.9947972,1249.52364801,61.1763147621
118,698.656671566,0.926154,253.192033246,118,5.618,698.656671566,44.2546,61.9138289343,698.656671566,48.6657,61.9034,0.0,281.597607488,1.16767880681,139.22650367,-62.8006,61.9034,1373.60255989,768.502886551,61.9134385162
119,966.672086017,0.933835,22.0844362125,119,6.21857,966.672086017,44.4868,62.5943584261,966.672086017,48.9048,62.5879,0.0,411.160655716,1.23131221097,127.691237358,-63.5012,62.5879,1566.81852641,801.35153557,62.5939577554
120,1501.50512482,0.943691,-8.07944465931,120,6.79276,1501.50512482,44.6844,63.378992876,1501.50512482,49.1294,63.3675,0.0,340.027578369,1.26368302531,138.094392157,-64.3138,63.3675,994.867552377,628.276423876,63.3785402221
121,1723.31622582,0.939601,435.07927757,121,5.42548,1723.31622582,44.9404,64.4760287859,1723.31622582,49.3478,64.4666,0.0,450.627892402,1.23866061811,160.193530304,-65.4794,64.4666,1782.53838452,946.612768181,64.4757607585
122,1048.27421047,0.950298,505.849591475,122,6.47271,1048.27421047,45.0812,65.142753387,1048.27421047,49.6127,65.1322,0.0,358.389982291,1.28126681475,145.134597946,-66.1237,65.1322,1716.17044213,1147.58119749,65.1423717282
123,942.939610598,0.945774,401.25500971,123,6.41282,942.939610598,45.2878,66.0150967245,942.939610598,49.8947,66.0085,0.0,511.406254868,1.26212784195,177.759133139,-66.9915,66.0085,2323.60627158,1115.55703351,66.0147695626
124,673.026969364,0.940754,782.800337549,124,5.3432,673.026969364,45.456,66.8067590363,673.026969364,50.2085,66.7949,0.0,718.55507826,1.24949224302,188.29175068,-67.7668,66.7949,2798.59577399,1476.14531472,66.8064697003
125,1217.14268392,0.941229,160.524638207,125,6.15902,1217.14268392,45.6668,67.5605731519,1217.14268392,50.4389,67.5529,0.0,610.369174243,1.2708222038,138.130489106,-68.5724,67.5529,2109.21375501,1123.56666043,67.5600743003
126,895.994462633,0.94019,415.929082858,126,7.03222,895.994462633,45.8447,68.3186785101,895.994462633,50.7604,68.3068,0.0,486.447454008,1.32954354796,178.242990654,-69.3415,68.3068,1646.33969683,1058.5789241,68.3183701322
