AverageQ,AverageAbsQ,AverageAction,AverageReturn,AverageEsReturn,StdReturn,MaxEsReturn,MinReturn,QFunRegParamNorm,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,AverageQLoss,Iteration,PolicyRegParamNorm,AverageAbsY,StdEsReturn,Epoch,AverageY
-1.06655,1.17415,0.204344,-3.43439503973,-4.22793757858,0.61880403941,16.1314427781,-4.85404257401,11.4915,-1.67330409809,-16.8625840117,0.409573,-1.31358300053,4.13109056056,21.3015,9,11.71,3.06497733998,4.21715840363,9,3.06453575064
1.61583,1.62726,0.999957,-8.09125778163,-8.04779045927,0.0645611430146,0.26823065794,-8.24910464476,11.7154,-7.81401184505,-17.8622769116,-2.21198,-7.92037051297,0.401743730636,0.447376,10,12.17,1.64349454654,2.99058532792,10,1.64164817786
1.42702,1.44301,0.999989,-8.09047538216,-7.31074052556,0.0654940240321,-1.22952491157,-8.25316760374,11.8181,-7.81327086638,-12.7465243712,-1.79466,-7.93672286357,0.178333117057,0.0617983,11,12.1996,1.43416574048,1.75637796057,11,1.43211491197
1.39715,1.4112,0.999996,-8.09165060714,-7.37233783774,0.0639991768388,-4.09402663267,-8.24232255262,11.8941,-7.81440068599,-14.8527306959,-1.50747,-7.93649572649,0.119667168961,0.0261331,12,12.2089,1.40233703899,1.82183784008,12,1.3991260206
1.17056,1.19371,0.999991,-8.09421906171,-7.33957799539,0.0644024002,-3.58240383523,-8.24201035065,11.9609,-7.81688085478,-12.0724492581,-1.14454,-7.93791791708,0.0974695133134,0.0167531,13,12.2013,1.18697471878,1.60225203565,13,1.17133252226
0.98538,1.01581,0.99984,94.7625471911,-9.36876746146,65.8128247243,101.860846151,51.3367601531,12.0317,61.1214104903,-15.161355392,-1.25193,413.875204369,0.0883448475006,0.0137282,14,13.0354,1.01139108724,13.6083091014,14,0.986229553071
1.20904,1.21462,0.999974,78.9413380892,181.855963634,22.0746353084,464.37695228,47.7182328545,12.1016,57.8254296777,50.5582715749,-1.49834,151.67926652,0.0750569516532,0.0102288,15,13.4366,1.21249190972,165.348333065,15,1.20994484948
1.28996,1.29549,0.985681,-8.6889822543,194.893979108,1.3264038656,465.890816421,-11.6922790728,12.2017,-5.30449867866,-35.6471835481,-1.54101,-6.00385920726,0.0683209053192,0.00926705,16,13.9953,1.29284459948,192.911776669,16,1.29051189188
1.35122,1.35667,0.989056,-41.5292635466,-19.0355769723,4.89241636012,2.74279558487,-54.4062103848,12.3524,-15.5207182433,-44.5122928465,-1.61657,-29.415274538,0.0702669952865,0.0109638,17,14.8848,1.35411076056,12.7875439729,17,1.35183339704
1.41237,1.41731,0.983206,-35.5852651108,-28.9035080344,1.41819262766,-6.22061979915,-37.9344481113,12.5538,-14.0277943582,-47.6279503468,-1.67444,-32.2770649509,0.0711776049008,0.0114329,18,15.3911,1.41527659553,12.7714647751,18,1.41298435484
