AverageAbsQ,AverageQLoss,AverageY,PolicyRegParamNorm,QFunRegParamNorm,AverageDiscountedReturn,Iteration,MinReturn,Epoch,MaxEsReturn,StdEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,AveragePolicySurr,AverageQ,MaxReturn,MinEsReturn,StdReturn,AverageAbsY,AverageReturn
0.270279,0.357833,0.00501825625971,19.6918,19.5146,-0.782056849534,9,-3.65866901587,9,-130.553311703,25.2358992949,0.00250603,-192.432293928,0.465452939526,-0.495724,-0.136303,0.894520082147,-216.953488288,1.21376685679,0.386224755975,-1.1750699129
0.150805,0.0276462,-0.100027206907,22.0089,19.6328,-59.7256309728,10,-587.057402843,10,-191.579655613,0.0,0.943741,-191.579655613,0.10567176088,-0.141803,-0.0999044,-577.076813152,-191.579655613,2.44749909391,0.157947761025,-582.07860134
0.0652587,0.00378575,-0.0149701455282,22.7823,19.7015,-40.0095502464,11,-578.9074516,11,-240.820979853,0.0,0.979881,-240.820979853,0.0476675118555,-0.0660478,-0.0156239,-436.872643421,-240.820979853,39.6494387624,0.070708854195,-536.903034566
0.0688221,0.00285932,-0.00631193750158,24.8612,19.9468,-49.4988540931,12,-586.327965375,12,-384.431188413,0.0,0.999916,-384.431188413,0.0408848617035,-0.0187825,-0.006541,-533.95963605,-384.431188413,15.0752881754,0.0745674210228,-541.266714988
0.075349,0.00250691,-0.0115325501227,25.8911,20.304,-53.9036565281,13,-594.14186378,13,-383.403825954,0.0,0.998011,-383.403825954,0.0376438171226,-0.0259564,-0.011653,-591.478760209,-383.403825954,0.927728585513,0.0810311881508,-592.690504234
0.0896258,0.00232887,-0.0142812623807,27.7292,20.7877,-48.1066201537,14,-565.075725359,14,-493.038882416,0.0,0.882537,-493.038882416,0.0354910740288,-0.0241486,-0.0143108,-526.699506704,-493.038882416,10.7294985576,0.0951848895788,-552.026829667
0.0998034,0.00222978,-0.00511912875258,30.1019,21.3961,-32.5162279263,15,-590.381840514,15,-447.954453318,0.0,0.64632,-447.954453318,0.0344390589319,-0.0315963,-0.00513192,-280.709895335,-447.954453318,88.8874438358,0.105294228898,-478.642776904
0.11103,0.00244385,-0.00545365735843,32.1708,22.1817,-24.498066899,16,-407.476059322,16,-347.429799872,0.0,0.632648,-347.429799872,0.0351816673227,-0.0279398,-0.00548566,-320.676528877,-347.429799872,32.2589861032,0.116212238213,-362.559681655
0.123622,0.00261583,-0.00713118592855,33.8666,23.1898,-7.04914028944,17,-352.771735907,17,-308.149002525,0.0,0.575322,-308.149002525,0.0357788852342,-0.0264406,-0.00722134,86.4575201021,-308.149002525,126.330023187,0.128665541174,-42.0434495755
0.132816,0.00261366,-0.00304878204387,35.5359,24.3003,9.4616707889,18,-47.0983740343,18,-308.22055638,0.0,0.314602,-308.22055638,0.0352379125469,-0.0322539,-0.00324785,-38.2828118803,-308.22055638,2.68571266532,0.137348464953,-42.6615649417
