AverageAbsY,QFunRegParamNorm,Iteration,MaxEsReturn,AverageQLoss,StdReturn,Epoch,AverageDiscountedReturn,MinReturn,AverageReturn,AverageAbsQYDiff,StdEsReturn,MinEsReturn,AverageEsReturn,MaxReturn,AverageQ,AverageAction,AverageAbsQ,AveragePolicySurr,AverageY,PolicyRegParamNorm
0.742063314793,11.1656,9,140.918271455,3.28088,0.268770953084,9,11.4124032869,11.4163785167,12.15485425,1.59527775911,16.507830616,1.70595176015,14.5834719949,12.8080894382,-0.853393,0.0391902,0.857978,0.540603,0.741885075206,11.1816
0.392777298335,11.2843,10,5.14993674029,0.0370313,0.079402117589,10,1.70931935608,1.49794214783,1.70394893875,0.100223685994,0.831853825401,0.656388447393,2.25909398927,1.90195117983,0.389826,0.998975,0.391234,-0.481087,0.392497061109,12.4408
0.338536305066,11.3732,11,4.20362687213,0.00660162,0.0816837400143,11,1.7060288271,1.49348751077,1.70055224927,0.0481346874152,0.563062670819,1.15687329292,2.28972109451,1.89425551447,0.337633,0.999987,0.339549,-0.394822,0.338148544529,12.9596
0.380109045004,11.4645,12,4.7761779625,0.0032848,0.55240626615,12,0.902467434781,-0.0666548798316,0.810676054114,0.0357416076235,0.720340036596,0.314506617148,2.2614785077,1.50053471363,0.379393,0.998638,0.383022,-0.432099,0.379616746434,13.4811
0.389861926141,11.5561,13,5.29017824511,0.00234538,0.116049126425,13,0.441414689327,-0.0137525440268,0.292651878256,0.031434634387,1.17430204027,-1.42079892333,0.884898786495,0.577286916357,0.388277,0.994746,0.393566,-0.433268,0.388424695396,13.957
0.382126135164,11.6684,14,4.63735706472,0.00184922,0.109374642165,14,0.401999223138,-0.0476423413472,0.251443206406,0.0284001485449,0.926224269254,-1.62287632506,0.966583517322,0.518710463373,0.378739,0.996828,0.385021,-0.407957,0.378792220536,14.503
0.378274255219,11.7744,15,1.91745886571,0.00159773,0.324689892035,15,-0.665620453051,-2.00552300306,-1.41705539068,0.0270446124724,1.05346770915,-1.72326220372,-0.0202163722181,-0.513622740405,0.374116,0.995316,0.379683,-0.446282,0.374230106453,15.0498
0.41306273949,11.8924,16,8.47778739098,0.00127092,0.245945286942,16,-0.681800144895,-2.06973950974,-1.44856389299,0.0232452694011,2.0425091976,-1.70044698117,0.200574025737,-0.638116763589,0.412084,0.966958,0.414022,-0.471656,0.412159720362,15.3285
0.418780571879,12.1118,17,7.39066475852,0.00118578,0.276461408619,17,-0.70794513359,-2.06388227331,-1.47658555786,0.0224834013344,1.69087422304,-1.90890629197,0.0136088125652,-0.673733783344,0.417726,0.976045,0.419886,-0.464734,0.417802005665,15.4553
0.418244091514,12.3605,18,232.843523922,0.0012312,3.66445731889,18,72.713566146,91.4373028534,97.7311174982,0.0222942636491,76.2661685222,-0.932500363849,62.7921217146,107.540912944,0.416649,0.742322,0.419343,-0.471972,0.416746102395,15.8087
0.439739107807,12.6763,19,191.435553077,0.00158852,37.8911975558,19,77.0419627893,67.7949300881,108.957616957,0.0231029140592,48.3271547361,20.5629393828,101.062127815,214.463887591,0.438579,0.951665,0.440468,-0.494571,0.438720353463,16.2154
0.469842973536,13.0021,20,214.946851603,0.00179994,2.60714877596,20,112.432199293,187.101682549,192.028919526,0.023257465058,59.6691916598,48.2822872968,132.749694594,205.69029978,0.468802,0.905129,0.470457,-0.524578,0.468988560322,16.6427
0.491100377264,13.3663,21,224.353914635,0.00185157,17.9742895575,21,73.8686999597,86.8278829301,98.0109300233,0.0227468436844,67.641733807,24.0645988451,133.726670989,167.749403361,0.489949,0.92389,0.491622,-0.544297,0.490075929999,16.9213
0.515759487709,13.7752,22,229.364825362,0.0021632,0.906384225385,22,58.0262999551,71.9393111119,73.0807904521,0.02381369523,47.2007231144,28.3901935537,94.6062360668,76.2746619649,0.514306,0.786593,0.516239,-0.569996,0.514531298422,17.3466
0.540975067576,14.1536,23,222.613045879,0.00207113,1.44018663641,23,122.282095254,196.877177283,199.618719981,0.022800042948,56.856743852,3.83381584325,117.095428567,202.382330606,0.539514,0.911591,0.541408,-0.597715,0.539627986075,17.7802
0.574002657604,14.6193,24,254.898680465,0.00263774,6.40762590947,24,90.8823807698,122.608345156,132.800089137,0.0248999745885,43.5674373667,101.144701801,200.888521497,149.663909781,0.572229,0.8862,0.574281,-0.637509,0.572423728648,18.3123
0.60650198412,15.1147,25,277.456287332,0.00276758,3.73068062847,25,110.696619635,174.847524352,184.61046674,0.0254781680642,82.0638583465,21.4177672449,163.629795214,190.244745221,0.604547,0.838493,0.606644,-0.672799,0.604775012064,18.7513
0.639384618562,15.5615,26,247.857315819,0.00259798,9.43596096235,26,122.462290381,198.378950284,214.277058916,0.0246398160211,45.8634937151,97.176177148,184.468120162,231.14563819,0.637612,0.829652,0.639668,-0.706575,0.637748213632,19.2321
0.672977790989,16.1028,27,219.667025092,0.00258933,14.864720547,27,123.029252695,190.449423614,206.91016416,0.0251525722016,15.1972666516,168.355603012,199.625169736,243.950882689,0.670868,0.87177,0.673296,-0.743982,0.671017172202,19.717
0.706241682384,16.597,28,275.755197038,0.00249795,10.468343761,28,133.843571538,202.294267848,242.11639955,0.0253168615474,55.1830515816,94.1463364235,197.952098776,258.475303869,0.704239,0.757954,0.706679,-0.776712,0.704354103231,20.1808
0.743868541425,17.0819,29,277.714330119,0.00247905,10.3186236558,29,131.641196696,209.159988886,228.381313029,0.0251533804288,50.2657144838,111.60596952,207.966855297,261.30389132,0.742138,0.798935,0.744207,-0.817257,0.742262959216,20.7997
