AverageReturn,MaxReturn,AverageEsReturn,AverageDiscountedReturn,MaxEsReturn,AverageAbsQYDiff,AverageQLoss,AverageAction,StdReturn,AverageAbsY,AverageQ,Epoch,AveragePolicySurr,PolicyRegParamNorm,MinReturn,QFunRegParamNorm,MinEsReturn,Iteration,AverageY,StdEsReturn,AverageAbsQ
9.21132283785,9.33390858394,9.95657960564,8.78770155468,57.9227453733,0.895658799025,1.06382,0.220179,0.0462469135659,0.716073892589,-0.179585,9,-0.0516089,11.2293,9.09336850863,11.1299,2.37587403888,9,0.716073892589,6.76597596067,0.23746
3.08572071044,3.12184838341,3.71752846405,3.03653945665,7.0527585685,0.095340463185,0.032638,0.999965,0.0177849496931,0.428119995882,0.423579,10,-0.530812,11.7015,3.04800564592,11.2983,2.8850289287,10,0.427201873382,0.775735514747,0.424797
3.08534718016,3.12216698056,3.65602962249,3.03617627631,7.4094722589,0.0358977171647,0.00362711,0.999982,0.0174518101351,0.378202252188,0.377184,11,-0.394899,11.749,3.04930673581,11.3737,1.69357981791,11,0.37741261502,0.694363049674,0.38011
5.9886879166,6.15822444163,3.82764342902,5.81609884285,9.46321206452,0.0259235377977,0.00153313,0.930793,0.0617289344332,0.375719222171,0.374181,12,-0.357193,11.9039,5.82046218052,11.4503,2.94562489689,12,0.374249476034,0.805700642695,0.37801
38.7902654758,40.7257451162,40.2010722116,34.4712894231,74.8239705672,0.029663447776,0.00234304,0.999999,0.901613545583,0.418831271017,0.416282,13,-0.496408,12.2743,36.5747460864,11.5849,3.45974936814,13,0.416374487354,9.74644033573,0.420822
38.8906973866,41.92178384,40.2750319363,34.5542818858,51.0370728095,0.0315446012368,0.00323171,0.868464,0.94138140455,0.552072685221,0.55012,14,-0.649369,12.6263,36.755282311,11.909,5.32318770393,14,0.550372054172,6.09847808715,0.553291
176.603884106,184.761435116,74.3369529995,111.357379044,178.048570044,0.0350597689897,0.00420231,0.536092,4.60278490434,0.685213314324,0.683854,15,-0.790783,14.1016,168.305338388,12.4169,36.1884181166,15,0.684094278253,40.5543003385,0.686482
116.188324446,121.426352502,123.661768979,84.8987227365,176.409583141,0.039460912813,0.005469,0.833892,2.20296927695,0.812775741179,0.811636,16,-0.936619,15.4283,110.913372159,12.8988,63.1860513613,16,0.811917103388,38.348591286,0.813915
174.460863136,178.456628297,149.499034027,112.324998369,183.386898038,0.042276898453,0.00637145,0.908353,2.17658485694,0.944993696623,0.943853,17,-1.08614,16.4135,167.676433424,13.351,92.3479614802,17,0.944185104831,33.0621986341,0.945947
172.427120063,176.408380853,162.392037086,111.794869624,189.734214436,0.0454883783817,0.0080761,0.895039,2.34368784943,1.10146591872,1.10035,18,-1.26117,17.2462,165.691232444,13.8569,77.3612143439,18,1.10073425505,33.535297742,1.1021
170.256337554,173.91830669,161.164467139,110.45936079,189.127881257,0.0473111006836,0.00941871,0.787153,1.73327850806,1.25491618245,1.25395,19,-1.41023,18.164,166.569772442,14.3761,3.47372539386,19,1.25436204082,47.9838987632,1.25539
169.541356102,172.230982458,150.585735441,110.049877199,175.932343472,0.054107367676,0.0131586,0.731022,1.19734524423,1.40657837422,1.40545,20,-1.565,19.0572,166.127029171,15.036,89.5177131046,20,1.40601009707,32.1869102604,1.40707
175.044262833,181.039057275,157.504869399,111.948491395,206.657173843,0.0589112195593,0.0155609,0.664415,2.6757460715,1.56047230628,1.55944,21,-1.73159,19.9671,169.310561632,15.6415,77.0680486722,21,1.55988215576,36.6550542108,1.56124
167.118463974,172.588936673,124.361447265,109.534771349,183.125829064,0.0626328634655,0.0191411,0.782698,2.06297179578,1.7247015922,1.72343,22,-1.90816,20.7094,161.968821936,16.3077,18.3170323502,22,1.72390862118,55.2357355595,1.72517
168.367882011,171.50792983,154.228827323,109.684284609,177.973626921,0.0657214281547,0.0200428,0.783138,1.46037414193,1.88625658808,1.88501,23,-2.07781,21.3275,165.42979075,16.946,69.2874944298,23,1.88550267984,33.9431293344,1.88688
148.863572573,152.690739889,155.083694668,100.579764096,200.111726375,0.0717836346414,0.0244568,0.66586,1.84072534538,2.05382520747,2.05258,24,-2.25765,22.0066,145.103294722,17.5467,96.0769401982,24,2.05317035482,28.6128474697,2.05442
157.829774569,175.705053412,147.393317842,103.863859987,186.630961073,0.0740830285349,0.0251027,0.645005,2.79229868759,2.2150799696,2.21358,25,-2.42732,22.7412,152.246543785,18.1572,43.7135354799,25,2.21422377805,38.2471993286,2.21564
168.267304469,171.86727772,142.408918807,108.638940859,180.098576426,0.0793348523952,0.0295311,0.659608,1.39706390022,2.3867512499,2.38547,26,-2.60936,23.3207,164.648199555,18.7572,24.7044164513,26,2.38600964709,45.5706998259,2.38769
168.165403409,175.324548974,144.299286209,108.202655213,195.127721139,0.0829046837296,0.0330045,0.701739,3.26129888759,2.56177199761,2.56018,27,-2.77736,23.9686,162.114435624,19.3457,14.7845746843,27,2.56096747605,53.9614318399,2.5622
171.474908775,190.487576355,146.637693856,110.619374456,198.253564211,0.0880322154753,0.0365108,0.681542,6.88321160531,2.70250278482,2.70097,28,-2.92549,24.6408,161.268794821,19.8804,32.6342116282,28,2.70175450954,45.2784669562,2.7033
178.445640706,192.048511547,142.492503788,113.514364506,202.989778547,0.0903242844189,0.0394329,0.662049,7.87043858479,2.86877655692,2.86766,29,-3.0827,25.2128,157.818138465,20.4591,8.75450094811,29,2.86807641558,66.9785105591,2.87018
183.263220356,197.35517527,127.949999031,114.616632072,203.09307056,0.0924762041969,0.0390353,0.805434,9.9919014987,3.0256567317,3.0241,30,-3.25302,25.8087,159.114885205,20.9854,5.93375582657,30,3.02485876555,67.3165929641,3.02652
179.90875049,188.704093117,153.668197218,114.90098968,206.877667637,0.0963622353528,0.0410274,0.897856,3.36408149465,3.17915510732,3.17767,31,-3.41089,26.2177,173.668193512,21.5452,17.6953972472,31,3.17845823741,60.6655483739,3.1801
172.28549101,194.89602809,130.581856287,111.474674006,191.363118272,0.104546723145,0.0510887,0.755766,6.39520258074,3.35157738393,3.35012,32,-3.5594,26.4947,160.484039292,22.1062,14.2086924939,32,3.35097486882,63.2014705346,3.3527
149.883759069,201.989805608,140.997881495,93.2313423674,217.508510634,0.109419897211,0.055977,0.760509,9.699274038,3.46728956945,3.46589,33,-3.69787,26.5223,142.064966407,22.6491,9.41973041241,33,3.46661667388,73.412178824,3.46892
276.836828261,749.608138179,111.345862262,103.61924312,476.53382212,0.113398639027,0.0575606,0.724917,79.9928444068,3.61551313226,3.61341,34,-3.8769,26.8692,138.644191673,23.1503,8.78069230004,34,3.61462211907,133.131711178,3.61667
963.443455289,969.519423822,67.6604709016,84.0950050963,228.283027341,0.119351453721,0.0658077,0.666014,2.16357159792,3.78743337219,3.7856,35,-4.03944,27.208,961.53088524,23.6317,7.21604353703,35,3.78654138234,77.481322751,3.78918
191.202652157,281.114298376,126.944282935,99.5287640331,218.316302369,0.118219557796,0.0655164,0.798715,27.3671544923,3.93713491542,3.93544,36,-4.19231,27.5671,120.295262256,24.0764,12.6204401272,36,3.93600751967,73.6814461581,3.9393
182.674564076,199.211441121,182.19161775,112.553848562,303.782351783,0.12030060484,0.0703105,0.616843,2.91738758415,4.07536991443,4.06958,37,-4.31657,27.774,177.511737397,24.4656,17.459604623,37,4.07058217853,93.5767728723,4.07687
301.35664365,329.740746487,154.045306275,156.029735762,309.62690618,0.128875883689,0.081972,0.742958,31.9300580248,4.22983647301,4.22505,38,-4.46938,28.1134,160.482753061,24.9703,17.5781558074,38,4.2263050875,88.8947797683,4.2325
267.561900887,344.916369527,210.976003398,145.377075248,290.986873469,0.131762170094,0.0853022,0.675971,33.5254522156,4.39466910633,4.39153,39,-4.63317,28.4122,206.108639448,25.342,52.7330119451,39,4.39292024991,63.0860205042,4.39638
317.796298681,355.300284417,231.948626535,162.184615184,332.350499228,0.135804670253,0.0866032,0.708417,35.2725086432,4.5554995952,4.55269,40,-4.80359,28.7929,203.381600131,25.7654,24.0249463182,40,4.55303971409,93.6813762447,4.55859
273.152245277,320.199672671,187.386161793,146.586635354,333.532343452,0.139565692291,0.097947,0.743291,46.7784243572,4.72923030104,4.72578,41,-4.98263,29.0199,142.841939909,26.2092,36.0252761265,41,4.72712837699,78.2255519579,4.73113
392.418259348,518.491597731,235.182011982,167.984868578,343.431450091,0.14235565796,0.0924277,0.583581,76.4113749982,4.88463010561,4.88212,42,-5.14483,29.2766,236.839962777,26.6204,122.080005779,42,4.88321978788,64.5045305178,4.88716
