PolicyRegParamNorm,AverageDiscountedReturn,AverageAbsQYDiff,MinReturn,Epoch,MinEsReturn,AverageY,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdReturn,Iteration,MaxReturn,StdEsReturn,AverageAbsY,AverageQ,AverageAbsQ,AverageAction,AverageQLoss,MaxEsReturn
13.2438,34.5067953814,0.406140968511,36.5614792119,33,5.2145835328,22.0814105685,32.9392,41.3186253093,-22.8713,38.8313707061,0.976515898551,33,41.7510310893,8.00357013744,22.085918391,22.0813,22.093,1.0,0.601916,64.7567475387
13.2473,34.4602058868,0.401968786089,36.73640888,34,35.9201642228,22.1595055749,33.3554,42.2007481519,-22.8866,38.7754317859,0.947775820005,34,41.8588941995,6.97310716219,22.1635528648,22.1593,22.1698,1.0,0.586097,82.6446756635
13.2511,34.4687875448,0.400527052476,36.6611250641,35,5.29790328461,22.1134973549,33.7269,41.9989393176,-22.8089,38.7820202011,0.92115807338,35,40.8449662883,8.28732928954,22.117101897,22.1133,22.1236,1.0,0.528953,70.0491767527
13.2514,34.4518332452,0.402945319657,36.4987787958,36,6.43403954462,22.2153082512,34.1186,42.6632088342,-22.8449,38.7655846799,0.967185221539,36,40.7071541737,10.8543869136,22.21869177,22.2151,22.2237,1.0,0.612588,88.6683614201
13.2541,34.4968150563,0.396724479245,36.6672631343,37,19.3708374873,22.2047620754,34.4016,42.2066296485,-22.7686,38.8211710246,0.8788645304,37,41.7610519284,6.88944844315,22.2082637665,22.2039,22.213,1.0,0.548029,73.0602165162
13.251,34.495079463,0.394337433685,36.8032721739,38,9.87555512747,22.090706372,34.7302,41.6229393467,-22.655,38.8161132556,0.953967537428,38,41.8133084142,7.21376895368,22.0943518654,22.0905,22.0987,1.0,0.548785,63.0160871883
13.2471,34.4228938386,0.410632848627,36.5808227661,39,18.5441769815,22.1799216113,34.9832,41.8032706577,-22.7523,38.7281667598,0.894795312977,39,40.8491788556,6.52818578811,22.1826568294,22.1794,22.187,1.0,0.634718,63.4630472496
16.4593,23.9513026013,0.424371940938,28.4734920863,40,-0.859728946133,22.1216845839,35.221,26.0173787665,-24.2826,31.3467569122,1.61324323505,40,36.293680886,17.2940469765,22.124936285,22.1205,22.1278,0.771312,0.705681,79.4418172395
17.5541,40.765209168,0.757828890231,61.3315189869,41,9.15576709625,24.2931350606,36.0979,35.2492773608,-27.7196,62.3891418998,0.561595453783,41,64.0868320365,15.9308161683,24.2963846436,24.2899,24.2981,0.59083,2.17485,67.6216844706
18.7091,51.2134688318,1.01148373461,84.0920031776,42,3.7186891475,27.696916886,37.2393,84.4710316724,-31.5655,86.5711997533,1.16034786326,42,89.0675446591,86.6945830146,27.7004863585,27.6916,27.7014,0.52953,4.15937,299.546018041
19.3781,86.8266954581,1.04637084434,333.091410139,43,15.8631590293,30.5725276765,38.323,79.6006701352,-34.8067,339.501316705,2.98152221152,43,346.649900151,73.6524893913,30.5760811014,30.5678,30.5788,0.633761,4.49492,287.049408144
20.2033,94.1747575163,1.03758240982,976.535153262,44,42.6129677636,33.6408291556,39.3576,186.386744206,-37.7045,977.231363755,0.50997042053,44,978.560991853,183.984039263,33.6444256002,33.6346,33.6481,0.730798,4.63009,501.862918321
21.0505,136.511122663,1.04944630631,274.437683475,45,16.8135711668,36.5712780045,40.3392,198.322459689,-40.3412,334.935367107,23.2685061353,45,376.221329722,106.394377062,36.5752530467,36.5681,36.5872,0.463943,5.0133,359.570972694
22.0893,109.856297081,1.05431873354,153.663317353,46,53.219055212,39.1778233155,41.1192,177.754622317,-42.6729,169.269239892,4.23927388931,46,179.329394788,49.4171505334,39.1826357661,39.1717,39.1936,0.853456,5.09349,227.656983787
22.8791,122.327480293,1.07643588425,189.824108797,47,25.8205192975,41.4974824267,41.861,162.01936098,-44.7793,198.116086653,3.87678727191,47,209.598631037,69.9940111258,41.5010382515,41.4919,41.516,0.900408,4.74533,250.4047842
23.482,112.118309774,1.134096213,167.984847603,48,120.37142296,43.4371423482,42.5843,185.984360538,-46.7912,173.948885441,1.55177499269,48,176.678718885,29.3212321411,43.4404629053,43.4303,43.4579,0.902953,5.62405,220.075987397
24.0534,113.257747345,1.10621473502,172.845663666,49,101.08221294,45.4192475469,43.2052,162.857588427,-48.7784,176.79949625,2.72447985878,49,184.86222005,31.5932519398,45.4235092432,45.4153,45.4435,0.845162,5.95772,207.399430525
24.6029,113.89259156,1.07680233163,172.410737406,50,82.7093044003,47.3796265199,43.7882,158.491754589,-50.6226,176.931602452,1.80649812263,50,181.503582145,31.1219064411,47.3833243128,47.3716,47.4043,0.746742,5.19894,189.925036165
25.2359,112.749549874,1.08233578604,170.21544871,51,64.5703952074,49.1484910616,44.3601,174.981052463,-52.4072,174.983903231,1.94127634143,51,179.629719568,58.794129403,49.1528269885,49.1416,49.1781,0.716875,5.38685,282.254355621
25.7362,114.232051848,1.17191932542,161.482355477,52,19.1823198588,50.7919634801,44.9226,172.238555885,-53.9857,181.684524433,8.50217976443,52,192.926774406,61.9637695073,50.7955893591,50.7855,50.8249,0.716564,6.41055,259.765367894
26.2861,111.169710308,1.17228281621,167.004631753,53,41.1741232149,52.5307261737,45.5045,148.048191157,-55.8903,171.479227954,1.71626239472,53,174.580875614,47.9097354328,52.533901926,52.523,52.5614,0.695106,6.22011,211.114068607
26.8405,109.240180863,1.18512680805,162.780700325,54,46.7894633393,54.2409560286,46.1,147.131266463,-57.5814,168.366013647,2.02938149568,54,171.260324402,45.7143951502,54.2438329261,54.2345,54.2751,0.696574,6.49699,196.50744916
27.3503,106.316774127,1.2783138917,150.573586866,55,8.42691998825,55.9934595813,46.6091,145.629983067,-59.3636,163.310629071,5.45353734139,55,179.828044053,52.2893329226,55.9960001541,55.986,56.0221,0.664267,7.85099,191.883963179
27.8443,110.03990328,1.28398570227,161.511952734,56,50.0705018337,57.6093008413,47.2444,147.312199096,-60.9672,170.860748562,3.33167922471,56,178.449619979,45.5753312996,57.6127441289,57.5994,57.6359,0.697694,7.50123,204.405793563
28.3325,110.306353759,1.32459399846,156.674729906,57,122.330155609,59.234189137,47.8424,171.422708954,-62.7079,172.479809535,7.15188018827,57,185.569539183,25.6119908541,59.2371376435,59.226,59.2639,0.691786,9.04443,210.308952846
28.8345,109.617626678,1.32856782512,164.787894945,58,30.7287535538,60.7661903457,48.3885,154.213860052,-64.2772,168.973534539,1.96476964424,58,173.204439342,43.018652102,60.7691960068,60.7601,60.8014,0.726269,8.3176,191.014336055
29.2869,109.199880419,1.42475389004,162.162792599,59,72.0711856033,62.2296795301,49.0264,158.860665876,-65.8563,168.146069084,1.70663029042,59,170.896199234,35.8252920124,62.2323118142,62.2204,62.259,0.665687,10.0988,194.532159864
29.7821,126.726419297,1.3764731574,203.200169195,60,16.2220989165,64.0115007038,49.6549,155.831993826,-67.5598,211.360397449,3.39147233261,60,224.131835846,54.1257586492,64.0154048197,64.0032,64.0458,0.668239,8.31266,200.838988219
30.2878,114.539605283,1.46372481759,175.967089553,61,5.35247447202,65.2433724266,50.3461,156.099435149,-68.8811,178.798842854,1.70246105429,61,183.264609598,66.1381264554,65.2469191726,65.235,65.2801,0.708445,10.9425,211.584818699
30.7832,115.78422135,1.46874512703,176.31512306,62,6.02657830729,66.9686077185,51.0027,150.964954925,-70.5186,181.722759445,2.1617867698,62,187.097702086,67.2121972789,66.9725386064,66.9631,67.0136,0.750181,10.68,229.844086676
31.2331,110.685596767,1.54063744811,167.425037345,63,62.9903575277,68.1423507811,51.5934,155.838582026,-71.7714,170.646541447,1.43360088997,63,173.735942034,49.3457593618,68.1475212107,68.1339,68.1854,0.743827,11.9464,230.681938288
31.6292,123.841427864,1.47377519851,195.819611772,64,98.9589982689,69.3520996184,52.1156,166.917902191,-72.9081,201.165989089,2.23549709411,64,205.693377018,27.1775821438,69.3592973968,69.3434,69.3975,0.777846,10.1748,198.589544453
31.9125,126.480491962,1.50441567836,204.344900479,65,8.58730101377,70.8512231586,52.5829,171.017763332,-74.5203,208.512598774,2.16067584644,65,212.01509652,67.1122368988,70.8583604775,70.8473,70.9043,0.680604,10.8355,218.852233594
32.2349,122.967940791,1.58642322414,181.357176358,66,18.3354744158,72.4771132305,53.1698,166.699315176,-76.1678,200.795635212,12.8593054095,66,228.030000653,67.9971646168,72.483963039,72.4672,72.5247,0.62724,12.8837,217.671023081
32.5619,116.245042914,1.55542103877,178.874623664,67,8.43301578276,73.6482889507,53.7337,150.800815408,-77.2833,182.866427147,1.72728170073,67,187.260169188,77.4288738898,73.6573776481,73.641,73.6992,0.597485,12.3286,225.399632971
32.9266,129.939627968,1.59135551559,193.033617453,68,18.2122547132,74.9896996034,54.3044,171.937441747,-78.7514,218.613295441,9.81439637052,68,231.311212837,70.1601992559,74.9953672929,74.9805,75.0421,0.58688,11.8407,238.971170569
33.2872,123.691518287,1.60049573082,182.096148062,69,67.2443262716,76.440649418,54.8484,192.987835939,-80.2183,200.901242965,9.02406542555,69,214.154529628,45.9373460116,76.4487265784,76.4326,76.5015,0.582192,12.86,265.260974564
33.6013,123.243908781,1.64514515379,195.572108559,70,34.4695506651,77.7783016494,55.4468,175.577512657,-81.7337,199.891455918,2.44497341192,70,207.193261588,49.8057870536,77.7854109063,77.7693,77.8322,0.544466,13.0757,205.65947272
33.9832,127.829452618,1.65413672354,191.683123099,71,63.9819814459,79.3103893118,56.0408,174.177292236,-83.2393,210.897364026,7.37994305764,71,219.16952766,37.6147330121,79.3205502397,79.3069,79.3743,0.532093,13.5175,213.205103435
34.3238,117.620835703,1.72441458605,180.643558733,72,18.9398302794,80.4578521425,56.5286,178.910836329,-84.361,186.558923965,3.24409978625,72,192.75169981,54.7540050677,80.4709423483,80.447,80.5316,0.618141,14.8797,221.009178155
34.6886,153.89646244,1.74805997698,243.270210241,73,6.53881044594,82.295022965,57.0775,168.476080516,-86.2407,284.736952438,20.1471408777,73,354.615253862,63.7233071767,82.3093103468,82.2854,82.3658,0.665064,14.2607,279.849926631
35.1123,158.057818118,1.77168242606,253.821572077,74,14.8098743163,83.6293369775,57.6581,193.1146923,-87.6,298.783404383,19.4888223134,74,369.483669604,109.448003383,83.6466725701,83.6229,83.7051,0.666773,15.7128,374.545423873
35.4667,134.506490712,1.83181293671,184.45376337,75,51.1024734403,84.8404260499,58.2027,226.489195307,-88.8108,229.676320142,31.455298652,75,353.700607346,102.484563931,84.8564053903,84.8289,84.9109,0.662838,15.8854,346.214839278
35.9166,170.349146427,1.83876013466,168.857116238,76,46.6032226694,86.46240531,58.7406,282.30812148,-90.4878,373.948893828,115.047534594,76,617.177555556,105.626995178,86.4787778669,86.4567,86.5408,0.672105,17.128,407.652029749
36.3689,172.63150973,1.83855757562,284.169071996,77,33.0351338324,88.0152248217,59.2867,183.449428114,-92.1148,402.717919293,98.0295637431,77,817.199418335,106.560358223,88.0371968517,88.0069,88.1035,0.582574,16.4606,357.838051309
36.7774,179.724898282,1.96843612023,266.611102037,78,14.694795811,89.5757724183,59.8194,299.809255819,-93.6744,465.494810966,119.986578623,78,789.386331068,172.180037282,89.5961389543,89.5671,89.6614,0.664143,20.2115,577.032390052
37.1909,181.284550785,2.01693094163,310.017260091,79,26.4199684705,91.2123017523,60.3104,189.228669566,-95.3324,639.594541711,228.518259246,79,1133.7575575,123.819736792,91.2290269539,91.1994,91.2947,0.713463,19.0625,370.158666237
37.4994,128.567838265,2.05990667069,61.1419783983,80,16.0639053905,92.584620287,60.8505,273.88446175,-96.9434,282.312108764,128.053264488,80,613.978352491,238.356613783,92.6014559505,92.576,92.6777,0.74295,21.9279,602.625410605
37.778,146.64573777,2.14795147047,77.1461112889,81,17.376435039,94.4346199537,61.4208,217.442504131,-98.7439,327.985190309,200.65551328,81,997.238694043,159.030252196,94.4460105111,94.4251,94.5172,0.696088,24.2815,566.379870237
38.1306,157.383181971,2.13651644152,306.684845796,82,13.3488003401,96.3211488185,61.8677,303.793539283,-100.897,483.312842316,149.755758235,82,1093.20658261,237.832221151,96.3399243997,96.3125,96.4069,0.687296,25.5144,716.808584675
38.527,205.84479765,2.15844635548,341.761700696,83,17.2926725227,98.3843613415,62.4469,307.952957032,-102.992,732.562149633,166.548830831,83,1134.94169886,151.003539167,98.3996471525,98.374,98.4705,0.685626,24.1717,464.59111202
38.8816,151.581430878,2.22505700758,61.0510736085,84,28.2553839405,100.350579552,62.9181,304.777339834,-104.936,722.780873143,570.000108773,84,2310.58555559,223.809583362,100.362914641,100.341,100.438,0.703572,26.6899,684.159971598
39.167,139.32379713,2.25175673371,151.776160821,85,69.0654835877,102.177516073,63.4395,279.100657344,-106.774,480.036185121,513.938225175,85,2668.80003629,184.769339256,102.192241501,102.166,102.265,0.676844,24.8532,539.148246702
39.5266,144.601716251,2.31036290822,192.607677734,86,70.2739337366,104.131689848,63.9699,280.318670182,-108.803,429.03423158,360.982171646,86,2037.00125344,161.653854008,104.144951756,104.119,104.215,0.686632,28.115,599.454493071
39.849,188.394938562,2.32203063194,221.857083573,87,11.0679767334,106.027964354,64.4888,319.745885341,-110.87,690.83195955,352.097915491,87,1721.06030511,188.053227078,106.043063799,106.015,106.11,0.699266,28.6714,548.250565547
40.0932,195.52013401,2.41618740257,247.808577332,88,185.209390116,108.092810666,65.0117,320.017197464,-112.895,891.435579243,347.368600765,88,1507.7902562,122.230272918,108.107265374,108.083,108.183,0.652248,30.2614,495.348285635
40.4195,171.942833821,2.39138148882,281.936164783,89,129.880769326,109.931468559,65.518,391.858830718,-114.797,645.469648345,332.985839339,89,1541.67341867,181.294522567,109.943356681,109.921,110.022,0.633645,26.7192,676.345625821
40.7521,167.356149132,2.453228787,308.406004878,90,81.5603349388,111.977025146,65.987,349.361507938,-116.775,659.741835849,349.29303274,90,1656.02448884,207.525405118,111.993527724,111.965,112.088,0.617519,29.8649,642.857136006
40.9682,189.625193241,2.44482755646,875.339178067,91,14.7041491597,113.932236393,66.5134,269.576792178,-118.877,1332.78188381,403.226406802,91,2113.69674389,212.395323751,113.942778828,113.917,114.015,0.574745,29.7211,565.251356576
41.2228,137.645589889,2.51143298774,202.603053253,92,15.0011815274,115.752116241,66.9602,267.997317224,-120.818,282.21927699,207.382742508,92,1299.29812755,181.982706261,115.766947604,115.742,115.851,0.734991,33.9177,586.019435883
41.5147,187.1212683,2.52997579555,257.146756244,93,4.11465007192,118.165405496,67.5879,234.837372783,-123.123,993.472202734,433.266436538,93,1974.1536118,220.581641498,118.188808496,118.153,118.27,0.648611,32.7213,667.872147828
41.7964,187.536309217,2.60387519361,331.546576063,94,12.9087037654,120.053464784,68.0116,207.471745347,-125.117,699.40347411,315.195488329,94,1570.31827859,214.943934532,120.072724427,120.04,120.167,0.621593,34.4462,663.747920882
42.0524,206.139280821,2.65587352269,517.754293509,95,105.471314501,121.84746251,68.5617,325.225917174,-126.968,847.218218797,128.28725076,95,1165.46479789,191.09934217,121.874485932,121.835,121.956,0.639406,38.5266,684.060503509
42.328,69.5041732693,2.68910640331,83.889159838,96,66.6785301049,123.975282289,68.9729,282.523827231,-128.879,102.080983125,85.8580110938,96,665.045038587,144.714668286,123.998529986,123.966,124.096,0.646262,38.5179,526.475111926
42.5759,194.772596786,2.7336648189,361.315285695,97,129.487095578,125.733912959,69.4952,478.438305357,-130.701,825.058565473,284.338673784,97,1752.79680801,293.176422124,125.767492581,125.72,125.859,0.647177,37.8433,842.477326102
42.8704,161.906767088,2.6914791228,268.596939912,98,13.1941885629,127.403457849,69.8709,206.731530591,-132.509,555.782839132,387.262717815,98,1496.51784452,132.200110841,127.438249779,127.393,127.531,0.722262,38.6614,461.210529518
43.2002,174.392939178,2.84133479587,352.910247517,99,57.6462299322,129.259467991,70.387,297.698862763,-134.293,1171.40227228,511.890409231,99,2581.17014827,204.939165957,129.29148992,129.247,129.385,0.705184,40.3968,726.224430906
43.4889,183.256247026,2.8631888235,561.677168726,100,10.98698039,131.021204319,70.8605,259.983855681,-136.168,1181.36602913,463.018950488,100,2042.56180441,215.981475741,131.055658528,131.01,131.159,0.710011,45.0562,625.710604066
43.7749,202.978283314,2.82815490214,340.607005048,101,356.606871335,133.24590265,71.3824,573.849733338,-138.425,957.432811424,225.279634605,101,1196.89071133,152.252050486,133.276455949,133.23,133.365,0.719104,44.7065,831.943228754
44.11,184.757472665,2.87184054012,319.974045878,102,9.5808444027,135.49219081,71.7952,203.403503666,-140.606,1241.88687583,641.740691717,102,2322.49164801,196.593328627,135.530706461,135.484,135.623,0.745668,45.1809,696.351136634
44.3298,187.501250358,2.90144628559,213.54664595,103,83.5017505847,136.91002053,72.2403,311.981457281,-142.183,887.465520752,414.37903254,103,1831.54751066,371.341658554,136.936274036,136.896,137.039,0.740863,45.3418,1212.12575686
44.5781,169.949932153,3.05658063377,302.919558669,104,19.9865695968,139.166771789,72.6952,191.03588468,-144.614,1090.08541631,590.922207672,104,2073.63042856,149.286525709,139.201949756,139.147,139.288,0.756221,49.8272,498.248386639
44.8313,220.668174473,3.06529920392,850.019281602,105,142.37704839,140.958975633,73.1874,421.015238725,-146.291,1195.5204608,359.105457213,105,2515.39065306,288.752184622,140.984025347,140.948,141.085,0.72473,53.961,971.496644938
45.0587,204.214459365,3.09215713196,442.083322148,106,58.1569335323,143.593680526,73.6403,286.398980431,-148.864,769.195072719,180.349562248,106,1268.40887383,218.353124189,143.620508481,143.581,143.717,0.681961,51.6226,693.887621417
45.3408,177.881543766,3.09706054657,363.779400748,107,200.23375906,145.327758676,74.1516,425.101104065,-151.116,595.412844888,176.128170653,107,1176.18433681,184.139515179,145.358454006,145.316,145.455,0.730486,52.8456,702.365123568
45.5906,190.194894038,3.16331878173,448.832771406,108,94.736475069,147.06220586,74.5972,295.707725049,-152.644,1090.32494745,401.174231018,108,1893.90504002,118.753072063,147.08798876,147.046,147.211,0.75263,55.1489,423.520467752
45.8341,189.296746427,3.21923233574,544.225978893,109,10.1786424176,149.315226138,75.0552,240.025438196,-154.983,839.980700996,139.082394901,109,1089.10407256,286.901303347,149.33902714,149.302,149.452,0.72466,54.0394,1032.35220494
46.0836,233.572663825,3.23296755151,660.756537396,110,14.7881383014,151.302944365,75.571,183.708350961,-156.951,733.035118316,58.1169500587,110,945.105235338,203.451647903,151.350922569,151.29,151.467,0.737207,59.4966,712.88172268
46.2633,212.87440695,3.32688795946,563.407061273,111,9.97487758478,153.03571643,76.092,288.866487261,-158.661,776.829830946,111.74452651,111,1090.7785164,259.93179581,153.083306652,153.022,153.208,0.711529,60.635,829.639813902
46.495,177.303213685,3.33423200413,606.932244237,112,218.363367952,154.936277139,76.5865,415.879794188,-160.729,1033.75095878,314.861006702,112,1751.96376039,112.923241899,154.993903034,154.923,155.107,0.713782,61.4272,605.92781964
46.7369,201.682249614,3.29673571936,429.003864859,113,14.3929095829,156.670746621,77.0057,197.324351292,-162.58,654.228041592,127.26738396,113,890.635316518,162.090000543,156.720441866,156.654,156.846,0.770926,60.8228,489.916678854
46.8582,218.752410166,3.3708593564,368.194088032,114,11.7432389401,159.022894041,77.446,213.016274336,-164.637,871.202855352,157.364066274,114,1217.48860941,177.860089534,159.064844461,159.013,159.187,0.780563,58.9692,585.907788262
47.0667,202.828723467,3.56358277307,404.784133797,115,21.6876578727,160.690893526,77.9009,215.057699619,-166.649,880.362341352,396.122480812,115,1984.89531998,151.825760361,160.728952509,160.675,160.853,0.778881,69.8063,508.364260698
47.3001,190.311000368,3.42611117273,239.514104173,116,17.9139351377,162.781038715,78.3393,189.007481975,-168.578,562.600101778,112.223611176,116,821.765356262,114.014054388,162.832748949,162.766,162.953,0.775899,66.0586,440.028165024
47.5307,172.28942836,3.64685390701,175.250205241,117,17.2036349827,164.610695626,78.7965,293.772801662,-170.514,775.283552127,438.197202573,117,1520.65124464,148.975555928,164.649385998,164.588,164.778,0.768464,76.303,527.60709816
47.7431,215.458401374,3.54273020817,158.036113142,118,14.6107049973,166.280215151,79.2861,351.732769124,-172.224,749.103275435,368.79955518,118,1231.38644059,344.418246301,166.323609305,166.273,166.453,0.757834,73.3865,942.028048302
47.9143,228.219969334,3.50683354903,566.055217404,119,7.51609776437,168.3700806,79.6625,236.118867277,-174.506,807.598914946,105.503057711,119,1076.18741753,220.843539787,168.412403048,168.354,168.541,0.763081,63.5763,617.515779172
48.1254,199.994943085,3.70304557541,417.18003589,120,26.6971887467,170.178649387,80.0719,394.423423333,-176.459,606.188471185,121.138287099,120,919.767135916,351.632642309,170.231707688,170.163,170.354,0.744094,73.9992,921.770521389
48.3023,182.06197101,3.63270474803,179.758564549,121,8.45536369331,172.607670587,80.5017,269.538131836,-178.671,664.513709564,453.79339143,121,1582.78147253,243.323358299,172.65046962,172.583,172.78,0.788761,72.9139,779.958272694
48.5592,226.783204809,3.68051152476,625.383739567,122,12.172872152,174.1079039,80.9248,217.5172917,-180.307,855.545349995,117.351398841,122,1093.8377719,243.202429805,174.153459301,174.097,174.283,0.790524,75.1391,645.492026718
48.6979,191.325011326,3.75487197194,272.669977289,123,160.435568786,176.206330674,81.3692,377.843900906,-182.383,819.530866056,272.599331576,123,1261.80862714,185.990918542,176.26609445,176.184,176.389,0.778467,79.9675,604.747629441
