AveragePolicySurr,StdEsReturn,AverageY,AverageAbsQ,StdForwardProgress,AverageQLoss,AverageAbsY,AverageDiscountedReturn,StdReturn,AverageEsReturn,MinReturn,AverageQ,MaxForwardProgress,Epoch,AverageAction,AverageAbsQYDiff,MinEsReturn,MaxEsReturn,MinForwardProgress,AverageReturn,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,AverageForwardProgress
-0.725229,38.0815502141,0.0341791856994,0.71484,0.246188453178,0.722929,0.043152246833,38.6992917373,27.7233700156,27.9558790763,-14.7531562104,0.477787,0.825119318027,9,0.996245,0.683580890308,-46.0225086931,106.151653723,-0.344456871524,74.179027808,10.3554,17.9901,117.22135094,0.518251451512
-0.0680561,39.8046292158,0.0558937376632,0.0816212,0.469067596667,0.00889886,0.0695451026653,39.8674483916,52.3962291126,40.198708909,-29.5409128128,0.0588962,1.23471509008,10,0.96448,0.0413592030808,-18.4715970903,133.686875565,-0.550265915373,74.3852491538,10.5556,18.0871,162.350760934,0.47527182234
-0.0896672,30.1495845364,0.0876017983322,0.106237,0.464962651444,0.000617882,0.106972434056,48.4848491542,52.2887249486,73.3485905572,-8.28658623218,0.0878012,1.63030577186,11,0.917722,0.0171417720691,18.3199237504,124.273131659,-0.262649877973,99.2350930463,10.6841,18.1947,206.434523203,0.731876762664
-0.126983,46.0608088631,0.121560311579,0.147913,0.378238336556,0.000650928,0.148862347352,33.6990319805,41.554347508,62.4082534055,-35.2403026367,0.121604,1.154937732,12,0.948758,0.0160899426395,11.6626593063,166.912260956,-0.567418085838,55.438311053,10.8985,18.3309,147.272982779,0.317261873045
-0.16604,36.3377137144,0.158849927768,0.194721,0.423421269786,0.00083549,0.195467970115,40.8459608627,48.0372481041,57.8065836615,-4.17026331765,0.15888,1.39882950593,13,0.961849,0.0170365658281,17.6839038851,129.394365282,-0.233320423689,72.4580360986,11.1665,18.506,187.145059458,0.465314480728
-0.204422,38.7151595423,0.196217127056,0.242199,0.217969754403,0.00110612,0.242768398451,11.5932223493,21.4516492202,65.6351633966,-29.0282849884,0.196231,0.39177600981,14,0.970879,0.0191389380027,7.46690899949,132.979376174,-0.515534929111,13.0990026897,11.4736,18.6491,71.7451680388,-0.0486473023257
-0.252819,55.8983140763,0.242397130053,0.293625,0.327940626807,0.00135637,0.29415648626,44.2273244985,37.1406562864,76.8147131105,4.40492339536,0.242465,1.25551181127,15,0.916158,0.021207301767,-7.09109472786,167.84940534,-0.117784472645,77.6660347074,11.7274,18.8091,164.269868059,0.522423041128
-0.302877,58.096068573,0.292204952977,0.349565,0.52225066405,0.00175582,0.350327961367,43.8598282258,59.7797955612,90.6427142103,22.7793540074,0.292256,1.95736611482,16,0.911663,0.0241341113831,40.537860698,203.719851087,0.0584594915185,91.0294630065,12.056,18.9532,240.045550562,0.641431852062
-0.347595,32.6906952149,0.336111745496,0.399393,0.347201553504,0.00202712,0.400225541421,46.8332361738,42.3865607087,48.8606866211,4.60711599826,0.336174,1.49109004373,17,0.9061,0.026227030183,-21.3916274846,90.6585222815,-0.0954473683447,85.8545223781,12.4171,19.1721,198.425803634,0.604618423218
-0.396688,27.2083175386,0.384756419944,0.450559,0.240268561155,0.00243802,0.451470823536,42.5027695745,29.8168499354,64.3203878691,9.74823527823,0.384803,1.21403650211,18,0.921867,0.02873979604,6.59656821604,97.9986333102,-0.0333324135025,70.9659047835,12.8321,19.4237,166.842327199,0.466802527267
