AverageReturn,MaxForwardProgress,AverageAbsQYDiff,AveragePolicySurr,AverageQ,PolicyRegParamNorm,StdReturn,AverageForwardProgress,AverageY,AverageAbsQ,Epoch,AverageQLoss,StdForwardProgress,AverageAction,MaxReturn,MaxEsReturn,MinReturn,QFunRegParamNorm,AverageDiscountedReturn,MinEsReturn,MinForwardProgress,AverageAbsY,StdEsReturn,AverageEsReturn
1.4876690393,0.0685120150918,0.0220111685195,0.0429209,0.00252012,14.1538,3.87729871691,0.00939592134742,-0.00969719300441,0.0161644,9,0.000765024,0.0190968937382,0.00110269,13.575532663,12.2751759805,-10.6782953917,7.92513,1.10303739094,-43.4343710659,-0.0505219347878,0.0219595462477,5.03139172727,-3.243221248
0.483166223737,0.0426695980762,0.0177289464036,0.00360007,-0.0184369,14.696,2.06460548713,0.0103029293471,-0.0183152312521,0.0268956,10,0.000547517,0.0100217677968,0.909931,7.10700248638,5.34293943545,-6.32779613947,8.61896,0.374100476996,-32.3480866417,-0.0227535486734,0.0314113477616,5.10828233343,-1.23177723555
1.23568142407,0.0460595262367,0.016664197065,-0.00963224,-0.018777,14.8324,1.99826449829,0.0145458066202,-0.0186463945652,0.035898,11,0.000490433,0.00959740931955,0.783515,7.79487266423,7.45779359513,-5.06421196494,10.3978,1.11407523048,-9.15196552376,-0.0149957797295,0.0392601163086,3.29200420826,1.76080791412
1.55729525577,0.0484641137787,0.0155819302859,-0.0319167,0.00318653,15.0674,2.48814008175,0.0153918335496,0.00333834355857,0.0402324,12,0.000433629,0.0121347789002,0.711749,8.47232446741,8.59561593267,-5.46965864483,11.6436,1.38912454121,-4.08432198646,-0.0191124418795,0.0428003624442,2.62161227074,1.98800855444
2.78617370138,0.0571415200341,0.0155750437943,-0.0542372,0.0276731,15.3461,2.90883340748,0.0223892058217,0.0277939039488,0.0526258,13,0.000445508,0.0142490441453,0.766816,10.0487362699,8.96659385693,-5.93646783995,12.4691,2.4490914394,-5.672393693,-0.0206175589336,0.054805319539,3.44093971695,2.14013836013
3.99666758113,0.0619487601143,0.0162998243984,-0.0762249,0.0503629,15.487,2.86847733281,0.0252141240229,0.0504847436871,0.0706271,14,0.000496998,0.0141008874006,0.684112,11.5259938982,9.4295432704,-4.09813637597,12.9875,3.39503121725,-9.82977731099,-0.0134449927925,0.0724539137876,3.64557262221,2.72912481812
3.74045657603,0.0642449446234,0.0172470978513,-0.101967,0.0725914,15.6127,2.36167779625,0.0248660206403,0.0727004155247,0.0905585,15,0.000565342,0.0112667591078,0.66794,11.9752113326,10.8915135874,-3.08800307234,13.393,3.27004434992,-2.91818937359,-0.00819904643864,0.0921775368884,3.32912939949,3.49431903983
5.2762044759,0.0657775848294,0.018698006889,-0.122719,0.0932275,15.7518,2.64796041149,0.0325032250967,0.0933261154572,0.110744,16,0.000678118,0.0128242376718,0.677983,12.1668711599,10.9226600028,-1.87313056841,13.7341,4.53724334714,-6.90301632157,-0.00217730688938,0.112219064991,3.71862157687,4.06512519727
5.2203569404,0.0697260703534,0.019178120588,-0.143922,0.116759,15.8741,2.96892924936,0.033440822225,0.116834316124,0.132692,17,0.000735131,0.0143873954946,0.76289,12.7184293963,12.6335408291,-5.94293875129,13.9571,4.45273085159,-6.04486907304,-0.0212344629662,0.13387755057,3.42851464914,2.87461348785
5.98404984989,0.0739516591692,0.020119561136,-0.162322,0.135464,16.0021,2.38040377287,0.038440544374,0.135518370234,0.150782,18,0.00081382,0.011418567516,0.779717,13.3986274743,9.15150794769,-2.29267450598,14.1239,5.16327115105,-2.21950770089,-0.000867036083062,0.151853723928,2.67179673244,3.75197903338
6.15705514317,0.0673471215849,0.0214534703211,-0.181007,0.154842,16.1163,1.7733553864,0.0372045056207,0.154939081288,0.170083,19,0.000927344,0.00850754379483,0.786685,12.1581591657,11.7669598949,1.59411543372,14.3459,5.42015570961,-1.1758218059,0.0154500613645,0.171205518974,2.87264562894,4.86595079215
7.16212568634,0.0682149881082,0.0226742307339,-0.205024,0.177155,16.255,1.86379580332,0.0440631745831,0.177244565815,0.192446,20,0.00104444,0.00889121626072,0.844334,12.2187554506,11.8524650671,-0.31272988219,14.564,6.28591124055,-5.64939721613,0.0093460635996,0.193581044414,3.29235342109,5.29469625278
6.72892909201,0.0670711697302,0.0239093630282,-0.232773,0.202998,16.3703,1.7324990914,0.0420258650561,0.203103507765,0.218291,21,0.0011491,0.00822029207713,0.855013,12.0803406219,11.9871991758,0.270564747521,14.769,5.93162373093,-7.21425190102,0.0113794846585,0.219222162419,3.63534689943,5.83974805354
6.90962052343,0.0719322389757,0.0250416531294,-0.261687,0.230332,16.486,1.81895006084,0.0433571884327,0.230421796763,0.245546,22,0.00124747,0.0086304219862,0.867607,12.7105486837,11.9202482866,2.40765569499,14.9447,6.09507501395,-3.34109448444,0.0217995093656,0.246351031235,2.98627858113,6.00410443937
7.14185612014,0.0757439706143,0.0260564431981,-0.29235,0.258137,16.5925,1.83066969066,0.0443023916251,0.258247408974,0.273182,23,0.00134406,0.00873938098361,0.873815,13.6420260467,12.6686214519,1.46741588122,15.147,6.30239856915,-0.521222392169,0.017866939067,0.2739638815,2.50691927624,6.06449656231
8.32249520307,0.0803163979902,0.0266408181369,-0.325224,0.288045,16.6982,1.90360815877,0.0493668135557,0.28810134739,0.302742,24,0.00139066,0.00907168460735,0.850303,14.7962623482,12.3907813406,2.18011935935,15.2639,7.31330045358,-0.66087779412,0.0197231935099,0.303433411937,2.86004003006,5.57611419371
