AverageAbsQYDiff,MaxEsReturn,AveragePolicySurr,MinReturn,AverageQ,StdReturn,MaxReturn,AverageY,MinEsReturn,AverageEsReturn,AverageAction,Iteration,AverageAbsQ,QFunRegParamNorm,AverageDiscountedReturn,AverageQLoss,AverageAbsY,AverageReturn,Epoch,StdEsReturn,PolicyRegParamNorm
4.22349976046,12.9453088756,0.738135,-5.05381722903,-1.40816,0.541430870041,-2.02255744768,2.81534395992,-17.222492147,-4.34783332921,0.206442,9,1.44934,11.4911,-1.86045121275,23.2548,2.89584469368,-3.61200968303,9,4.02029037456,11.7097
0.405544717426,1.75602530269,-1.53725,-8.44224725406,1.1793,0.0656872638144,-8.03438996773,1.21529669837,-18.2259409218,-8.0777846759,0.999987,10,1.3514,11.844,-7.97425797355,0.442005,1.453938293,-8.25778277283,10,3.03451727432,12.4252
0.18674980965,-4.80819658992,-0.523558,-6.25424925949,0.501219,0.0682777387582,-5.84909036583,0.502775086393,-18.815206561,-7.64338667279,1.0,11,1.34786,12.1333,-5.85114855458,0.0616471,1.36418571698,-6.05768770428,11,1.463146059,12.632
0.192699579652,-4.14122126716,0.191905,-6.24269299985,-0.141353,0.0715749756553,-5.84490069345,-0.14141167701,-8.81011538229,-5.59250202044,1.0,12,1.86619,12.719,-5.84855140571,0.0646838,1.87274273956,-6.05502487455,12,0.580839536878,12.6329
0.210823536842,-3.87602387529,1.40162,-6.23710673915,-0.988409,0.0715163041773,-5.85448208934,-0.989487906873,-6.73813774873,-5.51424930406,0.999999,13,2.27964,13.5494,-5.85298007873,0.0787923,2.28760114481,-6.05956822987,13,0.485127623363,12.6319
0.209833826195,-0.631744083497,2.89138,-6.24926466554,-2.10885,0.0717205664691,-5.82776116863,-2.11165480676,-9.37594403216,-5.54231764933,0.999999,14,2.67272,14.3579,-5.85128396302,0.0838687,2.68295331916,-6.05784037834,14,0.663140044271,12.6266
0.215806321709,144.225864295,2.63415,-12.320649949,-3.17929,0.990467398556,-7.91506145857,-3.18208834689,-26.2747536962,-4.64809102107,0.747493,15,3.26474,15.1539,-6.14825728232,0.0922418,3.27386329307,-9.90383104762,15,20.5446266016,13.1891
0.247874296284,400.278883626,0.519443,61.6555461594,-2.30919,21.3564316007,173.944665737,-2.30667417105,-9.39102782547,133.50802723,0.486511,16,3.06331,15.9785,59.4179397926,0.122065,3.07491903393,91.919164353,16,176.430844923,14.4039
0.235692960739,290.80855056,-1.24803,61.7509596509,-0.800611,33.2599337204,282.200841989,-0.798344457902,83.2428767679,187.746578155,0.445471,17,2.83718,16.619,60.6123542159,0.11984,2.8477314901,96.5376786564,17,100.164201249,15.4369
0.254771624853,385.864026098,-2.63381,265.749522248,0.551121,11.5049626477,341.537616172,0.552831883563,43.6759398461,198.071737884,0.479327,18,3.11754,17.416,118.820715195,0.148797,3.13200629232,282.179143158,18,123.39787818,16.2448
0.303993493539,385.445410483,-4.06519,58.0980308846,1.98242,86.7509221126,518.537033776,1.98472509063,122.91006804,273.920906528,0.432303,19,3.82307,18.2347,63.2346001666,0.237698,3.83825041998,106.260657577,19,97.1615106902,17.1966
0.366258138163,164.098487438,-5.20926,56.7758235823,3.18469,158.658898325,571.060580924,3.18771812934,56.0977667051,129.315333234,0.732551,20,4.57726,19.1577,78.6705209405,0.433533,4.59571667152,203.797148961,20,38.9511868994,18.1039
0.406615490012,364.752524985,-6.45574,31.9407641276,4.41702,120.680386677,652.915976863,4.42095730661,56.9525499062,271.896613249,0.818033,21,5.55694,19.9464,60.0077395598,0.553227,5.57362090667,110.571330023,21,106.937031552,19.1343
0.449536925123,566.377824265,-7.84309,57.168546648,5.7547,268.121117466,1182.8773658,5.75818568789,55.968331154,270.556540708,0.820289,22,6.67299,20.7814,69.8645140664,0.719664,6.68901657188,203.327353219,22,176.756759622,20.1339
0.488325833703,392.499172672,-9.21904,47.9198136212,7.09686,143.569023415,623.437798801,7.100510265,110.972944922,288.455472838,0.803565,23,7.86121,21.5754,99.2710355396,0.851728,7.87508162513,316.105738638,23,98.8728791994,21.0482
0.543786571477,350.274017285,-10.4685,-26.4705807454,8.28522,120.4185301,488.055864785,8.28838198254,-18.5929899764,85.4586242307,0.785343,24,8.98607,22.3008,39.3647340053,1.04675,8.99794724939,68.2409550492,24,124.688967771,21.9216
0.611558278685,303.916397394,-11.4023,47.7088896588,9.27537,114.593345272,575.055661617,9.27917786954,-17.2656822726,138.67132512,0.81151,25,9.99947,23.0078,111.242609777,1.29143,10.0134848083,337.937881763,25,126.200859463,22.9608
0.662432194475,641.066301014,-12.6506,42.0426405015,10.4836,169.42375078,713.575202624,10.4870161475,16.4951314243,260.092336196,0.804011,26,11.1998,23.7089,100.039056383,1.59799,11.2171818134,318.350476005,26,248.360031512,23.7618
0.71850824898,339.847687957,-13.885,47.6466508442,11.704,154.447488146,520.946918811,11.7090805717,14.7573421335,203.652966001,0.809113,27,12.3872,24.429,91.2194319422,1.66632,12.4028683099,246.217964511,27,116.738839991,24.2209
0.771366456881,347.379602521,-15.244,74.7475363109,13.0639,179.184016703,873.126586465,13.0686603519,61.1965619715,206.422233025,0.726453,28,13.7451,25.148,106.918150511,2.00587,13.7574235162,360.397061417,28,100.75475101,24.5229
0.835081169787,292.095809621,-16.6006,51.0733108458,14.3823,137.799510809,562.788246302,14.387610073,32.4249942841,201.367631737,0.684305,29,15.0413,25.814,100.762005815,2.35788,15.0545313435,305.017116857,29,92.4979496542,24.7752
