AverageAction,StdEsReturn,Iteration,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQLoss,AverageQ,PolicyRegParamNorm,Epoch,MaxEsReturn,AverageY,StdReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,AverageAbsY,MaxReturn,QFunRegParamNorm,AverageAbsQYDiff
0.566745,3.3883193954,9,-7.51284890028,-9.79264746639,-8.10693873773,4.6977,0.515336,11.7809,9,3.07658546972,1.87911328805,0.0373083596845,0.765462,-17.4406478914,-1.16358,-8.21534730409,2.20516979302,-7.96189619664,11.5834,1.926467195
0.974182,1.69178917254,10,-7.82158443744,-7.69204185766,-8.10118438918,0.325058,0.762902,12.5745,10,-2.34558361079,0.778961367972,0.0631526738377,1.21114,-17.2990016311,-1.3856,-8.26110949448,1.30719756081,-7.94126629519,11.9515,0.374949580873
0.999741,13.6189701106,11,58.3288772395,-3.14097268071,82.6038548084,0.0465214,-0.142504,12.9565,11,96.6918021218,-0.140992754626,36.5881222009,1.3933,-11.0537885695,-0.522914,48.3155791657,1.40218737971,286.604398539,12.2387,0.163931706657
0.976528,148.71876437,12,1.25069948208,37.1789374234,-32.662202262,0.0548693,-0.00211629,13.4156,12,387.941349014,-0.000513528155179,33.8711855641,1.91568,-104.574300855,-1.24511,-137.282531575,1.92286921469,121.104520934,12.8143,0.173319066256
0.969978,211.920215608,13,-15.5881561245,274.021355839,-33.5282100148,0.0859898,0.392972,13.9067,13,516.00770446,0.394128776425,14.1616678583,2.496,-7.40177779414,-1.68225,-68.4494284932,2.5044708089,-8.05263740533,13.6713,0.207567771931
0.797851,46.4266224817,14,53.5944761638,23.3222066336,68.0005234123,0.140255,0.877101,15.1966,14,100.275485872,0.878115901884,12.3821457415,3.16581,-25.8689242698,-2.27857,45.0358318316,3.17653700767,100.71932443,14.749,0.252021220623
0.84066,24.984682228,15,52.6789269859,65.9542094868,65.9892342536,0.201952,1.42614,15.9968,15,109.187638163,1.42766293255,16.1246304754,3.757,39.9114286497,-2.99406,41.2498393791,3.76934834077,116.665729869,15.8563,0.287387282427
0.7534,131.86711284,16,118.016103178,163.78152737,466.766861281,0.252363,2.10012,16.7744,16,400.967215662,2.10143135619,192.935783014,4.32864,8.25189745545,-3.77325,52.270196327,4.3432338326,866.139721858,16.8737,0.317945586637
0.73678,101.779749574,17,124.379073914,347.903713183,429.619492623,0.362696,3.13198,17.4799,17,435.518713423,3.13327476949,114.773991227,5.22424,158.23203917,-4.87069,235.494564082,5.23780124946,867.698538407,17.7332,0.364255083832
0.499476,180.895932101,18,128.582529887,262.642922187,343.67129417,0.441694,4.34865,17.9985,18,497.343174451,4.35071530069,35.90946132,6.27985,15.2484586235,-6.15149,280.808246126,6.2984049524,436.716771628,18.5246,0.405874938129
0.475149,36.8073338693,19,104.355573367,330.337920222,280.059368832,0.598163,5.71315,18.6733,19,399.812218206,5.71556883034,112.317180254,7.48651,289.623119455,-7.53541,84.8820588313,7.50356222277,527.262797714,19.4343,0.443859224129
0.696252,398.344890297,20,127.399099723,456.495308603,305.79310761,0.765588,6.86275,19.5167,20,854.8401989,6.86577586447,76.836117434,8.48439,58.1504183067,-8.77133,99.5741833581,8.50387561464,690.024289441,20.2217,0.489008049307
0.707795,106.861681461,21,133.609510433,229.105374588,314.399155773,0.884599,8.25284,20.2205,21,334.334940728,8.25518484285,52.029694349,9.67154,16.3678437089,-10.1122,210.775265951,9.68899598403,473.225300332,20.9875,0.525554651218
0.678792,208.285347758,22,139.489906246,301.889905193,363.935666604,1.21882,9.5311,20.6534,22,563.437801757,9.53413705201,112.685786914,10.8501,13.9331246721,-11.4224,37.366324223,10.8678225549,565.213315377,21.7601,0.584389919962
0.675104,207.008451586,23,115.780069959,292.63130236,344.975867177,1.23558,10.8508,21.0988,23,653.423229467,10.8549852247,124.91532134,12.055,43.5133231163,-12.7912,45.0015146253,12.07542838,533.787808033,22.4521,0.612491783603
